symbol,date,open,close,high,low,volume,oi,month,day
APFI,2017-12-22,7876.0,7928.0,8140.0,7769.0,385597.0,14231.0,12,22
APFI,2017-12-25,7808.0,7745.0,7846.0,7722.0,201010.0,19980.0,12,25
APFI,2017-12-26,7732.0,7745.0,7826.0,7709.0,106488.0,16574.0,12,26
APFI,2017-12-27,7744.0,7750.0,7771.0,7725.0,42020.0,13949.0,12,27
APFI,2017-12-28,7780.0,7820.0,7855.0,7777.0,42489.0,11940.0,12,28
APFI,2017-12-29,7816.0,7799.0,7832.0,7783.0,16329.0,10680.0,12,29
APFI,2018-01-02,7818.0,7831.0,7845.0,7815.0,10445.0,9374.0,1,2
APFI,2018-01-03,7814.0,7805.0,7836.0,7795.0,11395.0,9248.0,1,3
APFI,2018-01-04,7802.0,7804.0,7820.0,7788.0,8926.0,8815.0,1,4
APFI,2018-01-05,7806.0,7822.0,7833.0,7794.0,5991.0,7949.0,1,5
APFI,2018-01-08,7814.0,7785.0,7819.0,7779.0,4423.0,7834.0,1,8
APFI,2018-01-09,7858.0,7762.0,7866.0,7733.0,36934.0,10985.0,1,9
APFI,2018-01-10,7759.0,7742.0,7781.0,7738.0,15753.0,10921.0,1,10
APFI,2018-01-11,7764.0,7706.0,7786.0,7696.0,22529.0,13077.0,1,11
APFI,2018-01-12,7691.0,7665.0,7724.0,7657.0,20395.0,14857.0,1,12
APFI,2018-01-15,7641.0,7656.0,7672.0,7637.0,13807.0,15417.0,1,15
APFI,2018-01-16,7652.0,7612.0,7697.0,7600.0,23592.0,17476.0,1,16
APFI,2018-01-17,7614.0,7547.0,7623.0,7533.0,47009.0,19473.0,1,17
APFI,2018-01-18,7546.0,7548.0,7586.0,7543.0,25479.0,20181.0,1,18
APFI,2018-01-19,7544.0,7538.0,7576.0,7517.0,30193.0,19742.0,1,19
APFI,2018-01-22,7557.0,7572.0,7585.0,7544.0,21436.0,19056.0,1,22
APFI,2018-01-23,7582.0,7571.0,7608.0,7553.0,27777.0,17873.0,1,23
APFI,2018-01-24,7578.0,7553.0,7580.0,7541.0,13975.0,18085.0,1,24
