symbol,date,open,close,high,low,volume,position,month,day
EMCOM,1998-02-04,59.82,59.88,60.23,59.63,7647,48519,2,4
EMCOM,1998-02-05,60.16,59.91,60.27,59.79,4201,49174,2,5
EMCOM,1998-02-06,59.55,59.06,59.79,58.99,10660,50303,2,6
EMCOM,1998-02-09,56.72,56.68,57.23,56.42,16885,69425,2,9
EMCOM,1998-02-11,56.84,56.49,57.07,56.34,16550,68476,2,11
EMCOM,1998-02-12,56.65,56.77,56.95,56.34,10762,70630,2,12
EMCOM,1998-02-13,56.62,57.03,57.09,56.48,10743,70293,2,13
EMCOM,1998-02-16,54.09,56.6,54.24,53.82,7596,70490,2,16
EMCOM,1998-02-17,56.52,56.9,56.97,56.46,8453,67194,2,17
EMCOM,1998-02-18,56.96,56.83,57.14,56.64,16170,64059,2,18
EMCOM,1998-02-19,56.98,56.75,57.17,56.51,17937,61963,2,19
EMCOM,1998-02-20,57.0,56.72,57.14,56.59,11347,62993,2,20
EMCOM,1998-02-23,56.35,55.63,56.39,55.56,22753,61603,2,23
EMCOM,1998-02-24,55.04,55.48,55.64,54.72,23657,61024,2,24
EMCOM,1998-02-25,55.65,55.45,55.74,55.26,10778,60907,2,25
EMCOM,1998-02-26,56.46,56.66,56.9,56.24,25027,60605,2,26
EMCOM,1998-02-27,57.26,57.06,57.44,56.95,21030,60280,2,27
EMCOM,1998-03-02,57.02,57.19,57.27,56.87,8626,60537,3,2
EMCOM,1998-03-03,58.38,58.5,58.55,58.24,17661,59687,3,3
EMCOM,1998-03-04,57.94,57.79,58.28,57.69,22903,59357,3,4
EMCOM,1998-03-05,57.98,58.36,58.46,57.91,18173,60699,3,5
EMCOM,1998-03-06,58.77,57.93,58.9,57.81,28823,58700,3,6
EMCOM,1998-03-09,58.14,57.87,58.31,57.76,14869,58473,3,9
EMCOM,1998-03-10,57.73,57.97,58.01,57.64,12571,58467,3,10
EMCOM,1998-03-11,58.26,58.75,58.91,58.13,33901,59764,3,11
EMCOM,1998-03-12,58.2,57.95,58.21,57.68,34110,58585,3,12
EMCOM,1998-03-13,59.4,59.19,59.46,58.71,47804,57403,3,13
