symbol,date,open,close,high,low,volume,oi,timestamp
EMIND,1998-02-04,59.82,59.88,60.23,59.63,7647.0,48519.0,886550400
EMIND,1998-02-05,60.16,59.91,60.27,59.79,4201.0,49174.0,886636800
EMIND,1998-02-06,59.55,59.06,59.79,58.99,10660.0,50303.0,886723200
EMIND,1998-02-09,56.72,56.68,57.23,56.42,16885.0,69425.0,886982400
EMIND,1998-02-11,56.84,56.49,57.07,56.34,16550.0,68476.0,887155200
EMIND,1998-02-12,56.65,56.77,56.95,56.34,10762.0,70630.0,887241600
EMIND,1998-02-13,56.62,57.03,57.09,56.48,10743.0,70293.0,887328000
EMIND,1998-02-16,54.09,56.6,54.24,53.82,7596.0,70490.0,887587200
EMIND,1998-02-17,56.52,56.9,56.97,56.46,8453.0,67194.0,887673600
EMIND,1998-02-18,56.96,56.83,57.14,56.64,16170.0,64059.0,887760000
EMIND,1998-02-19,56.98,56.75,57.17,56.51,17937.0,61963.0,887846400
EMIND,1998-02-20,57.0,56.72,57.14,56.59,11347.0,62993.0,887932800
EMIND,1998-02-23,56.35,55.63,56.39,55.56,22753.0,61603.0,888192000
EMIND,1998-02-24,55.04,55.48,55.64,54.72,23657.0,61024.0,888278400
EMIND,1998-02-25,55.65,55.45,55.74,55.26,10778.0,60907.0,888364800
EMIND,1998-02-26,56.46,56.66,56.9,56.24,25027.0,60605.0,888451200
EMIND,1998-02-27,57.26,57.06,57.44,56.95,21030.0,60280.0,888537600
EMIND,1998-03-02,57.02,57.19,57.27,56.87,8626.0,60537.0,888796800
EMIND,1998-03-03,58.38,58.5,58.55,58.24,17661.0,59687.0,888883200
EMIND,1998-03-04,57.94,57.79,58.28,57.69,22903.0,59357.0,888969600
EMIND,1998-03-05,57.98,58.36,58.46,57.91,18173.0,60699.0,889056000
EMIND,1998-03-06,58.77,57.93,58.9,57.81,28823.0,58700.0,889142400
EMIND,1998-03-09,58.14,57.87,58.31,57.76,14869.0,58473.0,889401600
EMIND,1998-03-10,57.73,57.97,58.01,57.64,12571.0,58467.0,889488000
EMIND,1998-03-11,58.26,58.75,58.91,58.13,33901.0,59764.0,889574400
EMIND,1998-03-12,58.2,57.95,58.21,57.68,34110.0,58585.0,889660800
EMIND,1998-03-13,59.4,59.19,59.46,58.71,47804.0,57403.0,889747200
EMIND,1998-03-16,55.04,59.35,55.55,54.95,29683.0,58879.0,890006400
EMIND,1998-03-17,59.5,59.9,59.96,59.46,43743.0,56822.0,890092800
EMIND,1998-03-18,59.55,59.35,59.63,59.13,32487.0,57671.0,890179200
EMIND,1998-03-19,58.56,58.44,58.67,58.14,37467.0,55757.0,890265600
EMIND,1998-03-20,58.41,58.93,59.0,58.31,26217.0,56162.0,890352000
EMIND,1998-03-23,58.78,58.74,58.97,58.57,21792.0,56954.0,890611200
EMIND,1998-03-24,59.52,59.44,59.66,59.32,30539.0,55683.0,890697600
EMIND,1998-03-25,59.17,59.27,59.33,59.08,14870.0,54501.0,890784000
EMIND,1998-03-26,58.67,58.89,58.96,58.54,20175.0,54974.0,890870400
EMIND,1998-03-27,58.95,58.88,59.17,58.81,13705.0,55402.0,890956800
EMIND,1998-03-30,59.0,58.83,59.15,58.74,13579.0,55489.0,891216000
EMIND,1998-03-31,59.1,58.79,59.17,58.74,8187.0,54929.0,891302400
EMIND,1998-04-01,58.77,59.11,59.14,58.7,14501.0,54816.0,891388800
EMIND,1998-04-02,57.95,58.12,58.26,57.69,26673.0,54308.0,891475200
EMIND,1998-04-03,58.06,57.93,58.16,57.81,12943.0,54411.0,891561600
EMIND,1998-04-06,57.46,57.76,57.68,57.27,20284.0,55573.0,891820800
EMIND,1998-04-07,57.71,57.7,57.81,57.5,16703.0,55978.0,891907200
EMIND,1998-04-08,58.01,57.78,58.1,57.7,16772.0,54979.0,891993600
EMIND,1998-04-09,57.57,57.84,57.82,57.37,28566.0,58005.0,892080000
EMIND,1998-04-13,59.06,59.3,59.31,58.93,19644.0,57103.0,892425600
EMIND,1998-04-14,59.54,59.91,59.82,59.48,23930.0,60135.0,892512000
EMIND,1998-04-15,59.71,59.19,59.71,59.08,25692.0,63135.0,892598400
EMIND,1998-04-16,61.1,60.26,61.14,60.18,33668.0,57029.0,892684800
EMIND,1998-04-17,59.93,60.19,60.36,59.79,23765.0,57320.0,892771200
EMIND,1998-04-20,60.64,60.0,60.64,59.91,16844.0,57352.0,893030400
EMIND,1998-04-21,59.86,59.74,59.96,59.41,16235.0,58661.0,893116800
EMIND,1998-04-22,60.33,60.44,60.51,60.09,16843.0,58696.0,893203200
EMIND,1998-04-23,60.65,59.8,60.72,59.68,31395.0,56683.0,893289600
EMIND,1998-04-24,59.8,59.83,60.1,59.71,21359.0,57312.0,893376000
EMIND,1998-04-27,59.38,59.35,59.75,59.19,19495.0,57031.0,893635200
EMIND,1998-04-28,59.78,59.74,60.0,59.48,17844.0,57447.0,893721600
EMIND,1998-04-29,59.62,59.33,59.65,59.21,10902.0,58523.0,893808000
EMIND,1998-04-30,58.73,58.94,58.84,58.58,14746.0,60409.0,893894400
EMIND,1998-05-04,58.89,58.77,58.95,58.63,9990.0,61286.0,894240000
EMIND,1998-05-05,58.36,58.29,58.45,58.1,15382.0,62784.0,894326400
EMIND,1998-05-06,57.57,57.31,57.61,57.17,23228.0,66163.0,894412800
EMIND,1998-05-07,55.89,56.22,56.43,55.66,33744.0,69078.0,894499200
EMIND,1998-05-08,56.06,56.15,56.38,55.77,26003.0,70049.0,894585600
EMIND,1998-05-11,56.0,56.08,56.04,55.46,21863.0,67101.0,894844800
EMIND,1998-05-12,54.29,55.09,54.63,54.11,28533.0,69241.0,894931200
EMIND,1998-05-13,54.69,54.98,55.05,54.55,34374.0,77477.0,895017600
EMIND,1998-05-14,54.14,54.16,54.29,53.76,27470.0,81770.0,895104000
EMIND,1998-05-15,54.18,54.13,54.33,53.8,38733.0,83020.0,895190400
EMIND,1998-05-18,53.55,53.17,53.65,53.06,29515.0,79270.0,895449600
EMIND,1998-05-19,51.73,52.01,52.24,51.65,50072.0,83471.0,895536000
EMIND,1998-05-20,52.18,52.05,52.28,51.7,27665.0,83607.0,895622400
EMIND,1998-05-21,51.81,52.58,52.48,51.55,32795.0,85339.0,895708800
EMIND,1998-05-22,51.63,52.56,51.93,51.5,19316.0,87201.0,895795200
EMIND,1998-05-25,52.34,52.01,52.43,51.93,18079.0,88702.0,896054400
EMIND,1998-05-26,52.03,51.81,52.11,51.7,25357.0,89816.0,896140800
EMIND,1998-05-27,51.67,51.65,51.89,51.41,26380.0,88353.0,896227200
EMIND,1998-05-28,51.57,52.38,52.09,51.48,22278.0,91361.0,896313600
EMIND,1998-05-29,52.24,52.14,52.49,51.84,29682.0,93971.0,896400000
EMIND,1998-06-01,52.19,52.23,52.41,52.01,23833.0,94731.0,896659200
EMIND,1998-06-02,51.94,51.83,52.02,51.71,19814.0,94562.0,896745600
EMIND,1998-06-03,51.42,51.51,51.63,51.28,25153.0,93878.0,896832000
EMIND,1998-06-04,51.85,51.52,51.9,51.26,24706.0,91982.0,896918400
EMIND,1998-06-08,50.58,50.65,50.77,50.01,36725.0,96183.0,897264000
EMIND,1998-06-09,50.86,51.21,51.31,50.79,24467.0,94467.0,897350400
EMIND,1998-06-11,51.17,51.54,51.52,51.07,30755.0,94681.0,897523200
EMIND,1998-06-12,50.85,51.46,51.23,50.67,18526.0,95455.0,897609600
EMIND,1998-06-15,51.47,51.07,51.62,50.95,25321.0,92565.0,897868800
EMIND,1998-06-16,50.4,50.97,50.76,50.32,22448.0,84925.0,897955200
EMIND,1998-06-17,50.59,51.03,50.78,50.45,16333.0,82409.0,898041600
EMIND,1998-06-18,51.15,51.6,51.41,51.05,24312.0,80459.0,898128000
EMIND,1998-06-19,51.14,51.58,51.29,50.84,15206.0,80013.0,898214400
EMIND,1998-06-22,51.37,51.44,51.41,51.0,11762.0,81341.0,898473600
EMIND,1998-06-23,51.19,51.49,51.23,50.98,11058.0,81398.0,898560000
EMIND,1998-06-24,50.92,51.08,50.98,50.66,13204.0,80824.0,898646400
EMIND,1998-06-25,50.65,50.92,50.7,50.43,17764.0,80348.0,898732800
EMIND,1998-06-26,50.72,50.83,50.88,50.55,18435.0,78368.0,898819200
EMIND,1998-06-29,49.89,50.61,50.44,49.84,17814.0,77379.0,899078400
EMIND,1998-06-30,50.15,50.93,50.61,50.04,15573.0,77095.0,899164800
EMIND,1998-07-01,50.52,51.62,51.31,50.43,29781.0,76045.0,899251200
EMIND,1998-07-02,51.01,51.4,51.3,50.88,25413.0,76625.0,899337600
EMIND,1998-07-03,51.05,51.37,51.17,50.78,18305.0,76189.0,899424000
EMIND,1998-07-06,50.95,51.26,51.01,50.82,8377.0,75598.0,899683200
EMIND,1998-07-07,51.13,50.98,51.17,50.94,14929.0,75874.0,899769600
EMIND,1998-07-08,50.73,50.99,50.8,50.51,11471.0,75528.0,899856000
EMIND,1998-07-09,50.39,50.61,50.46,50.15,18757.0,74932.0,899942400
EMIND,1998-07-10,50.43,50.39,50.69,50.18,19782.0,73523.0,900028800
EMIND,1998-07-13,50.16,50.44,50.36,49.86,20065.0,73775.0,900288000
EMIND,1998-07-14,51.41,51.06,51.52,50.96,36989.0,71938.0,900374400
EMIND,1998-07-15,51.13,50.64,51.3,50.56,21890.0,73407.0,900460800
EMIND,1998-07-16,51.88,52.07,52.13,51.68,22417.0,63365.0,900547200
EMIND,1998-07-17,51.82,51.95,51.9,51.57,13509.0,64082.0,900633600
EMIND,1998-07-20,52.01,51.91,52.06,51.66,15478.0,62537.0,900892800
EMIND,1998-07-21,52.37,52.51,52.62,52.27,22390.0,63312.0,900979200
EMIND,1998-07-22,52.12,52.27,52.18,52.0,10797.0,62319.0,901065600
EMIND,1998-07-23,52.37,52.27,52.46,52.08,10944.0,62164.0,901152000
EMIND,1998-07-24,51.53,52.18,51.56,51.25,13865.0,60867.0,901238400
EMIND,1998-07-27,52.73,52.85,52.93,52.44,23484.0,61640.0,901497600
EMIND,1998-07-28,52.73,53.37,53.45,52.62,18013.0,61117.0,901584000
EMIND,1998-07-29,53.1,53.77,53.62,53.07,29778.0,62118.0,901670400
EMIND,1998-07-30,52.36,53.61,52.56,52.25,19457.0,63773.0,901756800
EMIND,1998-07-31,53.71,53.82,53.84,53.48,14409.0,65018.0,901843200
EMIND,1998-08-03,53.02,53.06,53.17,52.65,27439.0,64714.0,902102400
EMIND,1998-08-04,52.54,53.3,52.98,52.42,18833.0,64872.0,902188800
EMIND,1998-08-05,52.88,53.44,53.38,52.84,16211.0,65378.0,902275200
EMIND,1998-08-06,52.65,53.66,52.99,52.56,9142.0,65212.0,902361600
EMIND,1998-08-07,53.03,53.76,53.34,52.98,12697.0,65619.0,902448000
EMIND,1998-08-10,51.99,53.62,52.03,51.73,6320.0,66930.0,902707200
EMIND,1998-08-11,53.19,53.19,53.32,52.72,14880.0,66381.0,902793600
EMIND,1998-08-12,52.4,53.34,52.77,52.36,13268.0,68550.0,902880000
EMIND,1998-08-13,52.86,53.02,53.0,52.6,15919.0,68904.0,902966400
EMIND,1998-08-14,52.98,53.23,53.28,52.94,11956.0,70463.0,903052800
EMIND,1998-08-17,49.25,53.05,49.36,49.15,3910.0,69555.0,903312000
EMIND,1998-08-18,53.01,53.42,53.41,52.96,33967.0,65472.0,903398400
EMIND,1998-08-19,52.92,53.48,53.02,52.85,13841.0,66488.0,903484800
EMIND,1998-08-20,52.86,53.85,53.11,52.79,16955.0,66356.0,903571200
EMIND,1998-08-21,53.49,54.07,53.7,53.33,16309.0,66035.0,903657600
EMIND,1998-08-24,53.88,53.79,53.93,53.65,13586.0,67328.0,903916800
EMIND,1998-08-25,53.52,53.8,53.59,53.34,10928.0,68650.0,904003200
EMIND,1998-08-26,53.45,53.86,53.71,53.41,10588.0,69366.0,904089600
EMIND,1998-08-27,53.53,53.69,53.64,53.36,12850.0,70423.0,904176000
EMIND,1998-08-28,53.12,53.6,53.22,52.96,11724.0,72057.0,904262400
EMIND,1998-08-31,52.89,53.6,53.1,52.76,13937.0,73699.0,904521600
EMIND,1998-09-01,52.64,53.59,52.83,52.44,12997.0,74248.0,904608000
EMIND,1998-09-02,53.46,54.02,53.64,53.24,18697.0,74739.0,904694400
EMIND,1998-09-03,53.46,54.09,53.58,53.36,10307.0,75207.0,904780800
EMIND,1998-09-04,54.1,54.3,54.34,53.92,19004.0,77384.0,904867200
EMIND,1998-09-07,54.28,54.77,54.8,54.26,17249.0,79479.0,905126400
EMIND,1998-09-08,54.63,54.76,54.93,54.51,12798.0,82067.0,905212800
