symbol,date,open,close,high,low,vol,oi,month,day
FGFI,2012-12-03,1373.0,1319.0,1385.0,1315.0,360002.0,42921.0,12,3
FGFI,2012-12-04,1309.0,1311.0,1326.0,1296.0,693999.0,86108.0,12,4
FGFI,2012-12-05,1313.0,1331.0,1345.0,1311.0,767825.0,75601.0,12,5
FGFI,2012-12-06,1333.0,1325.0,1338.0,1320.0,505503.0,84925.0,12,6
FGFI,2012-12-07,1322.0,1331.0,1340.0,1319.0,453788.0,69853.0,12,7
FGFI,2012-12-10,1331.0,1336.0,1344.0,1331.0,317208.0,75832.0,12,10
FGFI,2012-12-11,1335.0,1293.0,1337.0,1286.0,815838.0,155114.0,12,11
FGFI,2012-12-12,1289.0,1299.0,1306.0,1283.0,881407.0,114518.0,12,12
FGFI,2012-12-13,1297.0,1289.0,1312.0,1282.0,997666.0,156341.0,12,13
FGFI,2012-12-14,1287.0,1304.0,1315.0,1283.0,968246.0,122821.0,12,14
FGFI,2012-12-17,1308.0,1328.0,1336.0,1308.0,1008714.0,118963.0,12,17
FGFI,2012-12-18,1329.0,1327.0,1340.0,1317.0,958573.0,124842.0,12,18
FGFI,2012-12-19,1325.0,1352.0,1354.0,1319.0,1404747.0,215474.0,12,19
FGFI,2012-12-20,1349.0,1351.0,1357.0,1343.0,1319509.0,203584.0,12,20
FGFI,2012-12-21,1347.0,1338.0,1356.0,1332.0,1000740.0,146830.0,12,21
FGFI,2012-12-24,1341.0,1351.0,1356.0,1339.0,683613.0,158769.0,12,24
FGFI,2012-12-25,1351.0,1358.0,1369.0,1345.0,871754.0,158498.0,12,25
FGFI,2012-12-26,1359.0,1360.0,1362.0,1352.0,546547.0,147089.0,12,26
FGFI,2012-12-27,1367.0,1361.0,1376.0,1358.0,537879.0,134121.0,12,27
FGFI,2012-12-28,1365.0,1361.0,1376.0,1351.0,706680.0,122001.0,12,28
FGFI,2012-12-31,1366.0,1381.0,1384.0,1363.0,336682.0,96998.0,12,31
FGFI,2013-01-04,1386.0,1439.0,1439.0,1381.0,607041.0,157337.0,1,4
FGFI,2013-01-07,1452.0,1457.0,1479.0,1446.0,874041.0,140834.0,1,7
FGFI,2013-01-08,1450.0,1470.0,1482.0,1441.0,1536411.0,194603.0,1,8
FGFI,2013-01-09,1469.0,1484.0,1484.0,1461.0,1136389.0,265255.0,1,9
FGFI,2013-01-10,1486.0,1472.0,1492.0,1464.0,1278671.0,228421.0,1,10
FGFI,2013-01-11,1471.0,1447.0,1474.0,1436.0,1037995.0,187999.0,1,11
FGFI,2013-01-14,1445.0,1510.0,1510.0,1445.0,1030454.0,296877.0,1,14
FGFI,2013-01-15,1528.0,1506.0,1535.0,1498.0,1627672.0,234718.0,1,15
FGFI,2013-01-16,1511.0,1517.0,1531.0,1470.0,2397133.0,314583.0,1,16
FGFI,2013-01-17,1518.0,1518.0,1526.0,1503.0,2276653.0,343547.0,1,17
FGFI,2013-01-18,1535.0,1518.0,1542.0,1508.0,2313719.0,312659.0,1,18
FGFI,2013-01-21,1517.0,1523.0,1540.0,1506.0,1915832.0,344919.0,1,21
FGFI,2013-01-22,1531.0,1519.0,1541.0,1505.0,2080374.0,317352.0,1,22
FGFI,2013-01-23,1519.0,1506.0,1523.0,1498.0,1528707.0,304400.0,1,23
FGFI,2013-01-24,1505.0,1493.0,1517.0,1479.0,1906211.0,283089.0,1,24
FGFI,2013-01-25,1499.0,1498.0,1502.0,1486.0,1390722.0,256982.0,1,25
FGFI,2013-01-28,1508.0,1532.0,1538.0,1504.0,1519249.0,334036.0,1,28
FGFI,2013-01-29,1534.0,1539.0,1542.0,1529.0,828481.0,330683.0,1,29
FGFI,2013-01-30,1549.0,1539.0,1554.0,1539.0,841134.0,321248.0,1,30
FGFI,2013-01-31,1546.0,1549.0,1563.0,1541.0,1553487.0,343061.0,1,31
FGFI,2013-02-01,1547.0,1557.0,1559.0,1544.0,890465.0,309835.0,2,1
FGFI,2013-02-04,1567.0,1597.0,1612.0,1563.0,1400593.0,335046.0,2,4
FGFI,2013-02-05,1596.0,1598.0,1611.0,1588.0,1058308.0,333302.0,2,5
FGFI,2013-02-06,1603.0,1593.0,1614.0,1587.0,1046366.0,329939.0,2,6
