symbol,date,open,close,high,low,volume,oi,month,day
JRFI,2013-11-18,3062.0,3043.0,3079.0,3026.0,15344.0,3236.0,11,18
JRFI,2013-11-19,3046.0,3068.0,3073.0,3040.0,5400.0,3789.0,11,19
JRFI,2013-11-20,3071.0,3059.0,3071.0,3050.0,1722.0,3011.0,11,20
JRFI,2013-11-21,3061.0,3063.0,3066.0,3056.0,579.0,2936.0,11,21
JRFI,2013-11-22,3065.0,3092.0,3097.0,3063.0,2062.0,3273.0,11,22
JRFI,2013-11-25,3098.0,3095.0,3106.0,3087.0,2054.0,2854.0,11,25
JRFI,2013-11-26,3093.0,3108.0,3108.0,3083.0,1098.0,2909.0,11,26
JRFI,2013-11-27,3106.0,3100.0,3125.0,3098.0,2025.0,2721.0,11,27
JRFI,2013-11-28,3098.0,3092.0,3099.0,3090.0,398.0,2607.0,11,28
JRFI,2013-11-29,3091.0,3098.0,3101.0,3085.0,367.0,2584.0,11,29
JRFI,2013-12-02,3094.0,3095.0,3100.0,3092.0,178.0,2529.0,12,2
JRFI,2013-12-03,3097.0,3092.0,3097.0,3090.0,224.0,2457.0,12,3
JRFI,2013-12-04,3096.0,3089.0,3096.0,3088.0,279.0,2262.0,12,4
JRFI,2013-12-05,3088.0,3082.0,3092.0,3077.0,726.0,2177.0,12,5
JRFI,2013-12-06,3079.0,3076.0,3084.0,3075.0,792.0,2188.0,12,6
JRFI,2013-12-09,3076.0,3077.0,3080.0,3076.0,202.0,2149.0,12,9
JRFI,2013-12-10,3071.0,3064.0,3080.0,3016.0,489.0,1937.0,12,10
JRFI,2013-12-11,3064.0,3054.0,3070.0,3035.0,1184.0,1729.0,12,11
JRFI,2013-12-12,3052.0,3091.0,3091.0,3051.0,674.0,1732.0,12,12
JRFI,2013-12-13,3082.0,3097.0,3112.0,3075.0,2123.0,1827.0,12,13
JRFI,2013-12-16,3099.0,3088.0,3109.0,3086.0,513.0,1752.0,12,16
JRFI,2013-12-17,3088.0,3083.0,3089.0,3078.0,386.0,1656.0,12,17
JRFI,2013-12-18,3083.0,3075.0,3083.0,3070.0,238.0,1633.0,12,18
JRFI,2013-12-19,3075.0,3076.0,3093.0,3073.0,165.0,1614.0,12,19
JRFI,2013-12-20,3075.0,3088.0,3088.0,3072.0,208.0,1592.0,12,20
JRFI,2013-12-23,3094.0,3088.0,3095.0,3086.0,138.0,1625.0,12,23
JRFI,2013-12-24,3086.0,3079.0,3087.0,3076.0,166.0,1614.0,12,24
JRFI,2013-12-25,3073.0,3080.0,3087.0,3063.0,344.0,1604.0,12,25
JRFI,2013-12-26,3082.0,3080.0,3088.0,3078.0,257.0,1581.0,12,26
JRFI,2013-12-27,3071.0,3082.0,3086.0,3068.0,31.0,1582.0,12,27
JRFI,2013-12-30,3079.0,3080.0,3084.0,3079.0,31.0,1571.0,12,30
JRFI,2013-12-31,3082.0,3073.0,3084.0,3070.0,83.0,1568.0,12,31
JRFI,2014-01-02,3080.0,3077.0,3081.0,3072.0,112.0,1567.0,1,2
JRFI,2014-01-03,3073.0,3077.0,3083.0,3068.0,232.0,1564.0,1,3
JRFI,2014-01-06,3077.0,3079.0,3079.0,3075.0,117.0,1512.0,1,6
JRFI,2014-01-07,3079.0,3092.0,3093.0,3079.0,113.0,1504.0,1,7
JRFI,2014-01-08,3092.0,3099.0,3116.0,3091.0,127.0,1495.0,1,8
JRFI,2014-01-09,3098.0,3100.0,3112.0,3090.0,95.0,1494.0,1,9
JRFI,2014-01-10,3099.0,3107.0,3108.0,3099.0,45.0,1501.0,1,10
JRFI,2014-01-13,3108.0,3109.0,3109.0,3104.0,68.0,1506.0,1,13
JRFI,2014-01-14,3114.0,3107.0,3114.0,3107.0,106.0,1503.0,1,14
JRFI,2014-01-15,3103.0,3107.0,3110.0,3097.0,111.0,1489.0,1,15
JRFI,2014-01-16,3105.0,3114.0,3114.0,3105.0,85.0,1509.0,1,16
JRFI,2014-01-17,3112.0,3114.0,3118.0,3109.0,103.0,1501.0,1,17
JRFI,2014-01-20,3111.0,3112.0,3118.0,3108.0,61.0,1489.0,1,20
JRFI,2014-01-21,3109.0,3107.0,3113.0,3103.0,98.0,1489.0,1,21
JRFI,2014-01-22,3112.0,3128.0,3180.0,3106.0,155.0,1490.0,1,22
JRFI,2014-01-23,3138.0,3130.0,3146.0,3127.0,201.0,1539.0,1,23
JRFI,2014-01-24,3129.0,3093.0,3130.0,3093.0,341.0,1538.0,1,24
JRFI,2014-01-27,3105.0,3096.0,3108.0,3091.0,140.0,1519.0,1,27
JRFI,2014-01-28,3092.0,3082.0,3103.0,3064.0,309.0,1514.0,1,28
JRFI,2014-01-29,3079.0,3062.0,3080.0,3062.0,65.0,1487.0,1,29
JRFI,2014-01-30,3044.0,3083.0,3094.0,3044.0,66.0,1470.0,1,30
JRFI,2014-02-07,3066.0,3083.0,3096.0,3066.0,40.0,1466.0,2,7
JRFI,2014-02-10,3089.0,3093.0,3100.0,3077.0,25.0,1465.0,2,10
JRFI,2014-02-11,3092.0,3089.0,3092.0,3080.0,53.0,1461.0,2,11
JRFI,2014-02-12,3086.0,3097.0,3104.0,3086.0,53.0,1462.0,2,12
JRFI,2014-02-13,3102.0,3070.0,3105.0,3061.0,374.0,1474.0,2,13
JRFI,2014-02-14,3072.0,3088.0,3088.0,3068.0,67.0,1473.0,2,14
JRFI,2014-02-17,3061.0,3079.0,3095.0,3061.0,60.0,1491.0,2,17
JRFI,2014-02-18,3085.0,3093.0,3109.0,3085.0,54.0,1469.0,2,18
JRFI,2014-02-19,3098.0,3099.0,3118.0,3092.0,620.0,1886.0,2,19
JRFI,2014-02-20,3091.0,3107.0,3116.0,3091.0,121.0,1941.0,2,20
JRFI,2014-02-21,3108.0,3105.0,3124.0,3105.0,38.0,1942.0,2,21
JRFI,2014-02-24,3091.0,3111.0,3116.0,3090.0,142.0,1992.0,2,24
JRFI,2014-02-25,3109.0,3115.0,3123.0,3105.0,218.0,2104.0,2,25
JRFI,2014-02-26,3118.0,3117.0,3122.0,3106.0,376.0,2371.0,2,26
JRFI,2014-02-27,3115.0,3109.0,3116.0,3102.0,124.0,2429.0,2,27
JRFI,2014-02-28,3111.0,3114.0,3121.0,3109.0,49.0,2455.0,2,28
JRFI,2014-03-03,3114.0,3113.0,3118.0,3106.0,191.0,2592.0,3,3
JRFI,2014-03-04,3112.0,3106.0,3114.0,3105.0,169.0,2641.0,3,4
JRFI,2014-03-05,3104.0,3106.0,3114.0,3095.0,51.0,2651.0,3,5
JRFI,2014-03-06,3105.0,3098.0,3108.0,3098.0,28.0,2654.0,3,6
JRFI,2014-03-07,3097.0,3098.0,3098.0,3091.0,14.0,2649.0,3,7
JRFI,2014-03-10,3096.0,3105.0,3123.0,3094.0,305.0,2687.0,3,10
JRFI,2014-03-11,3114.0,3109.0,3114.0,3098.0,185.0,2544.0,3,11
JRFI,2014-03-12,3122.0,3118.0,3122.0,3107.0,70.0,2554.0,3,12
JRFI,2014-03-13,3117.0,3116.0,3118.0,3116.0,19.0,2555.0,3,13
JRFI,2014-03-14,3114.0,3111.0,3121.0,3111.0,88.0,2441.0,3,14
JRFI,2014-03-17,3112.0,3111.0,3114.0,3109.0,100.0,2458.0,3,17
JRFI,2014-03-18,3112.0,3115.0,3121.0,3112.0,58.0,2458.0,3,18
JRFI,2014-03-19,3116.0,3115.0,3119.0,3112.0,16.0,2457.0,3,19
JRFI,2014-03-20,3115.0,3115.0,3115.0,3115.0,22.0,2435.0,3,20
