symbol,date,open,close,high,low,volume,oi,timestamp
LRFI,2014-07-08,2760.0,2811.0,2815.0,2760.0,13296.0,5042.0,1404777600
LRFI,2014-07-09,2819.0,2802.0,2823.0,2797.0,4679.0,5684.0,1404864000
LRFI,2014-07-10,2803.0,2802.0,2809.0,2793.0,1141.0,5555.0,1404950400
LRFI,2014-07-11,2804.0,2825.0,2842.0,2802.0,2072.0,5416.0,1405036800
LRFI,2014-07-14,2826.0,2828.0,2837.0,2816.0,901.0,5275.0,1405296000
LRFI,2014-07-15,2830.0,2829.0,2835.0,2823.0,684.0,5119.0,1405382400
LRFI,2014-07-16,2831.0,2826.0,2831.0,2814.0,531.0,5044.0,1405468800
LRFI,2014-07-17,2822.0,2813.0,2823.0,2805.0,548.0,5107.0,1405555200
LRFI,2014-07-18,2810.0,2814.0,2822.0,2805.0,675.0,4886.0,1405641600
LRFI,2014-07-21,2807.0,2818.0,2821.0,2806.0,243.0,4863.0,1405900800
LRFI,2014-07-22,2815.0,2821.0,2827.0,2814.0,370.0,4950.0,1405987200
LRFI,2014-07-23,2821.0,2818.0,2823.0,2814.0,265.0,5019.0,1406073600
LRFI,2014-07-24,2820.0,2838.0,2844.0,2818.0,1552.0,5590.0,1406160000
LRFI,2014-07-25,2835.0,2870.0,2872.0,2834.0,1667.0,6380.0,1406246400
LRFI,2014-07-28,2864.0,2876.0,2877.0,2856.0,1364.0,6666.0,1406505600
LRFI,2014-07-29,2873.0,2883.0,2901.0,2868.0,2697.0,6955.0,1406592000
LRFI,2014-07-30,2882.0,2878.0,2887.0,2873.0,1299.0,6901.0,1406678400
LRFI,2014-07-31,2877.0,2869.0,2882.0,2864.0,1252.0,6862.0,1406764800
LRFI,2014-08-01,2872.0,2861.0,2872.0,2858.0,614.0,6951.0,1406851200
LRFI,2014-08-04,2864.0,2852.0,2874.0,2849.0,769.0,7061.0,1407110400
LRFI,2014-08-05,2854.0,2844.0,2856.0,2843.0,515.0,7108.0,1407196800
LRFI,2014-08-06,2846.0,2848.0,2853.0,2841.0,694.0,7005.0,1407283200
LRFI,2014-08-07,2850.0,2839.0,2857.0,2835.0,728.0,6850.0,1407369600
LRFI,2014-08-08,2840.0,2844.0,2849.0,2835.0,601.0,6525.0,1407456000
LRFI,2014-08-11,2851.0,2853.0,2873.0,2842.0,550.0,6469.0,1407715200
LRFI,2014-08-12,2854.0,2855.0,2864.0,2849.0,741.0,6259.0,1407801600
LRFI,2014-08-13,2855.0,2860.0,2870.0,2854.0,588.0,6289.0,1407888000
LRFI,2014-08-14,2855.0,2848.0,2855.0,2840.0,623.0,6026.0,1407974400
