symbol,date,open,close,high,low,volume,oi,timestamp
MAFI,2014-06-17,2868.0,2854.0,2897.0,2826.0,1053.0,601.0,1402963200
MAFI,2014-06-18,2858.0,2896.0,2902.0,2833.0,1059.0,1088.0,1403049600
MAFI,2014-06-19,2901.0,2901.0,2929.0,2890.0,1766.0,1478.0,1403136000
MAFI,2014-06-20,2905.0,2908.0,2919.0,2896.0,752.0,1489.0,1403222400
MAFI,2014-06-23,2910.0,2910.0,2950.0,2896.0,1240.0,1448.0,1403481600
MAFI,2014-06-24,2906.0,2939.0,2948.0,2903.0,845.0,1481.0,1403568000
MAFI,2014-06-25,2941.0,2987.0,2991.0,2933.0,2174.0,2096.0,1403654400
MAFI,2014-06-26,2990.0,3004.0,3020.0,2970.0,2610.0,1993.0,1403740800
MAFI,2014-06-27,3004.0,2987.0,3008.0,2978.0,1420.0,1993.0,1403827200
MAFI,2014-06-30,2983.0,2991.0,3005.0,2966.0,1510.0,2004.0,1404086400
MAFI,2014-07-01,2994.0,2977.0,3002.0,2963.0,1824.0,2102.0,1404172800
MAFI,2014-07-02,2982.0,2965.0,2992.0,2911.0,1575.0,2179.0,1404259200
MAFI,2014-07-03,2958.0,2962.0,2975.0,2946.0,963.0,2400.0,1404345600
MAFI,2014-07-04,2961.0,2960.0,2972.0,2951.0,727.0,2375.0,1404432000
MAFI,2014-07-07,2956.0,3012.0,3013.0,2954.0,2361.0,2902.0,1404691200
MAFI,2014-07-08,3013.0,3001.0,3038.0,2996.0,3039.0,3456.0,1404777600
MAFI,2014-07-09,3000.0,2958.0,3003.0,2958.0,1958.0,3005.0,1404864000
MAFI,2014-07-10,2956.0,2937.0,2964.0,2931.0,1676.0,2723.0,1404950400
MAFI,2014-07-11,2940.0,2919.0,2958.0,2915.0,1166.0,2758.0,1405036800
MAFI,2014-07-14,2919.0,2904.0,2926.0,2825.0,1057.0,2651.0,1405296000
MAFI,2014-07-15,2908.0,2900.0,2920.0,2882.0,643.0,2749.0,1405382400
MAFI,2014-07-16,2905.0,2880.0,2905.0,2873.0,560.0,2655.0,1405468800
MAFI,2014-07-17,2880.0,2912.0,2932.0,2875.0,1276.0,2745.0,1405555200
MAFI,2014-07-18,2915.0,2866.0,2925.0,2842.0,1361.0,2579.0,1405641600
MAFI,2014-07-21,2866.0,2863.0,2879.0,2851.0,521.0,2558.0,1405900800
MAFI,2014-07-22,2866.0,2880.0,2890.0,2851.0,747.0,2489.0,1405987200
MAFI,2014-07-23,2880.0,2873.0,2897.0,2835.0,743.0,2445.0,1406073600
MAFI,2014-07-24,2875.0,2876.0,2895.0,2850.0,537.0,2454.0,1406160000
MAFI,2014-07-25,2875.0,2892.0,2896.0,2872.0,470.0,2510.0,1406246400
MAFI,2014-07-28,2897.0,2940.0,2943.0,2862.0,1105.0,2563.0,1406505600
MAFI,2014-07-29,2934.0,2929.0,2948.0,2925.0,550.0,2479.0,1406592000
MAFI,2014-07-30,2921.0,2932.0,2940.0,2903.0,835.0,2452.0,1406678400
MAFI,2014-07-31,2921.0,2917.0,2943.0,2915.0,513.0,2428.0,1406764800
MAFI,2014-08-01,2900.0,2882.0,2912.0,2881.0,1046.0,2093.0,1406851200
MAFI,2014-08-04,2880.0,2901.0,2906.0,2875.0,387.0,2077.0,1407110400
MAFI,2014-08-05,2901.0,2905.0,2919.0,2900.0,702.0,2063.0,1407196800
MAFI,2014-08-06,2901.0,2889.0,2901.0,2831.0,443.0,2018.0,1407283200
MAFI,2014-08-07,2884.0,2883.0,2987.0,2883.0,880.0,1886.0,1407369600
MAFI,2014-08-08,2883.0,2935.0,2937.0,2883.0,906.0,1985.0,1407456000
MAFI,2014-08-11,2932.0,2925.0,2956.0,2916.0,827.0,1851.0,1407715200
MAFI,2014-08-12,2910.0,2917.0,2937.0,2901.0,752.0,1758.0,1407801600
MAFI,2014-08-13,2936.0,2990.0,3012.0,2933.0,1874.0,2043.0,1407888000
MAFI,2014-08-14,2989.0,2995.0,2999.0,2970.0,1137.0,2149.0,1407974400
MAFI,2014-08-15,2988.0,2976.0,2998.0,2958.0,945.0,2076.0,1408060800
MAFI,2014-08-18,2975.0,2978.0,2986.0,2961.0,876.0,2124.0,1408320000
MAFI,2014-08-19,2974.0,2987.0,2997.0,2970.0,1592.0,2581.0,1408406400
MAFI,2014-08-20,2987.0,2968.0,2987.0,2963.0,809.0,2406.0,1408492800
MAFI,2014-08-21,2972.0,2964.0,2984.0,2960.0,733.0,2299.0,1408579200
MAFI,2014-08-22,2963.0,2943.0,2970.0,2940.0,774.0,2112.0,1408665600
MAFI,2014-08-25,2942.0,2891.0,2945.0,2890.0,1741.0,2404.0,1408924800
MAFI,2014-08-26,2882.0,2840.0,2889.0,2832.0,3297.0,3540.0,1409011200
MAFI,2014-08-27,2840.0,2858.0,2874.0,2840.0,1745.0,4094.0,1409097600
MAFI,2014-08-28,2859.0,2841.0,2873.0,2836.0,1635.0,4476.0,1409184000
MAFI,2014-08-29,2841.0,2826.0,2843.0,2793.0,3253.0,5411.0,1409270400
MAFI,2014-09-01,2825.0,2848.0,2866.0,2825.0,1704.0,5415.0,1409529600
