symbol,date,open,close,high,low,volume,oi,timestamp
OIFI,2012-09-19,10400.0,10420.0,10420.0,10380.0,3.0,1.0,1348012800
OIFI,2012-09-20,10430.0,10430.0,10430.0,10430.0,1.0,1.0,1348099200
OIFI,2012-09-26,10018.0,10794.0,10794.0,10012.0,4.0,1.0,1348617600
OIFI,2012-10-10,10130.0,10130.0,10130.0,10130.0,7.0,2.0,1349827200
OIFI,2012-10-11,10180.0,10180.0,10180.0,10180.0,3.0,3.0,1349913600
OIFI,2012-10-15,10100.0,10120.0,10132.0,10034.0,14.0,16.0,1350259200
OIFI,2012-10-16,10180.0,10180.0,10180.0,10180.0,1.0,15.0,1350345600
OIFI,2012-10-17,10122.0,10122.0,10168.0,10122.0,3.0,15.0,1350432000
OIFI,2012-10-18,10152.0,10152.0,10152.0,10152.0,1.0,14.0,1350518400
OIFI,2012-10-23,10152.0,10150.0,10152.0,10150.0,6.0,18.0,1350950400
OIFI,2012-10-24,10100.0,10104.0,10114.0,10100.0,3.0,19.0,1351036800
OIFI,2012-10-26,9896.0,10050.0,10050.0,9896.0,4.0,18.0,1351209600
OIFI,2012-10-29,10090.0,10050.0,10090.0,10000.0,5.0,23.0,1351468800
OIFI,2012-11-01,10192.0,10016.0,10192.0,10016.0,3.0,25.0,1351728000
OIFI,2012-11-02,10020.0,9982.0,10084.0,9848.0,35.0,45.0,1351814400
OIFI,2012-11-05,9872.0,9990.0,9990.0,9756.0,20.0,53.0,1352073600
OIFI,2012-11-06,9850.0,9850.0,9850.0,9850.0,1.0,53.0,1352160000
OIFI,2012-11-07,9862.0,9902.0,9918.0,9862.0,4.0,52.0,1352246400
OIFI,2012-11-08,9900.0,9900.0,9900.0,9900.0,1.0,53.0,1352332800
OIFI,2012-11-09,9852.0,9850.0,9852.0,9850.0,2.0,53.0,1352419200
OIFI,2012-11-12,9652.0,9746.0,9748.0,9600.0,4.0,55.0,1352678400
OIFI,2012-11-13,9600.0,9590.0,9600.0,9590.0,3.0,55.0,1352764800
OIFI,2012-11-14,9680.0,9670.0,9680.0,9670.0,2.0,56.0,1352851200
OIFI,2012-11-15,9750.0,9750.0,9750.0,9750.0,2.0,56.0,1352937600
OIFI,2012-11-16,9538.0,9620.0,9680.0,9538.0,4.0,58.0,1353024000
OIFI,2012-11-19,9650.0,9700.0,9700.0,9650.0,102.0,158.0,1353283200
OIFI,2012-11-21,9750.0,9750.0,9750.0,9750.0,4.0,155.0,1353456000
OIFI,2012-11-22,9780.0,9700.0,9780.0,9620.0,4.0,155.0,1353542400
OIFI,2012-11-23,9660.0,9780.0,9780.0,9660.0,3.0,155.0,1353628800
OIFI,2012-11-26,9800.0,9724.0,9800.0,9708.0,102.0,150.0,1353888000
OIFI,2012-11-27,9760.0,9746.0,9760.0,9710.0,20.0,141.0,1353974400
OIFI,2012-11-28,9708.0,9742.0,9760.0,9708.0,22.0,138.0,1354060800
OIFI,2012-11-29,9748.0,9756.0,9756.0,9676.0,16.0,147.0,1354147200
OIFI,2012-11-30,9728.0,9726.0,9797.0,9718.0,240.0,191.0,1354233600
OIFI,2012-12-03,9763.0,9800.0,9807.0,9749.0,41.0,173.0,1354492800
OIFI,2012-12-04,9780.0,9794.0,9796.0,9755.0,19.0,170.0,1354579200
OIFI,2012-12-05,9857.0,9881.0,9901.0,9795.0,31.0,177.0,1354665600
OIFI,2012-12-06,9923.0,9915.0,9936.0,9911.0,43.0,188.0,1354752000
OIFI,2012-12-07,9924.0,9930.0,9930.0,9923.0,16.0,187.0,1354838400
OIFI,2012-12-10,9928.0,9928.0,9928.0,9928.0,1.0,188.0,1355097600
OIFI,2012-12-11,9924.0,9924.0,9924.0,9924.0,1.0,187.0,1355184000
OIFI,2012-12-12,9610.0,9835.0,9876.0,9610.0,21.0,185.0,1355270400
OIFI,2012-12-13,9874.0,9847.0,9882.0,9830.0,7.0,185.0,1355356800
OIFI,2012-12-14,9897.0,9910.0,9960.0,9868.0,12.0,187.0,1355443200
OIFI,2012-12-17,9910.0,9951.0,9951.0,9910.0,4.0,187.0,1355702400
OIFI,2012-12-18,10014.0,9873.0,10016.0,9873.0,9.0,187.0,1355788800
OIFI,2012-12-19,9863.0,9896.0,9896.0,9863.0,6.0,191.0,1355875200
OIFI,2012-12-20,9869.0,9876.0,9879.0,9777.0,26.0,205.0,1355961600
OIFI,2012-12-21,9850.0,9894.0,9898.0,9827.0,43.0,216.0,1356048000
OIFI,2012-12-24,9970.0,9910.0,9970.0,9894.0,13.0,221.0,1356307200
OIFI,2012-12-25,9901.0,9922.0,9959.0,9886.0,10.0,224.0,1356393600
OIFI,2012-12-26,9960.0,9917.0,9965.0,9915.0,62.0,254.0,1356480000
OIFI,2012-12-27,9937.0,10015.0,10018.0,9931.0,98.0,302.0,1356566400
OIFI,2012-12-28,9986.0,9906.0,10058.0,9894.0,661.0,739.0,1356652800
OIFI,2012-12-31,9908.0,9860.0,9967.0,9833.0,236.0,756.0,1356912000
OIFI,2013-01-04,9931.0,9998.0,10015.0,9787.0,228.0,785.0,1357257600
OIFI,2013-01-07,9968.0,9884.0,10154.0,9873.0,576.0,1080.0,1357516800
OIFI,2013-01-08,9817.0,9858.0,9920.0,9817.0,131.0,1077.0,1357603200
OIFI,2013-01-09,9879.0,9891.0,9896.0,9856.0,154.0,1099.0,1357689600
OIFI,2013-01-10,9905.0,9981.0,10046.0,9904.0,1003.0,1487.0,1357776000
OIFI,2013-01-11,9970.0,9944.0,10028.0,9928.0,783.0,1730.0,1357862400
OIFI,2013-01-14,10028.0,10001.0,10087.0,9975.0,181.0,1748.0,1358121600
OIFI,2013-01-15,10014.0,9995.0,10071.0,9989.0,793.0,2072.0,1358208000
OIFI,2013-01-16,10036.0,9986.0,10036.0,9972.0,490.0,2385.0,1358294400
OIFI,2013-01-17,10020.0,9974.0,10028.0,9964.0,288.0,2518.0,1358380800
OIFI,2013-01-18,10004.0,9992.0,10004.0,9952.0,490.0,2792.0,1358467200
OIFI,2013-01-21,10000.0,10021.0,10021.0,9974.0,857.0,2852.0,1358726400
OIFI,2013-01-22,10016.0,10016.0,10035.0,9995.0,1063.0,3414.0,1358812800
OIFI,2013-01-23,10029.0,10006.0,10037.0,9991.0,737.0,3710.0,1358899200
OIFI,2013-01-24,9968.0,9884.0,9980.0,9862.0,723.0,3738.0,1358985600
OIFI,2013-01-25,9937.0,9931.0,9947.0,9880.0,581.0,4030.0,1359072000
OIFI,2013-01-28,9936.0,9928.0,9939.0,9895.0,591.0,4389.0,1359331200
OIFI,2013-01-29,9961.0,9937.0,9969.0,9925.0,210.0,4437.0,1359417600
OIFI,2013-01-30,9943.0,9979.0,9985.0,9943.0,860.0,4685.0,1359504000
OIFI,2013-01-31,10020.0,9977.0,10023.0,9966.0,2240.0,5947.0,1359590400
OIFI,2013-02-01,9990.0,9962.0,9991.0,9938.0,1985.0,6810.0,1359676800
OIFI,2013-02-04,9980.0,9996.0,10007.0,9958.0,708.0,6813.0,1359936000
OIFI,2013-02-05,9995.0,9947.0,9999.0,9939.0,817.0,6714.0,1360022400
OIFI,2013-02-06,9948.0,9935.0,9965.0,9931.0,511.0,6777.0,1360108800
OIFI,2013-02-07,9905.0,9922.0,9926.0,9890.0,1065.0,7208.0,1360195200
OIFI,2013-02-08,9905.0,9892.0,9940.0,9892.0,813.0,7526.0,1360281600
OIFI,2013-02-18,9869.0,9848.0,9878.0,9837.0,2112.0,8316.0,1361145600
OIFI,2013-02-19,9892.0,9890.0,9946.0,9862.0,2686.0,9788.0,1361232000
OIFI,2013-02-20,9906.0,9842.0,9912.0,9813.0,6337.0,12648.0,1361318400
OIFI,2013-02-21,9812.0,9817.0,9830.0,9753.0,3320.0,11884.0,1361404800
OIFI,2013-02-22,9816.0,9827.0,9862.0,9810.0,1901.0,11921.0,1361491200
OIFI,2013-02-25,9755.0,9688.0,9800.0,9644.0,6083.0,13808.0,1361750400
OIFI,2013-02-26,9666.0,9637.0,9706.0,9637.0,2645.0,14215.0,1361836800
OIFI,2013-02-27,9634.0,9683.0,9692.0,9616.0,1781.0,14720.0,1361923200
OIFI,2013-02-28,9998.0,9697.0,10003.0,9674.0,3315.0,14494.0,1362009600
OIFI,2013-03-01,9675.0,9679.0,9723.0,9633.0,5060.0,17538.0,1362096000
OIFI,2013-03-04,9691.0,9674.0,9701.0,9662.0,1202.0,17533.0,1362355200
OIFI,2013-03-05,9680.0,9698.0,9715.0,9670.0,1225.0,17749.0,1362441600
OIFI,2013-03-06,9703.0,9709.0,9723.0,9687.0,1445.0,17956.0,1362528000
OIFI,2013-03-07,9711.0,9690.0,9713.0,9683.0,1612.0,18243.0,1362614400
