symbol,date,open,close,high,low,volume,oi,month,day
PFFI,2020-10-12,5796.0,5832.0,5832.0,5751.0,53751.0,20782.0,10,12
PFFI,2020-10-13,5929.0,6041.0,6041.0,5910.0,550744.0,82293.0,10,13
PFFI,2020-10-14,6052.0,6101.0,6133.0,5993.0,315861.0,93586.0,10,14
PFFI,2020-10-15,6121.0,6264.0,6268.0,6108.0,562749.0,172154.0,10,15
PFFI,2020-10-16,6221.0,6452.0,6452.0,6221.0,1306382.0,256321.0,10,16
PFFI,2020-10-19,6459.0,6593.0,6594.0,6432.0,1472934.0,324332.0,10,19
PFFI,2020-10-20,6598.0,6561.0,6614.0,6480.0,1396442.0,313003.0,10,20
PFFI,2020-10-21,6533.0,6497.0,6583.0,6487.0,796951.0,294236.0,10,21
PFFI,2020-10-22,6527.0,6270.0,6541.0,6270.0,1231137.0,232148.0,10,22
PFFI,2020-10-23,6249.0,6235.0,6311.0,6212.0,653145.0,179617.0,10,23
PFFI,2020-10-26,6234.0,6251.0,6319.0,6225.0,481381.0,176677.0,10,26
PFFI,2020-10-27,6216.0,6142.0,6283.0,6136.0,454505.0,174618.0,10,27
PFFI,2020-10-28,6149.0,6176.0,6204.0,6124.0,358186.0,167623.0,10,28
PFFI,2020-10-29,6129.0,6057.0,6174.0,6051.0,317483.0,156489.0,10,29
PFFI,2020-10-30,6007.0,6015.0,6098.0,5995.0,240747.0,142618.0,10,30
PFFI,2020-11-02,6009.0,6092.0,6170.0,6009.0,382549.0,146750.0,11,2
PFFI,2020-11-03,6116.0,6075.0,6160.0,6073.0,196053.0,149736.0,11,3
PFFI,2020-11-04,6109.0,6065.0,6113.0,6025.0,158943.0,143993.0,11,4
PFFI,2020-11-05,6079.0,5982.0,6098.0,5966.0,160613.0,152491.0,11,5
PFFI,2020-11-06,5990.0,5887.0,6004.0,5854.0,265779.0,154123.0,11,6
PFFI,2020-11-09,5881.0,5902.0,5926.0,5858.0,154026.0,150947.0,11,9
PFFI,2020-11-10,6037.0,6005.0,6123.0,5946.0,337146.0,141878.0,11,10
PFFI,2020-11-11,6021.0,6065.0,6110.0,6004.0,218193.0,144945.0,11,11
PFFI,2020-11-12,6079.0,6047.0,6134.0,6037.0,195439.0,152666.0,11,12
PFFI,2020-11-13,6040.0,5956.0,6069.0,5934.0,169617.0,150541.0,11,13
PFFI,2020-11-16,5904.0,5965.0,5990.0,5894.0,176334.0,150731.0,11,16
PFFI,2020-11-17,5988.0,5968.0,6032.0,5941.0,158663.0,152235.0,11,17
PFFI,2020-11-18,5960.0,6000.0,6024.0,5925.0,150205.0,152646.0,11,18
PFFI,2020-11-19,6029.0,5994.0,6029.0,5976.0,106661.0,151002.0,11,19
PFFI,2020-11-20,6000.0,6006.0,6050.0,5975.0,149966.0,145885.0,11,20
PFFI,2020-11-23,6003.0,6040.0,6080.0,5990.0,109405.0,148200.0,11,23
PFFI,2020-11-24,6048.0,6100.0,6106.0,6028.0,163568.0,154133.0,11,24
PFFI,2020-11-25,6094.0,6100.0,6144.0,6066.0,142572.0,149837.0,11,25
PFFI,2020-11-26,6100.0,6065.0,6130.0,6047.0,101990.0,148960.0,11,26
PFFI,2020-11-27,6054.0,6097.0,6101.0,6041.0,78324.0,145354.0,11,27
PFFI,2020-11-30,6104.0,6017.0,6131.0,6007.0,122171.0,137085.0,11,30
PFFI,2020-12-01,6033.0,6031.0,6061.0,6013.0,63277.0,138144.0,12,1
PFFI,2020-12-02,6037.0,5947.0,6051.0,5944.0,104248.0,135390.0,12,2
PFFI,2020-12-03,5947.0,5989.0,6015.0,5910.0,108942.0,137741.0,12,3
PFFI,2020-12-04,5991.0,6093.0,6099.0,5967.0,169922.0,127486.0,12,4
PFFI,2020-12-07,6107.0,6248.0,6250.0,6074.0,185551.0,131241.0,12,7
PFFI,2020-12-08,6244.0,6183.0,6286.0,6169.0,168542.0,128411.0,12,8
PFFI,2020-12-09,6201.0,6192.0,6264.0,6151.0,126576.0,124690.0,12,9
PFFI,2020-12-10,6199.0,6167.0,6240.0,6161.0,101746.0,121351.0,12,10
PFFI,2020-12-11,6185.0,6229.0,6270.0,6161.0,137777.0,120435.0,12,11
PFFI,2020-12-14,6223.0,6344.0,6362.0,6223.0,168935.0,125187.0,12,14
PFFI,2020-12-15,6362.0,6279.0,6362.0,6207.0,110145.0,115935.0,12,15
PFFI,2020-12-16,6291.0,6271.0,6310.0,6248.0,60355.0,112495.0,12,16
PFFI,2020-12-17,6283.0,6339.0,6339.0,6271.0,78009.0,116946.0,12,17
PFFI,2020-12-18,6339.0,6319.0,6392.0,6285.0,95701.0,114158.0,12,18
PFFI,2020-12-21,6321.0,6267.0,6337.0,6210.0,84580.0,106128.0,12,21
PFFI,2020-12-22,6267.0,6217.0,6304.0,6166.0,113169.0,96034.0,12,22
PFFI,2020-12-23,6240.0,6227.0,6263.0,6136.0,93698.0,93827.0,12,23
PFFI,2020-12-24,6259.0,6291.0,6291.0,6217.0,54979.0,96215.0,12,24
PFFI,2020-12-25,6284.0,6305.0,6340.0,6263.0,91170.0,98021.0,12,25
PFFI,2020-12-28,6322.0,6257.0,6327.0,6234.0,84548.0,96770.0,12,28
PFFI,2020-12-29,6283.0,6186.0,6287.0,6164.0,80488.0,99684.0,12,29
PFFI,2020-12-30,6189.0,6283.0,6283.0,6185.0,85923.0,94123.0,12,30
PFFI,2020-12-31,6286.0,6423.0,6451.0,6255.0,155052.0,114127.0,12,31
PFFI,2021-01-04,6400.0,6539.0,6560.0,6400.0,81522.0,122492.0,1,4
PFFI,2021-01-05,6523.0,6595.0,6696.0,6521.0,244309.0,133456.0,1,5
PFFI,2021-01-06,6610.0,6715.0,6746.0,6581.0,200087.0,134737.0,1,6
PFFI,2021-01-07,6702.0,6848.0,6866.0,6675.0,168231.0,147993.0,1,7
PFFI,2021-01-08,6843.0,6806.0,6910.0,6726.0,179863.0,139205.0,1,8
PFFI,2021-01-11,6816.0,6575.0,6819.0,6552.0,232768.0,120726.0,1,11
PFFI,2021-01-12,6581.0,6649.0,6664.0,6516.0,117967.0,119107.0,1,12
PFFI,2021-01-13,6660.0,6729.0,6773.0,6629.0,153835.0,120155.0,1,13
PFFI,2021-01-14,6715.0,6600.0,6741.0,6597.0,141899.0,113507.0,1,14
PFFI,2021-01-15,6590.0,6580.0,6685.0,6551.0,134060.0,118573.0,1,15
PFFI,2021-01-18,6582.0,6629.0,6654.0,6538.0,108050.0,119398.0,1,18
PFFI,2021-01-19,6628.0,6648.0,6783.0,6607.0,189747.0,123747.0,1,19
PFFI,2021-01-20,6661.0,6662.0,6714.0,6613.0,106384.0,123010.0,1,20
PFFI,2021-01-21,6665.0,6619.0,6729.0,6615.0,132250.0,123431.0,1,21
PFFI,2021-01-22,6619.0,6500.0,6659.0,6483.0,154509.0,122407.0,1,22
PFFI,2021-01-25,6466.0,6517.0,6542.0,6464.0,90943.0,114571.0,1,25
PFFI,2021-01-26,6516.0,6460.0,6583.0,6452.0,76889.0,112432.0,1,26
PFFI,2021-01-27,6476.0,6542.0,6551.0,6446.0,81774.0,112760.0,1,27
PFFI,2021-01-28,6512.0,6465.0,6550.0,6431.0,93369.0,109845.0,1,28
PFFI,2021-01-29,6477.0,6623.0,6628.0,6475.0,110495.0,107273.0,1,29
