symbol,date,open,close,high,low,volume,oi,timestamp
PMFI,2012-01-17,2219.0,2219.0,2219.0,2219.0,1.0,1.0,1326758400
PMFI,2012-01-20,2218.0,2204.0,2218.0,2204.0,3.0,3.0,1327017600
PMFI,2012-01-30,2220.0,2219.0,2220.0,2200.0,4.0,6.0,1327881600
PMFI,2012-01-31,2206.0,2200.0,2210.0,2198.0,24.0,23.0,1327968000
PMFI,2012-02-01,2207.0,2204.0,2207.0,2200.0,18.0,37.0,1328054400
PMFI,2012-02-02,2198.0,2202.0,2202.0,2198.0,2.0,37.0,1328140800
PMFI,2012-02-03,2200.0,2206.0,2211.0,2200.0,13.0,40.0,1328227200
PMFI,2012-02-06,2222.0,2220.0,2225.0,2208.0,48.0,62.0,1328486400
PMFI,2012-02-07,2223.0,2208.0,2223.0,2204.0,26.0,73.0,1328572800
PMFI,2012-02-08,2216.0,2215.0,2216.0,2206.0,24.0,88.0,1328659200
PMFI,2012-02-09,2213.0,2205.0,2213.0,2205.0,31.0,109.0,1328745600
PMFI,2012-02-10,2200.0,2200.0,2207.0,2200.0,14.0,113.0,1328832000
PMFI,2012-02-13,2206.0,2208.0,2208.0,2206.0,2.0,113.0,1329091200
PMFI,2012-02-14,2203.0,2206.0,2208.0,2201.0,13.0,122.0,1329177600
PMFI,2012-02-15,2201.0,2199.0,2201.0,2191.0,7.0,127.0,1329264000
PMFI,2012-02-16,2203.0,2200.0,2203.0,2196.0,3.0,125.0,1329350400
PMFI,2012-02-17,2201.0,2200.0,2204.0,2200.0,11.0,133.0,1329436800
PMFI,2012-02-20,2209.0,2203.0,2209.0,2200.0,18.0,143.0,1329696000
PMFI,2012-02-21,2204.0,2201.0,2204.0,2201.0,6.0,147.0,1329782400
PMFI,2012-02-22,2203.0,2204.0,2206.0,2202.0,9.0,152.0,1329868800
PMFI,2012-02-23,2203.0,2201.0,2203.0,2201.0,11.0,157.0,1329955200
PMFI,2012-02-24,2202.0,2201.0,2202.0,2201.0,2.0,158.0,1330041600
PMFI,2012-02-27,2200.0,2201.0,2202.0,2200.0,7.0,161.0,1330300800
PMFI,2012-02-28,2200.0,2201.0,2203.0,2200.0,67.0,201.0,1330387200
PMFI,2012-02-29,2202.0,2238.0,2238.0,2202.0,198.0,338.0,1330473600
PMFI,2012-03-01,2218.0,2223.0,2229.0,2213.0,60.0,351.0,1330560000
