symbol,date,open,close,high,low,volume,position,month,day
PRFI,2024-08-30,6555,6605,6648,6492,168599,26506,8,30
PRFI,2024-09-02,6621,6380,6625,6365,166694,39341,9,2
PRFI,2024-09-03,6388,6391,6435,6338,134798,41581,9,3
PRFI,2024-09-04,6343,6295,6371,6246,130442,45568,9,4
PRFI,2024-09-05,6296,6231,6351,6222,88787,43904,9,5
PRFI,2024-09-06,6248,6225,6301,6163,162320,45924,9,6
PRFI,2024-09-09,6232,6093,6232,6046,148735,56461,9,9
PRFI,2024-09-10,6085,5919,6096,5919,171267,59509,9,10
PRFI,2024-09-11,5917,6006,6093,5741,512752,69556,9,11
PRFI,2024-09-12,6002,6051,6076,5885,367146,68245,9,12
PRFI,2024-09-13,6085,6095,6160,6016,263213,56153,9,13
PRFI,2024-09-18,6122,5965,6133,5936,140694,59704,9,18
PRFI,2024-09-19,5958,6077,6091,5908,209498,56773,9,19
PRFI,2024-09-20,6079,6081,6111,6038,124629,55674,9,20
PRFI,2024-09-23,6066,6001,6068,5990,119388,56037,9,23
PRFI,2024-09-24,5999,6172,6184,5979,145360,51151,9,24
PRFI,2024-09-25,6188,6183,6382,6174,158850,40964,9,25
PRFI,2024-09-26,6148,6185,6257,6132,124796,38482,9,26
PRFI,2024-09-27,6205,6296,6311,6175,96948,33034,9,27
PRFI,2024-09-30,6291,6519,6563,6265,110243,26305,9,30
PRFI,2024-10-08,6793,6580,6818,6553,86269,25714,10,8
PRFI,2024-10-09,6591,6510,6591,6479,92304,28691,10,9
PRFI,2024-10-10,6481,6454,6514,6397,75702,30592,10,10
PRFI,2024-10-11,6466,6515,6535,6453,62578,29157,10,11
PRFI,2024-10-14,6518,6478,6577,6457,61734,25006,10,14
PRFI,2024-10-15,6460,6329,6490,6329,62178,25374,10,15
PRFI,2024-10-16,6338,6314,6378,6290,50582,25627,10,16
PRFI,2024-10-17,6314,6196,6335,6193,50457,27031,10,17
PRFI,2024-10-18,6223,6265,6305,6198,46169,23954,10,18
PRFI,2024-10-21,6253,6224,6253,6183,38726,24877,10,21
