symbol,date,open,close,high,low,volume,oi,month,day
PXFI,2023-09-15,9997.0,9464.0,10047.0,9405.0,242344.0,33636.0,9,15
PXFI,2023-09-18,9467.0,9340.0,9467.0,9294.0,125884.0,39151.0,9,18
PXFI,2023-09-19,9364.0,9321.0,9429.0,9287.0,99419.0,42230.0,9,19
PXFI,2023-09-20,9353.0,9304.0,9557.0,9251.0,220501.0,51104.0,9,20
PXFI,2023-09-21,9340.0,9125.0,9340.0,9124.0,106150.0,52138.0,9,21
PXFI,2023-09-22,9165.0,9209.0,9267.0,9157.0,86261.0,48451.0,9,22
PXFI,2023-09-25,9240.0,9120.0,9287.0,9057.0,86557.0,48129.0,9,25
PXFI,2023-09-26,9112.0,8920.0,9119.0,8885.0,81735.0,52777.0,9,26
PXFI,2023-09-27,8943.0,8970.0,9030.0,8908.0,48908.0,47011.0,9,27
PXFI,2023-09-28,9004.0,8994.0,9153.0,8961.0,60742.0,39019.0,9,28
PXFI,2023-10-09,8781.0,8610.0,8809.0,8578.0,53827.0,49802.0,10,9
PXFI,2023-10-10,8637.0,8492.0,8646.0,8481.0,53037.0,53717.0,10,10
PXFI,2023-10-11,8501.0,8448.0,8514.0,8399.0,75305.0,59843.0,10,11
PXFI,2023-10-12,8432.0,8383.0,8454.0,8286.0,83715.0,66395.0,10,12
PXFI,2023-10-13,8423.0,8397.0,8476.0,8320.0,92808.0,67798.0,10,13
PXFI,2023-10-16,8489.0,8438.0,8509.0,8395.0,90914.0,69446.0,10,16
PXFI,2023-10-17,8453.0,8356.0,8495.0,8311.0,81581.0,71810.0,10,17
PXFI,2023-10-18,8328.0,8412.0,8489.0,8328.0,86993.0,72216.0,10,18
PXFI,2023-10-19,8398.0,8393.0,8457.0,8312.0,79442.0,72286.0,10,19
PXFI,2023-10-20,8381.0,8402.0,8519.0,8345.0,90666.0,69465.0,10,20
PXFI,2023-10-23,8401.0,8311.0,8421.0,8230.0,82560.0,71226.0,10,23
PXFI,2023-10-24,8330.0,8521.0,8529.0,8291.0,91371.0,71962.0,10,24
PXFI,2023-10-25,8482.0,8453.0,8578.0,8399.0,165778.0,73915.0,10,25
PXFI,2023-10-26,8491.0,8502.0,8546.0,8459.0,71291.0,72604.0,10,26
PXFI,2023-10-27,8468.0,8546.0,8584.0,8428.0,91541.0,70220.0,10,27
PXFI,2023-10-30,8544.0,8621.0,8658.0,8513.0,72572.0,71793.0,10,30
PXFI,2023-10-31,8605.0,8631.0,8679.0,8504.0,84919.0,71096.0,10,31
PXFI,2023-11-01,8616.0,8589.0,8660.0,8559.0,56693.0,69389.0,11,1
PXFI,2023-11-02,8638.0,8556.0,8638.0,8500.0,47784.0,67825.0,11,2
PXFI,2023-11-03,8565.0,8644.0,8687.0,8543.0,53124.0,66421.0,11,3
PXFI,2023-11-06,8654.0,8551.0,8691.0,8495.0,99001.0,74380.0,11,6
PXFI,2023-11-07,8564.0,8489.0,8608.0,8462.0,70392.0,72851.0,11,7
PXFI,2023-11-08,8472.0,8454.0,8484.0,8348.0,71909.0,75746.0,11,8
PXFI,2023-11-09,8422.0,8426.0,8554.0,8375.0,81525.0,78658.0,11,9
