symbol,date,open,close,high,low,volume,oi,timestamp
RIFI,2012-07-26,2764.0,2764.0,2764.0,2764.0,1.0,1.0,1343260800
RIFI,2012-07-27,2765.0,2765.0,2765.0,2765.0,1.0,1.0,1343347200
RIFI,2012-08-20,2865.0,2865.0,2865.0,2865.0,1.0,1.0,1345420800
RIFI,2012-09-21,2836.0,2812.0,2858.0,2802.0,15.0,12.0,1348185600
RIFI,2012-09-24,2768.0,2780.0,2782.0,2768.0,5.0,16.0,1348444800
RIFI,2012-09-25,2755.0,2759.0,2765.0,2740.0,13.0,25.0,1348531200
RIFI,2012-09-26,2740.0,2742.0,2767.0,2740.0,5.0,28.0,1348617600
RIFI,2012-09-27,2769.0,2763.0,2770.0,2763.0,3.0,27.0,1348704000
RIFI,2012-09-28,2769.0,2770.0,2770.0,2769.0,3.0,27.0,1348790400
RIFI,2012-10-08,2673.0,2750.0,2750.0,2673.0,10.0,37.0,1349654400
RIFI,2012-10-09,2753.0,2753.0,2753.0,2753.0,3.0,40.0,1349740800
RIFI,2012-10-10,2755.0,2753.0,2755.0,2741.0,8.0,47.0,1349827200
RIFI,2012-10-11,2756.0,2748.0,2756.0,2746.0,7.0,51.0,1349913600
RIFI,2012-10-12,2749.0,2741.0,2752.0,2741.0,10.0,59.0,1350000000
RIFI,2012-10-15,2747.0,2747.0,2748.0,2747.0,8.0,64.0,1350259200
RIFI,2012-10-16,2749.0,2749.0,2749.0,2749.0,1.0,65.0,1350345600
RIFI,2012-10-17,2749.0,2749.0,2749.0,2749.0,1.0,66.0,1350432000
RIFI,2012-10-18,2753.0,2753.0,2753.0,2753.0,1.0,67.0,1350518400
RIFI,2012-10-24,2740.0,2740.0,2740.0,2740.0,1.0,67.0,1351036800
RIFI,2012-10-29,2765.0,2735.0,2765.0,2735.0,2.0,67.0,1351468800
RIFI,2012-10-30,2735.0,2730.0,2760.0,2730.0,4.0,66.0,1351555200
RIFI,2012-11-02,2730.0,2749.0,2749.0,2725.0,7.0,63.0,1351814400
RIFI,2012-11-05,2737.0,2732.0,2737.0,2732.0,6.0,63.0,1352073600
RIFI,2012-11-06,2750.0,2750.0,2750.0,2750.0,1.0,63.0,1352160000
RIFI,2012-11-08,2659.0,2740.0,2849.0,2659.0,4.0,63.0,1352332800
RIFI,2012-11-09,2760.0,2765.0,2765.0,2754.0,15.0,68.0,1352419200
RIFI,2012-11-12,2750.0,2750.0,2750.0,2741.0,6.0,69.0,1352678400
RIFI,2012-11-13,2750.0,2735.0,2754.0,2735.0,24.0,67.0,1352764800
RIFI,2012-11-14,2739.0,2740.0,2759.0,2731.0,28.0,76.0,1352851200
RIFI,2012-11-15,2760.0,2752.0,2765.0,2752.0,5.0,79.0,1352937600
RIFI,2012-11-16,2749.0,2776.0,2779.0,2749.0,29.0,94.0,1353024000
RIFI,2012-11-19,2780.0,2802.0,2809.0,2779.0,24.0,110.0,1353283200
RIFI,2012-11-20,2799.0,2803.0,2806.0,2797.0,19.0,114.0,1353369600
RIFI,2012-11-21,2805.0,2805.0,2805.0,2805.0,2.0,116.0,1353456000
RIFI,2012-11-22,2802.0,2829.0,2829.0,2802.0,45.0,134.0,1353542400
RIFI,2012-11-23,2819.0,2821.0,2847.0,2816.0,34.0,142.0,1353628800
RIFI,2012-11-26,2816.0,2818.0,2818.0,2816.0,11.0,148.0,1353888000
RIFI,2012-11-27,2816.0,2818.0,2818.0,2816.0,4.0,151.0,1353974400
RIFI,2012-11-28,2818.0,2790.0,2818.0,2790.0,41.0,134.0,1354060800
RIFI,2012-11-29,2790.0,2780.0,2790.0,2771.0,38.0,137.0,1354147200
RIFI,2012-11-30,2783.0,2777.0,2785.0,2776.0,228.0,302.0,1354233600
RIFI,2012-12-03,2778.0,2780.0,2780.0,2771.0,34.0,319.0,1354492800
RIFI,2012-12-04,2778.0,2790.0,2790.0,2778.0,85.0,398.0,1354579200
RIFI,2012-12-05,2785.0,2786.0,2788.0,2785.0,82.0,472.0,1354665600
RIFI,2012-12-06,2789.0,2796.0,2800.0,2789.0,58.0,523.0,1354752000
RIFI,2012-12-07,2782.0,2789.0,2789.0,2780.0,94.0,606.0,1354838400
RIFI,2012-12-10,2798.0,2775.0,2798.0,2775.0,19.0,605.0,1355097600
RIFI,2012-12-11,2788.0,2770.0,2788.0,2770.0,8.0,601.0,1355184000
RIFI,2012-12-12,2772.0,2777.0,2784.0,2768.0,9.0,600.0,1355270400
RIFI,2012-12-13,2766.0,2766.0,2770.0,2763.0,19.0,600.0,1355356800
RIFI,2012-12-14,2785.0,2765.0,2785.0,2765.0,8.0,599.0,1355443200
RIFI,2012-12-17,2785.0,2785.0,2785.0,2785.0,1.0,598.0,1355702400
RIFI,2012-12-18,2774.0,2774.0,2774.0,2774.0,3.0,598.0,1355788800
RIFI,2012-12-19,2773.0,2780.0,2780.0,2773.0,5.0,602.0,1355875200
RIFI,2012-12-20,2767.0,2780.0,2780.0,2765.0,19.0,617.0,1355961600
RIFI,2012-12-21,2784.0,2776.0,2784.0,2776.0,7.0,614.0,1356048000
RIFI,2012-12-24,2780.0,2780.0,2787.0,2778.0,10.0,615.0,1356307200
RIFI,2012-12-25,2786.0,2782.0,2786.0,2780.0,15.0,611.0,1356393600
RIFI,2012-12-26,2787.0,2784.0,2787.0,2781.0,51.0,657.0,1356480000
RIFI,2012-12-27,2785.0,2790.0,2790.0,2785.0,39.0,674.0,1356566400
RIFI,2012-12-28,2789.0,2793.0,2793.0,2789.0,24.0,685.0,1356652800
RIFI,2012-12-31,2795.0,2760.0,2795.0,2760.0,20.0,675.0,1356912000
RIFI,2013-01-04,2774.0,2769.0,2775.0,2768.0,39.0,674.0,1357257600
RIFI,2013-01-07,2778.0,2774.0,2780.0,2774.0,8.0,674.0,1357516800
RIFI,2013-01-08,2774.0,2782.0,2782.0,2773.0,29.0,669.0,1357603200
RIFI,2013-01-09,2784.0,2760.0,2784.0,2760.0,78.0,711.0,1357689600
RIFI,2013-01-10,2781.0,2770.0,2785.0,2757.0,97.0,752.0,1357776000
RIFI,2013-01-11,2762.0,2761.0,2765.0,2756.0,8.0,752.0,1357862400
RIFI,2013-01-14,2755.0,2756.0,2763.0,2746.0,57.0,736.0,1358121600
RIFI,2013-01-15,2755.0,2746.0,2755.0,2740.0,23.0,744.0,1358208000
RIFI,2013-01-16,2755.0,2754.0,2755.0,2742.0,16.0,742.0,1358294400
RIFI,2013-01-17,2743.0,2743.0,2755.0,2743.0,18.0,743.0,1358380800
RIFI,2013-01-18,2749.0,2778.0,2800.0,2749.0,299.0,766.0,1358467200
RIFI,2013-01-21,2766.0,2765.0,2778.0,2765.0,297.0,759.0,1358726400
RIFI,2013-01-22,2772.0,2765.0,2772.0,2763.0,34.0,761.0,1358812800
RIFI,2013-01-23,2774.0,2773.0,2775.0,2765.0,54.0,763.0,1358899200
RIFI,2013-01-24,2774.0,2761.0,2774.0,2758.0,83.0,782.0,1358985600
RIFI,2013-01-25,2783.0,2766.0,2783.0,2762.0,35.0,797.0,1359072000
RIFI,2013-01-28,2765.0,2763.0,2766.0,2756.0,75.0,796.0,1359331200
RIFI,2013-01-29,2758.0,2774.0,2781.0,2755.0,424.0,997.0,1359417600
RIFI,2013-01-30,2767.0,2794.0,2795.0,2767.0,443.0,961.0,1359504000
RIFI,2013-01-31,2796.0,2795.0,2799.0,2788.0,76.0,979.0,1359590400
RIFI,2013-02-01,2798.0,2806.0,2806.0,2785.0,188.0,1045.0,1359676800
RIFI,2013-02-04,2803.0,2808.0,2809.0,2802.0,148.0,1042.0,1359936000
RIFI,2013-02-05,2804.0,2808.0,2808.0,2804.0,55.0,1069.0,1360022400
RIFI,2013-02-06,2807.0,2799.0,2809.0,2799.0,58.0,1074.0,1360108800
RIFI,2013-02-07,2794.0,2786.0,2801.0,2783.0,181.0,1079.0,1360195200
RIFI,2013-02-08,2805.0,2812.0,2815.0,2789.0,291.0,1227.0,1360281600
RIFI,2013-02-18,2806.0,2807.0,2812.0,2798.0,153.0,1280.0,1361145600
RIFI,2013-02-19,2808.0,2805.0,2812.0,2796.0,121.0,1320.0,1361232000
RIFI,2013-02-20,2807.0,2804.0,2807.0,2796.0,110.0,1358.0,1361318400
RIFI,2013-02-21,2795.0,2813.0,2817.0,2795.0,760.0,1685.0,1361404800
RIFI,2013-02-22,2807.0,2803.0,2810.0,2793.0,324.0,1782.0,1361491200
RIFI,2013-02-25,2792.0,2795.0,2802.0,2785.0,314.0,1897.0,1361750400
RIFI,2013-02-26,2793.0,2804.0,2806.0,2787.0,949.0,2478.0,1361836800
RIFI,2013-02-27,2802.0,2792.0,2802.0,2787.0,574.0,2660.0,1361923200
RIFI,2013-02-28,2794.0,2800.0,2806.0,2792.0,274.0,2787.0,1362009600
RIFI,2013-03-01,2797.0,2801.0,2802.0,2786.0,556.0,3028.0,1362096000
RIFI,2013-03-04,2801.0,2791.0,2801.0,2788.0,269.0,3151.0,1362355200
RIFI,2013-03-05,2795.0,2802.0,2802.0,2790.0,933.0,3660.0,1362441600
RIFI,2013-03-06,2799.0,2792.0,2799.0,2790.0,319.0,3749.0,1362528000
RIFI,2013-03-07,2789.0,2804.0,2807.0,2789.0,1743.0,4597.0,1362614400
RIFI,2013-03-08,2807.0,2794.0,2808.0,2790.0,568.0,4702.0,1362700800
RIFI,2013-03-11,2794.0,2768.0,2795.0,2764.0,1121.0,4377.0,1362960000
RIFI,2013-03-12,2770.0,2757.0,2782.0,2751.0,2073.0,3832.0,1363046400
RIFI,2013-03-13,2759.0,2766.0,2770.0,2757.0,382.0,3798.0,1363132800
RIFI,2013-03-14,2762.0,2747.0,2766.0,2737.0,1190.0,3996.0,1363219200
RIFI,2013-03-15,2753.0,2763.0,2772.0,2747.0,1424.0,4320.0,1363305600
