symbol,date,open,close,high,low,volume,oi,month,day
SAFI,2019-12-06,1580.0,1564.0,1586.0,1549.0,167922.0,22522.0,12,6
SAFI,2019-12-09,1567.0,1574.0,1591.0,1560.0,86217.0,18898.0,12,9
SAFI,2019-12-10,1575.0,1636.0,1636.0,1573.0,114228.0,38257.0,12,10
SAFI,2019-12-11,1651.0,1650.0,1674.0,1639.0,232847.0,36224.0,12,11
SAFI,2019-12-12,1644.0,1631.0,1655.0,1626.0,124757.0,38021.0,12,12
SAFI,2019-12-13,1634.0,1631.0,1640.0,1626.0,66889.0,37406.0,12,13
SAFI,2019-12-16,1634.0,1634.0,1659.0,1628.0,141389.0,42408.0,12,16
SAFI,2019-12-17,1631.0,1625.0,1638.0,1614.0,113924.0,39138.0,12,17
SAFI,2019-12-18,1625.0,1630.0,1652.0,1624.0,99387.0,39803.0,12,18
SAFI,2019-12-19,1630.0,1628.0,1643.0,1626.0,66485.0,41410.0,12,19
SAFI,2019-12-20,1629.0,1614.0,1632.0,1614.0,68133.0,46117.0,12,20
SAFI,2019-12-23,1613.0,1604.0,1619.0,1600.0,57383.0,45913.0,12,23
SAFI,2019-12-24,1606.0,1608.0,1617.0,1603.0,31712.0,45791.0,12,24
SAFI,2019-12-25,1606.0,1607.0,1613.0,1603.0,29416.0,48359.0,12,25
SAFI,2019-12-26,1608.0,1614.0,1620.0,1606.0,29909.0,48719.0,12,26
SAFI,2019-12-27,1614.0,1613.0,1633.0,1612.0,52222.0,48979.0,12,27
SAFI,2019-12-30,1615.0,1639.0,1641.0,1614.0,40426.0,46217.0,12,30
SAFI,2019-12-31,1639.0,1641.0,1649.0,1636.0,41586.0,42779.0,12,31
SAFI,2020-01-02,1641.0,1634.0,1649.0,1630.0,27700.0,40967.0,1,2
SAFI,2020-01-03,1634.0,1639.0,1642.0,1629.0,24010.0,40212.0,1,3
SAFI,2020-01-06,1638.0,1645.0,1654.0,1638.0,43054.0,38613.0,1,6
SAFI,2020-01-07,1643.0,1635.0,1647.0,1631.0,19805.0,37763.0,1,7
SAFI,2020-01-08,1634.0,1638.0,1644.0,1632.0,20954.0,37574.0,1,8
SAFI,2020-01-09,1637.0,1639.0,1642.0,1628.0,28655.0,34551.0,1,9
SAFI,2020-01-10,1640.0,1663.0,1679.0,1640.0,175497.0,44825.0,1,10
SAFI,2020-01-13,1664.0,1658.0,1665.0,1651.0,31015.0,42792.0,1,13
SAFI,2020-01-14,1660.0,1658.0,1665.0,1653.0,24327.0,41388.0,1,14
SAFI,2020-01-15,1659.0,1668.0,1694.0,1658.0,132712.0,44440.0,1,15
SAFI,2020-01-16,1672.0,1671.0,1682.0,1669.0,34791.0,41782.0,1,16
SAFI,2020-01-17,1677.0,1681.0,1687.0,1671.0,40778.0,42883.0,1,17
SAFI,2020-01-20,1681.0,1671.0,1682.0,1661.0,32403.0,38081.0,1,20
SAFI,2020-01-21,1671.0,1659.0,1677.0,1659.0,18038.0,37363.0,1,21
SAFI,2020-01-22,1662.0,1647.0,1662.0,1636.0,35079.0,30690.0,1,22
SAFI,2020-01-23,1648.0,1621.0,1655.0,1599.0,25460.0,26580.0,1,23
SAFI,2020-02-03,1523.0,1527.0,1554.0,1517.0,31802.0,21822.0,2,3
SAFI,2020-02-04,1533.0,1568.0,1568.0,1533.0,20640.0,22578.0,2,4
SAFI,2020-02-05,1564.0,1567.0,1575.0,1558.0,19435.0,25425.0,2,5
SAFI,2020-02-06,1568.0,1582.0,1584.0,1567.0,14486.0,23427.0,2,6
SAFI,2020-02-07,1582.0,1582.0,1594.0,1580.0,11384.0,24166.0,2,7
SAFI,2020-02-10,1580.0,1577.0,1585.0,1570.0,7282.0,24362.0,2,10
SAFI,2020-02-11,1577.0,1588.0,1589.0,1574.0,10330.0,24075.0,2,11
SAFI,2020-02-12,1586.0,1586.0,1595.0,1580.0,9803.0,25308.0,2,12
SAFI,2020-02-13,1586.0,1589.0,1594.0,1582.0,8725.0,25800.0,2,13
SAFI,2020-02-14,1588.0,1587.0,1591.0,1581.0,5951.0,25597.0,2,14
SAFI,2020-02-17,1588.0,1596.0,1597.0,1586.0,7796.0,25966.0,2,17
SAFI,2020-02-18,1598.0,1594.0,1599.0,1592.0,5369.0,25527.0,2,18
SAFI,2020-02-19,1594.0,1598.0,1601.0,1594.0,4623.0,24984.0,2,19
SAFI,2020-02-20,1600.0,1598.0,1601.0,1581.0,13678.0,26703.0,2,20
SAFI,2020-02-21,1592.0,1591.0,1599.0,1584.0,16195.0,27730.0,2,21
SAFI,2020-02-24,1586.0,1598.0,1601.0,1580.0,16837.0,28504.0,2,24
SAFI,2020-02-25,1596.0,1616.0,1639.0,1595.0,57150.0,32136.0,2,25
SAFI,2020-02-26,1615.0,1595.0,1617.0,1592.0,26167.0,29486.0,2,26
SAFI,2020-02-27,1597.0,1590.0,1598.0,1583.0,15064.0,29119.0,2,27
SAFI,2020-02-28,1580.0,1579.0,1588.0,1559.0,16675.0,29461.0,2,28
SAFI,2020-03-02,1577.0,1599.0,1604.0,1576.0,15833.0,30083.0,3,2
SAFI,2020-03-03,1600.0,1585.0,1610.0,1583.0,18411.0,32193.0,3,3
SAFI,2020-03-04,1591.0,1587.0,1593.0,1583.0,6829.0,32040.0,3,4
SAFI,2020-03-05,1585.0,1569.0,1586.0,1563.0,23537.0,36264.0,3,5
SAFI,2020-03-06,1567.0,1565.0,1570.0,1558.0,15686.0,36316.0,3,6
SAFI,2020-03-09,1519.0,1542.0,1549.0,1517.0,30337.0,34830.0,3,9
SAFI,2020-03-10,1544.0,1555.0,1562.0,1544.0,13602.0,34329.0,3,10
SAFI,2020-03-11,1554.0,1557.0,1584.0,1550.0,18569.0,35667.0,3,11
SAFI,2020-03-12,1559.0,1541.0,1559.0,1540.0,11529.0,34829.0,3,12
SAFI,2020-03-13,1538.0,1537.0,1546.0,1531.0,14470.0,34410.0,3,13
SAFI,2020-03-16,1541.0,1526.0,1544.0,1526.0,14561.0,34374.0,3,16
SAFI,2020-03-17,1519.0,1506.0,1524.0,1504.0,20134.0,34291.0,3,17
SAFI,2020-03-18,1502.0,1489.0,1516.0,1488.0,21884.0,32706.0,3,18
SAFI,2020-03-19,1494.0,1465.0,1494.0,1445.0,32861.0,25905.0,3,19
SAFI,2020-03-20,1473.0,1474.0,1484.0,1462.0,12224.0,26481.0,3,20
SAFI,2020-03-23,1457.0,1449.0,1459.0,1438.0,18734.0,25078.0,3,23
SAFI,2020-03-24,1457.0,1447.0,1457.0,1433.0,12644.0,24373.0,3,24
SAFI,2020-03-25,1454.0,1443.0,1458.0,1441.0,9360.0,25577.0,3,25
SAFI,2020-03-26,1441.0,1424.0,1441.0,1419.0,18639.0,26157.0,3,26
SAFI,2020-03-27,1426.0,1415.0,1426.0,1405.0,18064.0,24191.0,3,27
SAFI,2020-03-30,1410.0,1376.0,1410.0,1373.0,17800.0,22796.0,3,30
SAFI,2020-03-31,1379.0,1401.0,1413.0,1378.0,19459.0,21433.0,3,31
SAFI,2020-04-01,1395.0,1403.0,1409.0,1395.0,11293.0,20515.0,4,1
SAFI,2020-04-02,1406.0,1417.0,1423.0,1401.0,16810.0,20102.0,4,2
SAFI,2020-04-03,1421.0,1398.0,1421.0,1386.0,13350.0,18058.0,4,3
SAFI,2020-04-07,1410.0,1403.0,1418.0,1395.0,20291.0,20948.0,4,7
SAFI,2020-04-08,1405.0,1410.0,1420.0,1398.0,18619.0,22565.0,4,8
SAFI,2020-04-09,1417.0,1422.0,1423.0,1410.0,16202.0,24628.0,4,9
SAFI,2020-04-10,1420.0,1406.0,1421.0,1401.0,19173.0,23417.0,4,10
SAFI,2020-04-13,1407.0,1374.0,1415.0,1373.0,29180.0,24562.0,4,13
SAFI,2020-04-14,1376.0,1392.0,1392.0,1361.0,28885.0,23689.0,4,14
SAFI,2020-04-15,1389.0,1431.0,1432.0,1388.0,36979.0,28546.0,4,15
SAFI,2020-04-16,1456.0,1414.0,1476.0,1409.0,166627.0,37893.0,4,16
SAFI,2020-04-17,1413.0,1425.0,1435.0,1408.0,62815.0,33934.0,4,17
SAFI,2020-04-20,1419.0,1449.0,1459.0,1419.0,83051.0,34590.0,4,20
SAFI,2020-04-21,1443.0,1429.0,1449.0,1422.0,44901.0,27562.0,4,21
SAFI,2020-04-22,1426.0,1426.0,1432.0,1410.0,27482.0,24529.0,4,22
SAFI,2020-04-23,1431.0,1446.0,1457.0,1428.0,40058.0,26195.0,4,23
SAFI,2020-04-24,1445.0,1443.0,1451.0,1435.0,22229.0,23944.0,4,24
SAFI,2020-04-27,1440.0,1446.0,1457.0,1440.0,24605.0,24603.0,4,27
SAFI,2020-04-28,1443.0,1420.0,1444.0,1420.0,21806.0,21918.0,4,28
SAFI,2020-04-29,1429.0,1409.0,1435.0,1406.0,22462.0,22367.0,4,29
SAFI,2020-04-30,1412.0,1417.0,1422.0,1403.0,24140.0,21917.0,4,30
SAFI,2020-05-06,1413.0,1427.0,1446.0,1413.0,17430.0,23339.0,5,6
SAFI,2020-05-07,1431.0,1431.0,1437.0,1424.0,23281.0,26936.0,5,7
SAFI,2020-05-08,1436.0,1423.0,1436.0,1417.0,31765.0,30930.0,5,8
SAFI,2020-05-11,1425.0,1405.0,1425.0,1390.0,70335.0,42538.0,5,11
SAFI,2020-05-12,1404.0,1416.0,1419.0,1399.0,48410.0,43173.0,5,12
SAFI,2020-05-13,1416.0,1421.0,1435.0,1409.0,115417.0,47608.0,5,13
SAFI,2020-05-14,1419.0,1416.0,1426.0,1409.0,46049.0,49373.0,5,14
SAFI,2020-05-15,1422.0,1429.0,1434.0,1418.0,51514.0,49575.0,5,15
SAFI,2020-05-18,1428.0,1442.0,1448.0,1426.0,62911.0,51006.0,5,18
SAFI,2020-05-19,1446.0,1436.0,1455.0,1434.0,49773.0,52304.0,5,19
SAFI,2020-05-20,1449.0,1453.0,1456.0,1442.0,35330.0,52909.0,5,20
SAFI,2020-05-21,1457.0,1453.0,1460.0,1448.0,32657.0,52780.0,5,21
SAFI,2020-05-22,1455.0,1425.0,1455.0,1422.0,57056.0,50887.0,5,22
SAFI,2020-05-25,1426.0,1443.0,1444.0,1412.0,90576.0,58700.0,5,25
SAFI,2020-05-26,1438.0,1465.0,1475.0,1438.0,170890.0,69386.0,5,26
SAFI,2020-05-27,1463.0,1461.0,1479.0,1444.0,145274.0,68524.0,5,27
SAFI,2020-05-28,1462.0,1464.0,1470.0,1455.0,67987.0,69364.0,5,28
SAFI,2020-05-29,1465.0,1478.0,1488.0,1464.0,114437.0,69327.0,5,29
SAFI,2020-06-01,1480.0,1478.0,1486.0,1472.0,74207.0,72089.0,6,1
SAFI,2020-06-02,1474.0,1472.0,1479.0,1459.0,57143.0,71579.0,6,2
