symbol,date,open,close,high,low,vol,oi,month,day
SFFI,2014-08-08,5893.0,5804.0,5899.0,5744.0,74755.0,15636.0,8,8
SFFI,2014-08-11,5769.0,5832.0,5882.0,5768.0,53697.0,17033.0,8,11
SFFI,2014-08-12,5810.0,5912.0,5956.0,5808.0,117188.0,23665.0,8,12
SFFI,2014-08-13,5919.0,5925.0,5945.0,5880.0,59713.0,23700.0,8,13
SFFI,2014-08-14,5917.0,5740.0,5935.0,5710.0,71699.0,18002.0,8,14
SFFI,2014-08-15,5740.0,5774.0,5780.0,5730.0,32017.0,17049.0,8,15
SFFI,2014-08-18,5776.0,5748.0,5796.0,5730.0,24252.0,17159.0,8,18
SFFI,2014-08-19,5741.0,5776.0,5781.0,5691.0,19869.0,16460.0,8,19
SFFI,2014-08-20,5778.0,5730.0,5778.0,5518.0,23806.0,17065.0,8,20
SFFI,2014-08-21,5746.0,5742.0,5778.0,5722.0,7807.0,16812.0,8,21
SFFI,2014-08-22,5736.0,5717.0,5754.0,5707.0,13942.0,17050.0,8,22
SFFI,2014-08-25,5710.0,5738.0,5742.0,5677.0,20109.0,15096.0,8,25
SFFI,2014-08-26,5742.0,5752.0,5770.0,5727.0,7733.0,12512.0,8,26
SFFI,2014-08-27,5745.0,5767.0,5788.0,5745.0,8053.0,11067.0,8,27
SFFI,2014-08-28,5761.0,5781.0,5781.0,5735.0,6015.0,10499.0,8,28
SFFI,2014-08-29,5776.0,5801.0,5811.0,5757.0,8204.0,10172.0,8,29
SFFI,2014-09-01,5804.0,5778.0,5829.0,5777.0,11378.0,10898.0,9,1
SFFI,2014-09-02,5773.0,5763.0,5799.0,5715.0,17466.0,12643.0,9,2
SFFI,2014-09-03,5763.0,5755.0,5793.0,5751.0,5398.0,12587.0,9,3
SFFI,2014-09-04,5751.0,5765.0,5789.0,5721.0,6530.0,12467.0,9,4
SFFI,2014-09-05,5769.0,5753.0,5785.0,5737.0,5331.0,12684.0,9,5
SFFI,2014-09-09,5741.0,5663.0,5754.0,5648.0,17725.0,16591.0,9,9
SFFI,2014-09-10,5640.0,5711.0,5786.0,5637.0,12659.0,13943.0,9,10
SFFI,2014-09-11,5709.0,5699.0,5715.0,5687.0,4106.0,13817.0,9,11
SFFI,2014-09-12,5701.0,5729.0,5736.0,5691.0,2597.0,13092.0,9,12
SFFI,2014-09-15,5723.0,5776.0,5786.0,5717.0,4409.0,12335.0,9,15
SFFI,2014-09-16,5789.0,5765.0,5808.0,5759.0,3316.0,11543.0,9,16
SFFI,2014-09-17,5778.0,5778.0,5786.0,5762.0,1255.0,11534.0,9,17
SFFI,2014-09-18,5780.0,5759.0,5788.0,5754.0,1993.0,11278.0,9,18
SFFI,2014-09-19,5760.0,5700.0,5762.0,5694.0,5951.0,11073.0,9,19
SFFI,2014-09-22,5681.0,5540.0,5685.0,5510.0,10494.0,11310.0,9,22
SFFI,2014-09-23,5522.0,5562.0,5592.0,5522.0,5695.0,11348.0,9,23
SFFI,2014-09-24,5570.0,5590.0,5640.0,5556.0,3147.0,10676.0,9,24
SFFI,2014-09-25,5603.0,5468.0,5633.0,5444.0,15504.0,12060.0,9,25
SFFI,2014-09-26,5457.0,5500.0,5536.0,5451.0,6591.0,11708.0,9,26
SFFI,2014-09-29,5500.0,5538.0,5540.0,5462.0,3339.0,11129.0,9,29
SFFI,2014-09-30,5539.0,5572.0,5586.0,5530.0,3495.0,9561.0,9,30
SFFI,2014-10-08,5568.0,5556.0,5628.0,5536.0,1560.0,9633.0,10,8
SFFI,2014-10-09,5559.0,5635.0,5645.0,5532.0,2964.0,9456.0,10,9
SFFI,2014-10-10,5633.0,5594.0,5641.0,5584.0,2445.0,9115.0,10,10
SFFI,2014-10-13,5601.0,5629.0,5696.0,5601.0,6778.0,8240.0,10,13
SFFI,2014-10-14,5619.0,5580.0,5637.0,5564.0,3237.0,8033.0,10,14
SFFI,2014-10-15,5584.0,5537.0,5607.0,5533.0,3328.0,8050.0,10,15
SFFI,2014-10-16,5531.0,5570.0,5580.0,5525.0,3402.0,7553.0,10,16
