symbol,date,open,close,high,low,volume,oi,month,day
SHFI,2023-09-15,2948.0,2853.0,3056.0,2789.0,417192.0,32116.0,9,15
SHFI,2023-09-18,2852.0,2900.0,2917.0,2830.0,287837.0,33857.0,9,18
SHFI,2023-09-19,2908.0,3034.0,3080.0,2895.0,524260.0,48301.0,9,19
SHFI,2023-09-20,3052.0,3109.0,3140.0,3033.0,603662.0,61938.0,9,20
SHFI,2023-09-21,3112.0,3045.0,3113.0,3030.0,435224.0,54089.0,9,21
SHFI,2023-09-22,3057.0,3067.0,3102.0,3048.0,328125.0,52507.0,9,22
SHFI,2023-09-25,3075.0,2942.0,3088.0,2928.0,325317.0,55388.0,9,25
SHFI,2023-09-26,2945.0,2899.0,2967.0,2868.0,293385.0,52775.0,9,26
SHFI,2023-09-27,2905.0,2884.0,2938.0,2858.0,243891.0,46057.0,9,27
SHFI,2023-09-28,2894.0,2797.0,2899.0,2795.0,220308.0,45888.0,9,28
SHFI,2023-10-09,2792.0,2776.0,2831.0,2748.0,112428.0,48925.0,10,9
SHFI,2023-10-10,2780.0,2718.0,2780.0,2626.0,347320.0,60664.0,10,10
SHFI,2023-10-11,2714.0,2702.0,2740.0,2656.0,305534.0,63802.0,10,11
SHFI,2023-10-12,2693.0,2747.0,2760.0,2676.0,219050.0,65173.0,10,12
SHFI,2023-10-13,2750.0,2681.0,2760.0,2665.0,234201.0,72202.0,10,13
SHFI,2023-10-16,2704.0,2657.0,2708.0,2640.0,233487.0,83131.0,10,16
SHFI,2023-10-17,2649.0,2569.0,2654.0,2561.0,300131.0,106852.0,10,17
SHFI,2023-10-18,2571.0,2584.0,2604.0,2563.0,207583.0,104611.0,10,18
SHFI,2023-10-19,2570.0,2527.0,2578.0,2506.0,385051.0,112247.0,10,19
SHFI,2023-10-20,2525.0,2533.0,2572.0,2506.0,300433.0,110390.0,10,20
SHFI,2023-10-23,2531.0,2545.0,2582.0,2519.0,307461.0,116379.0,10,23
SHFI,2023-10-24,2543.0,2583.0,2596.0,2526.0,300969.0,109545.0,10,24
SHFI,2023-10-25,2587.0,2557.0,2606.0,2555.0,210466.0,105622.0,10,25
SHFI,2023-10-26,2551.0,2553.0,2577.0,2525.0,237552.0,112173.0,10,26
SHFI,2023-10-27,2539.0,2572.0,2582.0,2539.0,166615.0,109313.0,10,27
SHFI,2023-10-30,2572.0,2595.0,2612.0,2558.0,201656.0,104254.0,10,30
SHFI,2023-10-31,2591.0,2622.0,2638.0,2583.0,205092.0,96233.0,10,31
SHFI,2023-11-01,2625.0,2575.0,2630.0,2567.0,176649.0,97120.0,11,1
SHFI,2023-11-02,2580.0,2580.0,2589.0,2556.0,141254.0,99405.0,11,2
SHFI,2023-11-03,2591.0,2621.0,2637.0,2591.0,163663.0,82745.0,11,3
SHFI,2023-11-06,2635.0,2685.0,2690.0,2627.0,189222.0,77127.0,11,6
SHFI,2023-11-07,2687.0,2643.0,2701.0,2635.0,159081.0,70153.0,11,7
SHFI,2023-11-08,2639.0,2666.0,2668.0,2639.0,99569.0,67580.0,11,8
SHFI,2023-11-09,2657.0,2633.0,2657.0,2581.0,158668.0,66736.0,11,9
SHFI,2023-11-10,2642.0,2683.0,2753.0,2638.0,353595.0,66845.0,11,10
SHFI,2023-11-13,2680.0,2632.0,2696.0,2624.0,171471.0,63490.0,11,13
SHFI,2023-11-14,2645.0,2674.0,2678.0,2639.0,90637.0,62548.0,11,14
SHFI,2023-11-15,2671.0,2667.0,2702.0,2653.0,93017.0,63076.0,11,15
SHFI,2023-11-16,2658.0,2678.0,2685.0,2647.0,58912.0,60536.0,11,16
SHFI,2023-11-17,2681.0,2687.0,2720.0,2668.0,99595.0,58672.0,11,17
SHFI,2023-11-20,2692.0,2678.0,2697.0,2660.0,60869.0,58455.0,11,20
SHFI,2023-11-21,2684.0,2614.0,2701.0,2604.0,94845.0,59100.0,11,21
SHFI,2023-11-22,2615.0,2592.0,2633.0,2550.0,114230.0,57561.0,11,22
SHFI,2023-11-23,2596.0,2605.0,2627.0,2568.0,94389.0,55422.0,11,23
SHFI,2023-11-24,2602.0,2612.0,2616.0,2564.0,58306.0,54372.0,11,24
SHFI,2023-11-27,2610.0,2584.0,2636.0,2578.0,80551.0,55966.0,11,27
SHFI,2023-11-28,2582.0,2595.0,2618.0,2572.0,58121.0,51084.0,11,28
SHFI,2023-11-29,2602.0,2658.0,2686.0,2589.0,147474.0,50531.0,11,29
SHFI,2023-11-30,2662.0,2684.0,2692.0,2634.0,78033.0,53988.0,11,30
SHFI,2023-12-01,2673.0,2675.0,2692.0,2636.0,76047.0,50057.0,12,1
SHFI,2023-12-04,2656.0,2621.0,2677.0,2613.0,84552.0,50639.0,12,4
SHFI,2023-12-05,2615.0,2577.0,2615.0,2570.0,73645.0,49282.0,12,5
SHFI,2023-12-06,2570.0,2592.0,2607.0,2562.0,55904.0,49423.0,12,6
SHFI,2023-12-07,2573.0,2566.0,2599.0,2526.0,127220.0,54251.0,12,7
SHFI,2023-12-08,2569.0,2645.0,2747.0,2554.0,261613.0,59706.0,12,8
SHFI,2023-12-11,2631.0,2653.0,2679.0,2599.0,132770.0,59081.0,12,11
SHFI,2023-12-12,2649.0,2683.0,2711.0,2636.0,147283.0,60701.0,12,12
SHFI,2023-12-13,2680.0,2663.0,2693.0,2640.0,90800.0,56755.0,12,13
SHFI,2023-12-14,2666.0,2673.0,2704.0,2659.0,100865.0,59842.0,12,14
SHFI,2023-12-15,2685.0,2676.0,2700.0,2664.0,77081.0,56067.0,12,15
SHFI,2023-12-18,2679.0,2675.0,2680.0,2650.0,58218.0,54459.0,12,18
SHFI,2023-12-19,2666.0,2667.0,2712.0,2659.0,80366.0,53624.0,12,19
SHFI,2023-12-20,2665.0,2695.0,2713.0,2665.0,67067.0,56567.0,12,20
SHFI,2023-12-21,2707.0,2746.0,2749.0,2678.0,90685.0,62257.0,12,21
SHFI,2023-12-22,2753.0,2816.0,2974.0,2746.0,562732.0,84017.0,12,22
SHFI,2023-12-25,2806.0,2838.0,2853.0,2771.0,230319.0,80420.0,12,25
SHFI,2023-12-26,2838.0,2819.0,2895.0,2810.0,229516.0,75729.0,12,26
SHFI,2023-12-27,2824.0,2797.0,2844.0,2786.0,112204.0,71320.0,12,27
SHFI,2023-12-28,2797.0,2840.0,2852.0,2771.0,150600.0,72853.0,12,28
SHFI,2023-12-29,2839.0,2826.0,2873.0,2821.0,127455.0,64677.0,12,29
SHFI,2024-01-02,2829.0,2855.0,2907.0,2823.0,126914.0,74503.0,1,2
SHFI,2024-01-03,2829.0,2814.0,2878.0,2790.0,153626.0,73227.0,1,3
SHFI,2024-01-04,2819.0,2740.0,2843.0,2688.0,210092.0,67246.0,1,4
SHFI,2024-01-05,2745.0,2749.0,2755.0,2699.0,102983.0,64353.0,1,5
SHFI,2024-01-08,2755.0,2697.0,2778.0,2687.0,124918.0,64048.0,1,8
SHFI,2024-01-09,2693.0,2703.0,2719.0,2634.0,112568.0,62463.0,1,9
SHFI,2024-01-10,2712.0,2674.0,2718.0,2670.0,99471.0,62113.0,1,10
SHFI,2024-01-11,2666.0,2690.0,2706.0,2643.0,81501.0,62620.0,1,11
SHFI,2024-01-12,2693.0,2714.0,2737.0,2678.0,76871.0,62791.0,1,12
SHFI,2024-01-15,2720.0,2711.0,2731.0,2693.0,64438.0,63701.0,1,15
SHFI,2024-01-16,2707.0,2737.0,2745.0,2707.0,62592.0,62968.0,1,16
SHFI,2024-01-17,2757.0,2733.0,2758.0,2725.0,61529.0,60032.0,1,17
SHFI,2024-01-18,2729.0,2786.0,2793.0,2722.0,85292.0,62671.0,1,18
SHFI,2024-01-19,2783.0,2774.0,2807.0,2767.0,66239.0,60506.0,1,19
SHFI,2024-01-22,2764.0,2824.0,2861.0,2764.0,110728.0,58302.0,1,22
SHFI,2024-01-23,2824.0,2800.0,2833.0,2787.0,54816.0,55841.0,1,23
SHFI,2024-01-24,2796.0,2793.0,2821.0,2771.0,70116.0,56768.0,1,24
SHFI,2024-01-25,2792.0,2786.0,2810.0,2778.0,50927.0,55828.0,1,25
SHFI,2024-01-26,2786.0,2727.0,2786.0,2722.0,67734.0,53771.0,1,26
SHFI,2024-01-29,2721.0,2727.0,2752.0,2712.0,42291.0,52210.0,1,29
SHFI,2024-01-30,2727.0,2702.0,2740.0,2696.0,45591.0,53542.0,1,30
SHFI,2024-01-31,2701.0,2719.0,2723.0,2687.0,43514.0,51516.0,1,31
SHFI,2024-02-01,2719.0,2676.0,2730.0,2670.0,43228.0,52443.0,2,1
SHFI,2024-02-02,2675.0,2690.0,2692.0,2661.0,36472.0,50559.0,2,2
SHFI,2024-02-05,2689.0,2703.0,2717.0,2675.0,28765.0,49117.0,2,5
SHFI,2024-02-06,2703.0,2704.0,2713.0,2670.0,26792.0,48330.0,2,6
SHFI,2024-02-07,2707.0,2658.0,2713.0,2635.0,42756.0,47641.0,2,7
SHFI,2024-02-08,2658.0,2622.0,2680.0,2621.0,34732.0,47156.0,2,8
SHFI,2024-02-19,2632.0,2665.0,2686.0,2631.0,31494.0,48144.0,2,19
SHFI,2024-02-20,2679.0,2676.0,2696.0,2658.0,40455.0,51269.0,2,20
SHFI,2024-02-21,2693.0,2709.0,2737.0,2682.0,83460.0,51266.0,2,21
SHFI,2024-02-22,2705.0,2695.0,2724.0,2678.0,45889.0,50750.0,2,22
SHFI,2024-02-23,2701.0,2710.0,2721.0,2696.0,32016.0,50040.0,2,23
SHFI,2024-02-26,2708.0,2678.0,2708.0,2648.0,51162.0,51197.0,2,26
SHFI,2024-02-27,2674.0,2685.0,2687.0,2667.0,25887.0,51774.0,2,27
SHFI,2024-02-28,2688.0,2683.0,2706.0,2672.0,39294.0,50994.0,2,28
SHFI,2024-02-29,2683.0,2683.0,2688.0,2639.0,53170.0,52184.0,2,29
SHFI,2024-03-01,2681.0,2684.0,2701.0,2670.0,37256.0,51853.0,3,1
SHFI,2024-03-04,2685.0,2716.0,2728.0,2677.0,51331.0,51028.0,3,4
SHFI,2024-03-05,2721.0,2728.0,2762.0,2710.0,58836.0,50303.0,3,5
SHFI,2024-03-06,2731.0,2733.0,2736.0,2675.0,52512.0,49052.0,3,6
SHFI,2024-03-07,2735.0,2745.0,2767.0,2731.0,49878.0,48118.0,3,7
SHFI,2024-03-08,2752.0,2766.0,2767.0,2741.0,38050.0,49009.0,3,8
SHFI,2024-03-11,2770.0,2708.0,2775.0,2701.0,50134.0,47630.0,3,11
SHFI,2024-03-12,2716.0,2717.0,2734.0,2709.0,26402.0,47476.0,3,12
SHFI,2024-03-13,2720.0,2686.0,2725.0,2677.0,38912.0,50297.0,3,13
SHFI,2024-03-14,2685.0,2690.0,2705.0,2678.0,31017.0,48688.0,3,14
SHFI,2024-03-15,2699.0,2706.0,2715.0,2688.0,26060.0,47757.0,3,15
SHFI,2024-03-18,2703.0,2735.0,2745.0,2672.0,48566.0,44936.0,3,18
SHFI,2024-03-19,2737.0,2757.0,2759.0,2733.0,35237.0,43614.0,3,19
SHFI,2024-03-20,2757.0,2711.0,2763.0,2704.0,34437.0,44493.0,3,20
SHFI,2024-03-21,2710.0,2740.0,2743.0,2695.0,38891.0,43803.0,3,21
SHFI,2024-03-22,2738.0,2706.0,2754.0,2696.0,41473.0,44846.0,3,22
SHFI,2024-03-25,2715.0,2598.0,2721.0,2594.0,81550.0,51189.0,3,25
SHFI,2024-03-26,2599.0,2580.0,2624.0,2567.0,57084.0,53275.0,3,26
SHFI,2024-03-27,2582.0,2581.0,2610.0,2570.0,40642.0,52469.0,3,27
SHFI,2024-03-28,2578.0,2523.0,2593.0,2502.0,84896.0,56117.0,3,28
SHFI,2024-03-29,2525.0,2462.0,2532.0,2453.0,83935.0,63343.0,3,29
SHFI,2024-04-01,2454.0,2507.0,2510.0,2423.0,100660.0,55720.0,4,1
SHFI,2024-04-02,2511.0,2478.0,2516.0,2470.0,52451.0,57483.0,4,2
SHFI,2024-04-03,2471.0,2490.0,2513.0,2471.0,51536.0,54549.0,4,3
SHFI,2024-04-08,2451.0,2435.0,2451.0,2375.0,72874.0,55659.0,4,8
SHFI,2024-04-09,2420.0,2428.0,2441.0,2378.0,103420.0,61537.0,4,9
SHFI,2024-04-10,2420.0,2512.0,2513.0,2420.0,112182.0,58284.0,4,10
SHFI,2024-04-11,2514.0,2461.0,2514.0,2457.0,79554.0,58284.0,4,11
SHFI,2024-04-12,2460.0,2474.0,2493.0,2441.0,69697.0,57901.0,4,12
SHFI,2024-04-15,2477.0,2505.0,2530.0,2476.0,84495.0,56368.0,4,15
SHFI,2024-04-16,2511.0,2451.0,2515.0,2442.0,66061.0,58698.0,4,16
SHFI,2024-04-17,2456.0,2488.0,2490.0,2452.0,48124.0,54905.0,4,17
SHFI,2024-04-18,2497.0,2525.0,2546.0,2487.0,84124.0,53259.0,4,18
SHFI,2024-04-19,2520.0,2522.0,2556.0,2504.0,69997.0,49736.0,4,19
SHFI,2024-04-22,2532.0,2568.0,2593.0,2532.0,64064.0,43656.0,4,22
SHFI,2024-04-23,2572.0,2549.0,2582.0,2538.0,43849.0,42276.0,4,23
SHFI,2024-04-24,2543.0,2518.0,2565.0,2507.0,52866.0,43091.0,4,24
SHFI,2024-04-25,2513.0,2528.0,2546.0,2505.0,49639.0,41961.0,4,25
SHFI,2024-04-26,2535.0,2535.0,2543.0,2517.0,34667.0,39841.0,4,26
SHFI,2024-04-29,2537.0,2525.0,2562.0,2479.0,80362.0,38146.0,4,29
SHFI,2024-04-30,2524.0,2654.0,2656.0,2524.0,63276.0,28077.0,4,30
SHFI,2024-05-06,2661.0,2699.0,2707.0,2647.0,29690.0,27905.0,5,6
SHFI,2024-05-07,2701.0,2717.0,2730.0,2698.0,42213.0,29086.0,5,7
SHFI,2024-05-08,2718.0,2764.0,2788.0,2706.0,79385.0,30747.0,5,8
SHFI,2024-05-09,2763.0,2771.0,2806.0,2744.0,85596.0,32978.0,5,9
SHFI,2024-05-10,2784.0,2773.0,2784.0,2739.0,50066.0,32099.0,5,10
SHFI,2024-05-13,2775.0,2778.0,2814.0,2751.0,90810.0,33618.0,5,13
SHFI,2024-05-14,2778.0,2754.0,2796.0,2743.0,50641.0,33265.0,5,14
SHFI,2024-05-15,2754.0,2772.0,2793.0,2746.0,51288.0,34606.0,5,15
SHFI,2024-05-16,2769.0,2780.0,2784.0,2751.0,46105.0,34211.0,5,16
SHFI,2024-05-17,2783.0,2797.0,2823.0,2776.0,59278.0,35129.0,5,17
SHFI,2024-05-20,2802.0,2840.0,2850.0,2789.0,51386.0,35288.0,5,20
SHFI,2024-05-21,2831.0,2859.0,2948.0,2825.0,122085.0,38716.0,5,21
SHFI,2024-05-22,2858.0,2846.0,2888.0,2827.0,76221.0,42334.0,5,22
SHFI,2024-05-23,2845.0,2795.0,2845.0,2779.0,62121.0,40277.0,5,23
SHFI,2024-05-24,2805.0,2815.0,2831.0,2780.0,52314.0,39845.0,5,24
SHFI,2024-05-27,2816.0,2792.0,2824.0,2784.0,40665.0,41060.0,5,27
SHFI,2024-05-28,2795.0,2783.0,2821.0,2774.0,53818.0,42142.0,5,28
SHFI,2024-05-29,2787.0,2757.0,2795.0,2726.0,68732.0,44890.0,5,29
SHFI,2024-05-30,2779.0,2772.0,2795.0,2738.0,80153.0,44425.0,5,30
SHFI,2024-05-31,2772.0,2828.0,2844.0,2763.0,167327.0,48037.0,5,31
SHFI,2024-06-03,2839.0,2759.0,2839.0,2749.0,125966.0,44160.0,6,3
SHFI,2024-06-04,2761.0,2769.0,2774.0,2731.0,68591.0,43725.0,6,4
SHFI,2024-06-05,2765.0,2749.0,2765.0,2737.0,55698.0,45221.0,6,5
SHFI,2024-06-06,2748.0,2708.0,2764.0,2688.0,96885.0,49705.0,6,6
SHFI,2024-06-07,2709.0,2698.0,2745.0,2695.0,70159.0,48512.0,6,7
SHFI,2024-06-11,2706.0,2736.0,2736.0,2686.0,55622.0,47983.0,6,11
SHFI,2024-06-12,2746.0,2717.0,2747.0,2704.0,57571.0,47700.0,6,12
SHFI,2024-06-13,2725.0,2735.0,2741.0,2700.0,59313.0,48727.0,6,13
SHFI,2024-06-14,2736.0,2719.0,2754.0,2705.0,67010.0,48448.0,6,14
SHFI,2024-06-17,2721.0,2722.0,2729.0,2691.0,62395.0,48893.0,6,17
SHFI,2024-06-18,2724.0,2689.0,2725.0,2676.0,70287.0,51672.0,6,18
SHFI,2024-06-19,2686.0,2669.0,2697.0,2662.0,52378.0,53811.0,6,19
SHFI,2024-06-20,2673.0,2703.0,2705.0,2652.0,60760.0,53058.0,6,20
SHFI,2024-06-21,2701.0,2705.0,2722.0,2692.0,46441.0,51178.0,6,21
SHFI,2024-06-24,2707.0,2690.0,2721.0,2687.0,51811.0,52800.0,6,24
SHFI,2024-06-25,2691.0,2718.0,2720.0,2669.0,69909.0,54431.0,6,25
