symbol,date,open,close,high,low,volume,oi,month,day
TAFI,2006-12-18,8532.0,8832.0,9019.0,8516.0,24698.0,3891.0,12,18
TAFI,2006-12-19,8834.0,8867.0,8919.0,8777.0,24953.0,4570.0,12,19
TAFI,2006-12-20,8906.0,8918.0,8930.0,8870.0,13090.0,5348.0,12,20
TAFI,2006-12-21,8873.0,8870.0,8904.0,8823.0,9877.0,4942.0,12,21
TAFI,2006-12-22,8853.0,8880.0,8887.0,8783.0,5150.0,4660.0,12,22
TAFI,2006-12-25,8890.0,9058.0,9098.0,8885.0,18057.0,7409.0,12,25
TAFI,2006-12-26,9060.0,9091.0,9101.0,9009.0,19700.0,8246.0,12,26
TAFI,2006-12-27,9021.0,8959.0,9062.0,8949.0,18214.0,9192.0,12,27
TAFI,2006-12-28,8944.0,8809.0,8953.0,8803.0,16877.0,9206.0,12,28
TAFI,2006-12-29,8803.0,8841.0,8878.0,8724.0,16604.0,7455.0,12,29
TAFI,2007-01-04,8645.0,8716.0,8749.0,8508.0,18136.0,7210.0,1,4
TAFI,2007-01-05,8647.0,8764.0,8787.0,8601.0,20130.0,8161.0,1,5
TAFI,2007-01-08,8784.0,8731.0,8817.0,8723.0,18158.0,7617.0,1,8
TAFI,2007-01-09,8715.0,8761.0,8803.0,8704.0,15894.0,8354.0,1,9
TAFI,2007-01-10,8778.0,8736.0,8801.0,8731.0,16273.0,8476.0,1,10
TAFI,2007-01-11,8694.0,8726.0,8773.0,8693.0,11470.0,7705.0,1,11
TAFI,2007-01-12,8710.0,8661.0,8734.0,8640.0,9378.0,7938.0,1,12
TAFI,2007-01-15,8726.0,8686.0,8767.0,8674.0,8250.0,8217.0,1,15
TAFI,2007-01-16,8697.0,8614.0,8732.0,8607.0,9704.0,8590.0,1,16
TAFI,2007-01-17,8587.0,8479.0,8629.0,8462.0,12389.0,10142.0,1,17
TAFI,2007-01-18,8524.0,8363.0,8524.0,8347.0,15792.0,11273.0,1,18
TAFI,2007-01-19,8338.0,8344.0,8387.0,8247.0,23965.0,10605.0,1,19
TAFI,2007-01-22,8357.0,8125.0,8375.0,8100.0,32321.0,15142.0,1,22
TAFI,2007-01-23,8058.0,8155.0,8183.0,8048.0,31096.0,12880.0,1,23
TAFI,2007-01-24,8213.0,8248.0,8306.0,8174.0,27796.0,10942.0,1,24
TAFI,2007-01-25,8249.0,8245.0,8279.0,8206.0,17346.0,11253.0,1,25
TAFI,2007-01-26,8251.0,8275.0,8290.0,8224.0,10478.0,10851.0,1,26
TAFI,2007-01-29,8300.0,8212.0,8325.0,8201.0,15379.0,11943.0,1,29
TAFI,2007-01-30,8176.0,8188.0,8217.0,8128.0,15160.0,12607.0,1,30
TAFI,2007-01-31,8277.0,8267.0,8309.0,8238.0,14896.0,12843.0,1,31
TAFI,2007-02-01,8268.0,8281.0,8302.0,8253.0,12977.0,12887.0,2,1
TAFI,2007-02-02,8257.0,8195.0,8331.0,8187.0,20673.0,12231.0,2,2
TAFI,2007-02-05,8242.0,8183.0,8256.0,8153.0,17299.0,12253.0,2,5
TAFI,2007-02-06,8171.0,8214.0,8229.0,8169.0,12115.0,12236.0,2,6
TAFI,2007-02-07,8239.0,8274.0,8289.0,8217.0,14338.0,11732.0,2,7
TAFI,2007-02-08,8241.0,8252.0,8285.0,8210.0,14753.0,12168.0,2,8
TAFI,2007-02-09,8301.0,8302.0,8376.0,8277.0,22376.0,12732.0,2,9
TAFI,2007-02-12,8289.0,8344.0,8352.0,8275.0,13772.0,10717.0,2,12
TAFI,2007-02-13,8317.0,8403.0,8417.0,8317.0,12366.0,10987.0,2,13
TAFI,2007-02-14,8413.0,8437.0,8453.0,8376.0,23197.0,13661.0,2,14
TAFI,2007-02-15,8414.0,8410.0,8437.0,8388.0,10412.0,12821.0,2,15
TAFI,2007-02-16,8403.0,8420.0,8427.0,8388.0,4300.0,12057.0,2,16
TAFI,2007-02-26,8486.0,8414.0,8527.0,8399.0,14419.0,13266.0,2,26
TAFI,2007-02-27,8402.0,8401.0,8430.0,8363.0,7529.0,12953.0,2,27
TAFI,2007-02-28,8346.0,8398.0,8413.0,8322.0,6815.0,12392.0,2,28
TAFI,2007-03-01,8414.0,8456.0,8459.0,8383.0,8255.0,11451.0,3,1
TAFI,2007-03-02,8449.0,8513.0,8517.0,8442.0,10498.0,12430.0,3,2
TAFI,2007-03-05,8480.0,8459.0,8504.0,8439.0,7536.0,11548.0,3,5
TAFI,2007-03-06,8443.0,8461.0,8474.0,8410.0,4319.0,10860.0,3,6
TAFI,2007-03-07,8480.0,8483.0,8507.0,8464.0,5095.0,11383.0,3,7
TAFI,2007-03-08,8493.0,8477.0,8503.0,8453.0,4743.0,11481.0,3,8
TAFI,2007-03-09,8464.0,8429.0,8471.0,8410.0,4934.0,11185.0,3,9
TAFI,2007-03-12,8408.0,8368.0,8426.0,8347.0,9355.0,11616.0,3,12
TAFI,2007-03-13,8387.0,8378.0,8409.0,8366.0,5389.0,12097.0,3,13
TAFI,2007-03-14,8374.0,8372.0,8388.0,8342.0,5168.0,11152.0,3,14
TAFI,2007-03-15,8387.0,8391.0,8427.0,8359.0,4131.0,12214.0,3,15
TAFI,2007-03-16,8351.0,8377.0,8379.0,8329.0,4636.0,12644.0,3,16
TAFI,2007-03-19,8392.0,8390.0,8420.0,8374.0,4654.0,12852.0,3,19
TAFI,2007-03-20,8400.0,8378.0,8403.0,8362.0,4155.0,12954.0,3,20
TAFI,2007-03-21,8378.0,8371.0,8393.0,8368.0,4264.0,13366.0,3,21
TAFI,2007-03-22,8381.0,8387.0,8405.0,8376.0,5653.0,13297.0,3,22
TAFI,2007-03-23,8414.0,8419.0,8438.0,8404.0,7382.0,12789.0,3,23
