symbol,date,open,close,high,low,volume,oi,month,day
URFI,2019-08-09,1746.0,1711.0,1790.0,1706.0,353999.0,46046.0,8,9
URFI,2019-08-12,1700.0,1724.0,1732.0,1686.0,286240.0,54122.0,8,12
URFI,2019-08-13,1716.0,1773.0,1773.0,1710.0,335142.0,74383.0,8,13
URFI,2019-08-14,1775.0,1738.0,1787.0,1722.0,304095.0,53784.0,8,14
URFI,2019-08-15,1745.0,1744.0,1758.0,1729.0,184601.0,54245.0,8,15
URFI,2019-08-16,1743.0,1745.0,1758.0,1738.0,79868.0,51240.0,8,16
URFI,2019-08-19,1749.0,1747.0,1755.0,1736.0,59592.0,50716.0,8,19
URFI,2019-08-20,1748.0,1747.0,1754.0,1743.0,29571.0,47607.0,8,20
URFI,2019-08-21,1745.0,1726.0,1745.0,1713.0,98295.0,46261.0,8,21
URFI,2019-08-22,1730.0,1732.0,1738.0,1726.0,31220.0,43687.0,8,22
URFI,2019-08-23,1734.0,1729.0,1736.0,1723.0,20513.0,43368.0,8,23
URFI,2019-08-26,1724.0,1745.0,1755.0,1722.0,43077.0,41831.0,8,26
URFI,2019-08-27,1743.0,1746.0,1764.0,1741.0,60864.0,42422.0,8,27
URFI,2019-08-28,1751.0,1757.0,1764.0,1746.0,33641.0,42562.0,8,28
URFI,2019-08-29,1756.0,1792.0,1819.0,1756.0,234854.0,55157.0,8,29
URFI,2019-08-30,1800.0,1796.0,1809.0,1787.0,83781.0,54621.0,8,30
URFI,2019-09-02,1799.0,1802.0,1829.0,1790.0,75916.0,57681.0,9,2
URFI,2019-09-03,1803.0,1797.0,1811.0,1791.0,47668.0,56986.0,9,3
URFI,2019-09-04,1802.0,1817.0,1846.0,1798.0,153287.0,60155.0,9,4
URFI,2019-09-05,1820.0,1817.0,1834.0,1813.0,64576.0,57360.0,9,5
URFI,2019-09-06,1821.0,1825.0,1832.0,1815.0,45252.0,57698.0,9,6
URFI,2019-09-09,1836.0,1828.0,1843.0,1822.0,44192.0,59484.0,9,9
URFI,2019-09-10,1831.0,1816.0,1839.0,1809.0,57774.0,56557.0,9,10
URFI,2019-09-11,1816.0,1822.0,1825.0,1814.0,26049.0,54059.0,9,11
URFI,2019-09-12,1823.0,1819.0,1827.0,1817.0,18769.0,52165.0,9,12
URFI,2019-09-16,1823.0,1796.0,1829.0,1794.0,47528.0,48192.0,9,16
URFI,2019-09-17,1797.0,1788.0,1801.0,1784.0,30923.0,45100.0,9,17
URFI,2019-09-18,1789.0,1793.0,1793.0,1773.0,37178.0,43962.0,9,18
URFI,2019-09-19,1792.0,1787.0,1801.0,1785.0,31405.0,45473.0,9,19
URFI,2019-09-20,1789.0,1770.0,1789.0,1763.0,45291.0,47558.0,9,20
URFI,2019-09-23,1774.0,1774.0,1778.0,1767.0,24521.0,49148.0,9,23
URFI,2019-09-24,1775.0,1782.0,1786.0,1770.0,26399.0,46924.0,9,24
URFI,2019-09-25,1784.0,1768.0,1785.0,1765.0,22314.0,49130.0,9,25
URFI,2019-09-26,1769.0,1769.0,1776.0,1758.0,21026.0,47279.0,9,26
URFI,2019-09-27,1763.0,1763.0,1768.0,1759.0,12205.0,44589.0,9,27
URFI,2019-09-30,1767.0,1768.0,1775.0,1763.0,12488.0,43825.0,9,30
URFI,2019-10-08,1761.0,1765.0,1776.0,1743.0,19789.0,44602.0,10,8
URFI,2019-10-09,1765.0,1780.0,1783.0,1764.0,28312.0,49034.0,10,9
URFI,2019-10-10,1779.0,1770.0,1789.0,1768.0,18464.0,49468.0,10,10
URFI,2019-10-11,1772.0,1765.0,1774.0,1761.0,13580.0,49864.0,10,11
URFI,2019-10-14,1763.0,1751.0,1765.0,1746.0,16589.0,53188.0,10,14
URFI,2019-10-15,1743.0,1749.0,1750.0,1743.0,11494.0,54792.0,10,15
URFI,2019-10-16,1749.0,1742.0,1753.0,1742.0,11583.0,55341.0,10,16
URFI,2019-10-17,1742.0,1728.0,1742.0,1725.0,22957.0,58633.0,10,17
URFI,2019-10-18,1729.0,1727.0,1736.0,1724.0,12239.0,59196.0,10,18
URFI,2019-10-21,1728.0,1715.0,1728.0,1714.0,18934.0,62043.0,10,21
URFI,2019-10-22,1716.0,1696.0,1718.0,1687.0,51749.0,71288.0,10,22
URFI,2019-10-23,1698.0,1692.0,1699.0,1689.0,19875.0,72096.0,10,23
URFI,2019-10-24,1696.0,1698.0,1704.0,1693.0,21635.0,72578.0,10,24
URFI,2019-10-25,1696.0,1696.0,1702.0,1693.0,17922.0,74070.0,10,25
URFI,2019-10-28,1698.0,1702.0,1706.0,1695.0,17133.0,72065.0,10,28
URFI,2019-10-29,1703.0,1703.0,1709.0,1697.0,19404.0,70835.0,10,29
URFI,2019-10-30,1701.0,1707.0,1711.0,1699.0,16261.0,70526.0,10,30
URFI,2019-10-31,1707.0,1702.0,1713.0,1701.0,15190.0,71203.0,10,31
URFI,2019-11-01,1702.0,1703.0,1706.0,1697.0,13128.0,70555.0,11,1
URFI,2019-11-04,1704.0,1698.0,1705.0,1696.0,10453.0,71337.0,11,4
URFI,2019-11-05,1700.0,1718.0,1721.0,1698.0,30477.0,73988.0,11,5
URFI,2019-11-06,1717.0,1701.0,1721.0,1700.0,20518.0,72387.0,11,6
URFI,2019-11-07,1704.0,1687.0,1706.0,1686.0,37507.0,78604.0,11,7
URFI,2019-11-08,1690.0,1665.0,1691.0,1661.0,46222.0,84557.0,11,8
URFI,2019-11-11,1668.0,1660.0,1670.0,1658.0,24623.0,85376.0,11,11
URFI,2019-11-12,1663.0,1669.0,1677.0,1658.0,20856.0,83600.0,11,12
URFI,2019-11-13,1668.0,1672.0,1682.0,1667.0,19317.0,82712.0,11,13
URFI,2019-11-14,1673.0,1660.0,1678.0,1655.0,29126.0,83934.0,11,14
URFI,2019-11-15,1661.0,1673.0,1674.0,1657.0,28972.0,76937.0,11,15
URFI,2019-11-18,1668.0,1635.0,1671.0,1629.0,68856.0,83781.0,11,18
URFI,2019-11-19,1629.0,1635.0,1641.0,1615.0,46333.0,81540.0,11,19
URFI,2019-11-20,1636.0,1633.0,1650.0,1626.0,35252.0,78812.0,11,20
URFI,2019-11-21,1637.0,1632.0,1637.0,1626.0,15432.0,79583.0,11,21
URFI,2019-11-22,1635.0,1656.0,1663.0,1635.0,48762.0,75559.0,11,22
