symbol,date,open,close,high,low,vol,oi,month,day
ZCFI,2015-05-18,440.0,437.6,440.2,437.6,64.0,38.0,5,18
ZCFI,2015-05-19,436.0,437.0,437.6,436.0,6.0,42.0,5,19
ZCFI,2015-05-20,436.8,435.8,437.0,434.8,8.0,42.0,5,20
ZCFI,2015-05-21,438.0,443.2,446.8,437.8,37.0,61.0,5,21
ZCFI,2015-05-22,439.2,441.4,443.8,439.2,34.0,77.0,5,22
ZCFI,2015-05-25,439.2,440.2,441.8,439.2,6.0,77.0,5,25
ZCFI,2015-05-26,441.0,441.4,447.8,439.2,168.0,169.0,5,26
ZCFI,2015-05-27,440.0,440.8,444.2,438.8,88.0,228.0,5,27
ZCFI,2015-05-28,440.8,439.8,441.0,439.6,43.0,262.0,5,28
ZCFI,2015-05-29,441.4,442.6,442.6,439.8,13.0,272.0,5,29
ZCFI,2015-06-01,443.0,440.8,443.0,440.2,17.0,276.0,6,1
ZCFI,2015-06-02,440.6,440.2,442.6,440.2,12.0,283.0,6,2
ZCFI,2015-06-03,442.2,440.0,442.2,440.0,8.0,286.0,6,3
ZCFI,2015-06-04,440.8,440.0,441.0,438.6,10.0,294.0,6,4
ZCFI,2015-06-05,440.8,438.4,440.8,438.0,14.0,296.0,6,5
ZCFI,2015-06-08,438.09,438.09,438.49,437.49,112.0,307.0,6,8
ZCFI,2015-06-09,438.09,438.09,438.09,438.09,1.0,308.0,6,9
ZCFI,2015-06-10,439.03,439.03,439.03,437.03,16.0,311.0,6,10
ZCFI,2015-06-11,440.02,437.43,440.02,437.23,4.0,314.0,6,11
ZCFI,2015-06-12,437.03,428.09,437.03,428.09,83.0,349.0,6,12
ZCFI,2015-06-15,430.0,428.8,430.6,428.8,29.0,346.0,6,15
ZCFI,2015-06-16,425.0,426.8,428.0,425.0,89.0,358.0,6,16
ZCFI,2015-06-17,425.0,422.6,426.0,421.6,35.0,373.0,6,17
ZCFI,2015-06-18,422.0,421.8,422.4,420.4,15.0,373.0,6,18
ZCFI,2015-06-19,418.0,420.8,422.6,414.4,31.0,381.0,6,19
ZCFI,2015-06-24,428.0,421.2,428.0,421.2,21.0,393.0,6,24
ZCFI,2015-06-25,423.0,420.0,423.0,419.2,31.0,402.0,6,25
ZCFI,2015-06-26,419.6,420.0,420.4,419.0,97.0,359.0,6,26
ZCFI,2015-06-29,419.4,420.0,420.0,411.8,25.0,349.0,6,29
ZCFI,2015-06-30,416.2,416.6,418.2,413.2,65.0,350.0,6,30
ZCFI,2015-07-01,414.0,415.0,417.4,414.0,30.0,363.0,7,1
