symbol,date,open,close,high,low,volume,oi,timestamp
afi,2000-05-08,2377.0,2370.0,2386.0,2354.0,98290.0,195277.0,957744000
afi,2000-05-09,2368.0,2373.0,2374.0,2364.0,21547.0,198523.0,957830400
afi,2000-05-10,2375.0,2371.0,2380.0,2368.0,35042.0,199485.0,957916800
afi,2000-05-11,2383.0,2366.0,2385.0,2358.0,46357.0,199844.0,958003200
afi,2000-05-12,2366.0,2369.0,2370.0,2363.0,17314.0,197056.0,958089600
afi,2000-05-15,2374.0,2359.0,2375.0,2358.0,38568.0,192333.0,958348800
afi,2000-05-16,2350.0,2347.0,2354.0,2341.0,55955.0,191672.0,958435200
afi,2000-05-17,2342.0,2349.0,2351.0,2341.0,32532.0,194326.0,958521600
afi,2000-05-18,2346.0,2349.0,2356.0,2343.0,45096.0,198971.0,958608000
afi,2000-05-19,2349.0,2335.0,2350.0,2328.0,81657.0,199844.0,958694400
afi,2000-05-22,2342.0,2341.0,2349.0,2332.0,42447.0,197545.0,958953600
afi,2000-05-23,2341.0,2342.0,2347.0,2340.0,26150.0,198607.0,959040000
afi,2000-05-24,2339.0,2347.0,2350.0,2331.0,63349.0,199181.0,959126400
afi,2000-05-25,2343.0,2349.0,2354.0,2340.0,58464.0,199036.0,959212800
afi,2000-05-26,2335.0,2332.0,2342.0,2327.0,69713.0,198847.0,959299200
afi,2000-05-29,2288.0,2261.0,2305.0,2261.0,135516.0,183621.0,959558400
afi,2000-05-30,2224.0,2201.0,2231.0,2201.0,201368.0,165117.0,959644800
afi,2000-05-31,2200.0,2230.0,2231.0,2194.0,177268.0,136602.0,959731200
afi,2000-06-01,2226.0,2223.0,2228.0,2220.0,37414.0,136424.0,959817600
afi,2000-06-02,2215.0,2221.0,2224.0,2206.0,78658.0,135478.0,959904000
afi,2000-06-05,2231.0,2233.0,2241.0,2227.0,45296.0,135555.0,960163200
afi,2000-06-06,2230.0,2233.0,2239.0,2228.0,35066.0,139342.0,960249600
afi,2000-06-07,2235.0,2235.0,2241.0,2222.0,47790.0,144824.0,960336000
afi,2000-06-08,2230.0,2230.0,2233.0,2219.0,60831.0,154048.0,960422400
afi,2000-06-09,2231.0,2224.0,2235.0,2223.0,38304.0,160755.0,960508800
afi,2000-06-12,2219.0,2183.0,2219.0,2182.0,119444.0,160435.0,960768000
afi,2000-06-13,2179.0,2174.0,2190.0,2161.0,124322.0,155339.0,960854400
afi,2000-06-14,2170.0,2180.0,2191.0,2164.0,100580.0,159071.0,960940800
afi,2000-06-15,2170.0,2172.0,2176.0,2158.0,67139.0,160077.0,961027200
afi,2000-06-16,2172.0,2172.0,2178.0,2164.0,59578.0,165140.0,961113600
afi,2000-06-19,2175.0,2177.0,2183.0,2173.0,47756.0,167457.0,961372800
afi,2000-06-20,2180.0,2183.0,2186.0,2177.0,23213.0,166535.0,961459200
afi,2000-06-21,2176.0,2178.0,2180.0,2173.0,33158.0,169877.0,961545600
