symbol,date,open,close,high,low,volume,oi,month,day
agfi,2012-05-10,6182.0,6149.0,6194.0,6093.0,174582.0,24724.0,5,10
agfi,2012-05-11,6111.0,6010.0,6119.0,6007.0,127233.0,36750.0,5,11
agfi,2012-05-14,6048.0,5981.0,6054.0,5965.0,122468.0,39478.0,5,14
agfi,2012-05-15,5896.0,5847.0,5915.0,5718.0,255023.0,54369.0,5,15
agfi,2012-05-16,5753.0,5651.0,5788.0,5647.0,340571.0,70499.0,5,16
agfi,2012-05-17,5707.0,5771.0,5793.0,5696.0,318621.0,59190.0,5,17
agfi,2012-05-18,5820.0,5871.0,5889.0,5776.0,402828.0,61644.0,5,18
agfi,2012-05-21,5960.0,5945.0,5971.0,5908.0,236309.0,62840.0,5,21
agfi,2012-05-22,5928.0,5897.0,5935.0,5889.0,207217.0,59929.0,5,22
agfi,2012-05-23,5807.0,5796.0,5823.0,5765.0,170223.0,58734.0,5,23
agfi,2012-05-24,5793.0,5839.0,5845.0,5773.0,172082.0,55929.0,5,24
agfi,2012-05-25,5862.0,5909.0,5917.0,5810.0,235083.0,58374.0,5,25
agfi,2012-05-28,5946.0,5993.0,5998.0,5922.0,213418.0,59889.0,5,28
agfi,2012-05-29,5938.0,5970.0,5989.0,5928.0,195645.0,59438.0,5,29
agfi,2012-05-30,5826.0,5809.0,5861.0,5803.0,197410.0,59825.0,5,30
agfi,2012-05-31,5845.0,5858.0,5886.0,5835.0,204925.0,55414.0,5,31
agfi,2012-06-01,5804.0,5840.0,5844.0,5774.0,169001.0,56014.0,6,1
agfi,2012-06-04,5923.0,5956.0,5999.0,5903.0,228501.0,54748.0,6,4
agfi,2012-06-05,5961.0,5939.0,5992.0,5929.0,184762.0,55133.0,6,5
agfi,2012-06-06,6009.0,6099.0,6102.0,6000.0,199174.0,58040.0,6,6
agfi,2012-06-07,6150.0,6142.0,6163.0,6117.0,159143.0,57815.0,6,7
agfi,2012-06-08,6015.0,5946.0,6032.0,5916.0,186231.0,52152.0,6,8
agfi,2012-06-11,6065.0,6074.0,6111.0,6043.0,120947.0,50364.0,6,11
agfi,2012-06-12,5992.0,6000.0,6039.0,5980.0,136408.0,56170.0,6,12
agfi,2012-06-13,6056.0,6094.0,6089.0,6047.0,104164.0,52490.0,6,13
agfi,2012-06-14,6078.0,6091.0,6139.0,6073.0,106499.0,53487.0,6,14
agfi,2012-06-15,6052.0,6081.0,6086.0,6033.0,120122.0,51297.0,6,15
agfi,2012-06-18,6092.0,6019.0,6100.0,6008.0,172606.0,61813.0,6,18
agfi,2012-06-19,6061.0,6071.0,6080.0,6046.0,96631.0,50245.0,6,19
agfi,2012-06-20,5989.0,6021.0,6020.0,5982.0,101594.0,54126.0,6,20
agfi,2012-06-21,5909.0,5921.0,5934.0,5901.0,84454.0,50072.0,6,21
agfi,2012-06-25,5713.0,5725.0,5755.0,5702.0,98914.0,59084.0,6,25
agfi,2012-06-26,5832.0,5801.0,5835.0,5788.0,83107.0,55659.0,6,26
agfi,2012-06-27,5771.0,5755.0,5776.0,5730.0,79932.0,60011.0,6,27
agfi,2012-06-28,5789.0,5749.0,5792.0,5744.0,70529.0,59880.0,6,28
agfi,2012-06-29,5655.0,5767.0,5767.0,5635.0,145297.0,58200.0,6,29
agfi,2012-07-02,5836.0,5811.0,5839.0,5787.0,95644.0,52139.0,7,2
agfi,2012-07-03,5823.0,5925.0,5920.0,5815.0,114518.0,48551.0,7,3
agfi,2012-07-04,5967.0,5964.0,5994.0,5948.0,84336.0,45296.0,7,4
agfi,2012-07-05,5971.0,6009.0,6004.0,5954.0,73357.0,46975.0,7,5
agfi,2012-07-06,5940.0,5888.0,5947.0,5875.0,93116.0,48498.0,7,6
agfi,2012-07-09,5800.0,5821.0,5839.0,5788.0,91292.0,52799.0,7,9
agfi,2012-07-10,5822.0,5811.0,5844.0,5803.0,64230.0,52994.0,7,10
agfi,2012-07-11,5756.0,5792.0,5782.0,5752.0,61256.0,53471.0,7,11
agfi,2012-07-12,5784.0,5757.0,5789.0,5737.0,71661.0,58710.0,7,12
