symbol,date,open,close,high,low,vol,oi,month,day
alfi,1998-02-04,14078.0,14132.0,14132.0,14078.0,265.0,2266.0,2,4
alfi,1998-02-05,14059.0,14106.0,14149.0,14040.0,359.0,2288.0,2,5
alfi,1998-02-06,14060.0,14060.0,14069.0,14047.0,307.0,2313.0,2,6
alfi,1998-02-09,14013.0,14017.0,14060.0,13991.0,375.0,2339.0,2,9
alfi,1998-02-11,14002.0,13982.0,14002.0,13971.0,330.0,2797.0,2,11
alfi,1998-02-12,14004.0,13981.0,14004.0,13978.0,452.0,2920.0,2,12
alfi,1998-02-13,13961.0,13975.0,13979.0,13958.0,703.0,2480.0,2,13
alfi,1998-02-16,11974.0,13944.0,12026.0,11961.0,276.0,2487.0,2,16
alfi,1998-02-17,13909.0,13991.0,13995.0,13906.0,245.0,2112.0,2,17
alfi,1998-02-18,13969.0,13965.0,14002.0,13925.0,316.0,2050.0,2,18
alfi,1998-02-19,13930.0,13895.0,13954.0,13881.0,415.0,2096.0,2,19
alfi,1998-02-20,13911.0,13875.0,13939.0,13843.0,552.0,2342.0,2,20
alfi,1998-02-23,13759.0,13771.0,13806.0,13743.0,301.0,2386.0,2,23
alfi,1998-02-24,13676.0,13738.0,13741.0,13667.0,381.0,2326.0,2,24
alfi,1998-02-25,13786.0,13807.0,13810.0,13775.0,464.0,2387.0,2,25
alfi,1998-02-26,13927.0,13907.0,13941.0,13890.0,350.0,2327.0,2,26
alfi,1998-02-27,13873.0,13870.0,13928.0,13853.0,246.0,2347.0,2,27
alfi,1998-03-02,13887.0,13900.0,13896.0,13883.0,220.0,2332.0,3,2
alfi,1998-03-03,13911.0,13987.0,13987.0,13895.0,155.0,2228.0,3,3
alfi,1998-03-04,13950.0,13946.0,13953.0,13934.0,351.0,2187.0,3,4
alfi,1998-03-05,13940.0,13926.0,13944.0,13908.0,559.0,2351.0,3,5
alfi,1998-03-06,13897.0,13865.0,13897.0,13863.0,281.0,2312.0,3,6
alfi,1998-03-09,13898.0,13788.0,13898.0,13785.0,380.0,2391.0,3,9
alfi,1998-03-10,13772.0,13776.0,13780.0,13762.0,303.0,2414.0,3,10
alfi,1998-03-11,13849.0,13847.0,13849.0,13845.0,262.0,2449.0,3,11
alfi,1998-03-12,13806.0,13834.0,13850.0,13766.0,493.0,2309.0,3,12
alfi,1998-03-13,13883.0,13844.0,13883.0,13832.0,328.0,2287.0,3,13
alfi,1998-03-16,11455.0,13846.0,11475.0,11449.0,352.0,2296.0,3,16
alfi,1998-03-17,13917.0,13944.0,13944.0,13917.0,572.0,1480.0,3,17
alfi,1998-03-18,13907.0,13936.0,13928.0,13902.0,322.0,1381.0,3,18
alfi,1998-03-19,13898.0,13906.0,13922.0,13882.0,513.0,1456.0,3,19
alfi,1998-03-20,13900.0,13897.0,13913.0,13893.0,549.0,1686.0,3,20
alfi,1998-03-23,13898.0,13892.0,13907.0,13878.0,501.0,1870.0,3,23
alfi,1998-03-24,13848.0,13887.0,13868.0,13841.0,467.0,1739.0,3,24
alfi,1998-03-25,13838.0,13860.0,13848.0,13814.0,282.0,1735.0,3,25
alfi,1998-03-26,13818.0,13857.0,13842.0,13794.0,386.0,1671.0,3,26
alfi,1998-03-27,13804.0,13854.0,13816.0,13801.0,267.0,1711.0,3,27
alfi,1998-03-30,13787.0,13822.0,13787.0,13782.0,245.0,1741.0,3,30
alfi,1998-03-31,13747.0,13791.0,13762.0,13741.0,349.0,1759.0,3,31
alfi,1998-04-01,13728.0,13787.0,13797.0,13726.0,448.0,1654.0,4,1
alfi,1998-04-02,13686.0,13730.0,13697.0,13677.0,292.0,1636.0,4,2
alfi,1998-04-03,13700.0,13723.0,13709.0,13677.0,441.0,1655.0,4,3
alfi,1998-04-06,13659.0,13694.0,13665.0,13646.0,291.0,1626.0,4,6
alfi,1998-04-07,13698.0,13748.0,13706.0,13698.0,284.0,1650.0,4,7
alfi,1998-04-08,13712.0,13752.0,13719.0,13702.0,306.0,1724.0,4,8
alfi,1998-04-09,13749.0,13793.0,13756.0,13741.0,278.0,1727.0,4,9
alfi,1998-04-13,13849.0,13857.0,13865.0,13835.0,419.0,1688.0,4,13
alfi,1998-04-14,13845.0,13850.0,13857.0,13833.0,479.0,1727.0,4,14
alfi,1998-04-15,13635.0,13831.0,13639.0,13631.0,361.0,1747.0,4,15
alfi,1998-04-16,13663.0,13885.0,13663.0,13654.0,324.0,1507.0,4,16
alfi,1998-04-17,13628.0,13878.0,13650.0,13618.0,324.0,1466.0,4,17
alfi,1998-04-20,13604.0,13831.0,13606.0,13597.0,331.0,1487.0,4,20
alfi,1998-04-21,13535.0,13770.0,13543.0,13535.0,208.0,1485.0,4,21
alfi,1998-04-22,13584.0,13811.0,13584.0,13570.0,193.0,1447.0,4,22
alfi,1998-04-23,13534.0,13888.0,13550.0,13534.0,655.0,1012.0,4,23
alfi,1998-04-24,13873.0,13906.0,13912.0,13867.0,273.0,1078.0,4,24
alfi,1998-04-27,13819.0,13877.0,13877.0,13819.0,452.0,1228.0,4,27
alfi,1998-04-28,13878.0,13878.0,13888.0,13861.0,444.0,1233.0,4,28
alfi,1998-04-29,13901.0,13851.0,13901.0,13851.0,456.0,1053.0,4,29
alfi,1998-04-30,11941.0,13867.0,11946.0,11941.0,286.0,1139.0,4,30
alfi,1998-05-04,13885.0,13864.0,13885.0,13864.0,231.0,1140.0,5,4
alfi,1998-05-05,13873.0,13855.0,13873.0,13866.0,243.0,1130.0,5,5
alfi,1998-05-06,13847.0,13858.0,13858.0,13835.0,269.0,1303.0,5,6
alfi,1998-05-07,13851.0,13871.0,13871.0,13844.0,358.0,1378.0,5,7
alfi,1998-05-08,13871.0,13884.0,13884.0,13871.0,268.0,1368.0,5,8
alfi,1998-05-11,11485.0,13876.0,11485.0,11479.0,276.0,1358.0,5,11
alfi,1998-05-12,11296.0,13865.0,11299.0,11296.0,211.0,1267.0,5,12
alfi,1998-05-13,13860.0,13877.0,13877.0,13860.0,432.0,1337.0,5,13
alfi,1998-05-14,13825.0,13849.0,13871.0,13825.0,415.0,1401.0,5,14
alfi,1998-05-15,13806.0,13829.0,13833.0,13806.0,258.0,1435.0,5,15
alfi,1998-05-18,13802.0,13800.0,13814.0,13785.0,510.0,1280.0,5,18
alfi,1998-05-19,13737.0,13705.0,13737.0,13705.0,170.0,1315.0,5,19
alfi,1998-05-20,13389.0,13741.0,13418.0,13389.0,211.0,1314.0,5,20
alfi,1998-05-22,8609.0,13741.0,8609.0,8609.0,237.0,1324.0,5,22
alfi,1998-05-26,13382.0,13696.0,13389.0,13382.0,201.0,1385.0,5,26
alfi,1998-05-27,13369.0,13690.0,13369.0,13369.0,30.0,1355.0,5,27
alfi,1998-06-01,13729.0,13727.0,13737.0,13719.0,328.0,1463.0,6,1
alfi,1998-06-02,13698.0,13701.0,13701.0,13698.0,471.0,1678.0,6,2
alfi,1998-06-03,13683.0,13688.0,13688.0,13683.0,242.0,1636.0,6,3
alfi,1998-06-04,11713.0,13736.0,11722.0,11713.0,285.0,1636.0,6,4
alfi,1998-06-11,13626.0,13617.0,13639.0,13604.0,409.0,1960.0,6,11
alfi,1998-06-12,13597.0,13592.0,13602.0,13591.0,383.0,2047.0,6,12
alfi,1998-06-15,13577.0,13542.0,13577.0,13541.0,342.0,2037.0,6,15
alfi,1998-06-16,13522.0,13500.0,13522.0,13500.0,348.0,1973.0,6,16
alfi,1998-06-17,13406.0,13340.0,13418.0,13340.0,317.0,2035.0,6,17
alfi,1998-06-18,13479.0,13450.0,13479.0,13445.0,300.0,2105.0,6,18
alfi,1998-06-19,13391.0,13281.0,13398.0,13281.0,295.0,2145.0,6,19
alfi,1998-06-22,13275.0,13144.0,13275.0,13145.0,278.0,2364.0,6,22
alfi,1998-06-23,13101.0,13107.0,13109.0,13095.0,285.0,2420.0,6,23
alfi,1998-06-24,13097.0,13023.0,13098.0,13017.0,554.0,2463.0,6,24
alfi,1998-06-25,12908.0,12898.0,12923.0,12877.0,350.0,2458.0,6,25
alfi,1998-06-26,12855.0,12932.0,12932.0,12855.0,358.0,2374.0,6,26
alfi,1998-06-29,12910.0,12913.0,12920.0,12898.0,425.0,2417.0,6,29
alfi,1998-06-30,12890.0,12924.0,12927.0,12890.0,464.0,2467.0,6,30
alfi,1998-07-01,12962.0,13014.0,13014.0,12962.0,158.0,2405.0,7,1
alfi,1998-07-02,13020.0,13030.0,13038.0,13019.0,238.0,2408.0,7,2
alfi,1998-07-03,12993.0,12990.0,13010.0,12973.0,231.0,2407.0,7,3
alfi,1998-07-06,12989.0,12986.0,12990.0,12988.0,99.0,2408.0,7,6
alfi,1998-07-07,12883.0,12861.0,12883.0,12861.0,145.0,2408.0,7,7
alfi,1998-07-08,12868.0,12777.0,12871.0,12777.0,332.0,2418.0,7,8
alfi,1998-07-09,12765.0,12761.0,12795.0,12736.0,294.0,2484.0,7,9
alfi,1998-07-10,12695.0,12704.0,12722.0,12674.0,233.0,2467.0,7,10
alfi,1998-07-13,12694.0,12707.0,12695.0,12694.0,109.0,2399.0,7,13
alfi,1998-07-14,12735.0,12753.0,12753.0,12735.0,77.0,2430.0,7,14
alfi,1998-07-15,12765.0,12756.0,12771.0,12728.0,225.0,2426.0,7,15
alfi,1998-07-16,12714.0,12832.0,12830.0,12714.0,193.0,2218.0,7,16
alfi,1998-07-17,11859.0,12814.0,11859.0,11846.0,39.0,2198.0,7,17
alfi,1998-07-20,11867.0,12853.0,11897.0,11860.0,180.0,2190.0,7,20
alfi,1998-07-21,11968.0,12907.0,12016.0,11968.0,259.0,2282.0,7,21
alfi,1998-07-22,11880.0,12807.0,11896.0,11869.0,61.0,2314.0,7,22
alfi,1998-07-23,12743.0,12746.0,12746.0,12743.0,50.0,2284.0,7,23
alfi,1998-07-28,13005.0,13015.0,13009.0,13005.0,27.0,2265.0,7,28
alfi,1998-07-29,11220.0,13022.0,11237.0,11220.0,100.0,2165.0,7,29
alfi,1998-07-30,12480.0,13025.0,12480.0,12475.0,140.0,2145.0,7,30
alfi,1998-07-31,12437.0,13012.0,12437.0,12437.0,95.0,2050.0,7,31
alfi,1998-08-03,12359.0,12911.0,12359.0,12334.0,26.0,2043.0,8,3
alfi,1998-08-04,12345.0,12904.0,12348.0,12345.0,97.0,2080.0,8,4
alfi,1998-08-05,12356.0,12934.0,12363.0,12356.0,55.0,2065.0,8,5
alfi,1998-08-06,12422.0,12980.0,12430.0,12389.0,150.0,2026.0,8,6
alfi,1998-08-07,12382.0,12952.0,12383.0,12372.0,35.0,2001.0,8,7
alfi,1998-08-10,10985.0,13020.0,11041.0,10971.0,188.0,2071.0,8,10
alfi,1998-08-11,12423.0,12973.0,12423.0,12405.0,116.0,2070.0,8,11
alfi,1998-08-12,12302.0,12942.0,12371.0,12266.0,147.0,2065.0,8,12
alfi,1998-08-13,11116.0,12950.0,11157.0,11095.0,134.0,2105.0,8,13
alfi,1998-08-14,12946.0,12934.0,12948.0,12934.0,78.0,2110.0,8,14
alfi,1998-08-17,10657.0,12920.0,10657.0,10657.0,15.0,2110.0,8,17
alfi,1998-08-18,12292.0,12948.0,12310.0,12273.0,50.0,1735.0,8,18
alfi,1998-08-19,12271.0,12944.0,12271.0,12267.0,10.0,1730.0,8,19
alfi,1998-08-21,10684.0,12969.0,10684.0,10668.0,65.0,1700.0,8,21
alfi,1998-08-24,12908.0,12911.0,12911.0,12908.0,117.0,1693.0,8,24
alfi,1998-08-25,12944.0,12946.0,12946.0,12944.0,165.0,1623.0,8,25
alfi,1998-08-26,12944.0,12944.0,12944.0,12944.0,40.0,1593.0,8,26
alfi,1998-08-27,12930.0,12928.0,12962.0,12920.0,161.0,1564.0,8,27
alfi,1998-08-28,12911.0,12907.0,12915.0,12907.0,42.0,1532.0,8,28
alfi,1998-08-31,12910.0,12907.0,12920.0,12907.0,165.0,1537.0,8,31
alfi,1998-09-01,12900.0,12901.0,12904.0,12897.0,40.0,1557.0,9,1
alfi,1998-09-02,12879.0,12969.0,12888.0,12879.0,113.0,1602.0,9,2
alfi,1998-09-03,12876.0,12961.0,12880.0,12876.0,142.0,1602.0,9,3
alfi,1998-09-04,12884.0,12977.0,12893.0,12884.0,44.0,1586.0,9,4
alfi,1998-09-07,12176.0,13032.0,12197.0,12176.0,101.0,1570.0,9,7
alfi,1998-09-08,13021.0,13016.0,13026.0,13016.0,111.0,1531.0,9,8
