symbol,date,open,close,high,low,volume,position,month,day
aofi,2023-06-19,2713,2708,2754,2677,100744,14720,6,19
aofi,2023-06-20,2701,2715,2730,2700,66774,14244,6,20
aofi,2023-06-21,2711,2719,2723,2702,56690,11694,6,21
aofi,2023-06-26,2714,2790,2802,2706,133633,54755,6,26
aofi,2023-06-27,2786,2777,2826,2756,197718,86352,6,27
aofi,2023-06-28,2780,2780,2791,2765,123404,111465,6,28
aofi,2023-06-29,2776,2788,2799,2772,108278,131549,6,29
aofi,2023-06-30,2782,2800,2812,2781,106212,136747,6,30
aofi,2023-07-03,2802,2814,2819,2799,77789,145917,7,3
aofi,2023-07-04,2811,2804,2823,2799,79293,159190,7,4
aofi,2023-07-05,2805,2813,2819,2803,52396,160749,7,5
aofi,2023-07-06,2819,2823,2832,2805,65453,170556,7,6
aofi,2023-07-07,2820,2817,2829,2815,63426,178012,7,7
aofi,2023-07-10,2817,2809,2821,2792,89123,181731,7,10
aofi,2023-07-11,2811,2810,2818,2805,33930,185914,7,11
aofi,2023-07-12,2809,2789,2810,2775,93594,193210,7,12
aofi,2023-07-13,2796,2785,2805,2770,89423,199515,7,13
aofi,2023-07-14,2788,2777,2797,2770,95955,200691,7,14
aofi,2023-07-17,2779,2773,2789,2730,164434,201734,7,17
aofi,2023-07-18,2777,2795,2813,2770,112770,205318,7,18
aofi,2023-07-19,2793,2810,2814,2793,57992,210036,7,19
aofi,2023-07-20,2810,2868,2895,2807,210544,220585,7,20
aofi,2023-07-21,2874,2856,2880,2842,108409,224348,7,21
aofi,2023-07-24,2856,2867,2872,2852,112082,232821,7,24
aofi,2023-07-25,2867,2874,2878,2846,107773,231155,7,25
aofi,2023-07-26,2879,2866,2896,2865,116063,216717,7,26
aofi,2023-07-27,2863,2879,2887,2855,88830,199483,7,27
aofi,2023-07-28,2882,2870,2889,2864,91876,174096,7,28
aofi,2023-07-31,2867,2875,2886,2863,79909,146144,7,31
aofi,2023-08-01,2882,2917,2921,2874,111785,147912,8,1
aofi,2023-08-02,2910,2911,2927,2903,78323,144542,8,2
aofi,2023-08-03,2902,2883,2910,2865,77171,139131,8,3
aofi,2023-08-04,2881,2859,2891,2858,63286,134522,8,4
aofi,2023-08-07,2854,2869,2879,2852,62117,131290,8,7
aofi,2023-08-08,2868,2861,2881,2861,46546,125556,8,8
