symbol,date,open,close,high,low,volume,oi,month,day
aufi,2008-01-09,230.96,223.8,230.99,222.44,60734.0,10905.0,1,9
aufi,2008-01-10,223.0,215.54,223.3,214.23,47532.0,14675.0,1,10
aufi,2008-01-11,218.28,218.27,219.58,215.94,45441.0,16207.0,1,11
aufi,2008-01-14,218.85,220.31,220.45,217.71,31721.0,17284.0,1,14
aufi,2008-01-15,220.87,223.96,224.74,220.54,45597.0,18593.0,1,15
aufi,2008-01-16,220.8,216.11,220.88,215.53,49069.0,18592.0,1,16
aufi,2008-01-17,213.87,216.65,216.97,213.27,31986.0,19356.0,1,17
aufi,2008-01-18,213.57,214.79,215.04,211.9,29799.0,18618.0,1,18
aufi,2008-01-21,214.72,214.27,216.37,213.89,22401.0,18981.0,1,21
aufi,2008-01-22,208.18,206.54,209.78,204.88,40239.0,18489.0,1,22
aufi,2008-01-23,212.66,212.62,214.49,210.99,31241.0,17110.0,1,23
aufi,2008-01-24,213.04,216.73,217.06,212.58,29681.0,18912.0,1,24
aufi,2008-01-25,220.08,219.81,221.36,218.34,37302.0,20038.0,1,25
aufi,2008-01-28,219.67,220.37,222.0,219.23,31904.0,20378.0,1,28
aufi,2008-01-29,223.45,222.61,224.29,222.5,24294.0,20867.0,1,29
aufi,2008-01-30,221.04,220.16,222.03,220.05,18518.0,21617.0,1,30
aufi,2008-01-31,220.03,219.46,221.04,218.18,21899.0,20309.0,1,31
aufi,2008-02-01,220.7,218.83,221.04,218.67,14631.0,20242.0,2,1
aufi,2008-02-04,216.13,215.75,217.0,215.06,16112.0,19939.0,2,4
aufi,2008-02-05,215.68,215.49,215.82,214.87,8973.0,20222.0,2,5
aufi,2008-02-13,216.12,213.95,216.31,213.71,11221.0,20905.0,2,13
aufi,2008-02-14,214.91,216.29,216.42,214.65,15173.0,21379.0,2,14
aufi,2008-02-15,216.12,216.47,216.74,215.54,11255.0,21499.0,2,15
aufi,2008-02-18,215.34,215.64,215.86,214.39,11714.0,21965.0,2,18
aufi,2008-02-19,215.65,218.43,218.42,215.6,21731.0,26194.0,2,19
aufi,2008-02-20,221.97,219.88,222.35,219.26,25908.0,25873.0,2,20
aufi,2008-02-21,221.96,223.63,224.17,221.87,25818.0,26139.0,2,21
aufi,2008-02-22,221.71,222.53,224.43,221.6,21196.0,25452.0,2,22
aufi,2008-02-25,223.65,225.77,225.81,223.11,20515.0,27675.0,2,25
aufi,2008-02-26,223.14,219.55,223.14,218.74,24169.0,22925.0,2,26
aufi,2008-02-27,224.73,224.69,226.11,223.97,19308.0,23119.0,2,27
aufi,2008-02-28,225.1,223.64,225.55,223.49,11873.0,23310.0,2,28
aufi,2008-02-29,226.16,225.5,226.56,225.28,16352.0,22814.0,2,29
aufi,2008-03-03,226.58,228.53,229.03,226.24,21850.0,25677.0,3,3
aufi,2008-03-04,229.05,227.21,229.87,226.77,16717.0,24247.0,3,4
aufi,2008-03-05,224.06,224.76,224.99,223.51,12736.0,24008.0,3,5
aufi,2008-03-06,227.32,227.94,228.7,227.06,11815.0,23385.0,3,6
aufi,2008-03-07,226.36,227.55,227.65,226.23,8028.0,23300.0,3,7
aufi,2008-03-10,226.17,225.17,226.17,224.52,8333.0,23273.0,3,10
aufi,2008-03-11,225.0,224.45,225.42,224.04,7151.0,24158.0,3,11
aufi,2008-03-12,224.85,224.24,225.2,223.78,7777.0,23495.0,3,12
aufi,2008-03-13,226.38,226.29,226.77,225.28,10741.0,24729.0,3,13
aufi,2008-03-14,227.86,227.79,228.47,227.41,12422.0,26638.0,3,14
aufi,2008-03-17,231.09,232.41,233.55,231.0,23059.0,27565.0,3,17
aufi,2008-03-18,225.8,227.36,228.05,225.76,19158.0,26081.0,3,18
aufi,2008-03-19,225.59,226.0,226.2,225.26,10544.0,26938.0,3,19
aufi,2008-03-20,214.36,214.38,214.38,214.36,4748.0,25131.0,3,20
aufi,2008-03-21,208.62,209.93,210.33,206.95,14175.0,24588.0,3,21
aufi,2008-03-24,209.6,206.85,209.87,206.45,14614.0,25386.0,3,24
aufi,2008-03-25,208.95,210.33,210.9,208.12,13727.0,25163.0,3,25
aufi,2008-03-26,213.0,211.82,213.48,211.62,13876.0,25619.0,3,26
aufi,2008-03-27,213.97,213.39,214.51,213.11,10233.0,24793.0,3,27
