symbol,date,open,close,high,low,volume,oi,month,day
bbfi,2013-12-06,126.04,125.83,128.97,122.98,43813.0,2070.0,12,6
bbfi,2013-12-09,125.99,131.54,131.54,124.75,31392.0,6325.0,12,9
bbfi,2013-12-10,132.98,132.95,135.64,131.69,171334.0,13694.0,12,10
bbfi,2013-12-11,132.95,136.25,136.6,132.0,171691.0,24713.0,12,11
bbfi,2013-12-12,136.1,134.05,138.05,133.8,266195.0,23732.0,12,12
bbfi,2013-12-13,133.7,132.86,135.1,132.31,122413.0,19015.0,12,13
bbfi,2013-12-16,133.08,134.5,134.87,132.08,126272.0,24073.0,12,16
bbfi,2013-12-17,134.94,132.55,134.94,132.4,98998.0,22125.0,12,17
bbfi,2013-12-18,132.59,131.35,133.04,129.7,115658.0,21180.0,12,18
bbfi,2013-12-19,131.37,131.35,132.07,130.52,64296.0,21952.0,12,19
bbfi,2013-12-20,131.12,130.95,131.86,129.82,61176.0,19872.0,12,20
bbfi,2013-12-23,130.88,131.75,133.33,130.58,93922.0,23524.0,12,23
bbfi,2013-12-24,131.61,132.05,133.05,130.71,104230.0,33275.0,12,24
bbfi,2013-12-25,132.33,130.6,133.17,130.53,84946.0,36769.0,12,25
bbfi,2013-12-26,130.14,127.05,130.19,127.04,100119.0,32171.0,12,26
bbfi,2013-12-27,125.99,124.5,126.39,124.3,133558.0,33663.0,12,27
bbfi,2013-12-30,124.0,122.85,124.5,120.51,132409.0,31789.0,12,30
bbfi,2013-12-31,122.49,122.85,123.74,121.7,65690.0,30011.0,12,31
bbfi,2014-01-02,123.0,121.56,123.5,121.35,49501.0,32384.0,1,2
bbfi,2014-01-03,120.88,122.51,122.58,120.03,62785.0,28113.0,1,3
bbfi,2014-01-06,122.33,120.36,122.44,117.39,162377.0,26804.0,1,6
bbfi,2014-01-07,120.94,121.11,122.34,120.14,117676.0,26904.0,1,7
bbfi,2014-01-08,120.99,120.61,121.09,118.69,94851.0,25527.0,1,8
bbfi,2014-01-09,120.71,123.66,124.61,120.07,160240.0,28691.0,1,9
bbfi,2014-01-10,122.9,124.16,125.1,122.6,102254.0,31192.0,1,10
bbfi,2014-01-13,124.47,123.81,124.72,123.27,65741.0,33301.0,1,13
bbfi,2014-01-14,124.01,125.26,125.36,122.27,116125.0,34023.0,1,14
bbfi,2014-01-15,125.02,124.51,125.66,124.17,101540.0,35201.0,1,15
bbfi,2014-01-16,124.65,122.31,124.65,121.46,154065.0,35921.0,1,16
bbfi,2014-01-17,122.02,124.81,124.97,122.02,106152.0,34867.0,1,17
bbfi,2014-01-20,124.83,125.86,128.42,124.77,112277.0,41988.0,1,20
bbfi,2014-01-21,125.42,124.86,126.37,124.17,89744.0,42691.0,1,21
bbfi,2014-01-22,124.86,123.91,127.45,123.51,167434.0,45259.0,1,22
