symbol,date,open,close,high,low,volume,oi,timestamp
bcfi,2020-11-19,47500.0,47139.0,47546.0,45824.0,8344.0,2096.0,1605744000
bcfi,2020-11-20,47188.0,47814.0,47851.0,46981.0,4893.0,2267.0,1605830400
bcfi,2020-11-23,47900.0,48247.0,48649.0,47900.0,8581.0,3054.0,1606089600
bcfi,2020-11-24,48237.0,48935.0,48943.0,47921.0,5830.0,3276.0,1606176000
bcfi,2020-11-25,48869.0,48754.0,49126.0,48650.0,4699.0,3139.0,1606262400
bcfi,2020-11-26,48704.0,49324.0,49401.0,48569.0,12108.0,6434.0,1606348800
bcfi,2020-11-27,49139.0,50003.0,50039.0,49092.0,15965.0,9762.0,1606435200
bcfi,2020-11-30,49896.0,51385.0,51429.0,49896.0,19250.0,11928.0,1606694400
bcfi,2020-12-01,51278.0,50827.0,51556.0,50509.0,22610.0,13513.0,1606780800
bcfi,2020-12-02,51076.0,50999.0,51537.0,50777.0,19380.0,14461.0,1606867200
bcfi,2020-12-03,50826.0,50749.0,51175.0,50384.0,18856.0,15364.0,1606953600
bcfi,2020-12-04,50972.0,51287.0,51365.0,50597.0,27968.0,17045.0,1607040000
bcfi,2020-12-07,51111.0,50951.0,51570.0,50892.0,25383.0,17017.0,1607299200
bcfi,2020-12-08,51165.0,50831.0,51165.0,50703.0,14449.0,17157.0,1607385600
bcfi,2020-12-09,50780.0,51130.0,51305.0,50577.0,17976.0,17323.0,1607472000
bcfi,2020-12-10,50982.0,51268.0,51280.0,50703.0,16810.0,17309.0,1607558400
bcfi,2020-12-11,51220.0,51616.0,52752.0,50989.0,33228.0,17359.0,1607644800
bcfi,2020-12-14,51719.0,51625.0,51831.0,51037.0,25183.0,17082.0,1607904000
bcfi,2020-12-15,51587.0,51385.0,51648.0,51171.0,18888.0,16998.0,1607990400
bcfi,2020-12-16,51386.0,51673.0,51902.0,51290.0,23448.0,17008.0,1608076800
bcfi,2020-12-17,51742.0,52313.0,52343.0,51633.0,24779.0,17031.0,1608163200
bcfi,2020-12-18,52226.0,52886.0,53099.0,52220.0,32656.0,17524.0,1608249600
bcfi,2020-12-21,52664.0,52898.0,53110.0,52401.0,30862.0,17131.0,1608508800
bcfi,2020-12-22,52494.0,51626.0,52523.0,51573.0,25525.0,16970.0,1608595200
bcfi,2020-12-23,51543.0,51571.0,51725.0,50935.0,27180.0,16863.0,1608681600
bcfi,2020-12-24,51534.0,51800.0,52086.0,51534.0,14542.0,16980.0,1608768000
bcfi,2020-12-25,51825.0,52190.0,52273.0,51515.0,9391.0,17438.0,1608854400
bcfi,2020-12-28,52085.0,52341.0,52745.0,51978.0,9874.0,18351.0,1609113600
bcfi,2020-12-29,52394.0,51908.0,52578.0,51778.0,12796.0,19369.0,1609200000
bcfi,2020-12-30,51995.0,52055.0,52270.0,51788.0,11214.0,20121.0,1609286400
bcfi,2020-12-31,51900.0,51484.0,52022.0,51386.0,13336.0,20809.0,1609372800
bcfi,2021-01-04,51575.0,51835.0,51944.0,51423.0,11105.0,21069.0,1609718400
bcfi,2021-01-05,51881.0,51732.0,52141.0,51371.0,17838.0,22005.0,1609804800
bcfi,2021-01-06,51766.0,52627.0,52816.0,51744.0,17713.0,22016.0,1609891200
bcfi,2021-01-07,52920.0,52951.0,53081.0,52354.0,18544.0,21767.0,1609977600
bcfi,2021-01-08,52767.0,53747.0,54073.0,52647.0,20983.0,21880.0,1610064000
bcfi,2021-01-11,53512.0,52217.0,53692.0,52209.0,23630.0,21686.0,1610323200
bcfi,2021-01-12,52631.0,52275.0,52636.0,51583.0,19346.0,21755.0,1610409600
bcfi,2021-01-13,52431.0,52319.0,52587.0,52118.0,14616.0,21863.0,1610496000
bcfi,2021-01-14,52319.0,52286.0,52501.0,52064.0,13783.0,21978.0,1610582400
bcfi,2021-01-15,52377.0,52245.0,53166.0,52220.0,18735.0,22593.0,1610668800
bcfi,2021-01-18,52623.0,52773.0,52915.0,51910.0,19592.0,22608.0,1610928000
bcfi,2021-01-19,52663.0,52402.0,53303.0,52251.0,12746.0,22582.0,1611014400
bcfi,2021-01-20,52462.0,52621.0,52917.0,52256.0,16111.0,23424.0,1611100800
bcfi,2021-01-21,52553.0,52788.0,52927.0,52290.0,16847.0,23861.0,1611187200
bcfi,2021-01-22,52730.0,52320.0,53025.0,52213.0,18299.0,23505.0,1611273600
bcfi,2021-01-25,51972.0,52632.0,52713.0,51787.0,21382.0,21928.0,1611532800
bcfi,2021-01-26,52481.0,52088.0,52628.0,52018.0,16645.0,20700.0,1611619200
bcfi,2021-01-27,52270.0,52310.0,52664.0,52166.0,10751.0,20684.0,1611705600
bcfi,2021-01-28,52301.0,51400.0,52301.0,51271.0,20322.0,23220.0,1611792000
bcfi,2021-01-29,51601.0,51313.0,52087.0,51159.0,18773.0,22893.0,1611878400
bcfi,2021-02-01,51655.0,51593.0,51966.0,51028.0,17036.0,25162.0,1612137600
bcfi,2021-02-02,51538.0,51039.0,51548.0,50987.0,15420.0,25816.0,1612224000
bcfi,2021-02-03,51202.0,50773.0,51213.0,50629.0,20861.0,25799.0,1612310400
bcfi,2021-02-04,50869.0,51469.0,51593.0,50869.0,22540.0,25909.0,1612396800
bcfi,2021-02-05,51433.0,51839.0,51882.0,51235.0,20034.0,25153.0,1612483200
bcfi,2021-02-08,51732.0,52356.0,52571.0,51732.0,22060.0,24803.0,1612742400
bcfi,2021-02-09,52224.0,53039.0,53158.0,52224.0,23242.0,23178.0,1612828800
bcfi,2021-02-10,52820.0,54174.0,54248.0,52820.0,36767.0,21192.0,1612915200
bcfi,2021-02-18,53505.0,56391.0,56459.0,53505.0,16804.0,22934.0,1613606400
bcfi,2021-02-19,56442.0,57287.0,57337.0,56088.0,38358.0,24604.0,1613692800
bcfi,2021-02-22,56961.0,59930.0,59930.0,56952.0,31086.0,28714.0,1613952000
bcfi,2021-02-23,59263.0,60578.0,61245.0,59263.0,35573.0,26931.0,1614038400
