symbol,date,open,close,high,low,vol,oi,month,day
bfi,2004-12-22,2632.0,2604.0,2651.0,2598.0,65237.0,18322.0,12,22
bfi,2004-12-23,2603.0,2599.0,2609.0,2590.0,19441.0,17170.0,12,23
bfi,2004-12-24,2606.0,2600.0,2608.0,2591.0,7297.0,15425.0,12,24
bfi,2004-12-27,2602.0,2593.0,2606.0,2584.0,6744.0,13622.0,12,27
bfi,2004-12-28,2607.0,2594.0,2608.0,2589.0,5208.0,12906.0,12,28
bfi,2004-12-29,2586.0,2573.0,2594.0,2569.0,4984.0,12660.0,12,29
bfi,2004-12-30,2589.0,2580.0,2594.0,2571.0,3272.0,11972.0,12,30
bfi,2004-12-31,2581.0,2583.0,2583.0,2579.0,2164.0,10565.0,12,31
bfi,2005-01-04,2569.0,2542.0,2570.0,2536.0,2676.0,10529.0,1,4
bfi,2005-01-05,2517.0,2549.0,2551.0,2513.0,4957.0,9526.0,1,5
bfi,2005-01-06,2549.0,2557.0,2561.0,2541.0,2150.0,9165.0,1,6
bfi,2005-01-07,2562.0,2579.0,2588.0,2562.0,4282.0,8788.0,1,7
bfi,2005-01-10,2585.0,2577.0,2594.0,2570.0,3710.0,8276.0,1,10
bfi,2005-01-11,2599.0,2591.0,2600.0,2586.0,1593.0,7994.0,1,11
bfi,2005-01-12,2587.0,2583.0,2595.0,2582.0,896.0,7725.0,1,12
bfi,2005-01-13,2570.0,2578.0,2585.0,2566.0,1036.0,7792.0,1,13
bfi,2005-01-14,2581.0,2564.0,2588.0,2560.0,1609.0,7732.0,1,14
bfi,2005-01-17,2543.0,2554.0,2568.0,2540.0,1059.0,7415.0,1,17
bfi,2005-01-18,2548.0,2568.0,2569.0,2538.0,1039.0,7344.0,1,18
bfi,2005-01-19,2562.0,2564.0,2575.0,2553.0,657.0,7195.0,1,19
bfi,2005-01-20,2566.0,2550.0,2566.0,2548.0,2112.0,7018.0,1,20
bfi,2005-01-21,2552.0,2545.0,2556.0,2540.0,3466.0,6946.0,1,21
bfi,2005-01-24,2541.0,2549.0,2552.0,2530.0,3984.0,6870.0,1,24
bfi,2005-01-25,2547.0,2541.0,2551.0,2539.0,2706.0,7134.0,1,25
bfi,2005-01-26,2548.0,2545.0,2552.0,2543.0,3143.0,7623.0,1,26
bfi,2005-01-27,2541.0,2540.0,2546.0,2534.0,4006.0,8198.0,1,27
bfi,2005-01-28,2532.0,2521.0,2537.0,2512.0,4626.0,9346.0,1,28
bfi,2005-01-31,2526.0,2492.0,2526.0,2486.0,5072.0,9711.0,1,31
bfi,2005-02-01,2504.0,2495.0,2505.0,2492.0,5384.0,10267.0,2,1
bfi,2005-02-02,2486.0,2484.0,2487.0,2469.0,3746.0,11010.0,2,2
bfi,2005-02-03,2484.0,2488.0,2502.0,2477.0,5171.0,11546.0,2,3
bfi,2005-02-04,2482.0,2486.0,2492.0,2480.0,4495.0,12077.0,2,4
bfi,2005-02-16,2533.0,2527.0,2553.0,2510.0,6508.0,12875.0,2,16
bfi,2005-02-17,2526.0,2533.0,2539.0,2525.0,4245.0,13492.0,2,17
bfi,2005-02-18,2551.0,2544.0,2567.0,2544.0,4918.0,14466.0,2,18
bfi,2005-02-21,2548.0,2556.0,2561.0,2530.0,6764.0,16742.0,2,21
bfi,2005-02-22,2561.0,2591.0,2597.0,2550.0,17851.0,19490.0,2,22
bfi,2005-02-23,2618.0,2607.0,2627.0,2601.0,8890.0,20237.0,2,23
bfi,2005-02-24,2616.0,2638.0,2640.0,2609.0,7885.0,19042.0,2,24
bfi,2005-02-25,2615.0,2628.0,2633.0,2612.0,5187.0,19330.0,2,25
bfi,2005-02-28,2694.0,2725.0,2725.0,2694.0,1763.0,19049.0,2,28
bfi,2005-03-01,2723.0,2734.0,2746.0,2718.0,5611.0,19154.0,3,1
bfi,2005-03-02,2725.0,2783.0,2822.0,2713.0,9727.0,18371.0,3,2
bfi,2005-03-03,2797.0,2801.0,2808.0,2778.0,4880.0,18142.0,3,3
bfi,2005-03-04,2807.0,2800.0,2821.0,2762.0,6421.0,18313.0,3,4
bfi,2005-03-07,2819.0,2839.0,2845.0,2809.0,5167.0,17702.0,3,7
bfi,2005-03-08,2800.0,2792.0,2813.0,2773.0,3882.0,17879.0,3,8
bfi,2005-03-09,2880.0,2817.0,2891.0,2805.0,3872.0,17812.0,3,9
bfi,2005-03-10,2822.0,2840.0,2845.0,2810.0,3081.0,18153.0,3,10
bfi,2005-03-11,2860.0,2891.0,2896.0,2859.0,3201.0,17835.0,3,11
bfi,2005-03-14,2951.0,2987.0,2991.0,2944.0,5589.0,16323.0,3,14
bfi,2005-03-15,2978.0,3033.0,3058.0,2964.0,8258.0,13588.0,3,15
bfi,2005-03-16,3057.0,3088.0,3108.0,3056.0,3004.0,13466.0,3,16
bfi,2005-03-17,3031.0,3092.0,3107.0,3030.0,3342.0,13174.0,3,17
bfi,2005-03-18,3114.0,2999.0,3156.0,2974.0,3171.0,12015.0,3,18
bfi,2005-03-21,2965.0,2982.0,2999.0,2958.0,3840.0,12071.0,3,21
bfi,2005-03-22,2912.0,2944.0,2962.0,2910.0,1660.0,11189.0,3,22
bfi,2005-03-23,2942.0,2928.0,2967.0,2918.0,5693.0,8595.0,3,23
bfi,2005-03-24,2935.0,2973.0,2985.0,2935.0,6046.0,7353.0,3,24
bfi,2005-03-25,2993.0,3013.0,3021.0,2981.0,6051.0,6021.0,3,25
bfi,2005-03-28,3007.0,3025.0,3054.0,3007.0,4232.0,6287.0,3,28
bfi,2005-03-29,3016.0,3020.0,3036.0,3015.0,5520.0,5847.0,3,29
bfi,2005-03-30,3015.0,2987.0,3018.0,2983.0,3675.0,6117.0,3,30
bfi,2005-03-31,3052.0,3059.0,3079.0,3030.0,2824.0,6402.0,3,31
bfi,2005-04-01,2999.0,3009.0,3019.0,2970.0,3037.0,6244.0,4,1
bfi,2005-04-04,2987.0,2989.0,3007.0,2930.0,1597.0,5249.0,4,4
bfi,2005-04-05,2992.0,2998.0,3008.0,2984.0,972.0,4421.0,4,5
bfi,2005-04-06,3002.0,3010.0,3016.0,2993.0,960.0,3708.0,4,6
bfi,2005-04-07,3034.0,3033.0,3047.0,3024.0,1001.0,2994.0,4,7
bfi,2005-04-08,3026.0,3015.0,3031.0,3012.0,888.0,2284.0,4,8
bfi,2005-04-11,3036.0,2988.0,3047.0,2979.0,432.0,2228.0,4,11
bfi,2005-04-12,3023.0,3017.0,3036.0,3000.0,942.0,1970.0,4,12
bfi,2005-04-13,2990.0,2987.0,2993.0,2983.0,220.0,1826.0,4,13
bfi,2005-04-14,3050.0,3007.0,3051.0,2991.0,229.0,1646.0,4,14
bfi,2005-04-15,3005.0,2995.0,3009.0,2991.0,366.0,1531.0,4,15
bfi,2005-04-18,2986.0,2986.0,2995.0,2975.0,252.0,1548.0,4,18
bfi,2005-04-19,2992.0,2999.0,2999.0,2988.0,50.0,1533.0,4,19
bfi,2005-04-20,3041.0,3054.0,3054.0,3014.0,531.0,1573.0,4,20
bfi,2005-04-21,3024.0,3009.0,3049.0,2979.0,148.0,1500.0,4,21
bfi,2005-04-22,3002.0,3017.0,3019.0,3001.0,70.0,1496.0,4,22
bfi,2005-04-25,3044.0,3046.0,3047.0,3033.0,87.0,1494.0,4,25
bfi,2005-04-26,3043.0,3005.0,3044.0,3004.0,52.0,1484.0,4,26
bfi,2005-04-27,3024.0,3023.0,3026.0,3016.0,105.0,1469.0,4,27
bfi,2005-04-28,3017.0,3030.0,3046.0,3007.0,136.0,1468.0,4,28
bfi,2005-04-29,3022.0,3026.0,3038.0,3016.0,50.0,1470.0,4,29
bfi,2005-05-09,3013.0,3012.0,3015.0,3011.0,88.0,1431.0,5,9
bfi,2005-05-10,3002.0,3015.0,3019.0,3001.0,103.0,1431.0,5,10
bfi,2005-05-11,3017.0,3015.0,3019.0,3009.0,38.0,1428.0,5,11
bfi,2005-05-12,3054.0,3055.0,3057.0,3022.0,200.0,498.0,5,12
bfi,2005-05-13,2987.0,2984.0,3010.0,2981.0,212.0,472.0,5,13
bfi,2005-05-16,3005.0,2989.0,3005.0,2986.0,24.0,1398.0,5,16
bfi,2005-05-17,3001.0,2996.0,3005.0,2980.0,109.0,1401.0,5,17
bfi,2005-05-18,2926.0,2938.0,2939.0,2921.0,299.0,1234.0,5,18
bfi,2005-05-19,3013.0,3015.0,3034.0,3012.0,77.0,309.0,5,19
bfi,2005-05-20,3024.0,3024.0,3024.0,3024.0,1.0,135.0,5,20
bfi,2005-05-23,3042.0,3049.0,3062.0,3033.0,222.0,139.0,5,23
bfi,2005-05-24,3025.0,3017.0,3026.0,3016.0,66.0,350.0,5,24
bfi,2005-05-25,3050.0,3035.0,3055.0,3035.0,54.0,194.0,5,25
bfi,2005-05-26,3077.0,3063.0,3083.0,3052.0,467.0,585.0,5,26
bfi,2005-05-27,3072.0,3055.0,3072.0,3054.0,153.0,759.0,5,27
bfi,2005-05-30,3058.0,3063.0,3063.0,3058.0,12.0,581.0,5,30
