symbol,date,open,close,high,low,volume,oi,month,day
bufi,2013-10-09,4602.0,4481.0,4658.0,4476.0,174042.0,35413.0,10,9
bufi,2013-10-10,4466.0,4507.0,4527.0,4458.0,105601.0,29659.0,10,10
bufi,2013-10-11,4514.0,4471.0,4528.0,4461.0,92343.0,32570.0,10,11
bufi,2013-10-14,4479.0,4447.0,4493.0,4438.0,76042.0,35520.0,10,14
bufi,2013-10-15,4450.0,4446.0,4496.0,4437.0,102586.0,33597.0,10,15
bufi,2013-10-16,4431.0,4436.0,4486.0,4430.0,104054.0,35217.0,10,16
bufi,2013-10-17,4450.0,4413.0,4462.0,4410.0,71802.0,38181.0,10,17
bufi,2013-10-18,4415.0,4407.0,4433.0,4405.0,45251.0,39320.0,10,18
bufi,2013-10-21,4413.0,4455.0,4469.0,4410.0,78236.0,31052.0,10,21
bufi,2013-10-22,4444.0,4443.0,4453.0,4428.0,29191.0,29737.0,10,22
bufi,2013-10-23,4432.0,4439.0,4444.0,4408.0,42961.0,28751.0,10,23
bufi,2013-10-24,4437.0,4461.0,4485.0,4430.0,81120.0,28403.0,10,24
bufi,2013-10-25,4463.0,4410.0,4467.0,4410.0,58256.0,21706.0,10,25
bufi,2013-10-28,4412.0,4270.0,4414.0,4252.0,178978.0,48715.0,10,28
bufi,2013-10-29,4268.0,4272.0,4290.0,4250.0,116346.0,48076.0,10,29
bufi,2013-10-30,4272.0,4317.0,4328.0,4229.0,196734.0,31790.0,10,30
bufi,2013-10-31,4309.0,4294.0,4325.0,4290.0,64782.0,28248.0,10,31
bufi,2013-11-01,4290.0,4312.0,4342.0,4259.0,96268.0,23146.0,11,1
bufi,2013-11-04,4279.0,4316.0,4332.0,4274.0,47493.0,22755.0,11,4
bufi,2013-11-05,4306.0,4312.0,4327.0,4260.0,63759.0,21864.0,11,5
bufi,2013-11-06,4297.0,4311.0,4313.0,4287.0,35838.0,22896.0,11,6
bufi,2013-11-07,4315.0,4277.0,4326.0,4271.0,57108.0,32666.0,11,7
bufi,2013-11-08,4275.0,4263.0,4287.0,4255.0,52133.0,36206.0,11,8
bufi,2013-11-11,4260.0,4282.0,4287.0,4253.0,30924.0,33863.0,11,11
bufi,2013-11-12,4274.0,4307.0,4308.0,4268.0,44381.0,27546.0,11,12
bufi,2013-11-13,4274.0,4290.0,4285.0,4257.0,32868.0,28580.0,11,13
bufi,2013-11-14,4292.0,4271.0,4296.0,4258.0,26088.0,30558.0,11,14
bufi,2013-11-15,4267.0,4275.0,4286.0,4248.0,53101.0,30382.0,11,15
bufi,2013-11-18,4280.0,4296.0,4315.0,4274.0,24992.0,27876.0,11,18
bufi,2013-11-19,4280.0,4300.0,4305.0,4264.0,36388.0,28931.0,11,19
bufi,2013-11-20,4298.0,4315.0,4328.0,4298.0,38198.0,28432.0,11,20
bufi,2013-11-21,4307.0,4303.0,4314.0,4290.0,16801.0,27476.0,11,21
bufi,2013-11-22,4305.0,4343.0,4342.0,4301.0,37845.0,27373.0,11,22
bufi,2013-11-25,4333.0,4361.0,4366.0,4315.0,42518.0,28170.0,11,25
bufi,2013-11-26,4364.0,4374.0,4447.0,4354.0,114046.0,25249.0,11,26
bufi,2013-11-27,4369.0,4341.0,4387.0,4336.0,38840.0,23213.0,11,27
bufi,2013-11-28,4335.0,4350.0,4362.0,4323.0,24067.0,21146.0,11,28
bufi,2013-11-29,4355.0,4356.0,4368.0,4335.0,21183.0,20072.0,11,29
bufi,2013-12-02,4360.0,4358.0,4370.0,4339.0,23205.0,20914.0,12,2
bufi,2013-12-03,4363.0,4385.0,4412.0,4355.0,41528.0,22539.0,12,3
