symbol,date,open,close,high,low,volume,oi,month,day
cdifi,2004-08-25,98.55,99.37,101.15,97.54,45764.0,7189.0,8,25
cdifi,2004-08-26,99.49,98.77,99.66,98.23,35312.0,10150.0,8,26
cdifi,2004-08-27,98.36,97.92,98.66,97.57,31631.0,10540.0,8,27
cdifi,2004-08-30,98.12,97.86,98.39,97.71,12558.0,10509.0,8,30
cdifi,2004-08-31,97.38,96.88,97.51,96.62,20110.0,11540.0,8,31
cdifi,2004-09-01,96.85,97.46,97.57,96.3,23838.0,13748.0,9,1
cdifi,2004-09-02,98.12,97.92,98.32,97.65,24898.0,12914.0,9,2
cdifi,2004-09-03,97.96,97.45,98.07,97.19,10123.0,11571.0,9,3
cdifi,2004-09-06,97.12,96.94,97.28,96.6,8887.0,11342.0,9,6
cdifi,2004-09-07,96.35,95.89,96.69,95.64,15331.0,12178.0,9,7
cdifi,2004-09-08,95.78,96.25,96.29,95.23,17271.0,13075.0,9,8
cdifi,2004-09-09,96.02,95.38,96.09,94.98,17065.0,12169.0,9,9
cdifi,2004-09-10,96.56,96.39,96.93,96.13,13865.0,11461.0,9,10
cdifi,2004-09-13,95.52,95.71,95.86,95.09,9317.0,11634.0,9,13
cdifi,2004-09-14,95.89,95.72,95.95,95.53,6972.0,11481.0,9,14
cdifi,2004-09-15,96.15,95.52,96.19,95.48,8447.0,11185.0,9,15
cdifi,2004-09-16,95.32,95.41,95.56,95.04,8501.0,10577.0,9,16
cdifi,2004-09-17,95.46,95.37,95.65,95.3,3529.0,10231.0,9,17
cdifi,2004-09-20,95.96,95.92,96.41,95.55,4069.0,10133.0,9,20
cdifi,2004-09-21,96.03,95.49,96.19,95.48,3611.0,9669.0,9,21
cdifi,2004-09-22,95.96,96.78,97.61,95.9,13637.0,11458.0,9,22
cdifi,2004-09-23,97.2,96.62,97.33,96.45,4880.0,10927.0,9,23
cdifi,2004-09-24,94.43,96.48,94.65,93.88,4582.0,10974.0,9,24
cdifi,2004-09-27,96.93,97.03,97.44,96.71,6058.0,11175.0,9,27
cdifi,2004-09-28,96.94,97.67,97.58,96.73,11222.0,12274.0,9,28
cdifi,2004-09-29,97.11,97.52,97.26,96.82,5547.0,11888.0,9,29
cdifi,2004-09-30,96.91,96.75,97.14,96.51,5534.0,9769.0,9,30
cdifi,2004-10-08,98.22,101.75,101.75,98.21,38621.0,17617.0,10,8
cdifi,2004-10-11,103.18,106.16,107.21,102.93,60592.0,22777.0,10,11
cdifi,2004-10-12,107.14,103.8,107.4,100.8,153970.0,23764.0,10,12
cdifi,2004-10-13,103.03,102.3,103.93,101.76,83415.0,21076.0,10,13
cdifi,2004-10-14,103.26,102.24,104.34,100.18,153934.0,25960.0,10,14
cdifi,2004-10-15,104.02,102.91,104.49,102.52,110989.0,27828.0,10,15
cdifi,2004-10-18,103.21,103.77,104.61,102.72,84576.0,29072.0,10,18
cdifi,2004-10-19,101.55,99.55,101.77,99.16,117254.0,28489.0,10,19
cdifi,2004-10-20,99.97,99.62,100.33,98.81,75578.0,27032.0,10,20
cdifi,2004-10-21,102.58,101.9,102.87,101.52,90732.0,27538.0,10,21
cdifi,2004-10-22,102.12,101.49,102.21,101.16,49595.0,28615.0,10,22
cdifi,2004-10-25,102.34,104.0,104.16,102.03,91827.0,33343.0,10,25
cdifi,2004-10-26,102.28,101.11,102.46,100.94,78182.0,35962.0,10,26
cdifi,2004-10-27,102.72,101.96,103.06,101.95,68486.0,36365.0,10,27
