symbol,date,open,close,high,low,volume,oi,month,day
cfi,2004-09-22,1234.0,1197.0,1238.0,1189.0,163750.0,66269.0,9,22
cfi,2004-09-23,1191.0,1187.0,1194.0,1178.0,85113.0,70389.0,9,23
cfi,2004-09-24,1182.0,1190.0,1197.0,1179.0,72485.0,73955.0,9,24
cfi,2004-09-27,1185.0,1159.0,1188.0,1158.0,73388.0,78646.0,9,27
cfi,2004-09-28,1160.0,1162.0,1169.0,1157.0,41431.0,79614.0,9,28
cfi,2004-09-29,1165.0,1154.0,1167.0,1150.0,53599.0,85278.0,9,29
cfi,2004-09-30,1149.0,1129.0,1152.0,1126.0,62686.0,95053.0,9,30
cfi,2004-10-08,1130.0,1142.0,1147.0,1118.0,66506.0,97934.0,10,8
cfi,2004-10-11,1138.0,1144.0,1153.0,1131.0,63788.0,98361.0,10,11
cfi,2004-10-12,1147.0,1148.0,1158.0,1133.0,75414.0,98585.0,10,12
cfi,2004-10-13,1141.0,1141.0,1151.0,1139.0,56020.0,100417.0,10,13
cfi,2004-10-14,1145.0,1148.0,1151.0,1142.0,49289.0,102570.0,10,14
cfi,2004-10-15,1145.0,1138.0,1149.0,1135.0,52340.0,102159.0,10,15
cfi,2004-10-18,1141.0,1137.0,1142.0,1132.0,37547.0,103093.0,10,18
cfi,2004-10-19,1135.0,1140.0,1149.0,1134.0,55019.0,104626.0,10,19
cfi,2004-10-20,1147.0,1153.0,1156.0,1142.0,64792.0,112152.0,10,20
cfi,2004-10-21,1151.0,1148.0,1153.0,1145.0,52811.0,114855.0,10,21
cfi,2004-10-22,1146.0,1138.0,1147.0,1136.0,64894.0,107206.0,10,22
cfi,2004-10-25,1135.0,1142.0,1145.0,1131.0,55614.0,101478.0,10,25
cfi,2004-10-26,1149.0,1144.0,1150.0,1142.0,32834.0,104022.0,10,26
cfi,2004-10-27,1146.0,1145.0,1148.0,1142.0,36394.0,102036.0,10,27
cfi,2004-10-28,1143.0,1147.0,1149.0,1140.0,45834.0,99549.0,10,28
cfi,2004-10-29,1143.0,1142.0,1147.0,1140.0,36216.0,97547.0,10,29
cfi,2004-11-01,1141.0,1135.0,1143.0,1129.0,82420.0,104200.0,11,1
cfi,2004-11-02,1131.0,1139.0,1140.0,1130.0,57923.0,106371.0,11,2
cfi,2004-11-03,1138.0,1140.0,1141.0,1133.0,57955.0,103293.0,11,3
cfi,2004-11-04,1140.0,1140.0,1141.0,1136.0,47274.0,101120.0,11,4
cfi,2004-11-05,1136.0,1144.0,1154.0,1135.0,92916.0,105708.0,11,5
cfi,2004-11-08,1147.0,1142.0,1149.0,1142.0,49707.0,104748.0,11,8
cfi,2004-11-09,1143.0,1142.0,1146.0,1140.0,63139.0,102862.0,11,9
cfi,2004-11-10,1144.0,1140.0,1144.0,1138.0,62650.0,102471.0,11,10
cfi,2004-11-11,1142.0,1140.0,1144.0,1139.0,58945.0,103110.0,11,11
cfi,2004-11-12,1140.0,1136.0,1141.0,1133.0,62284.0,105069.0,11,12
cfi,2004-11-15,1140.0,1146.0,1151.0,1139.0,88338.0,104352.0,11,15
cfi,2004-11-16,1149.0,1147.0,1154.0,1145.0,74588.0,111435.0,11,16
cfi,2004-11-17,1149.0,1149.0,1152.0,1144.0,53681.0,111620.0,11,17
cfi,2004-11-18,1153.0,1155.0,1159.0,1150.0,76793.0,118923.0,11,18
cfi,2004-11-19,1153.0,1155.0,1156.0,1148.0,55745.0,120003.0,11,19
cfi,2004-11-22,1149.0,1149.0,1151.0,1147.0,58118.0,120667.0,11,22
cfi,2004-11-23,1148.0,1149.0,1154.0,1147.0,82951.0,118559.0,11,23
cfi,2004-11-24,1151.0,1154.0,1155.0,1150.0,58916.0,116432.0,11,24
cfi,2004-11-25,1153.0,1169.0,1172.0,1152.0,125752.0,138920.0,11,25
cfi,2004-11-26,1167.0,1166.0,1171.0,1161.0,70877.0,141773.0,11,26
cfi,2004-11-29,1164.0,1150.0,1165.0,1148.0,103621.0,132767.0,11,29
cfi,2004-11-30,1149.0,1150.0,1154.0,1147.0,68790.0,125881.0,11,30
cfi,2004-12-01,1150.0,1157.0,1158.0,1150.0,84848.0,129302.0,12,1
cfi,2004-12-02,1155.0,1156.0,1164.0,1152.0,79579.0,129138.0,12,2
cfi,2004-12-03,1155.0,1160.0,1161.0,1154.0,87735.0,130610.0,12,3
cfi,2004-12-06,1164.0,1168.0,1175.0,1162.0,124157.0,138644.0,12,6
cfi,2004-12-07,1171.0,1164.0,1171.0,1163.0,102528.0,136914.0,12,7
cfi,2004-12-08,1159.0,1162.0,1163.0,1157.0,137854.0,131608.0,12,8
cfi,2004-12-09,1164.0,1170.0,1172.0,1164.0,120620.0,133985.0,12,9
cfi,2004-12-10,1167.0,1166.0,1169.0,1163.0,106147.0,132524.0,12,10
cfi,2004-12-13,1167.0,1172.0,1173.0,1164.0,142262.0,135167.0,12,13
