symbol,date,open,close,high,low,volume,oi,timestamp
clfi,2011-04-15,102.35,100.12,102.41,99.13,29040.0,3347.0,1302825600
clfi,2011-04-18,99.47,106.03,106.34,99.47,66818.0,9970.0,1303084800
clfi,2011-04-19,105.76,104.02,106.16,103.31,102634.0,11869.0,1303171200
clfi,2011-04-20,104.62,104.33,106.6,103.64,88016.0,11985.0,1303257600
clfi,2011-04-21,104.76,103.98,105.2,103.43,48903.0,11364.0,1303344000
clfi,2011-04-22,104.02,103.77,104.68,102.29,64274.0,9723.0,1303430400
clfi,2011-04-25,104.05,103.72,104.89,103.04,32551.0,9298.0,1303689600
clfi,2011-04-26,103.07,103.41,103.69,102.54,22318.0,9210.0,1303776000
clfi,2011-04-27,103.81,103.33,104.13,103.07,16045.0,8457.0,1303862400
clfi,2011-04-28,103.58,104.08,104.33,103.41,13172.0,7373.0,1303948800
clfi,2011-04-29,103.25,103.75,103.51,102.64,8882.0,6156.0,1304035200
clfi,2011-05-03,103.57,104.41,104.62,103.4,13348.0,6715.0,1304380800
clfi,2011-05-04,104.22,103.75,104.44,103.3,7317.0,5674.0,1304467200
clfi,2011-05-05,102.63,102.82,103.06,101.94,7036.0,5648.0,1304553600
clfi,2011-05-06,100.45,101.19,101.92,100.36,7460.0,5363.0,1304640000
clfi,2011-05-09,100.65,101.58,100.83,100.35,3635.0,4898.0,1304899200
clfi,2011-05-10,101.41,101.87,101.55,100.98,3994.0,4383.0,1304985600
clfi,2011-05-11,102.04,103.06,104.02,101.73,15119.0,4964.0,1305072000
clfi,2011-05-12,101.92,104.35,104.65,101.83,31072.0,9134.0,1305158400
clfi,2011-05-13,105.05,107.67,108.78,104.75,67631.0,13540.0,1305244800
clfi,2011-05-16,107.25,107.16,107.62,106.42,28691.0,13265.0,1305504000
clfi,2011-05-17,107.29,106.45,107.42,105.4,28950.0,11265.0,1305590400
clfi,2011-05-18,106.75,105.61,107.75,105.4,35347.0,11317.0,1305676800
clfi,2011-05-19,106.53,105.41,106.55,105.2,23899.0,9561.0,1305763200
clfi,2011-05-20,105.0,105.79,106.22,104.9,18559.0,9507.0,1305849600
clfi,2011-05-23,106.01,104.96,106.05,104.37,9537.0,9259.0,1306108800
clfi,2011-05-24,104.35,105.96,105.41,103.88,15312.0,10873.0,1306195200
clfi,2011-05-25,105.43,105.74,105.56,104.74,9120.0,9786.0,1306281600
clfi,2011-05-26,105.92,105.89,106.49,105.58,9812.0,10076.0,1306368000
clfi,2011-05-27,105.64,105.57,105.69,104.42,10890.0,9657.0,1306454400
clfi,2011-05-30,105.26,105.31,105.77,104.81,8249.0,9275.0,1306713600
clfi,2011-05-31,105.22,105.28,105.57,104.83,7630.0,8317.0,1306800000
clfi,2011-06-01,105.41,105.05,105.64,104.84,6874.0,8223.0,1306886400
clfi,2011-06-02,104.53,104.18,105.06,103.92,9415.0,8056.0,1306972800
clfi,2011-06-03,104.18,103.6,104.36,103.3,8621.0,8079.0,1307059200
clfi,2011-06-07,102.94,103.82,103.82,102.49,7845.0,7751.0,1307404800
clfi,2011-06-08,103.6,103.58,103.6,102.81,4122.0,7426.0,1307491200
clfi,2011-06-09,103.65,103.23,103.79,103.12,4084.0,7462.0,1307577600
clfi,2011-06-10,103.32,102.92,103.32,102.53,6540.0,8299.0,1307664000
clfi,2011-06-13,102.35,103.29,103.0,101.87,4731.0,9071.0,1307923200
clfi,2011-06-14,102.72,103.92,104.45,102.71,21240.0,8034.0,1308009600
clfi,2011-06-15,103.82,103.45,103.95,102.94,4913.0,7776.0,1308096000
clfi,2011-06-16,102.8,102.74,103.07,102.11,4793.0,7507.0,1308182400
clfi,2011-06-17,102.47,102.74,102.9,102.19,3271.0,7503.0,1308268800
clfi,2011-06-20,102.27,101.6,102.45,101.13,4279.0,7765.0,1308528000
clfi,2011-06-21,101.74,102.22,102.27,100.95,5209.0,7732.0,1308614400
clfi,2011-06-22,101.59,101.9,101.85,101.27,3112.0,7431.0,1308700800
clfi,2011-06-23,101.76,103.22,103.3,101.45,11676.0,8184.0,1308787200
clfi,2011-06-24,102.88,102.52,103.1,102.09,6709.0,7430.0,1308873600
clfi,2011-06-27,102.05,102.77,103.02,101.83,6253.0,7421.0,1309132800
clfi,2011-06-28,102.71,102.55,103.68,102.09,9424.0,7834.0,1309219200
clfi,2011-06-29,102.45,102.25,102.58,101.48,5497.0,7744.0,1309305600
clfi,2011-06-30,101.95,102.82,102.51,101.81,5560.0,7470.0,1309392000
clfi,2011-07-01,102.58,102.25,102.97,102.01,3722.0,7462.0,1309478400
clfi,2011-07-04,101.99,103.13,103.13,101.73,7837.0,7862.0,1309737600
clfi,2011-07-05,102.08,103.08,102.3,101.6,4730.0,8146.0,1309824000
clfi,2011-07-06,103.25,104.31,104.32,103.03,11440.0,9697.0,1309910400
clfi,2011-07-07,103.82,103.09,104.35,102.43,10018.0,8174.0,1309996800
clfi,2011-07-08,102.96,103.05,103.31,102.38,6462.0,7966.0,1310083200
clfi,2011-07-11,102.25,102.66,102.84,102.09,3866.0,7291.0,1310342400
clfi,2011-07-12,102.35,102.35,102.76,101.64,3823.0,7069.0,1310428800
clfi,2011-07-13,102.37,102.93,102.77,102.19,2946.0,6634.0,1310515200
clfi,2011-07-14,102.76,102.7,102.79,101.92,3387.0,6551.0,1310601600
clfi,2011-07-15,102.13,102.62,102.41,101.92,1710.0,6193.0,1310688000
clfi,2011-07-18,102.57,102.71,102.88,102.4,3028.0,6217.0,1310947200
clfi,2011-07-19,102.23,102.72,102.4,102.06,1471.0,5863.0,1311033600
clfi,2011-07-20,102.44,102.43,102.71,101.58,3541.0,6317.0,1311120000
clfi,2011-07-21,102.29,101.9,102.32,101.55,3163.0,6455.0,1311206400
clfi,2011-07-22,100.57,101.91,101.16,100.43,1560.0,6225.0,1311292800
clfi,2011-07-25,100.5,101.91,101.07,100.38,2320.0,5919.0,1311552000
clfi,2011-07-26,101.57,102.09,101.72,101.16,1252.0,5578.0,1311638400
clfi,2011-07-27,102.07,101.87,102.07,101.65,1212.0,5424.0,1311724800
clfi,2011-07-28,101.57,101.92,102.03,101.43,2118.0,4965.0,1311811200
clfi,2011-07-29,101.74,101.92,101.91,101.57,1193.0,4759.0,1311897600
clfi,2011-08-01,101.26,101.98,101.33,101.04,935.0,4549.0,1312156800
clfi,2011-08-02,101.67,101.98,101.75,101.52,755.0,4274.0,1312243200
clfi,2011-08-03,101.7,102.02,101.8,101.57,722.0,3976.0,1312329600
clfi,2011-08-04,101.74,102.9,102.66,101.58,1475.0,3873.0,1312416000
clfi,2011-08-05,101.58,102.61,102.32,101.05,4428.0,3488.0,1312502400
clfi,2011-08-08,102.04,101.63,102.06,101.02,1974.0,2657.0,1312761600
clfi,2011-08-09,101.12,100.19,101.16,97.81,1883.0,2060.0,1312848000
clfi,2011-08-10,99.92,100.44,100.45,99.57,521.0,2050.0,1312934400
clfi,2011-08-11,98.99,100.44,100.04,98.98,531.0,1978.0,1313020800
clfi,2011-08-12,100.57,100.41,100.66,99.71,454.0,1923.0,1313107200
clfi,2011-08-15,100.34,99.46,100.44,99.04,940.0,2017.0,1313366400
clfi,2011-08-16,98.23,98.38,98.24,96.81,1072.0,2117.0,1313452800
clfi,2011-08-17,97.26,98.33,97.81,96.65,1292.0,2234.0,1313539200
clfi,2011-08-18,98.38,97.84,98.63,96.88,1630.0,2404.0,1313625600
clfi,2011-08-19,97.34,97.18,97.74,96.39,1554.0,2650.0,1313712000
clfi,2011-08-22,97.21,97.0,98.14,96.03,3949.0,3228.0,1313971200
clfi,2011-08-23,98.43,94.82,98.64,94.11,13045.0,6772.0,1314057600
clfi,2011-08-24,95.03,96.19,96.15,94.42,15518.0,6353.0,1314144000
clfi,2011-08-25,95.9,97.2,97.18,95.52,11025.0,5582.0,1314230400
clfi,2011-08-26,96.74,97.26,97.41,96.53,6742.0,5332.0,1314316800
clfi,2011-08-29,96.91,97.02,96.96,95.95,3811.0,5261.0,1314576000
clfi,2011-08-30,96.39,97.26,96.78,96.12,3191.0,5181.0,1314662400
clfi,2011-08-31,96.91,98.21,98.26,96.72,6784.0,4800.0,1314748800
clfi,2011-09-01,97.45,98.15,97.8,97.02,2678.0,4569.0,1314835200
clfi,2011-09-06,96.42,98.18,97.75,96.4,5629.0,4403.0,1315267200
clfi,2011-09-07,97.67,98.56,98.11,97.48,3141.0,4216.0,1315353600
clfi,2011-09-08,97.8,98.1,98.02,97.31,1985.0,4084.0,1315440000
clfi,2011-09-13,84.89,97.83,84.96,84.15,1083.0,3974.0,1315872000
clfi,2011-09-15,98.17,99.13,98.72,98.11,1847.0,3497.0,1316044800
