symbol,date,open,close,high,low,volume,oi,timestamp
cmfi,1999-05-04,51.17,52.13,52.15,51.08,1634.0,3082.0,925776000
cmfi,1999-05-05,52.14,51.89,52.4,51.62,771.0,3251.0,925862400
cmfi,1999-05-06,51.91,52.87,53.09,51.88,880.0,3305.0,925948800
cmfi,1999-05-07,52.73,53.29,53.63,52.0,1584.0,3581.0,926035200
cmfi,1999-05-10,53.65,54.29,54.28,53.56,858.0,3661.0,926294400
cmfi,1999-05-11,55.27,55.67,55.67,55.27,547.0,3696.0,926380800
cmfi,1999-05-12,56.71,57.21,57.21,56.65,1437.0,4036.0,926467200
cmfi,1999-05-13,57.65,59.09,59.15,57.36,5166.0,4469.0,926553600
cmfi,1999-05-14,58.92,56.38,59.33,56.37,5096.0,3922.0,926640000
cmfi,1999-05-17,55.74,55.42,55.76,55.36,1108.0,4179.0,926899200
cmfi,1999-05-18,53.99,53.64,55.92,53.55,5155.0,4447.0,926985600
cmfi,1999-05-19,53.19,54.58,54.61,52.93,3562.0,4429.0,927072000
cmfi,1999-05-20,54.45,54.49,54.9,53.87,2192.0,4371.0,927158400
cmfi,1999-05-21,54.61,54.59,55.12,53.97,2281.0,4390.0,927244800
cmfi,1999-05-24,54.58,53.9,54.84,53.68,1915.0,4571.0,927504000
cmfi,1999-05-25,53.62,53.59,53.92,53.03,2552.0,4368.0,927590400
cmfi,1999-05-26,53.23,54.13,54.16,53.15,1106.0,4301.0,927676800
cmfi,1999-05-27,54.18,55.45,55.45,54.18,2058.0,4323.0,927763200
cmfi,1999-05-28,56.27,55.74,56.53,55.05,3000.0,4349.0,927849600
cmfi,1999-05-31,55.91,54.53,55.99,54.49,1161.0,4176.0,928108800
cmfi,1999-06-01,54.17,56.03,56.04,54.14,1651.0,4281.0,928195200
cmfi,1999-06-02,56.18,55.59,56.26,55.2,1170.0,4355.0,928281600
cmfi,1999-06-03,55.5,54.58,55.62,54.54,1693.0,4570.0,928368000
cmfi,1999-06-04,54.83,55.24,55.34,53.94,1732.0,4677.0,928454400
cmfi,1999-06-07,55.4,55.81,56.11,54.85,2901.0,4659.0,928713600
cmfi,1999-06-08,55.76,55.78,56.3,55.37,1731.0,4580.0,928800000
cmfi,1999-06-09,55.7,56.56,57.04,55.64,2926.0,4700.0,928886400
cmfi,1999-06-10,56.13,57.41,57.74,56.04,3494.0,5025.0,928972800
cmfi,1999-06-11,57.32,57.38,58.02,57.04,2870.0,4851.0,929059200
cmfi,1999-06-14,57.5,58.9,58.98,57.19,3660.0,5253.0,929318400
cmfi,1999-06-15,58.3,56.77,58.56,56.75,2313.0,5041.0,929404800
cmfi,1999-06-16,55.67,56.93,57.21,55.33,3351.0,4675.0,929491200
cmfi,1999-06-17,56.77,56.37,57.18,55.82,1157.0,4590.0,929577600
cmfi,1999-06-18,56.11,55.05,56.11,54.54,2339.0,4222.0,929664000
cmfi,1999-06-21,54.51,55.51,55.44,54.29,1001.0,4097.0,929923200
cmfi,1999-06-22,55.44,54.05,55.63,53.66,2743.0,4311.0,930009600
cmfi,1999-06-23,53.9,53.19,54.43,53.09,2145.0,4525.0,930096000
cmfi,1999-06-24,52.75,53.28,53.21,51.82,2616.0,4622.0,930182400
