symbol,date,open,close,high,low,volume,oi,timestamp
crfi,2000-05-08,121.3,120.89,121.71,120.09,98290.0,195277.0,957744000
crfi,2000-05-09,120.83,121.09,121.13,120.59,21547.0,198523.0,957830400
crfi,2000-05-10,121.2,120.97,121.42,120.84,35042.0,199485.0,957916800
crfi,2000-05-11,121.57,120.73,121.66,120.32,46357.0,199844.0,958003200
crfi,2000-05-12,120.71,120.88,120.92,120.56,17314.0,197056.0,958089600
crfi,2000-05-15,121.14,120.35,121.16,120.31,38568.0,192333.0,958348800
crfi,2000-05-16,119.91,119.77,120.11,119.42,55955.0,191672.0,958435200
crfi,2000-05-17,119.47,119.86,119.97,119.43,32532.0,194326.0,958521600
crfi,2000-05-18,119.71,119.87,120.22,119.53,45096.0,198971.0,958608000
crfi,2000-05-19,119.87,119.14,119.87,118.75,81657.0,199844.0,958694400
crfi,2000-05-22,119.49,119.45,119.84,118.96,42447.0,197545.0,958953600
crfi,2000-05-23,119.45,119.48,119.74,119.37,26150.0,198607.0,959040000
crfi,2000-05-24,119.34,119.77,119.89,118.95,63349.0,199181.0,959126400
crfi,2000-05-25,119.55,119.84,120.1,119.39,58464.0,199036.0,959212800
crfi,2000-05-26,119.16,118.98,119.48,118.71,69713.0,198847.0,959299200
crfi,2000-05-29,116.75,115.36,117.6,115.36,135516.0,183621.0,959558400
crfi,2000-05-30,113.46,112.32,113.8,112.29,201368.0,165117.0,959644800
crfi,2000-05-31,112.27,113.79,113.82,111.92,177268.0,136602.0,959731200
crfi,2000-06-01,113.57,113.42,113.66,113.27,37414.0,136424.0,959817600
crfi,2000-06-02,113.01,113.32,113.49,112.53,78658.0,135478.0,959904000
crfi,2000-06-05,113.8,113.95,114.32,113.61,45296.0,135555.0,960163200
crfi,2000-06-06,113.76,113.91,114.21,113.66,35066.0,139342.0,960249600
crfi,2000-06-07,114.01,114.03,114.35,113.37,47790.0,144824.0,960336000
crfi,2000-06-08,113.79,113.76,113.94,113.23,60831.0,154048.0,960422400
crfi,2000-06-09,113.84,113.44,114.04,113.41,38304.0,160755.0,960508800
crfi,2000-06-12,113.19,111.4,113.24,111.35,119444.0,160435.0,960768000
crfi,2000-06-13,111.2,110.91,111.72,110.23,124322.0,155339.0,960854400
crfi,2000-06-14,110.72,111.25,111.77,110.39,100580.0,159071.0,960940800
crfi,2000-06-15,110.7,110.82,111.0,110.12,67139.0,160077.0,961027200
crfi,2000-06-16,110.84,110.79,111.1,110.39,59578.0,165140.0,961113600
crfi,2000-06-19,110.96,111.09,111.4,110.85,47756.0,167457.0,961372800
crfi,2000-06-20,111.23,111.39,111.51,111.06,23213.0,166535.0,961459200
crfi,2000-06-21,111.01,111.13,111.24,110.86,33158.0,169877.0,961545600
crfi,2000-06-22,111.27,112.28,112.48,111.15,79525.0,177358.0,961632000
crfi,2000-06-23,112.18,112.24,112.7,111.81,84160.0,182182.0,961718400
crfi,2000-06-26,111.88,111.36,112.01,111.21,74329.0,190661.0,961977600
crfi,2000-06-27,111.53,111.83,111.99,111.5,39491.0,191657.0,962064000
crfi,2000-06-28,111.96,111.3,112.11,110.95,119740.0,204555.0,962150400
crfi,2000-06-29,111.11,111.49,111.65,111.09,53399.0,207187.0,962236800
crfi,2000-06-30,111.78,111.32,111.89,111.24,69842.0,208695.0,962323200
crfi,2000-07-03,110.59,109.85,111.09,109.54,139422.0,228546.0,962582400
crfi,2000-07-04,109.57,109.15,110.41,107.15,298504.0,230837.0,962668800
crfi,2000-07-05,109.28,108.77,109.64,107.74,151793.0,236389.0,962755200
crfi,2000-07-06,108.49,108.5,109.14,108.12,86061.0,234511.0,962841600
crfi,2000-07-07,107.56,107.38,108.31,106.62,213520.0,222218.0,962928000
crfi,2000-07-10,107.69,108.08,108.28,107.39,74805.0,218420.0,963187200
crfi,2000-07-11,108.26,108.76,108.86,108.05,41581.0,220689.0,963273600
crfi,2000-07-12,108.37,108.35,109.01,108.14,61677.0,217975.0,963360000
crfi,2000-07-13,108.61,110.04,110.19,108.56,124494.0,207828.0,963446400
crfi,2000-07-14,109.56,110.41,110.62,109.38,67167.0,201880.0,963532800
crfi,2000-07-17,109.83,108.4,109.83,108.19,101398.0,209668.0,963792000
crfi,2000-07-18,108.13,109.88,109.95,107.99,111283.0,210216.0,963878400
crfi,2000-07-19,109.71,109.07,109.9,108.83,97341.0,214517.0,963964800
crfi,2000-07-20,109.31,109.0,109.49,108.68,55687.0,220550.0,964051200
crfi,2000-07-21,109.33,108.54,109.55,108.28,76994.0,229250.0,964137600
crfi,2000-07-24,108.66,108.54,109.0,107.93,80965.0,242407.0,964396800
crfi,2000-07-25,108.17,108.55,108.78,108.11,42123.0,240742.0,964483200
crfi,2000-07-26,108.25,108.36,108.57,108.11,18200.0,241567.0,964569600
crfi,2000-07-27,108.23,108.11,108.38,107.13,134732.0,249281.0,964656000
crfi,2000-07-28,108.09,107.87,108.23,107.71,31408.0,244762.0,964742400
crfi,2000-07-31,107.42,107.16,107.58,106.87,77385.0,249921.0,965001600
crfi,2000-08-01,107.26,107.66,107.91,107.19,74959.0,245358.0,965088000
crfi,2000-08-02,107.81,107.61,108.2,107.38,44995.0,244124.0,965174400
crfi,2000-08-03,107.87,107.09,107.98,106.97,72310.0,247031.0,965260800
crfi,2000-08-04,106.76,105.43,106.84,104.7,250962.0,251170.0,965347200
crfi,2000-08-07,105.08,105.57,105.98,105.02,86217.0,252524.0,965606400
crfi,2000-08-08,105.1,104.69,105.57,104.32,182415.0,235963.0,965692800
crfi,2000-08-09,105.0,104.46,105.12,104.23,98596.0,240298.0,965779200
crfi,2000-08-10,104.46,104.48,105.0,104.22,75304.0,248827.0,965865600
crfi,2000-08-11,104.69,104.77,104.87,104.42,50310.0,243416.0,965952000
crfi,2000-08-14,104.92,105.22,105.62,104.77,109380.0,250448.0,966211200
crfi,2000-08-15,105.27,104.99,105.57,104.81,45303.0,247149.0,966297600
crfi,2000-08-16,105.14,103.87,105.18,103.67,69251.0,250372.0,966384000
crfi,2000-08-17,104.26,104.18,104.52,103.64,125642.0,256942.0,966470400
crfi,2000-08-18,103.91,104.19,104.37,103.78,63631.0,260449.0,966556800
crfi,2000-08-21,103.89,103.71,104.12,103.45,65721.0,265689.0,966816000
crfi,2000-08-22,103.82,103.62,103.94,103.43,59307.0,267631.0,966902400
crfi,2000-08-23,103.37,102.23,103.45,101.65,193132.0,266806.0,966988800
crfi,2000-08-24,102.24,102.46,102.55,102.03,56515.0,266434.0,967075200
crfi,2000-08-25,102.26,102.37,102.46,102.07,36498.0,264845.0,967161600
crfi,2000-08-28,102.61,105.23,105.32,102.61,127117.0,256635.0,967420800
crfi,2000-08-29,106.21,107.43,107.5,106.05,215077.0,246207.0,967507200
crfi,2000-08-30,109.26,109.45,110.31,108.04,225824.0,230563.0,967593600
crfi,2000-08-31,108.94,110.7,111.02,108.48,133213.0,251351.0,967680000
crfi,2000-09-01,112.71,112.95,112.95,112.5,21581.0,245722.0,967766400
crfi,2000-09-04,116.66,112.69,116.82,112.46,345264.0,194750.0,968025600
crfi,2000-09-05,113.54,114.09,115.4,112.85,174350.0,214139.0,968112000
crfi,2000-09-06,114.54,114.14,114.91,113.35,80429.0,218163.0,968198400
crfi,2000-09-07,112.52,111.52,112.75,110.86,139385.0,224146.0,968284800
crfi,2000-09-08,111.25,113.68,114.85,111.16,149417.0,222813.0,968371200
crfi,2000-09-11,114.53,112.94,114.68,112.19,95057.0,226913.0,968630400
crfi,2000-09-12,113.19,112.49,113.31,111.78,59178.0,220407.0,968716800
crfi,2000-09-13,112.17,112.58,113.3,111.25,96429.0,229927.0,968803200
crfi,2000-09-14,112.25,111.5,112.55,111.12,95027.0,220506.0,968889600
crfi,2000-09-15,110.58,111.87,112.02,110.38,94372.0,232000.0,968976000
crfi,2000-09-18,111.72,112.06,112.61,111.4,97487.0,244056.0,969235200
crfi,2000-09-19,112.4,111.87,112.41,111.62,42124.0,238436.0,969321600
crfi,2000-09-20,111.7,112.61,112.73,111.7,88039.0,243843.0,969408000
crfi,2000-09-21,112.81,113.2,113.33,112.46,51036.0,248686.0,969494400
crfi,2000-09-22,113.29,112.77,113.5,112.53,44446.0,249235.0,969580800
crfi,2000-09-25,113.06,112.95,113.37,112.66,46560.0,256622.0,969840000
crfi,2000-09-26,113.09,113.13,113.2,112.73,25412.0,257126.0,969926400
crfi,2000-09-27,112.96,112.93,113.34,112.76,23640.0,257056.0,970012800
crfi,2000-09-28,113.02,113.02,113.25,112.87,16437.0,257660.0,970099200
crfi,2000-09-29,113.04,113.12,113.39,113.02,21215.0,251600.0,970185600
crfi,2000-10-09,112.88,112.39,113.1,112.36,29188.0,250292.0,971049600
crfi,2000-10-10,112.48,111.56,112.59,111.25,66561.0,249129.0,971136000
crfi,2000-10-11,111.91,111.57,112.09,110.95,47046.0,249262.0,971222400
crfi,2000-10-12,111.18,110.71,111.2,110.33,71101.0,251375.0,971308800
crfi,2000-10-13,110.6,111.06,111.21,110.54,24059.0,251098.0,971395200
crfi,2000-10-16,110.36,110.9,111.0,110.02,47476.0,251199.0,971654400
crfi,2000-10-17,111.93,112.54,113.6,111.06,154653.0,258527.0,971740800
crfi,2000-10-18,112.47,111.81,112.5,111.7,37219.0,260073.0,971827200
crfi,2000-10-19,111.91,112.47,112.82,111.88,31819.0,261063.0,971913600
crfi,2000-10-20,112.75,113.04,113.11,112.54,37662.0,262775.0,972000000
crfi,2000-10-23,113.12,112.75,113.28,112.68,25190.0,266428.0,972259200
crfi,2000-10-24,112.33,112.53,112.56,112.17,25024.0,266107.0,972345600
crfi,2000-10-25,112.84,112.91,112.99,112.68,15588.0,266654.0,972432000
crfi,2000-10-26,112.89,113.17,113.32,112.45,28826.0,267092.0,972518400
crfi,2000-10-27,112.9,112.27,113.01,111.99,85678.0,265911.0,972604800
crfi,2000-10-30,112.24,112.6,112.65,111.92,64697.0,268304.0,972864000
crfi,2000-10-31,112.62,112.13,112.68,111.87,52810.0,268114.0,972950400
crfi,2000-11-01,112.38,112.6,112.77,112.26,25128.0,268268.0,973036800
crfi,2000-11-02,112.83,112.72,113.06,112.58,27488.0,267061.0,973123200
crfi,2000-11-03,113.26,112.49,113.56,112.35,48103.0,269687.0,973209600
crfi,2000-11-06,112.68,112.85,112.97,112.29,28664.0,270691.0,973468800
crfi,2000-11-07,112.62,112.62,112.76,112.33,19679.0,268875.0,973555200
crfi,2000-11-08,112.55,113.51,113.73,112.54,53396.0,277235.0,973641600
crfi,2000-11-09,113.47,113.71,114.04,113.23,35217.0,276172.0,973728000
crfi,2000-11-10,113.25,113.54,113.7,113.09,19517.0,277400.0,973814400
crfi,2000-11-13,113.42,113.78,113.93,113.41,18711.0,279952.0,974073600
crfi,2000-11-14,113.91,113.86,113.98,113.32,37578.0,277685.0,974160000
crfi,2000-11-15,113.78,113.95,114.13,113.51,16661.0,279900.0,974246400
crfi,2000-11-16,114.14,113.82,114.31,113.79,23777.0,277583.0,974332800
crfi,2000-11-17,113.63,113.86,113.96,113.51,13447.0,277830.0,974419200
crfi,2000-11-20,114.55,115.29,115.56,114.44,83772.0,278595.0,974678400
crfi,2000-11-21,115.36,115.46,115.73,115.14,40257.0,277688.0,974764800
crfi,2000-11-22,115.47,115.94,116.15,115.36,59661.0,280367.0,974851200
crfi,2000-11-23,116.48,116.57,117.0,116.22,69183.0,280489.0,974937600
crfi,2000-11-24,116.4,117.57,117.71,116.31,84316.0,282615.0,975024000
crfi,2000-11-27,119.39,119.65,120.05,118.98,180000.0,304815.0,975283200
crfi,2000-11-28,119.43,119.67,119.97,119.15,71647.0,305022.0,975369600
crfi,2000-11-29,120.11,118.61,120.45,118.47,145318.0,309753.0,975456000
crfi,2000-11-30,118.93,119.01,119.26,118.43,63913.0,310551.0,975542400
