symbol,date,open,close,high,low,vol,oi,month,day
cufi,1998-02-04,17668.0,17684.0,17793.0,17609.0,7382.0,46253.0,2,4
cufi,1998-02-05,17778.0,17696.0,17804.0,17663.0,3842.0,46886.0,2,5
cufi,1998-02-06,17590.0,17436.0,17662.0,17414.0,10353.0,47990.0,2,6
cufi,1998-02-09,17405.0,17374.0,17507.0,17296.0,12225.0,49806.0,2,9
cufi,1998-02-11,17348.0,17285.0,17427.0,17273.0,12465.0,49329.0,2,11
cufi,1998-02-12,17371.0,17369.0,17422.0,17300.0,5622.0,49627.0,2,12
cufi,1998-02-13,17368.0,17486.0,17498.0,17350.0,6381.0,49633.0,2,13
cufi,1998-02-16,16458.0,17366.0,16488.0,16411.0,4536.0,49799.0,2,16
cufi,1998-02-17,17359.0,17394.0,17418.0,17346.0,2184.0,47402.0,2,17
cufi,1998-02-18,17299.0,17264.0,17351.0,17210.0,11284.0,48218.0,2,18
cufi,1998-02-19,17230.0,17160.0,17255.0,17083.0,13032.0,48042.0,2,19
cufi,1998-02-20,17200.0,17099.0,17233.0,17075.0,9119.0,49052.0,2,20
cufi,1998-02-23,16968.0,16740.0,16971.0,16733.0,18335.0,48519.0,2,23
cufi,1998-02-24,16499.0,16684.0,16714.0,16427.0,20692.0,48617.0,2,24
cufi,1998-02-25,16701.0,16654.0,16732.0,16607.0,7208.0,48806.0,2,25
cufi,1998-02-26,17000.0,17085.0,17160.0,16942.0,22723.0,48565.0,2,26
cufi,1998-02-27,17303.0,17243.0,17365.0,17228.0,17829.0,48018.0,2,27
cufi,1998-03-02,17225.0,17289.0,17312.0,17192.0,6825.0,48291.0,3,2
cufi,1998-03-03,17717.0,17768.0,17769.0,17685.0,14245.0,47723.0,3,3
cufi,1998-03-04,17582.0,17503.0,17672.0,17497.0,17326.0,47386.0,3,4
cufi,1998-03-05,17556.0,17687.0,17713.0,17538.0,11410.0,48614.0,3,5
cufi,1998-03-06,17884.0,17564.0,17910.0,17541.0,22406.0,46085.0,3,6
cufi,1998-03-09,17634.0,17543.0,17691.0,17513.0,10032.0,45886.0,3,9
cufi,1998-03-10,17495.0,17587.0,17587.0,17471.0,5842.0,45892.0,3,10
cufi,1998-03-11,17700.0,17897.0,17930.0,17683.0,26450.0,46672.0,3,11
cufi,1998-03-12,17724.0,17638.0,17724.0,17556.0,16562.0,45342.0,3,12
cufi,1998-03-13,18129.0,18066.0,18144.0,17900.0,29676.0,44965.0,3,13
cufi,1998-03-16,16697.0,18095.0,16866.0,16671.0,11322.0,46444.0,3,16
cufi,1998-03-17,18260.0,18380.0,18392.0,18248.0,18637.0,44305.0,3,17
cufi,1998-03-18,18268.0,18179.0,18274.0,18123.0,11943.0,44965.0,3,18
cufi,1998-03-19,17881.0,17873.0,17916.0,17784.0,20392.0,43548.0,3,19
cufi,1998-03-20,17825.0,18006.0,18021.0,17792.0,14685.0,44128.0,3,20
cufi,1998-03-23,17917.0,17896.0,17962.0,17844.0,9104.0,45041.0,3,23
cufi,1998-03-24,18132.0,18126.0,18178.0,18087.0,14396.0,44947.0,3,24
cufi,1998-03-25,17907.0,17934.0,17953.0,17894.0,7670.0,45841.0,3,25
cufi,1998-03-26,17781.0,17867.0,17877.0,17757.0,10995.0,45686.0,3,26
cufi,1998-03-27,17855.0,17819.0,17905.0,17811.0,4768.0,46552.0,3,27
cufi,1998-03-30,17867.0,17826.0,17918.0,17813.0,5225.0,46349.0,3,30
cufi,1998-03-31,17891.0,17793.0,17911.0,17788.0,6683.0,46200.0,3,31
cufi,1998-04-01,17807.0,17910.0,17910.0,17789.0,5913.0,46098.0,4,1
