symbol,date,open,close,high,low,vol,oi,month,day
ebfi,2019-09-26,8042.0,8045.0,8162.0,7974.0,101806.0,16791.0,9,26
ebfi,2019-09-27,8011.0,7919.0,8051.0,7886.0,29143.0,14571.0,9,27
ebfi,2019-09-30,7896.0,7941.0,7964.0,7889.0,9385.0,13151.0,9,30
ebfi,2019-10-08,7906.0,7933.0,7960.0,7891.0,3886.0,13337.0,10,8
ebfi,2019-10-09,7930.0,7927.0,7982.0,7915.0,8062.0,13867.0,10,9
ebfi,2019-10-10,7930.0,7830.0,7940.0,7824.0,25658.0,15411.0,10,10
ebfi,2019-10-11,7831.0,7818.0,7861.0,7786.0,15978.0,16139.0,10,11
ebfi,2019-10-14,7818.0,7763.0,7837.0,7752.0,15896.0,19356.0,10,14
ebfi,2019-10-15,7756.0,7645.0,7756.0,7591.0,33026.0,25490.0,10,15
ebfi,2019-10-16,7670.0,7526.0,7670.0,7491.0,37329.0,29326.0,10,16
ebfi,2019-10-17,7510.0,7475.0,7517.0,7426.0,40492.0,33139.0,10,17
ebfi,2019-10-18,7486.0,7541.0,7566.0,7465.0,42761.0,31439.0,10,18
ebfi,2019-10-21,7549.0,7489.0,7576.0,7464.0,26594.0,30417.0,10,21
ebfi,2019-10-22,7499.0,7463.0,7504.0,7427.0,23493.0,32390.0,10,22
ebfi,2019-10-23,7495.0,7446.0,7501.0,7439.0,18370.0,34349.0,10,23
ebfi,2019-10-24,7432.0,7505.0,7536.0,7402.0,35098.0,34459.0,10,24
ebfi,2019-10-25,7513.0,7455.0,7523.0,7454.0,15314.0,34001.0,10,25
ebfi,2019-10-28,7455.0,7431.0,7497.0,7413.0,22746.0,36373.0,10,28
ebfi,2019-10-29,7433.0,7384.0,7455.0,7374.0,25301.0,39196.0,10,29
ebfi,2019-10-30,7376.0,7338.0,7398.0,7328.0,39843.0,47804.0,10,30
ebfi,2019-10-31,7326.0,7326.0,7354.0,7319.0,23638.0,50538.0,10,31
ebfi,2019-11-01,7319.0,7250.0,7350.0,7246.0,46078.0,55573.0,11,1
ebfi,2019-11-04,7256.0,7313.0,7320.0,7256.0,31736.0,57562.0,11,4
ebfi,2019-11-05,7315.0,7332.0,7372.0,7309.0,37140.0,55095.0,11,5
ebfi,2019-11-06,7356.0,7331.0,7361.0,7325.0,20445.0,57203.0,11,6
ebfi,2019-11-07,7329.0,7258.0,7338.0,7232.0,35172.0,62905.0,11,7
ebfi,2019-11-08,7294.0,7089.0,7294.0,7074.0,72996.0,76204.0,11,8
ebfi,2019-11-11,7090.0,6966.0,7098.0,6957.0,80299.0,79097.0,11,11
ebfi,2019-11-12,6962.0,6955.0,6984.0,6909.0,70706.0,82552.0,11,12
ebfi,2019-11-13,6952.0,6967.0,7069.0,6946.0,108831.0,79824.0,11,13
ebfi,2019-11-14,6980.0,6942.0,6984.0,6877.0,76186.0,81153.0,11,14
ebfi,2019-11-15,6942.0,6952.0,6993.0,6928.0,63919.0,78726.0,11,15
ebfi,2019-11-18,6954.0,7006.0,7021.0,6940.0,62328.0,77558.0,11,18
ebfi,2019-11-19,6999.0,6955.0,7021.0,6914.0,61446.0,78986.0,11,19
ebfi,2019-11-20,6950.0,6933.0,6953.0,6892.0,58139.0,84023.0,11,20
ebfi,2019-11-21,6933.0,6976.0,6993.0,6915.0,60345.0,89603.0,11,21
ebfi,2019-11-22,6976.0,6988.0,7045.0,6965.0,70827.0,92504.0,11,22
ebfi,2019-11-25,6989.0,7086.0,7086.0,6989.0,68730.0,94066.0,11,25
ebfi,2019-11-26,7083.0,7150.0,7155.0,7038.0,98499.0,94574.0,11,26
ebfi,2019-11-27,7151.0,7142.0,7235.0,7127.0,137217.0,100079.0,11,27
ebfi,2019-11-28,7161.0,7152.0,7194.0,7109.0,81226.0,100537.0,11,28
ebfi,2019-11-29,7164.0,7125.0,7164.0,7072.0,67988.0,100335.0,11,29
ebfi,2019-12-02,7115.0,7056.0,7144.0,7015.0,77495.0,102147.0,12,2
ebfi,2019-12-03,7056.0,7167.0,7191.0,7056.0,96210.0,97204.0,12,3
ebfi,2019-12-04,7168.0,7176.0,7259.0,7157.0,109632.0,97845.0,12,4
ebfi,2019-12-05,7201.0,7300.0,7322.0,7201.0,111008.0,95497.0,12,5
ebfi,2019-12-06,7327.0,7326.0,7342.0,7282.0,64495.0,95391.0,12,6
ebfi,2019-12-09,7324.0,7276.0,7490.0,7271.0,152257.0,81317.0,12,9
ebfi,2019-12-10,7276.0,7375.0,7380.0,7271.0,125563.0,80310.0,12,10
ebfi,2019-12-11,7391.0,7268.0,7441.0,7246.0,151068.0,84787.0,12,11
ebfi,2019-12-12,7275.0,7325.0,7330.0,7221.0,95459.0,87772.0,12,12
ebfi,2019-12-13,7329.0,7322.0,7386.0,7261.0,108928.0,85889.0,12,13
ebfi,2019-12-16,7328.0,7346.0,7382.0,7302.0,92526.0,84078.0,12,16
ebfi,2019-12-17,7331.0,7429.0,7445.0,7331.0,86343.0,84022.0,12,17
ebfi,2019-12-18,7446.0,7363.0,7476.0,7343.0,82886.0,80277.0,12,18
ebfi,2019-12-19,7380.0,7433.0,7441.0,7344.0,71026.0,84136.0,12,19
ebfi,2019-12-20,7433.0,7403.0,7465.0,7394.0,70157.0,83816.0,12,20
ebfi,2019-12-23,7416.0,7349.0,7420.0,7315.0,85488.0,84589.0,12,23
ebfi,2019-12-24,7354.0,7360.0,7379.0,7323.0,51753.0,84048.0,12,24
ebfi,2019-12-25,7368.0,7352.0,7391.0,7346.0,45780.0,83535.0,12,25
ebfi,2019-12-26,7369.0,7365.0,7375.0,7319.0,40144.0,85400.0,12,26
ebfi,2019-12-27,7366.0,7407.0,7418.0,7352.0,67030.0,82899.0,12,27
ebfi,2019-12-30,7406.0,7375.0,7425.0,7374.0,63123.0,79921.0,12,30
ebfi,2019-12-31,7383.0,7275.0,7397.0,7238.0,106254.0,86238.0,12,31
ebfi,2020-01-02,7287.0,7290.0,7334.0,7262.0,38935.0,86755.0,1,2
ebfi,2020-01-03,7294.0,7321.0,7346.0,7272.0,50002.0,84935.0,1,3
ebfi,2020-01-06,7329.0,7387.0,7407.0,7318.0,60320.0,80477.0,1,6
ebfi,2020-01-07,7389.0,7318.0,7389.0,7282.0,51307.0,80727.0,1,7
ebfi,2020-01-08,7309.0,7375.0,7429.0,7303.0,73547.0,74606.0,1,8
ebfi,2020-01-09,7346.0,7307.0,7385.0,7268.0,59436.0,73427.0,1,9
ebfi,2020-01-10,7313.0,7428.0,7428.0,7263.0,73535.0,74588.0,1,10
ebfi,2020-01-13,7433.0,7539.0,7565.0,7423.0,157257.0,87006.0,1,13
ebfi,2020-01-14,7542.0,7539.0,7584.0,7478.0,90732.0,89820.0,1,14
ebfi,2020-01-15,7548.0,7530.0,7572.0,7480.0,84963.0,91390.0,1,15
ebfi,2020-01-16,7528.0,7465.0,7548.0,7402.0,86326.0,81137.0,1,16
ebfi,2020-01-17,7458.0,7459.0,7496.0,7439.0,50607.0,81021.0,1,17
ebfi,2020-01-20,7470.0,7513.0,7528.0,7462.0,60220.0,80974.0,1,20
ebfi,2020-01-21,7508.0,7433.0,7536.0,7421.0,53227.0,74249.0,1,21
ebfi,2020-01-22,7423.0,7393.0,7436.0,7310.0,58381.0,65581.0,1,22
ebfi,2020-01-23,7392.0,7282.0,7408.0,7268.0,31982.0,63859.0,1,23
ebfi,2020-02-03,6892.0,6889.0,6935.0,6889.0,25318.0,58238.0,2,3
ebfi,2020-02-04,6673.0,6868.0,6878.0,6556.0,55186.0,55884.0,2,4
ebfi,2020-02-05,6812.0,6944.0,7006.0,6812.0,55998.0,58518.0,2,5
ebfi,2020-02-06,6979.0,6999.0,7026.0,6929.0,36116.0,59789.0,2,6
ebfi,2020-02-07,6978.0,6982.0,6994.0,6953.0,21794.0,60186.0,2,7
ebfi,2020-02-10,6960.0,6976.0,7000.0,6936.0,20031.0,62445.0,2,10
ebfi,2020-02-11,6954.0,6948.0,6992.0,6927.0,32343.0,65248.0,2,11
ebfi,2020-02-12,6933.0,6879.0,6956.0,6829.0,53423.0,70269.0,2,12
ebfi,2020-02-13,6895.0,6889.0,6906.0,6844.0,34631.0,72628.0,2,13
ebfi,2020-02-14,6892.0,6897.0,6922.0,6853.0,33554.0,72562.0,2,14
ebfi,2020-02-17,6907.0,6964.0,6997.0,6881.0,36097.0,73571.0,2,17
ebfi,2020-02-18,6968.0,6949.0,7013.0,6941.0,37276.0,76487.0,2,18
ebfi,2020-02-19,6967.0,7008.0,7036.0,6948.0,39302.0,80432.0,2,19
ebfi,2020-02-20,7026.0,7036.0,7075.0,6993.0,45714.0,84857.0,2,20
ebfi,2020-02-21,7038.0,7054.0,7084.0,7024.0,41587.0,87691.0,2,21
ebfi,2020-02-24,7016.0,7037.0,7039.0,6966.0,35856.0,85694.0,2,24
ebfi,2020-02-25,6981.0,7021.0,7030.0,6971.0,28397.0,85634.0,2,25
ebfi,2020-02-26,6992.0,6925.0,7051.0,6921.0,48070.0,86334.0,2,26
ebfi,2020-02-27,6900.0,6855.0,6906.0,6839.0,32581.0,87054.0,2,27
ebfi,2020-02-28,6815.0,6710.0,6842.0,6698.0,46720.0,83967.0,2,28
ebfi,2020-03-02,6688.0,6773.0,6798.0,6670.0,45217.0,86350.0,3,2
ebfi,2020-03-03,6819.0,6721.0,6861.0,6720.0,53258.0,92316.0,3,3
ebfi,2020-03-04,6764.0,6777.0,6800.0,6734.0,41996.0,91235.0,3,4
ebfi,2020-03-05,6780.0,6769.0,6793.0,6743.0,38527.0,89860.0,3,5
ebfi,2020-03-06,6747.0,6735.0,6764.0,6686.0,47647.0,87742.0,3,6
ebfi,2020-03-09,6466.0,6466.0,6466.0,6465.0,1835.0,86920.0,3,9
ebfi,2020-03-10,6037.0,6305.0,6353.0,6037.0,68998.0,82994.0,3,10
ebfi,2020-03-11,6329.0,6221.0,6369.0,6212.0,39019.0,84646.0,3,11
ebfi,2020-03-12,6186.0,6155.0,6226.0,6051.0,56086.0,86336.0,3,12
ebfi,2020-03-13,6077.0,6121.0,6134.0,5967.0,60204.0,85124.0,3,13
ebfi,2020-03-16,6070.0,5983.0,6111.0,5981.0,66602.0,84619.0,3,16
ebfi,2020-03-17,5952.0,5815.0,5987.0,5813.0,112770.0,93205.0,3,17
ebfi,2020-03-18,5749.0,5487.0,5752.0,5486.0,148168.0,95746.0,3,18
ebfi,2020-03-19,5196.0,5153.0,5325.0,5143.0,99367.0,88263.0,3,19
ebfi,2020-03-20,5354.0,5235.0,5358.0,5045.0,224522.0,90543.0,3,20
ebfi,2020-03-23,4782.0,4896.0,5019.0,4770.0,158195.0,93036.0,3,23
ebfi,2020-03-24,4956.0,4852.0,4971.0,4646.0,175210.0,95313.0,3,24
ebfi,2020-03-25,4765.0,4652.0,4817.0,4592.0,259161.0,123172.0,3,25
ebfi,2020-03-26,4635.0,4713.0,4799.0,4565.0,279610.0,144291.0,3,26
ebfi,2020-03-27,4758.0,4749.0,4790.0,4629.0,236103.0,157235.0,3,27
ebfi,2020-03-30,4655.0,4461.0,4689.0,4458.0,270295.0,149897.0,3,30
ebfi,2020-03-31,4489.0,4552.0,4712.0,4487.0,265939.0,157281.0,3,31
ebfi,2020-04-01,4535.0,4557.0,4611.0,4511.0,128579.0,157367.0,4,1
ebfi,2020-04-02,4530.0,4817.0,4921.0,4530.0,264112.0,163917.0,4,2
ebfi,2020-04-03,4886.0,5039.0,5061.0,4769.0,211948.0,151779.0,4,3
ebfi,2020-04-07,5107.0,5095.0,5148.0,5006.0,218171.0,140932.0,4,7
ebfi,2020-04-08,5017.0,5139.0,5204.0,4955.0,190643.0,132041.0,4,8
ebfi,2020-04-09,5215.0,5498.0,5524.0,5168.0,356375.0,140308.0,4,9
ebfi,2020-04-10,5387.0,5422.0,5570.0,5333.0,510590.0,138106.0,4,10
ebfi,2020-04-13,5492.0,5485.0,5725.0,5430.0,357387.0,133676.0,4,13
ebfi,2020-04-14,5517.0,5349.0,5533.0,5253.0,282421.0,130593.0,4,14
ebfi,2020-04-15,5265.0,5367.0,5435.0,5190.0,243486.0,128462.0,4,15
ebfi,2020-04-16,5316.0,5376.0,5442.0,5314.0,202210.0,129240.0,4,16
ebfi,2020-04-17,5441.0,5485.0,5596.0,5410.0,240891.0,129721.0,4,17
ebfi,2020-04-20,5376.0,5504.0,5507.0,5344.0,156915.0,132633.0,4,20
ebfi,2020-04-21,5436.0,5167.0,5499.0,5036.0,335210.0,126535.0,4,21
ebfi,2020-04-22,4934.0,4795.0,5005.0,4794.0,261267.0,129726.0,4,22
ebfi,2020-04-23,4885.0,5280.0,5293.0,4885.0,316359.0,133846.0,4,23
ebfi,2020-04-24,5329.0,5276.0,5365.0,5180.0,270473.0,131527.0,4,24
ebfi,2020-04-27,5263.0,5304.0,5404.0,5210.0,220519.0,128528.0,4,27
ebfi,2020-04-28,5272.0,5335.0,5395.0,5248.0,199782.0,132409.0,4,28
ebfi,2020-04-29,5381.0,5440.0,5471.0,5381.0,142694.0,129738.0,4,29
ebfi,2020-04-30,5567.0,5521.0,5567.0,5451.0,104184.0,125366.0,4,30
ebfi,2020-05-06,5778.0,5718.0,5791.0,5662.0,123330.0,131787.0,5,6
ebfi,2020-05-07,5690.0,5527.0,5722.0,5515.0,210189.0,140046.0,5,7
ebfi,2020-05-08,5600.0,5532.0,5614.0,5439.0,197301.0,136106.0,5,8
ebfi,2020-05-11,5512.0,5448.0,5570.0,5426.0,124260.0,138983.0,5,11
ebfi,2020-05-12,5486.0,5454.0,5494.0,5396.0,111264.0,134457.0,5,12
ebfi,2020-05-13,5475.0,5487.0,5562.0,5360.0,192824.0,133642.0,5,13
ebfi,2020-05-14,5508.0,5509.0,5541.0,5437.0,118918.0,133805.0,5,14
ebfi,2020-05-15,5500.0,5588.0,5626.0,5476.0,134031.0,136431.0,5,15
ebfi,2020-05-18,5598.0,5732.0,5797.0,5553.0,167448.0,142044.0,5,18
ebfi,2020-05-19,5755.0,5739.0,5886.0,5687.0,209271.0,140541.0,5,19
ebfi,2020-05-20,5750.0,5778.0,5816.0,5714.0,126585.0,141789.0,5,20
ebfi,2020-05-21,5778.0,5769.0,5822.0,5734.0,149504.0,139707.0,5,21
ebfi,2020-05-22,5779.0,5608.0,5841.0,5588.0,193976.0,133730.0,5,22
ebfi,2020-05-25,5615.0,5700.0,5726.0,5572.0,119033.0,132858.0,5,25
ebfi,2020-05-26,5718.0,5689.0,5743.0,5670.0,85281.0,133551.0,5,26
ebfi,2020-05-27,5727.0,5730.0,5766.0,5646.0,117646.0,131488.0,5,27
ebfi,2020-05-28,5718.0,5668.0,5743.0,5610.0,130872.0,130234.0,5,28
ebfi,2020-05-29,5683.0,5670.0,5738.0,5649.0,111431.0,127870.0,5,29
ebfi,2020-06-01,5670.0,5792.0,5804.0,5644.0,121667.0,125781.0,6,1
ebfi,2020-06-02,5788.0,5801.0,5846.0,5750.0,87918.0,126818.0,6,2
ebfi,2020-06-03,5808.0,5949.0,5985.0,5801.0,154222.0,141139.0,6,3
ebfi,2020-06-04,5914.0,5815.0,5932.0,5793.0,120444.0,133462.0,6,4
ebfi,2020-06-05,5819.0,5878.0,5892.0,5801.0,78289.0,134143.0,6,5
ebfi,2020-06-08,5948.0,5908.0,5967.0,5867.0,89110.0,133246.0,6,8
ebfi,2020-06-09,5892.0,5853.0,5920.0,5828.0,78382.0,134416.0,6,9
ebfi,2020-06-10,5844.0,5857.0,5899.0,5821.0,68223.0,133891.0,6,10
