symbol,date,open,close,high,low,volume,oi,month,day
ecfi,2023-08-18,774.9,921.2,933.1,774.9,369097.0,16091.0,8,18
ecfi,2023-08-21,931.9,928.6,960.2,907.3,292845.0,19595.0,8,21
ecfi,2023-08-22,914.4,935.7,989.6,909.3,384338.0,22983.0,8,22
ecfi,2023-08-23,936.3,953.2,986.1,936.3,305486.0,24459.0,8,23
ecfi,2023-08-24,959.2,906.6,968.5,896.5,305347.0,27473.0,8,24
ecfi,2023-08-25,911.1,891.8,918.1,876.8,266947.0,28900.0,8,25
ecfi,2023-08-28,902.4,873.5,917.1,847.7,228141.0,29614.0,8,28
ecfi,2023-08-29,870.7,886.0,895.3,855.0,235594.0,27482.0,8,29
ecfi,2023-08-30,891.7,894.6,903.6,882.9,205968.0,25002.0,8,30
ecfi,2023-08-31,896.0,884.9,901.2,867.8,216755.0,26166.0,8,31
ecfi,2023-09-01,893.1,907.6,917.2,884.0,231493.0,28395.0,9,1
ecfi,2023-09-04,916.8,899.9,922.6,893.4,172294.0,30290.0,9,4
ecfi,2023-09-05,898.8,985.7,992.5,898.8,403672.0,41884.0,9,5
ecfi,2023-09-06,990.3,952.8,993.7,939.8,374809.0,39754.0,9,6
ecfi,2023-09-07,953.0,946.6,978.5,932.5,331577.0,42239.0,9,7
ecfi,2023-09-08,942.5,917.9,958.2,917.2,257209.0,42704.0,9,8
ecfi,2023-09-11,921.9,930.7,942.6,914.9,189777.0,44013.0,9,11
ecfi,2023-09-12,933.2,930.9,943.4,922.7,152061.0,45071.0,9,12
ecfi,2023-09-13,935.0,901.3,940.5,892.8,205674.0,47735.0,9,13
ecfi,2023-09-14,904.1,892.6,912.3,888.3,146486.0,49847.0,9,14
ecfi,2023-09-15,898.9,906.2,910.1,893.2,121431.0,46548.0,9,15
ecfi,2023-09-18,904.9,919.5,932.9,901.4,159362.0,47397.0,9,18
ecfi,2023-09-19,921.1,914.7,927.1,906.9,110660.0,47642.0,9,19
ecfi,2023-09-20,918.8,927.3,933.0,914.2,103880.0,48055.0,9,20
ecfi,2023-09-21,923.3,900.7,929.4,897.5,125144.0,48044.0,9,21
ecfi,2023-09-22,909.1,898.7,909.1,889.5,109132.0,48824.0,9,22
ecfi,2023-09-25,897.2,854.6,904.8,852.1,150600.0,58641.0,9,25
ecfi,2023-09-26,846.0,789.7,850.2,788.9,278364.0,71230.0,9,26
ecfi,2023-09-27,789.1,766.6,795.3,746.2,407876.0,71367.0,9,27
ecfi,2023-09-28,772.5,730.7,780.7,716.7,394165.0,75840.0,9,28
ecfi,2023-10-09,721.0,750.8,757.4,701.4,253695.0,80690.0,10,9
ecfi,2023-10-10,750.8,737.8,762.5,728.9,321239.0,87179.0,10,10
ecfi,2023-10-11,743.3,757.2,766.2,739.0,308000.0,87809.0,10,11
ecfi,2023-10-12,755.1,801.6,814.6,741.9,429262.0,85598.0,10,12
ecfi,2023-10-13,796.7,795.5,814.0,783.0,333943.0,84626.0,10,13
ecfi,2023-10-16,802.7,791.8,832.5,791.7,363457.0,89025.0,10,16
ecfi,2023-10-17,789.6,733.8,789.6,733.4,444274.0,102806.0,10,17
ecfi,2023-10-18,733.3,739.8,753.2,723.9,486130.0,103564.0,10,18
ecfi,2023-10-19,736.5,768.1,770.2,728.8,425748.0,97214.0,10,19
ecfi,2023-10-20,771.5,748.6,784.1,725.4,495713.0,98789.0,10,20
ecfi,2023-10-23,751.9,769.8,780.9,744.1,487759.0,98102.0,10,23
ecfi,2023-10-24,767.6,781.7,787.3,757.2,440970.0,95473.0,10,24
ecfi,2023-10-25,783.7,756.0,791.6,748.7,404253.0,99149.0,10,25
ecfi,2023-10-26,761.7,770.0,772.1,753.0,256650.0,94769.0,10,26
ecfi,2023-10-27,767.4,773.1,778.3,756.6,223727.0,95582.0,10,27
ecfi,2023-10-30,788.6,804.5,810.2,788.3,217061.0,95751.0,10,30
ecfi,2023-10-31,792.8,789.0,798.6,775.4,206496.0,96804.0,10,31
ecfi,2023-11-01,786.0,791.3,801.4,783.3,157860.0,94630.0,11,1
ecfi,2023-11-02,789.3,764.7,792.8,756.4,243827.0,104600.0,11,2
ecfi,2023-11-03,769.0,778.1,780.2,765.6,157862.0,97740.0,11,3
ecfi,2023-11-06,779.9,774.3,784.3,765.5,159897.0,99915.0,11,6
ecfi,2023-11-07,773.4,732.4,773.4,731.6,223276.0,109232.0,11,7
ecfi,2023-11-08,726.8,741.4,747.2,720.4,173052.0,105104.0,11,8
ecfi,2023-11-09,739.0,731.8,747.1,725.2,152612.0,110337.0,11,9
ecfi,2023-11-10,734.6,750.6,759.0,734.6,169100.0,99144.0,11,10
ecfi,2023-11-13,753.2,750.2,757.3,734.5,129696.0,102525.0,11,13
ecfi,2023-11-14,771.7,772.4,810.4,769.3,290930.0,105078.0,11,14
ecfi,2023-11-15,779.9,780.2,786.2,771.5,138927.0,101560.0,11,15
ecfi,2023-11-16,777.7,788.3,789.6,774.6,122437.0,101455.0,11,16
ecfi,2023-11-17,785.8,775.4,785.8,759.7,147503.0,96515.0,11,17
ecfi,2023-11-20,782.6,771.4,793.1,771.4,119785.0,95621.0,11,20
ecfi,2023-11-21,763.8,746.8,776.9,743.1,160413.0,100159.0,11,21
ecfi,2023-11-22,748.9,751.8,755.3,739.8,117223.0,99289.0,11,22
ecfi,2023-11-23,749.3,747.2,752.0,732.9,126434.0,100466.0,11,23
ecfi,2023-11-24,749.7,774.0,782.8,749.3,211700.0,100346.0,11,24
ecfi,2023-11-27,782.7,781.1,792.4,771.8,138637.0,97661.0,11,27
ecfi,2023-11-28,779.2,801.4,810.2,772.8,171818.0,101749.0,11,28
ecfi,2023-11-29,809.1,806.4,817.2,791.2,160834.0,100421.0,11,29
ecfi,2023-11-30,810.7,851.7,863.0,802.6,291389.0,107965.0,11,30
ecfi,2023-12-01,849.6,849.9,876.1,835.5,256730.0,101560.0,12,1
ecfi,2023-12-04,858.2,862.3,892.0,843.0,255092.0,108376.0,12,4
ecfi,2023-12-05,856.4,836.1,871.4,782.4,394594.0,104331.0,12,5
ecfi,2023-12-06,831.5,859.7,871.2,821.7,277565.0,104641.0,12,6
ecfi,2023-12-07,855.9,915.6,915.6,851.6,326584.0,110309.0,12,7
ecfi,2023-12-08,918.2,931.2,934.6,899.3,307951.0,111718.0,12,8
ecfi,2023-12-11,940.0,932.0,946.2,908.3,263699.0,115835.0,12,11
ecfi,2023-12-12,945.1,936.0,951.7,914.9,213103.0,119133.0,12,12
