symbol,date,open,close,high,low,volume,oi,timestamp
fbfi,2013-12-06,74.8,72.1,75.0,71.8,51274.0,5395.0,1386288000
fbfi,2013-12-09,71.5,74.2,76.0,71.4,191172.0,13717.0,1386547200
fbfi,2013-12-10,74.0,72.6,74.8,72.3,214776.0,18901.0,1386633600
fbfi,2013-12-11,72.6,73.4,73.5,72.4,128575.0,17788.0,1386720000
fbfi,2013-12-12,73.5,75.4,75.8,73.3,204140.0,20658.0,1386806400
fbfi,2013-12-13,75.1,74.8,75.8,73.8,230919.0,21279.0,1386892800
fbfi,2013-12-16,74.9,74.7,75.6,73.6,136790.0,20484.0,1387152000
fbfi,2013-12-17,74.9,74.2,75.3,74.2,100476.0,19163.0,1387238400
fbfi,2013-12-18,74.0,73.6,74.4,73.0,93290.0,16706.0,1387324800
fbfi,2013-12-19,73.6,73.0,73.9,72.8,64322.0,15404.0,1387411200
fbfi,2013-12-20,72.6,73.3,73.3,72.3,50312.0,16233.0,1387497600
fbfi,2013-12-23,73.1,74.8,75.7,72.9,176161.0,24989.0,1387756800
fbfi,2013-12-24,75.0,74.6,75.3,74.2,105971.0,19369.0,1387843200
fbfi,2013-12-25,74.5,74.2,75.1,74.0,71673.0,17040.0,1387929600
fbfi,2013-12-26,74.2,71.7,74.3,71.7,133993.0,28337.0,1388016000
fbfi,2013-12-27,71.5,72.5,73.0,71.4,144935.0,21592.0,1388102400
fbfi,2013-12-30,72.1,70.9,72.3,69.3,183436.0,23071.0,1388361600
fbfi,2013-12-31,70.7,69.9,70.8,69.6,92544.0,25468.0,1388448000
fbfi,2014-01-02,69.8,69.4,70.0,69.0,64022.0,25890.0,1388620800
fbfi,2014-01-03,69.3,69.6,69.9,68.8,72730.0,28824.0,1388707200
fbfi,2014-01-06,69.4,66.8,69.6,66.6,174515.0,44648.0,1388966400
fbfi,2014-01-07,66.8,66.9,67.3,66.1,132551.0,40072.0,1389052800
fbfi,2014-01-08,66.5,65.8,66.8,65.2,104227.0,40005.0,1389139200
fbfi,2014-01-09,65.3,66.6,68.4,65.2,265897.0,40242.0,1389225600
fbfi,2014-01-10,66.4,67.0,67.4,66.1,100136.0,35022.0,1389312000
fbfi,2014-01-13,67.0,66.7,67.3,66.1,67299.0,32097.0,1389571200
fbfi,2014-01-14,66.7,67.8,68.1,66.3,101980.0,29851.0,1389657600
fbfi,2014-01-15,67.5,67.3,67.8,66.8,67122.0,27161.0,1389744000
fbfi,2014-01-16,67.3,64.8,67.3,64.7,169443.0,44103.0,1389830400
fbfi,2014-01-17,64.7,65.2,65.4,64.5,98161.0,35059.0,1389916800
fbfi,2014-01-20,65.2,65.7,66.7,65.0,105901.0,34823.0,1390176000
fbfi,2014-01-21,65.6,65.1,65.7,64.9,72916.0,34753.0,1390262400
fbfi,2014-01-22,65.0,65.2,66.1,64.8,96809.0,33160.0,1390348800
fbfi,2014-01-23,65.0,65.8,65.9,64.9,123859.0,39045.0,1390435200
fbfi,2014-01-24,65.6,65.8,66.4,65.5,84949.0,38087.0,1390521600
fbfi,2014-01-27,65.9,65.2,65.9,64.8,77133.0,37289.0,1390780800
fbfi,2014-01-28,65.1,63.9,65.5,62.7,175568.0,33011.0,1390867200
fbfi,2014-01-29,63.8,65.4,65.5,63.2,155743.0,27782.0,1390953600
fbfi,2014-01-30,65.5,64.8,65.6,64.3,74475.0,27154.0,1391040000
fbfi,2014-02-07,64.8,65.1,66.0,64.8,55530.0,31695.0,1391731200
fbfi,2014-02-10,65.0,65.7,65.7,64.4,87837.0,39590.0,1391990400
fbfi,2014-02-11,65.8,65.6,66.8,65.4,206247.0,58343.0,1392076800
fbfi,2014-02-12,65.5,65.2,65.7,64.2,113526.0,57250.0,1392163200
fbfi,2014-02-13,65.2,65.3,65.9,64.9,119218.0,59443.0,1392249600
fbfi,2014-02-14,65.4,65.4,65.7,65.1,80228.0,59200.0,1392336000
fbfi,2014-02-17,65.6,66.5,67.3,65.6,245458.0,84292.0,1392595200
fbfi,2014-02-18,66.5,65.4,67.1,65.0,253153.0,92395.0,1392681600
fbfi,2014-02-19,65.5,64.6,65.7,64.0,292925.0,93239.0,1392768000
fbfi,2014-02-20,64.7,64.8,65.1,64.4,143883.0,81442.0,1392854400
fbfi,2014-02-21,64.7,64.8,64.9,64.4,101748.0,75003.0,1392940800
fbfi,2014-02-24,64.9,64.6,64.9,63.1,182285.0,63499.0,1393200000
fbfi,2014-02-25,64.5,64.2,65.1,64.1,104788.0,63774.0,1393286400
fbfi,2014-02-26,64.2,64.2,64.6,63.4,103605.0,64436.0,1393372800
fbfi,2014-02-27,64.1,62.7,64.4,62.4,226865.0,77616.0,1393459200
fbfi,2014-02-28,62.7,62.0,63.1,61.9,158793.0,81137.0,1393545600
fbfi,2014-03-03,62.0,62.0,62.4,61.6,98707.0,75794.0,1393804800
fbfi,2014-03-04,62.0,62.4,63.1,61.3,143550.0,72022.0,1393891200
fbfi,2014-03-05,62.6,62.8,63.3,62.4,143643.0,83392.0,1393977600
fbfi,2014-03-06,62.8,62.5,63.4,62.3,138595.0,92774.0,1394064000
fbfi,2014-03-07,62.7,63.4,63.7,62.4,199845.0,71719.0,1394150400
fbfi,2014-03-10,63.0,62.3,63.8,60.5,257764.0,64440.0,1394409600
fbfi,2014-03-11,62.3,63.8,64.2,62.1,162931.0,58230.0,1394496000
fbfi,2014-03-12,63.2,64.8,65.8,63.1,192099.0,63875.0,1394582400
fbfi,2014-03-13,64.8,64.9,65.3,64.2,93348.0,66022.0,1394668800
fbfi,2014-03-14,64.9,63.5,65.2,63.3,129408.0,68167.0,1394755200
fbfi,2014-03-17,63.9,62.3,63.9,61.7,200001.0,67796.0,1395014400
fbfi,2014-03-18,62.5,63.1,63.6,62.4,109774.0,62785.0,1395100800
fbfi,2014-03-19,63.1,63.3,63.8,62.8,114778.0,67914.0,1395187200
fbfi,2014-03-20,63.3,63.1,63.5,62.6,78325.0,65951.0,1395273600
fbfi,2014-03-21,63.0,64.3,64.7,62.2,205956.0,54664.0,1395360000
fbfi,2014-03-24,64.3,64.4,64.5,63.8,75013.0,54924.0,1395619200
fbfi,2014-03-25,64.3,63.8,65.4,63.7,124808.0,54572.0,1395705600
fbfi,2014-03-26,63.6,64.5,64.7,63.6,54473.0,54889.0,1395792000
fbfi,2014-03-27,64.5,65.1,66.2,64.4,130926.0,61724.0,1395878400
fbfi,2014-03-28,65.0,65.9,66.1,65.0,62866.0,62781.0,1395964800
fbfi,2014-03-31,66.1,67.0,67.6,66.1,128637.0,62879.0,1396224000
fbfi,2014-04-01,67.0,66.5,67.9,66.4,108605.0,59714.0,1396310400
fbfi,2014-04-02,66.6,66.0,66.8,65.5,97432.0,57306.0,1396396800
fbfi,2014-04-03,65.9,67.0,67.0,65.6,61050.0,59610.0,1396483200
fbfi,2014-04-04,67.0,65.6,67.7,65.5,142560.0,68761.0,1396569600
fbfi,2014-04-08,65.5,65.6,65.9,64.1,129131.0,73508.0,1396915200
fbfi,2014-04-09,65.6,66.4,67.3,65.3,195316.0,75715.0,1397001600
fbfi,2014-04-10,66.2,66.7,67.4,66.1,178424.0,79119.0,1397088000
fbfi,2014-04-11,66.5,65.8,66.9,65.6,104880.0,76976.0,1397174400
fbfi,2014-04-14,65.7,65.2,66.8,64.7,160925.0,76476.0,1397433600
fbfi,2014-04-15,65.0,63.1,65.4,62.7,206718.0,75339.0,1397520000
fbfi,2014-04-16,62.9,62.3,63.4,61.9,149768.0,65895.0,1397606400
fbfi,2014-04-17,62.4,63.1,64.0,62.3,206645.0,62118.0,1397692800
fbfi,2014-04-18,63.1,62.7,63.4,62.4,97348.0,54273.0,1397779200
fbfi,2014-04-21,62.9,63.7,64.7,62.3,188300.0,57441.0,1398038400
fbfi,2014-04-22,63.6,63.4,64.2,62.8,97156.0,56912.0,1398124800
fbfi,2014-04-23,63.6,63.4,63.8,62.9,72680.0,53902.0,1398211200
fbfi,2014-04-24,63.5,63.5,63.9,63.1,64333.0,54485.0,1398297600
fbfi,2014-04-25,63.6,63.6,64.1,63.4,50750.0,50065.0,1398384000
fbfi,2014-04-28,63.5,63.5,63.9,62.5,64661.0,48010.0,1398643200
fbfi,2014-04-29,63.6,63.0,63.9,62.9,60805.0,49840.0,1398729600
fbfi,2014-04-30,62.7,62.7,63.2,62.4,75762.0,44364.0,1398816000
fbfi,2014-05-05,62.6,63.6,63.7,62.6,65726.0,42598.0,1399248000
fbfi,2014-05-06,63.7,63.3,64.2,63.3,68530.0,44500.0,1399334400
fbfi,2014-05-07,63.2,63.1,63.6,62.9,47781.0,40895.0,1399420800
fbfi,2014-05-08,63.1,62.8,63.3,62.0,100809.0,41908.0,1399507200
fbfi,2014-05-09,62.9,61.8,63.0,61.7,66167.0,52763.0,1399593600
fbfi,2014-05-12,61.6,62.4,62.4,60.8,92174.0,48336.0,1399852800
fbfi,2014-05-13,62.5,61.6,62.9,61.6,61020.0,52089.0,1399939200
fbfi,2014-05-14,61.7,61.4,62.1,60.9,85261.0,61055.0,1400025600
fbfi,2014-05-15,61.4,61.1,61.8,60.9,56261.0,57386.0,1400112000
fbfi,2014-05-16,61.0,60.1,61.1,59.2,156287.0,65204.0,1400198400
fbfi,2014-05-19,60.2,59.8,60.4,59.6,61060.0,63438.0,1400457600
fbfi,2014-05-20,59.8,59.5,59.9,59.0,89201.0,69777.0,1400544000
fbfi,2014-05-21,59.5,59.1,59.8,58.7,60887.0,75823.0,1400630400
fbfi,2014-05-22,59.3,59.1,59.8,58.9,54168.0,75431.0,1400716800
fbfi,2014-05-23,59.0,59.5,60.1,58.6,111843.0,74108.0,1400803200
fbfi,2014-05-26,59.5,59.9,60.1,59.2,71928.0,72386.0,1401062400
fbfi,2014-05-27,59.8,59.6,60.6,59.5,114881.0,71296.0,1401148800
fbfi,2014-05-28,59.5,59.3,59.7,59.2,53558.0,71858.0,1401235200
fbfi,2014-05-29,59.1,58.9,59.4,58.8,50197.0,76750.0,1401321600
fbfi,2014-05-30,58.9,58.8,59.2,58.5,83691.0,80944.0,1401408000
fbfi,2014-06-03,58.8,59.2,59.2,58.7,36632.0,79241.0,1401753600
fbfi,2014-06-04,59.1,58.6,59.6,58.5,86821.0,93175.0,1401840000
fbfi,2014-06-05,58.5,59.2,59.3,58.4,61302.0,83605.0,1401926400
