symbol,date,open,close,high,low,volume,oi,timestamp
fdfi,2000-07-17,107.66,102.7,107.68,101.1,582.0,360.0,963792000
fdfi,2000-07-18,104.09,104.7,108.46,103.75,651.0,583.0,963878400
fdfi,2000-07-19,99.32,103.93,99.32,98.37,78.0,598.0,963964800
fdfi,2000-07-20,99.41,103.03,99.58,98.92,38.0,594.0,964051200
fdfi,2000-07-21,102.61,100.75,103.01,100.74,359.0,595.0,964137600
fdfi,2000-07-24,100.57,100.76,100.8,99.25,68.0,596.0,964396800
fdfi,2000-07-25,98.44,100.88,101.61,98.14,150.0,592.0,964483200
fdfi,2000-07-26,99.83,99.89,100.4,98.09,73.0,587.0,964569600
fdfi,2000-07-27,99.09,99.15,99.29,97.35,88.0,586.0,964656000
fdfi,2000-07-28,97.14,98.07,98.82,96.36,261.0,630.0,964742400
fdfi,2000-07-31,97.29,98.46,97.88,96.83,2938.0,650.0,965001600
fdfi,2000-08-03,97.14,96.41,97.43,94.76,785.0,1234.0,965260800
fdfi,2000-08-04,92.98,93.79,94.5,90.92,6413.0,6891.0,965347200
fdfi,2000-08-07,93.45,92.67,93.86,91.27,7823.0,10097.0,965606400
fdfi,2000-08-08,88.7,92.31,90.49,87.27,7695.0,11499.0,965692800
fdfi,2000-08-09,93.74,93.59,94.63,90.85,12114.0,12113.0,965779200
fdfi,2000-08-10,92.54,91.91,93.56,91.35,6954.0,14557.0,965865600
fdfi,2000-08-11,87.18,92.84,88.54,86.65,5961.0,14083.0,965952000
fdfi,2000-08-14,87.56,92.74,88.08,87.25,6299.0,14443.0,966211200
fdfi,2000-08-15,81.71,92.28,82.5,80.58,2733.0,14240.0,966297600
fdfi,2000-08-16,75.43,91.17,75.78,75.1,4221.0,14054.0,966384000
fdfi,2000-08-18,90.83,91.0,92.12,89.91,6283.0,15946.0,966556800
fdfi,2000-08-21,91.21,91.34,91.7,90.07,5866.0,15365.0,966816000
fdfi,2000-08-22,90.02,91.43,92.23,89.79,5855.0,15137.0,966902400
fdfi,2000-08-23,91.56,91.63,92.07,90.42,7138.0,16650.0,966988800
fdfi,2000-08-24,91.61,91.38,92.02,91.09,5999.0,17623.0,967075200
fdfi,2000-08-25,91.06,91.2,91.83,90.56,5812.0,17327.0,967161600
fdfi,2000-08-28,91.84,94.81,94.91,91.83,13956.0,18689.0,967420800
fdfi,2000-08-29,94.5,94.54,94.8,93.73,11129.0,16290.0,967507200
fdfi,2000-08-30,94.65,95.55,95.82,93.97,13315.0,12658.0,967593600
fdfi,2000-08-31,92.27,93.15,93.8,91.95,13061.0,16319.0,967680000
fdfi,2000-09-01,94.86,96.43,96.05,94.86,3413.0,14819.0,967766400
fdfi,2000-09-04,98.31,98.03,99.54,96.27,8227.0,7339.0,968025600
fdfi,2000-09-05,96.44,97.13,96.72,94.85,7053.0,12547.0,968112000
fdfi,2000-09-06,98.78,96.61,99.08,95.65,12901.0,19136.0,968198400
fdfi,2000-09-07,97.63,96.39,98.26,95.61,9040.0,17761.0,968284800
fdfi,2000-09-11,85.56,97.4,87.06,84.98,10115.0,20977.0,968630400
fdfi,2000-09-13,94.79,96.9,95.84,94.73,10848.0,25748.0,968803200
fdfi,2000-09-14,97.59,96.18,98.17,95.31,8051.0,27547.0,968889600
fdfi,2000-09-15,95.99,95.33,96.58,94.19,15652.0,29643.0,968976000
fdfi,2000-09-18,95.51,95.11,95.9,94.28,15337.0,21843.0,969235200
fdfi,2000-09-19,93.82,94.05,94.46,93.15,19782.0,32892.0,969321600
fdfi,2000-09-20,93.82,94.58,94.75,93.5,12057.0,29891.0,969408000
fdfi,2000-09-21,94.91,95.39,96.32,93.92,14193.0,23683.0,969494400
fdfi,2000-09-22,93.85,93.96,94.58,93.29,12262.0,25323.0,969580800
fdfi,2000-09-25,93.89,93.13,94.67,92.41,13253.0,21372.0,969840000
fdfi,2000-09-26,92.59,94.9,95.49,92.36,8535.0,21058.0,969926400
fdfi,2000-09-27,92.64,92.72,93.72,91.76,15639.0,27049.0,970012800
fdfi,2000-09-28,91.32,90.75,92.06,89.11,14363.0,21353.0,970099200
fdfi,2000-09-29,94.92,94.75,95.2,93.8,16324.0,5570.0,970185600
fdfi,2000-10-13,71.82,96.64,72.21,71.78,1007.0,9119.0,971395200
fdfi,2000-10-17,83.76,96.73,84.12,83.48,1366.0,9730.0,971740800
fdfi,2000-10-18,89.0,95.86,89.16,87.84,2212.0,10844.0,971827200
fdfi,2000-10-19,96.37,96.37,97.12,95.81,2462.0,11464.0,971913600
fdfi,2000-10-20,91.78,96.56,92.7,91.68,2505.0,12234.0,972000000
fdfi,2000-10-23,95.92,96.96,96.04,95.42,1225.0,12610.0,972259200
fdfi,2000-10-24,95.61,96.81,95.92,95.38,912.0,12933.0,972345600
fdfi,2000-10-26,78.71,96.86,79.39,78.68,1119.0,11904.0,972518400
fdfi,2000-10-31,98.17,98.15,98.98,97.55,14111.0,9083.0,972950400
fdfi,2000-11-01,90.6,97.62,92.12,90.41,4873.0,5885.0,973036800
fdfi,2000-11-02,97.59,97.68,97.95,97.24,2543.0,5903.0,973123200
fdfi,2000-11-03,96.16,97.75,96.16,95.58,3603.0,5998.0,973209600
fdfi,2000-11-06,89.38,97.42,89.67,88.41,2644.0,5944.0,973468800
fdfi,2000-11-07,90.98,97.57,91.39,89.67,2606.0,6005.0,973555200
