symbol,date,open,close,high,low,volume,oi,timestamp
feifi,2009-03-27,99.71,100.03,102.87,98.67,180114.0,23472.0,1238112000
feifi,2009-03-30,99.71,99.57,100.57,99.08,72944.0,24864.0,1238371200
feifi,2009-03-31,99.4,99.71,100.2,99.21,35501.0,22959.0,1238457600
feifi,2009-04-01,100.04,99.66,100.08,99.54,14194.0,21618.0,1238544000
feifi,2009-04-02,99.59,97.59,99.68,97.1,118240.0,35194.0,1238630400
feifi,2009-04-03,97.81,96.89,97.82,96.55,76937.0,38534.0,1238716800
feifi,2009-04-07,95.82,98.09,98.83,95.82,121732.0,51361.0,1239062400
feifi,2009-04-08,97.78,97.31,98.09,97.11,73857.0,47073.0,1239148800
feifi,2009-04-09,97.35,97.44,97.63,96.91,44050.0,48584.0,1239235200
feifi,2009-04-10,97.86,97.9,98.34,97.5,60887.0,51343.0,1239321600
feifi,2009-04-13,97.93,97.49,98.16,97.34,55446.0,56135.0,1239580800
feifi,2009-04-14,97.63,100.02,101.15,97.46,270929.0,76763.0,1239667200
feifi,2009-04-15,100.31,100.09,100.88,99.75,128295.0,77449.0,1239753600
feifi,2009-04-16,100.64,101.04,101.94,100.31,125617.0,86495.0,1239840000
feifi,2009-04-17,100.98,101.72,102.51,100.61,170475.0,111993.0,1239926400
feifi,2009-04-20,101.72,101.8,102.51,101.36,130452.0,121331.0,1240185600
feifi,2009-04-21,100.59,99.02,100.88,97.96,166578.0,122165.0,1240272000
feifi,2009-04-22,99.75,99.08,100.22,98.57,84519.0,118935.0,1240358400
feifi,2009-04-23,99.16,98.72,99.22,98.01,65555.0,119026.0,1240444800
feifi,2009-04-24,98.71,98.38,98.97,98.27,51002.0,125683.0,1240531200
feifi,2009-04-27,98.62,98.33,98.91,98.12,51479.0,129941.0,1240790400
feifi,2009-04-28,98.24,98.54,98.77,98.23,48676.0,134053.0,1240876800
feifi,2009-04-29,98.54,98.9,98.9,98.43,51462.0,140314.0,1240963200
feifi,2009-04-30,99.35,99.82,100.43,98.98,124571.0,152187.0,1241049600
feifi,2009-05-04,100.38,102.14,102.82,100.32,287835.0,166556.0,1241395200
feifi,2009-05-05,102.15,100.5,102.37,100.3,88399.0,158568.0,1241481600
feifi,2009-05-06,100.53,100.98,101.1,100.39,52155.0,160358.0,1241568000
feifi,2009-05-07,101.92,100.95,102.0,100.89,75646.0,163302.0,1241654400
feifi,2009-05-08,101.04,101.53,101.52,100.76,52073.0,165330.0,1241740800
feifi,2009-05-11,101.56,102.22,103.32,101.3,168590.0,173362.0,1242000000
feifi,2009-05-12,102.4,102.39,102.81,101.97,97025.0,173511.0,1242086400
feifi,2009-05-13,102.67,102.23,102.73,102.08,59500.0,174044.0,1242172800
feifi,2009-05-14,101.6,100.98,101.71,100.81,70400.0,171970.0,1242259200
feifi,2009-05-15,101.15,101.25,101.64,101.03,66447.0,172883.0,1242345600
feifi,2009-05-18,101.0,101.36,101.47,100.61,52664.0,172202.0,1242604800
feifi,2009-05-19,101.98,101.65,101.99,101.45,47998.0,171610.0,1242691200
feifi,2009-05-20,101.59,101.64,102.37,101.47,59692.0,172753.0,1242777600
feifi,2009-05-21,101.7,101.81,102.31,101.64,59029.0,174986.0,1242864000
feifi,2009-05-22,101.67,101.65,101.89,101.37,30423.0,174087.0,1242950400
feifi,2009-05-25,101.84,101.4,101.84,101.04,48059.0,180680.0,1243209600
feifi,2009-05-26,101.29,101.18,101.59,100.93,57233.0,175601.0,1243296000
feifi,2009-05-27,101.81,101.43,101.81,101.2,23312.0,172470.0,1243382400
feifi,2009-06-01,101.98,102.46,102.74,101.76,97220.0,177131.0,1243814400
feifi,2009-06-02,102.83,102.69,103.47,102.6,100320.0,176050.0,1243900800
feifi,2009-06-03,102.8,103.11,103.17,102.72,52971.0,176544.0,1243987200
feifi,2009-06-04,102.55,103.95,104.29,102.41,185970.0,186436.0,1244073600
