symbol,date,open,close,high,low,volume,position,month,day
frfi,2014-08-08,101.46,100.04,102.49,99.39,136755,29133,8,8
frfi,2014-08-11,99.46,100.05,101.0,99.21,96427,31083,8,11
frfi,2014-08-12,99.69,100.59,101.59,99.52,164259,40820,8,12
frfi,2014-08-13,100.72,100.86,101.25,100.17,81270,39059,8,13
frfi,2014-08-14,100.55,98.83,101.08,98.24,113962,33244,8,14
frfi,2014-08-15,98.86,99.24,99.4,98.66,46456,29553,8,15
frfi,2014-08-18,99.33,98.95,99.89,98.73,43525,27949,8,18
frfi,2014-08-19,98.8,99.12,99.3,98.12,31159,26905,8,19
frfi,2014-08-20,99.08,98.65,99.27,96.32,31776,27658,8,20
frfi,2014-08-21,98.88,98.67,99.25,98.41,10940,26791,8,21
frfi,2014-08-22,98.62,98.49,98.96,98.27,20369,23939,8,22
frfi,2014-08-25,98.47,98.95,99.07,98.0,32384,21879,8,25
frfi,2014-08-26,98.96,99.11,99.36,98.67,11476,18684,8,26
frfi,2014-08-27,99.2,99.06,99.7,98.81,13187,16086,8,27
frfi,2014-08-28,98.96,99.12,99.27,98.55,10526,15602,8,28
frfi,2014-08-29,99.05,99.33,99.53,98.79,10201,14695,8,29
frfi,2014-09-01,99.34,99.08,99.72,99.02,14033,16138,9,1
frfi,2014-09-02,98.94,98.74,99.26,98.01,20447,18617,9,2
frfi,2014-09-03,98.6,98.58,99.05,98.46,7768,19464,9,3
frfi,2014-09-04,98.55,98.69,99.05,98.1,8501,19276,9,4
frfi,2014-09-05,98.67,98.51,98.96,98.32,6438,19915,9,5
frfi,2014-09-09,98.34,97.35,98.51,97.05,21091,25044,9,9
frfi,2014-09-10,97.03,97.87,98.72,96.32,14906,22273,9,10
frfi,2014-09-11,97.85,97.53,97.91,97.41,4954,22173,9,11
frfi,2014-09-12,97.57,97.96,98.04,97.36,3253,21530,9,12
frfi,2014-09-15,97.74,98.81,98.92,97.68,5774,20343,9,15
frfi,2014-09-16,98.94,98.42,99.14,98.36,3985,19573,9,16
frfi,2014-09-17,98.57,98.47,98.73,98.3,1649,19598,9,17
