symbol,date,open,close,high,low,volume,oi,month,day
ifi,2013-10-18,976.7,976.1,984.4,959.9,169350.0,39328.0,10,18
ifi,2013-10-21,974.3,966.9,975.5,959.1,52013.0,41068.0,10,21
ifi,2013-10-22,960.9,946.3,963.8,946.1,49406.0,44764.0,10,22
ifi,2013-10-23,946.9,937.5,950.6,934.3,61228.0,47317.0,10,23
ifi,2013-10-24,936.2,924.6,937.0,915.3,88700.0,51885.0,10,24
ifi,2013-10-25,926.3,916.6,933.9,915.5,54413.0,51136.0,10,25
ifi,2013-10-28,918.0,921.3,926.1,915.2,43429.0,54473.0,10,28
ifi,2013-10-29,921.7,919.3,922.9,911.4,54454.0,57557.0,10,29
ifi,2013-10-30,917.4,922.0,927.5,914.5,62107.0,52655.0,10,30
ifi,2013-10-31,922.5,920.1,924.3,917.8,38577.0,49127.0,10,31
ifi,2013-11-01,919.9,941.0,952.6,919.9,164576.0,59687.0,11,1
ifi,2013-11-04,941.6,948.7,955.3,940.5,88971.0,67114.0,11,4
ifi,2013-11-05,946.5,944.8,952.4,941.6,55115.0,67243.0,11,5
ifi,2013-11-06,947.0,942.8,949.2,940.4,35877.0,68331.0,11,6
ifi,2013-11-07,943.0,943.8,945.3,937.3,47364.0,69531.0,11,7
ifi,2013-11-08,944.5,937.5,945.9,934.4,35942.0,69029.0,11,8
ifi,2013-11-11,937.8,940.1,941.8,932.2,30360.0,65385.0,11,11
ifi,2013-11-12,938.0,941.0,941.9,934.2,23943.0,63146.0,11,12
ifi,2013-11-13,939.4,940.8,949.7,937.9,49951.0,64509.0,11,13
ifi,2013-11-14,938.0,935.0,941.5,934.7,28787.0,60807.0,11,14
ifi,2013-11-15,936.2,929.1,939.5,927.8,39955.0,60912.0,11,15
ifi,2013-11-18,928.6,930.3,932.5,923.0,28293.0,59728.0,11,18
ifi,2013-11-19,929.0,939.9,940.4,928.0,31773.0,62916.0,11,19
ifi,2013-11-20,940.4,939.9,943.8,937.8,22445.0,61479.0,11,20
ifi,2013-11-21,939.4,930.2,940.3,929.7,21618.0,62328.0,11,21
ifi,2013-11-22,932.0,929.3,932.8,927.0,27248.0,63263.0,11,22
ifi,2013-11-25,931.0,931.1,933.8,926.2,20270.0,62389.0,11,25
ifi,2013-11-26,931.9,939.0,940.9,931.8,37638.0,64106.0,11,26
ifi,2013-11-27,937.5,934.3,939.4,930.9,15796.0,63383.0,11,27
ifi,2013-11-28,931.3,937.0,937.8,931.1,14268.0,62820.0,11,28
ifi,2013-11-29,937.0,937.2,942.5,936.7,17069.0,63111.0,11,29
ifi,2013-12-02,937.6,934.6,938.6,932.1,21510.0,64527.0,12,2
ifi,2013-12-03,936.5,937.2,939.0,934.0,18342.0,62832.0,12,3
ifi,2013-12-04,940.4,949.8,952.8,939.4,48735.0,67225.0,12,4
ifi,2013-12-05,950.5,942.8,953.8,941.8,27635.0,67490.0,12,5
ifi,2013-12-06,941.9,938.9,942.9,935.8,22261.0,64005.0,12,6
ifi,2013-12-09,938.4,942.8,943.4,937.3,10092.0,65965.0,12,9
ifi,2013-12-10,943.3,940.1,944.4,939.6,8592.0,64635.0,12,10
ifi,2013-12-11,939.5,935.0,939.6,931.8,20708.0,64199.0,12,11
ifi,2013-12-12,933.8,928.5,935.9,928.1,18682.0,64728.0,12,12
ifi,2013-12-13,924.9,911.8,924.9,903.8,50249.0,70084.0,12,13
ifi,2013-12-16,911.2,915.7,920.2,910.2,21115.0,72299.0,12,16
ifi,2013-12-17,915.5,908.2,917.7,906.2,13392.0,74682.0,12,17
ifi,2013-12-18,906.0,904.3,910.7,899.9,38071.0,77163.0,12,18
ifi,2013-12-19,906.6,905.5,910.2,904.1,16850.0,77705.0,12,19
ifi,2013-12-20,905.9,902.4,909.9,898.6,18770.0,76920.0,12,20
ifi,2013-12-23,900.7,889.1,901.7,881.7,71870.0,84493.0,12,23
ifi,2013-12-24,887.9,895.3,902.6,887.9,50164.0,77429.0,12,24
ifi,2013-12-25,897.7,897.8,898.9,892.7,25731.0,74042.0,12,25
ifi,2013-12-26,898.0,892.6,899.2,882.0,44800.0,79418.0,12,26
ifi,2013-12-27,893.4,902.5,905.1,891.8,46047.0,70318.0,12,27
ifi,2013-12-30,903.3,906.5,915.1,903.1,45755.0,67635.0,12,30
ifi,2013-12-31,903.8,906.5,909.1,894.8,38908.0,64891.0,12,31
ifi,2014-01-02,907.1,903.0,907.5,895.2,29763.0,69571.0,1,2
ifi,2014-01-03,899.5,897.6,900.9,884.2,69719.0,77793.0,1,3
ifi,2014-01-06,895.2,888.9,896.0,884.3,59140.0,90187.0,1,6
ifi,2014-01-07,885.9,892.7,893.1,881.6,47292.0,94615.0,1,7
ifi,2014-01-08,891.0,888.0,892.6,880.1,55902.0,101319.0,1,8
ifi,2014-01-09,886.9,883.9,894.9,879.9,55953.0,105475.0,1,9
ifi,2014-01-10,877.8,875.6,878.8,863.6,101198.0,112484.0,1,10
ifi,2014-01-13,874.4,866.3,875.1,863.6,59792.0,121739.0,1,13
ifi,2014-01-14,867.0,875.8,876.7,860.5,54528.0,125155.0,1,14
ifi,2014-01-15,873.2,873.9,876.0,868.5,38784.0,129286.0,1,15
ifi,2014-01-16,874.6,873.7,879.6,870.2,40161.0,133365.0,1,16
ifi,2014-01-17,871.0,869.9,872.4,864.7,45601.0,133269.0,1,17
ifi,2014-01-20,866.7,855.8,870.1,854.4,56572.0,140913.0,1,20
ifi,2014-01-21,854.2,841.9,855.2,837.6,79270.0,155897.0,1,21
ifi,2014-01-22,845.0,846.4,852.7,839.7,47396.0,157328.0,1,22
ifi,2014-01-23,849.9,871.7,878.5,848.6,126942.0,149304.0,1,23
ifi,2014-01-24,867.7,870.4,871.2,862.6,59660.0,140468.0,1,24
ifi,2014-01-27,865.4,858.2,867.3,855.2,44866.0,146091.0,1,27
ifi,2014-01-28,856.8,851.6,862.1,851.5,34898.0,145765.0,1,28
ifi,2014-01-29,850.0,859.9,860.4,849.3,30052.0,144968.0,1,29
ifi,2014-01-30,855.8,862.5,864.0,852.9,20817.0,144202.0,1,30
ifi,2014-02-07,858.8,849.6,862.3,846.2,48829.0,136110.0,2,7
ifi,2014-02-10,847.6,848.5,851.9,838.6,56988.0,141185.0,2,10
