symbol,date,open,close,high,low,vol,oi,month,day
lcfi,2023-07-21,236450.0,214134.0,236450.0,213536.0,65439.0,8085.0,7,21
lcfi,2023-07-24,211171.0,201297.0,211171.0,200635.0,53983.0,13122.0,7,24
lcfi,2023-07-25,201550.0,216694.0,217201.0,201550.0,74253.0,15020.0,7,25
lcfi,2023-07-26,217871.0,219564.0,231609.0,215903.0,109938.0,14508.0,7,26
lcfi,2023-07-27,224070.0,217538.0,224070.0,216714.0,48989.0,15105.0,7,27
lcfi,2023-07-28,216955.0,220462.0,222813.0,215434.0,46087.0,14780.0,7,28
lcfi,2023-07-31,220941.0,220704.0,225451.0,220682.0,36088.0,15505.0,7,31
lcfi,2023-08-01,221645.0,221434.0,222382.0,220032.0,22147.0,15676.0,8,1
lcfi,2023-08-02,221263.0,221913.0,223127.0,221263.0,16943.0,15675.0,8,2
lcfi,2023-08-03,220029.0,223250.0,223598.0,218729.0,21446.0,16230.0,8,3
lcfi,2023-08-04,223776.0,222708.0,225265.0,222374.0,13859.0,16442.0,8,4
lcfi,2023-08-07,221780.0,213933.0,222589.0,213779.0,33521.0,18615.0,8,7
lcfi,2023-08-08,214018.0,211639.0,215338.0,211274.0,31800.0,20447.0,8,8
lcfi,2023-08-09,212326.0,212657.0,212951.0,210159.0,27109.0,20194.0,8,9
lcfi,2023-08-10,212067.0,206395.0,213509.0,206179.0,33810.0,23910.0,8,10
lcfi,2023-08-11,206319.0,204917.0,207490.0,201836.0,54389.0,25574.0,8,11
lcfi,2023-08-14,203401.0,193643.0,203615.0,193643.0,54541.0,31513.0,8,14
lcfi,2023-08-15,193309.0,189681.0,194180.0,189077.0,86930.0,35763.0,8,15
lcfi,2023-08-16,189292.0,191747.0,195981.0,188216.0,81487.0,34637.0,8,16
lcfi,2023-08-17,191699.0,189798.0,194074.0,188535.0,72090.0,37164.0,8,17
lcfi,2023-08-18,190963.0,191523.0,193305.0,190562.0,44755.0,34426.0,8,18
lcfi,2023-08-21,193534.0,197116.0,199475.0,191960.0,62490.0,32603.0,8,21
lcfi,2023-08-22,196860.0,194572.0,200286.0,193380.0,57805.0,32402.0,8,22
lcfi,2023-08-23,195043.0,196129.0,196292.0,192413.0,42217.0,33373.0,8,23
lcfi,2023-08-24,196440.0,195420.0,198674.0,193767.0,38394.0,32539.0,8,24
lcfi,2023-08-25,195820.0,190779.0,196555.0,190742.0,39471.0,35118.0,8,25
lcfi,2023-08-28,192272.0,182823.0,193465.0,180583.0,87989.0,40209.0,8,28
lcfi,2023-08-29,182838.0,183944.0,186585.0,178378.0,83976.0,41506.0,8,29
lcfi,2023-08-30,185201.0,183383.0,186283.0,182314.0,65100.0,42342.0,8,30
lcfi,2023-08-31,183988.0,184365.0,184443.0,179176.0,83801.0,42781.0,8,31
lcfi,2023-09-01,184997.0,184104.0,187862.0,183056.0,79436.0,42394.0,9,1
lcfi,2023-09-04,185477.0,187126.0,188929.0,184671.0,68690.0,42254.0,9,4
lcfi,2023-09-05,188112.0,187481.0,190842.0,186139.0,68568.0,42918.0,9,5
lcfi,2023-09-06,188018.0,187411.0,189302.0,186702.0,46941.0,44121.0,9,6
lcfi,2023-09-07,187083.0,181935.0,187083.0,180839.0,65120.0,47905.0,9,7
lcfi,2023-09-08,180767.0,173951.0,180930.0,173806.0,121405.0,55765.0,9,8
lcfi,2023-09-11,174559.0,175933.0,176751.0,170411.0,91036.0,58960.0,9,11
lcfi,2023-09-12,175653.0,175116.0,179021.0,174476.0,91501.0,62317.0,9,12
lcfi,2023-09-13,174651.0,173532.0,176516.0,172529.0,78004.0,64288.0,9,13
lcfi,2023-09-14,172708.0,166975.0,173499.0,166958.0,136502.0,72526.0,9,14
lcfi,2023-09-15,168370.0,167419.0,169070.0,165317.0,122691.0,74360.0,9,15
lcfi,2023-09-18,167021.0,164879.0,168140.0,164434.0,86675.0,78420.0,9,18
lcfi,2023-09-19,164418.0,157557.0,164854.0,157224.0,138511.0,89721.0,9,19
lcfi,2023-09-20,157187.0,152200.0,157775.0,151661.0,218409.0,98481.0,9,20
lcfi,2023-09-21,151988.0,157067.0,157663.0,151491.0,232964.0,95389.0,9,21
lcfi,2023-09-22,156703.0,152457.0,158794.0,151524.0,271244.0,96303.0,9,22
lcfi,2023-09-25,152672.0,151867.0,155398.0,150591.0,225759.0,99150.0,9,25
lcfi,2023-09-26,151442.0,144355.0,151728.0,144355.0,297437.0,107796.0,9,26
lcfi,2023-09-27,144517.0,140786.0,145893.0,140403.0,359610.0,106659.0,9,27
lcfi,2023-09-28,142106.0,143446.0,144944.0,141907.0,229660.0,100532.0,9,28
lcfi,2023-10-09,142679.0,144995.0,146148.0,141975.0,126601.0,106282.0,10,9
lcfi,2023-10-10,145211.0,145276.0,147899.0,144658.0,204816.0,113144.0,10,10
lcfi,2023-10-11,146025.0,148356.0,148453.0,145615.0,164711.0,118372.0,10,11
lcfi,2023-10-12,149072.0,157650.0,157669.0,148722.0,268692.0,119027.0,10,12
lcfi,2023-10-13,159217.0,159605.0,163006.0,156979.0,353656.0,108907.0,10,13
lcfi,2023-10-16,160436.0,156717.0,163440.0,154104.0,437823.0,114876.0,10,16
lcfi,2023-10-17,156695.0,157226.0,159967.0,154419.0,347794.0,120006.0,10,17
lcfi,2023-10-18,158022.0,153208.0,159286.0,153201.0,308940.0,122017.0,10,18
lcfi,2023-10-19,152409.0,146620.0,153894.0,145041.0,385719.0,128737.0,10,19
lcfi,2023-10-20,145066.0,141762.0,148580.0,139481.0,463799.0,136415.0,10,20
lcfi,2023-10-23,141606.0,141846.0,142744.0,139149.0,451066.0,142151.0,10,23
lcfi,2023-10-24,141846.0,144547.0,144754.0,141846.0,325462.0,142103.0,10,24
lcfi,2023-10-25,145677.0,141611.0,147014.0,141572.0,417831.0,146914.0,10,25
lcfi,2023-10-26,141472.0,140809.0,143187.0,139322.0,428696.0,155074.0,10,26
lcfi,2023-10-27,140929.0,142257.0,143269.0,139200.0,441480.0,157541.0,10,27
lcfi,2023-10-30,142597.0,145152.0,145729.0,141487.0,373255.0,157651.0,10,30
lcfi,2023-10-31,144323.0,141473.0,145705.0,141001.0,455376.0,160480.0,10,31
lcfi,2023-11-01,141321.0,140968.0,143646.0,140907.0,412098.0,166055.0,11,1
lcfi,2023-11-02,140795.0,139461.0,142281.0,139369.0,303836.0,169552.0,11,2
lcfi,2023-11-03,139959.0,139793.0,141712.0,139426.0,290964.0,176966.0,11,3
lcfi,2023-11-06,139114.0,137673.0,140445.0,137614.0,317821.0,195148.0,11,6
lcfi,2023-11-07,137153.0,134065.0,137930.0,133422.0,429355.0,207789.0,11,7
lcfi,2023-11-08,133786.0,135846.0,136644.0,131174.0,658495.0,200293.0,11,8
lcfi,2023-11-09,135649.0,135285.0,136834.0,134358.0,360549.0,201886.0,11,9
lcfi,2023-11-10,135643.0,139399.0,140551.0,134917.0,456149.0,193637.0,11,10
lcfi,2023-11-13,140005.0,133823.0,141649.0,133811.0,450479.0,193811.0,11,13
lcfi,2023-11-14,133642.0,134543.0,136720.0,133216.0,423584.0,196984.0,11,14
lcfi,2023-11-15,135965.0,135349.0,136739.0,134689.0,326842.0,208643.0,11,15
lcfi,2023-11-16,135340.0,134610.0,135967.0,134443.0,274014.0,217280.0,11,16
lcfi,2023-11-17,133758.0,132873.0,134469.0,132291.0,308863.0,218608.0,11,17
lcfi,2023-11-20,132758.0,130456.0,135194.0,130181.0,333700.0,226705.0,11,20
lcfi,2023-11-21,131144.0,127153.0,131359.0,126390.0,427778.0,233445.0,11,21
lcfi,2023-11-22,127156.0,120059.0,127476.0,119800.0,698710.0,238614.0,11,22
lcfi,2023-11-23,119743.0,119369.0,120765.0,115999.0,738900.0,238458.0,11,23
lcfi,2023-11-24,119704.0,119483.0,122857.0,118590.0,828813.0,249256.0,11,24
lcfi,2023-11-27,119024.0,112160.0,119024.0,112020.0,769509.0,273942.0,11,27
lcfi,2023-11-28,110778.0,111093.0,113943.0,109273.0,787827.0,276354.0,11,28
lcfi,2023-11-29,111440.0,110509.0,114873.0,108710.0,1067886.0,315263.0,11,29
lcfi,2023-11-30,110734.0,106840.0,111691.0,106823.0,812131.0,328597.0,11,30
lcfi,2023-12-01,106906.0,103007.0,107107.0,101802.0,1143458.0,331785.0,12,1
lcfi,2023-12-04,102813.0,96704.0,103926.0,96699.0,1245916.0,368476.0,12,4
lcfi,2023-12-05,95830.0,91489.0,96304.0,91489.0,677173.0,389661.0,12,5
lcfi,2023-12-06,88528.0,92685.0,92836.0,85384.0,1518548.0,388713.0,12,6
lcfi,2023-12-07,93670.0,95324.0,95325.0,91318.0,533651.0,418857.0,12,7
lcfi,2023-12-08,101505.0,102180.0,102184.0,100960.0,68470.0,400419.0,12,8
lcfi,2023-12-11,113691.0,97125.0,113795.0,96410.0,1345262.0,308040.0,12,11
lcfi,2023-12-12,96471.0,93947.0,97278.0,93120.0,824677.0,323695.0,12,12
lcfi,2023-12-13,92839.0,105012.0,105209.0,89896.0,956548.0,323614.0,12,13
lcfi,2023-12-14,104105.0,102057.0,105042.0,93139.0,1141109.0,307327.0,12,14
lcfi,2023-12-15,101488.0,103836.0,107108.0,100258.0,646474.0,305461.0,12,15
lcfi,2023-12-18,103813.0,102276.0,107326.0,99761.0,569721.0,300576.0,12,18
lcfi,2023-12-19,101790.0,101424.0,103334.0,100335.0,298219.0,295884.0,12,19
lcfi,2023-12-20,101424.0,100354.0,102912.0,100016.0,196646.0,294119.0,12,20
lcfi,2023-12-21,99618.0,97270.0,101198.0,95124.0,383406.0,288409.0,12,21
lcfi,2023-12-22,96868.0,100221.0,102797.0,95893.0,381515.0,289256.0,12,22
lcfi,2023-12-25,99971.0,102101.0,102976.0,99791.0,189634.0,292814.0,12,25
lcfi,2023-12-26,102196.0,106402.0,107286.0,102030.0,324872.0,285088.0,12,26
lcfi,2023-12-27,106393.0,105131.0,108619.0,103008.0,320828.0,278206.0,12,27
lcfi,2023-12-28,104981.0,105819.0,106668.0,103899.0,178958.0,280042.0,12,28
lcfi,2023-12-29,105440.0,106610.0,107845.0,103416.0,251377.0,275608.0,12,29
lcfi,2024-01-02,105890.0,107426.0,108957.0,104981.0,173730.0,270011.0,1,2
