symbol,date,open,close,high,low,volume,oi,month,day
lfi,2007-07-31,12809.0,12576.0,12934.0,12458.0,18165.0,1854.0,7,31
lfi,2007-08-01,12635.0,12454.0,12640.0,12399.0,3531.0,1633.0,8,1
lfi,2007-08-02,12403.0,12442.0,12471.0,12253.0,3305.0,1822.0,8,2
lfi,2007-08-03,12299.0,12479.0,12445.0,12275.0,3011.0,1953.0,8,3
lfi,2007-08-06,12423.0,12537.0,12650.0,12421.0,3887.0,2276.0,8,6
lfi,2007-08-07,12441.0,12502.0,12550.0,12426.0,2105.0,1885.0,8,7
lfi,2007-08-08,12421.0,12565.0,12505.0,12418.0,1616.0,1907.0,8,8
lfi,2007-08-09,12564.0,12751.0,12768.0,12545.0,2948.0,2606.0,8,9
lfi,2007-08-10,12696.0,12681.0,12827.0,12605.0,4677.0,2735.0,8,10
lfi,2007-08-13,12710.0,12662.0,12750.0,12632.0,1958.0,2439.0,8,13
lfi,2007-08-14,12633.0,12515.0,12652.0,12496.0,2181.0,2318.0,8,14
lfi,2007-08-15,12505.0,12543.0,12584.0,12495.0,1895.0,2367.0,8,15
lfi,2007-08-16,12565.0,12499.0,12591.0,12485.0,1949.0,2214.0,8,16
lfi,2007-08-17,12398.0,12476.0,12523.0,12264.0,2767.0,2203.0,8,17
lfi,2007-08-20,12492.0,12530.0,12558.0,12476.0,2228.0,1940.0,8,20
lfi,2007-08-21,12386.0,12504.0,12409.0,12349.0,1538.0,1893.0,8,21
lfi,2007-08-22,12354.0,12513.0,12413.0,12344.0,1452.0,1886.0,8,22
lfi,2007-08-23,12457.0,12528.0,12463.0,12407.0,1384.0,1973.0,8,23
lfi,2007-08-24,12371.0,12499.0,12421.0,12357.0,1072.0,1875.0,8,24
lfi,2007-08-27,12408.0,12436.0,12412.0,12331.0,1813.0,2188.0,8,27
lfi,2007-08-28,12341.0,12428.0,12359.0,12300.0,1416.0,2153.0,8,28
lfi,2007-08-29,12408.0,12374.0,12411.0,12347.0,1741.0,2364.0,8,29
lfi,2007-08-30,12370.0,12350.0,12375.0,12254.0,2106.0,2454.0,8,30
lfi,2007-08-31,12374.0,12300.0,12381.0,12248.0,2418.0,2434.0,8,31
lfi,2007-09-03,12246.0,12367.0,12310.0,12223.0,1724.0,2629.0,9,3
lfi,2007-09-04,12284.0,12320.0,12318.0,12230.0,2229.0,2650.0,9,4
lfi,2007-09-05,11060.0,12320.0,11084.0,11027.0,1770.0,2686.0,9,5
lfi,2007-09-06,12247.0,12386.0,12340.0,12245.0,2396.0,2632.0,9,6
lfi,2007-09-07,12421.0,12444.0,12511.0,12392.0,3173.0,3104.0,9,7
lfi,2007-09-10,12351.0,12388.0,12393.0,12259.0,2835.0,2796.0,9,10
lfi,2007-09-11,12394.0,12386.0,12436.0,12366.0,2432.0,2690.0,9,11
lfi,2007-09-12,12341.0,12403.0,12363.0,12298.0,2805.0,2724.0,9,12
lfi,2007-09-13,11443.0,12415.0,11476.0,11410.0,2677.0,2920.0,9,13
lfi,2007-09-14,12323.0,12396.0,12349.0,12308.0,2808.0,2697.0,9,14
lfi,2007-09-17,12330.0,12406.0,12405.0,12317.0,2487.0,2652.0,9,17
lfi,2007-09-18,12438.0,12456.0,12478.0,12413.0,3936.0,2873.0,9,18
lfi,2007-09-19,12476.0,12496.0,12521.0,12455.0,3437.0,3097.0,9,19
lfi,2007-09-20,12432.0,12495.0,12441.0,12377.0,5220.0,3143.0,9,20
