symbol,date,open,close,high,low,volume,oi,timestamp
lgfi,2024-11-18,772.1,770.7,786.0,757.7,99018.0,13178.0,1731888000
lgfi,2024-11-19,771.9,777.3,782.2,768.8,69284.0,13854.0,1731974400
lgfi,2024-11-20,775.3,775.7,779.4,770.1,25861.0,12323.0,1732060800
lgfi,2024-11-21,776.7,818.7,819.1,773.6,210609.0,40962.0,1732147200
lgfi,2024-11-22,818.8,813.6,830.0,805.6,292976.0,31738.0,1732233600
lgfi,2024-11-25,813.6,801.5,819.1,794.1,195784.0,29649.0,1732492800
lgfi,2024-11-26,798.4,800.6,809.1,797.6,93048.0,30216.0,1732579200
lgfi,2024-11-27,801.3,800.3,803.9,795.7,59644.0,27853.0,1732665600
lgfi,2024-11-28,798.5,801.5,817.6,797.6,126489.0,26811.0,1732752000
lgfi,2024-11-29,801.0,805.5,808.5,800.1,38917.0,23741.0,1732838400
lgfi,2024-12-02,806.0,805.0,810.3,801.4,23973.0,23130.0,1733097600
lgfi,2024-12-03,804.7,805.3,806.5,800.1,20032.0,20194.0,1733184000
lgfi,2024-12-04,804.9,805.2,814.5,803.4,29755.0,19891.0,1733270400
lgfi,2024-12-05,805.4,800.2,808.0,790.5,19358.0,17609.0,1733356800
lgfi,2024-12-06,800.3,798.4,801.2,794.7,13494.0,16131.0,1733443200
lgfi,2024-12-09,800.1,800.4,805.1,798.9,10343.0,15807.0,1733702400
lgfi,2024-12-10,811.5,808.7,815.8,804.1,20235.0,15289.0,1733788800
lgfi,2024-12-11,809.2,809.1,809.2,805.4,8052.0,13370.0,1733875200
lgfi,2024-12-12,808.9,810.4,812.2,807.6,6409.0,13388.0,1733961600
lgfi,2024-12-13,806.0,807.0,808.3,803.9,7409.0,13067.0,1734048000
lgfi,2024-12-16,807.7,809.3,811.6,806.8,6347.0,12834.0,1734307200
lgfi,2024-12-17,809.0,812.8,824.3,808.1,21135.0,14921.0,1734393600
lgfi,2024-12-18,813.3,813.8,818.5,811.9,12337.0,14537.0,1734480000
lgfi,2024-12-19,814.6,815.3,817.6,813.7,9323.0,15363.0,1734566400
lgfi,2024-12-20,816.9,832.8,833.2,815.3,23839.0,20861.0,1734652800
lgfi,2024-12-23,829.4,827.2,842.3,823.2,70116.0,22782.0,1734912000
lgfi,2024-12-24,827.0,832.8,834.8,827.0,18885.0,24351.0,1734998400
lgfi,2024-12-25,833.7,827.7,837.7,825.9,19346.0,22400.0,1735084800
lgfi,2024-12-26,826.6,820.6,830.1,818.3,22924.0,20919.0,1735171200
lgfi,2024-12-27,820.9,829.4,832.3,820.4,17870.0,19314.0,1735257600
lgfi,2024-12-30,827.1,828.7,832.2,824.2,8977.0,18701.0,1735516800
lgfi,2024-12-31,826.5,832.7,836.0,826.5,15873.0,19635.0,1735603200
lgfi,2025-01-02,833.7,833.1,841.7,829.9,26875.0,21392.0,1735776000
lgfi,2025-01-03,833.8,833.6,836.4,827.9,14794.0,20039.0,1735862400
