symbol,date,open,close,high,low,volume,oi,timestamp
lufi,2020-06-22,2620.0,2606.0,2773.0,2590.0,133985.0,25910.0,1592784000
lufi,2020-06-23,2619.0,2653.0,2682.0,2609.0,145750.0,34325.0,1592870400
lufi,2020-06-24,2664.0,2607.0,2676.0,2593.0,79691.0,35160.0,1592956800
lufi,2020-06-29,2582.0,2517.0,2582.0,2489.0,64165.0,43471.0,1593388800
lufi,2020-06-30,2543.0,2537.0,2570.0,2525.0,42795.0,41259.0,1593475200
lufi,2020-07-01,2529.0,2556.0,2571.0,2519.0,29043.0,40221.0,1593561600
lufi,2020-07-02,2529.0,2556.0,2574.0,2529.0,39175.0,42570.0,1593648000
lufi,2020-07-03,2563.0,2592.0,2615.0,2563.0,43383.0,40472.0,1593734400
lufi,2020-07-06,2579.0,2604.0,2614.0,2568.0,30949.0,38346.0,1593993600
lufi,2020-07-07,2602.0,2577.0,2611.0,2558.0,27002.0,37940.0,1594080000
lufi,2020-07-08,2578.0,2573.0,2594.0,2567.0,13930.0,37879.0,1594166400
lufi,2020-07-09,2582.0,2566.0,2584.0,2548.0,14644.0,37564.0,1594252800
lufi,2020-07-10,2571.0,2496.0,2577.0,2487.0,21721.0,38316.0,1594339200
lufi,2020-07-13,2514.0,2545.0,2559.0,2510.0,15349.0,37167.0,1594598400
lufi,2020-07-14,2551.0,2521.0,2562.0,2496.0,18265.0,39045.0,1594684800
lufi,2020-07-15,2521.0,2522.0,2541.0,2509.0,13862.0,39369.0,1594771200
lufi,2020-07-16,2531.0,2513.0,2542.0,2506.0,16512.0,38802.0,1594857600
lufi,2020-07-17,2513.0,2494.0,2537.0,2488.0,19184.0,39752.0,1594944000
lufi,2020-07-20,2488.0,2455.0,2520.0,2439.0,29116.0,40783.0,1595203200
lufi,2020-07-21,2459.0,2489.0,2489.0,2439.0,18547.0,38375.0,1595289600
lufi,2020-07-22,2531.0,2530.0,2600.0,2519.0,37713.0,37519.0,1595376000
lufi,2020-07-23,2529.0,2590.0,2590.0,2519.0,16309.0,37577.0,1595462400
lufi,2020-07-24,2570.0,2508.0,2575.0,2490.0,30438.0,39667.0,1595548800
lufi,2020-07-27,2520.0,2489.0,2524.0,2487.0,22870.0,45534.0,1595808000
