symbol,date,open,close,high,low,vol,oi,month,day
mfi,2000-07-17,2049.0,1954.0,2049.0,1924.0,582.0,360.0,7,17
mfi,2000-07-18,1981.0,1992.0,2064.0,1974.0,651.0,583.0,7,18
mfi,2000-07-19,1890.0,1978.0,1890.0,1872.0,78.0,598.0,7,19
mfi,2000-07-20,1892.0,1961.0,1895.0,1882.0,38.0,594.0,7,20
mfi,2000-07-21,1953.0,1917.0,1960.0,1917.0,359.0,595.0,7,21
mfi,2000-07-24,1914.0,1918.0,1918.0,1889.0,68.0,596.0,7,24
mfi,2000-07-25,1873.0,1920.0,1934.0,1868.0,150.0,592.0,7,25
mfi,2000-07-26,1900.0,1901.0,1911.0,1867.0,73.0,587.0,7,26
mfi,2000-07-27,1886.0,1887.0,1890.0,1853.0,88.0,586.0,7,27
mfi,2000-07-28,1849.0,1866.0,1881.0,1834.0,261.0,630.0,7,28
mfi,2000-07-31,1851.0,1874.0,1863.0,1843.0,2938.0,650.0,7,31
mfi,2000-08-03,1848.0,1835.0,1854.0,1803.0,785.0,1234.0,8,3
mfi,2000-08-04,1769.0,1785.0,1798.0,1730.0,6413.0,6891.0,8,4
mfi,2000-08-07,1778.0,1763.0,1786.0,1737.0,7823.0,10097.0,8,7
mfi,2000-08-08,1688.0,1757.0,1722.0,1661.0,7695.0,11499.0,8,8
mfi,2000-08-09,1784.0,1781.0,1801.0,1729.0,12114.0,12113.0,8,9
mfi,2000-08-10,1761.0,1749.0,1780.0,1738.0,6954.0,14557.0,8,10
mfi,2000-08-11,1659.0,1767.0,1685.0,1649.0,5961.0,14083.0,8,11
mfi,2000-08-14,1666.0,1765.0,1676.0,1660.0,6299.0,14443.0,8,14
mfi,2000-08-15,1555.0,1756.0,1570.0,1533.0,2733.0,14240.0,8,15
mfi,2000-08-16,1435.0,1735.0,1442.0,1429.0,4221.0,14054.0,8,16
mfi,2000-08-17,1706.0,1731.0,1747.0,1696.0,6927.0,14518.0,8,17
mfi,2000-08-18,1728.0,1732.0,1753.0,1711.0,6283.0,15946.0,8,18
mfi,2000-08-21,1736.0,1738.0,1745.0,1714.0,5866.0,15365.0,8,21
mfi,2000-08-22,1713.0,1740.0,1755.0,1709.0,5855.0,15137.0,8,22
mfi,2000-08-23,1742.0,1744.0,1752.0,1721.0,7138.0,16650.0,8,23
mfi,2000-08-24,1743.0,1739.0,1751.0,1733.0,5999.0,17623.0,8,24
mfi,2000-08-25,1733.0,1735.0,1747.0,1723.0,5812.0,17327.0,8,25
