symbol,date,open,close,high,low,volume,oi,timestamp
mzfi,2004-09-22,103.62,100.54,103.97,99.86,163750.0,66269.0,1095811200
mzfi,2004-09-23,99.98,99.68,100.28,98.89,85113.0,70389.0,1095897600
mzfi,2004-09-24,99.23,99.9,100.52,98.96,72485.0,73955.0,1095984000
mzfi,2004-09-27,99.51,97.29,99.79,97.25,73388.0,78646.0,1096243200
mzfi,2004-09-28,97.44,97.53,98.19,97.12,41431.0,79614.0,1096329600
mzfi,2004-09-29,97.83,96.89,97.99,96.58,53599.0,85278.0,1096416000
mzfi,2004-09-30,96.48,94.77,96.76,94.58,62686.0,95053.0,1096502400
mzfi,2004-10-08,94.92,95.89,96.34,93.84,66506.0,97934.0,1097193600
mzfi,2004-10-11,95.54,96.06,96.78,94.92,63788.0,98361.0,1097452800
mzfi,2004-10-12,96.28,96.4,97.25,95.13,75414.0,98585.0,1097539200
mzfi,2004-10-13,95.77,95.84,96.61,95.6,56020.0,100417.0,1097625600
mzfi,2004-10-14,96.16,96.36,96.67,95.86,49289.0,102570.0,1097712000
mzfi,2004-10-15,96.14,95.55,96.45,95.28,52340.0,102159.0,1097798400
mzfi,2004-10-18,95.79,95.48,95.86,95.08,37547.0,103093.0,1098057600
mzfi,2004-10-19,95.29,95.73,96.5,95.25,55019.0,104626.0,1098144000
mzfi,2004-10-20,96.3,96.77,97.03,95.92,64792.0,112152.0,1098230400
mzfi,2004-10-21,96.68,96.36,96.77,96.1,52811.0,114855.0,1098316800
mzfi,2004-10-22,96.2,95.55,96.3,95.38,64894.0,107206.0,1098403200
mzfi,2004-10-25,95.31,95.86,96.14,94.98,55614.0,101478.0,1098662400
mzfi,2004-10-26,96.45,96.07,96.53,95.87,32834.0,104022.0,1098748800
mzfi,2004-10-27,96.2,96.16,96.36,95.92,36394.0,102036.0,1098835200
mzfi,2004-10-28,95.99,96.34,96.45,95.75,45834.0,99549.0,1098921600
mzfi,2004-10-29,95.98,95.91,96.33,95.76,36216.0,97547.0,1099008000
mzfi,2004-11-01,95.77,95.3,95.95,94.76,82420.0,104200.0,1099267200
mzfi,2004-11-02,94.97,95.67,95.72,94.89,57923.0,106371.0,1099353600
mzfi,2004-11-03,95.59,95.75,95.84,95.15,57955.0,103293.0,1099440000
mzfi,2004-11-04,95.76,95.68,95.83,95.39,47274.0,101120.0,1099526400
mzfi,2004-11-05,95.38,96.08,96.86,95.3,92916.0,105708.0,1099612800
mzfi,2004-11-08,96.31,95.92,96.44,95.85,49707.0,104748.0,1099872000
mzfi,2004-11-09,95.94,95.9,96.19,95.69,63139.0,102862.0,1099958400
mzfi,2004-11-10,96.02,95.75,96.06,95.55,62650.0,102471.0,1100044800
mzfi,2004-11-11,95.89,95.73,96.08,95.6,58945.0,103110.0,1100131200
mzfi,2004-11-12,95.7,95.39,95.83,95.16,62284.0,105069.0,1100217600
mzfi,2004-11-15,95.73,96.22,96.66,95.61,88338.0,104352.0,1100476800
mzfi,2004-11-16,96.45,96.31,96.92,96.11,74588.0,111435.0,1100563200
mzfi,2004-11-17,96.45,96.48,96.68,96.05,53681.0,111620.0,1100649600
mzfi,2004-11-18,96.81,97.02,97.34,96.57,76793.0,118923.0,1100736000
mzfi,2004-11-19,96.8,96.94,97.03,96.42,55745.0,120003.0,1100822400
mzfi,2004-11-22,96.43,96.47,96.65,96.27,58118.0,120667.0,1101081600
mzfi,2004-11-23,96.36,96.51,96.89,96.32,82951.0,118559.0,1101168000
mzfi,2004-11-24,96.63,96.9,96.95,96.55,58916.0,116432.0,1101254400
mzfi,2004-11-25,96.85,98.12,98.42,96.75,125752.0,138920.0,1101340800
mzfi,2004-11-26,98.01,97.93,98.34,97.48,70877.0,141773.0,1101427200
mzfi,2004-11-29,97.75,96.59,97.82,96.43,103621.0,132767.0,1101686400
mzfi,2004-11-30,96.45,96.6,96.93,96.32,68790.0,125881.0,1101772800
mzfi,2004-12-01,96.59,97.17,97.26,96.54,84848.0,129302.0,1101859200
mzfi,2004-12-02,97.01,97.03,97.75,96.75,79579.0,129138.0,1101945600
mzfi,2004-12-03,96.95,97.36,97.47,96.86,87735.0,130610.0,1102032000
mzfi,2004-12-06,97.72,98.06,98.63,97.57,124157.0,138644.0,1102291200
mzfi,2004-12-07,98.29,97.72,98.35,97.66,102528.0,136914.0,1102377600
mzfi,2004-12-08,97.31,97.55,97.61,97.12,137854.0,131608.0,1102464000
mzfi,2004-12-09,97.73,98.22,98.37,97.69,120620.0,133985.0,1102550400
mzfi,2004-12-10,97.95,97.9,98.14,97.64,106147.0,132524.0,1102636800
mzfi,2004-12-13,97.99,98.41,98.47,97.76,142262.0,135167.0,1102896000
mzfi,2004-12-14,98.69,98.05,99.06,97.98,134894.0,138453.0,1102982400
mzfi,2004-12-15,98.26,98.24,98.36,97.99,108155.0,138577.0,1103068800
mzfi,2004-12-16,98.18,98.1,98.29,98.01,116842.0,135208.0,1103155200
mzfi,2004-12-17,98.02,97.8,98.06,97.58,155892.0,128261.0,1103241600
mzfi,2004-12-20,98.05,98.19,98.57,97.83,139762.0,126880.0,1103500800
mzfi,2004-12-21,98.18,98.16,98.33,97.94,145167.0,124382.0,1103587200
mzfi,2004-12-22,98.17,98.03,98.21,97.93,134111.0,118722.0,1103673600
mzfi,2004-12-23,97.99,97.99,98.29,97.75,144853.0,118392.0,1103760000
mzfi,2004-12-24,98.22,98.08,98.28,97.92,108589.0,115861.0,1103846400
mzfi,2004-12-27,98.09,97.96,98.2,97.84,138282.0,115033.0,1104105600
mzfi,2004-12-28,98.02,97.08,98.11,96.78,172894.0,108158.0,1104192000
