symbol,date,open,close,high,low,volume,oi,timestamp
nffi,1998-02-04,59.82,59.88,60.23,59.63,7647.0,48519.0,886550400
nffi,1998-02-05,60.16,59.91,60.27,59.79,4201.0,49174.0,886636800
nffi,1998-02-06,59.55,59.06,59.79,58.99,10660.0,50303.0,886723200
nffi,1998-02-09,58.94,58.84,59.28,58.58,12600.0,52145.0,886982400
nffi,1998-02-11,58.84,58.64,59.1,58.6,12795.0,52126.0,887155200
nffi,1998-02-12,58.94,58.92,59.1,58.7,6074.0,52547.0,887241600
nffi,1998-02-13,58.84,59.22,59.26,58.78,7084.0,52113.0,887328000
nffi,1998-02-16,55.49,58.83,55.6,55.34,4812.0,52286.0,887587200
nffi,1998-02-17,58.75,58.88,58.95,58.7,2429.0,49514.0,887673600
nffi,1998-02-18,58.55,58.43,58.72,58.25,11600.0,50268.0,887760000
nffi,1998-02-19,58.33,58.1,58.41,57.84,13447.0,50138.0,887846400
nffi,1998-02-20,58.27,57.93,58.38,57.85,9671.0,51394.0,887932800
nffi,1998-02-23,57.5,56.77,57.52,56.75,18636.0,50905.0,888192000
nffi,1998-02-24,55.97,56.57,56.67,55.73,21073.0,50943.0,888278400
nffi,1998-02-25,56.65,56.51,56.76,56.35,7672.0,51193.0,888364800
nffi,1998-02-26,57.63,57.9,58.15,57.44,23073.0,50892.0,888451200
nffi,1998-02-27,58.6,58.41,58.81,58.35,18075.0,50365.0,888537600
nffi,1998-03-02,58.34,58.56,58.63,58.24,7045.0,50623.0,888796800
nffi,1998-03-03,59.92,60.1,60.1,59.81,14400.0,49951.0,888883200
nffi,1998-03-04,59.49,59.23,59.78,59.21,17677.0,49573.0,888969600
nffi,1998-03-05,59.42,59.84,59.93,59.36,11969.0,50965.0,889056000
nffi,1998-03-06,60.48,59.45,60.56,59.37,22687.0,48397.0,889142400
nffi,1998-03-09,59.69,59.38,59.87,59.28,10412.0,48277.0,889401600
nffi,1998-03-10,59.22,59.52,59.52,59.14,6145.0,48306.0,889488000
nffi,1998-03-11,59.9,60.53,60.63,59.84,26712.0,49121.0,889574400
nffi,1998-03-12,59.95,59.68,59.96,59.4,17055.0,47651.0,889660800
nffi,1998-03-13,61.27,61.06,61.32,60.52,30004.0,47252.0,889747200
nffi,1998-03-16,56.17,61.14,56.72,56.08,11674.0,48740.0,890006400
nffi,1998-03-17,61.59,61.98,62.02,61.54,19209.0,45785.0,890092800
nffi,1998-03-18,61.59,61.3,61.61,61.11,12265.0,46346.0,890179200
nffi,1998-03-19,60.35,60.32,60.46,60.03,20905.0,45004.0,890265600
nffi,1998-03-20,60.2,60.79,60.84,60.09,15234.0,45814.0,890352000
nffi,1998-03-23,60.52,60.45,60.67,60.28,9605.0,46911.0,890611200
nffi,1998-03-24,61.19,61.18,61.34,61.04,14863.0,46686.0,890697600
nffi,1998-03-25,60.45,60.54,60.6,60.41,7952.0,47576.0,890784000
nffi,1998-03-26,60.03,60.32,60.35,59.95,11381.0,47357.0,890870400
nffi,1998-03-27,60.27,60.16,60.43,60.13,5035.0,48263.0,890956800
nffi,1998-03-30,60.31,60.19,60.48,60.14,5470.0,48090.0,891216000
nffi,1998-03-31,60.39,60.08,60.45,60.05,7032.0,47959.0,891302400
nffi,1998-04-01,60.1,60.44,60.44,60.04,6361.0,47752.0,891388800
nffi,1998-04-02,59.16,59.35,59.47,58.91,18760.0,47268.0,891475200
nffi,1998-04-03,59.3,59.11,59.36,59.02,9344.0,47250.0,891561600
nffi,1998-04-06,58.93,59.04,59.12,58.72,8796.0,47512.0,891820800
nffi,1998-04-07,59.26,59.03,59.31,59.02,7175.0,47543.0,891907200
nffi,1998-04-08,59.38,59.12,59.41,59.04,6641.0,46752.0,891993600
nffi,1998-04-09,59.48,59.7,59.76,59.39,11816.0,47101.0,892080000
nffi,1998-04-13,61.24,61.35,61.48,61.14,10693.0,46452.0,892425600
nffi,1998-04-14,61.71,61.98,62.0,61.69,19663.0,49235.0,892512000
nffi,1998-04-15,61.92,61.36,61.93,61.24,14156.0,50770.0,892598400
nffi,1998-04-16,63.43,62.55,63.46,62.47,26806.0,46808.0,892684800
nffi,1998-04-17,62.06,62.4,62.49,61.97,13185.0,47562.0,892771200
nffi,1998-04-20,62.67,62.01,62.67,61.98,11066.0,48503.0,893030400
nffi,1998-04-21,61.92,61.91,62.01,61.56,10930.0,49769.0,893116800
nffi,1998-04-22,62.34,62.38,62.45,62.09,10883.0,50574.0,893203200
nffi,1998-04-23,62.65,61.68,62.66,61.59,23808.0,48546.0,893289600
nffi,1998-04-24,61.71,61.72,61.95,61.63,8466.0,49119.0,893376000
