symbol,date,open,close,high,low,vol,oi,month,day
nifi,2015-03-27,101991.0,101085.0,102787.0,100622.0,15148.0,7633.0,3,27
nifi,2015-03-30,99029.0,98439.0,100156.0,96839.0,34248.0,17951.0,3,30
nifi,2015-03-31,97979.0,95045.0,98208.0,93876.0,54805.0,29233.0,3,31
nifi,2015-04-01,93944.0,92520.0,94134.0,91306.0,80802.0,37622.0,4,1
nifi,2015-04-02,92897.0,96151.0,96580.0,92563.0,103302.0,42501.0,4,2
nifi,2015-04-03,95985.0,97280.0,97783.0,95656.0,75591.0,42694.0,4,3
nifi,2015-04-07,97483.0,96402.0,97959.0,95924.0,39177.0,44645.0,4,7
nifi,2015-04-08,94514.0,93929.0,95603.0,93289.0,94239.0,51259.0,4,8
nifi,2015-04-09,94428.0,94266.0,95228.0,93853.0,81858.0,53469.0,4,9
nifi,2015-04-10,94471.0,94515.0,94935.0,93166.0,69731.0,56891.0,4,10
nifi,2015-04-13,94287.0,95193.0,95623.0,93675.0,92546.0,60973.0,4,13
nifi,2015-04-14,94721.0,93069.0,95015.0,92773.0,104584.0,70287.0,4,14
nifi,2015-04-15,92662.0,94642.0,94916.0,92605.0,113497.0,73519.0,4,15
nifi,2015-04-16,94533.0,95294.0,95786.0,94163.0,101448.0,73780.0,4,16
nifi,2015-04-17,96173.0,95673.0,96520.0,94882.0,88047.0,72447.0,4,17
nifi,2015-04-20,95766.0,95209.0,96376.0,95020.0,78381.0,67262.0,4,20
nifi,2015-04-21,95146.0,95681.0,96575.0,94733.0,73510.0,63959.0,4,21
nifi,2015-04-22,95734.0,96146.0,96510.0,95575.0,63917.0,64055.0,4,22
nifi,2015-04-23,95960.0,95703.0,96334.0,95460.0,52809.0,64701.0,4,23
nifi,2015-04-24,95696.0,97591.0,97652.0,95542.0,64129.0,67867.0,4,24
nifi,2015-04-27,97796.0,101274.0,101274.0,97721.0,134008.0,71865.0,4,27
nifi,2015-04-28,102237.0,102308.0,104190.0,101080.0,154572.0,71551.0,4,28
nifi,2015-04-29,102054.0,100744.0,104083.0,100185.0,170263.0,72759.0,4,29
nifi,2015-04-30,100897.0,105647.0,106623.0,100807.0,292266.0,83343.0,4,30
nifi,2015-05-04,105599.0,107260.0,108438.0,105117.0,148617.0,85685.0,5,4
nifi,2015-05-05,107501.0,107453.0,108826.0,105763.0,277916.0,90812.0,5,5
nifi,2015-05-06,108961.0,112119.0,112771.0,108724.0,350328.0,100569.0,5,6
nifi,2015-05-07,112886.0,110035.0,113499.0,108902.0,530975.0,100171.0,5,7
nifi,2015-05-08,111106.0,111070.0,112191.0,108467.0,497132.0,96567.0,5,8
nifi,2015-05-11,110508.0,112709.0,113283.0,109804.0,418065.0,106717.0,5,11
nifi,2015-05-12,111954.0,109939.0,113263.0,109502.0,498292.0,107332.0,5,12
nifi,2015-05-13,110496.0,110409.0,112108.0,109337.0,439517.0,105819.0,5,13
nifi,2015-05-14,110460.0,108101.0,110552.0,106176.0,430668.0,106693.0,5,14
nifi,2015-05-15,107755.0,108747.0,109504.0,107300.0,344569.0,114470.0,5,15
nifi,2015-05-18,107603.0,107286.0,108248.0,106917.0,302921.0,112748.0,5,18
nifi,2015-05-19,106990.0,105165.0,107452.0,104965.0,272070.0,112725.0,5,19
nifi,2015-05-20,104223.0,100890.0,104464.0,100890.0,202581.0,109467.0,5,20
nifi,2015-05-21,99486.0,100362.0,101486.0,99264.0,290563.0,107763.0,5,21
nifi,2015-05-22,100215.0,99260.0,102309.0,96915.0,433741.0,109693.0,5,22
nifi,2015-05-25,98072.0,98677.0,99549.0,97390.0,350617.0,116795.0,5,25
nifi,2015-05-26,98773.0,98999.0,100594.0,98750.0,326266.0,120410.0,5,26
nifi,2015-05-27,98571.0,99292.0,99688.0,98174.0,248227.0,128504.0,5,27
nifi,2015-05-28,98895.0,100154.0,100905.0,98863.0,380671.0,138220.0,5,28
nifi,2015-05-29,99922.0,98258.0,100500.0,96838.0,331710.0,138652.0,5,29
nifi,2015-06-01,98010.0,97279.0,98356.0,96914.0,211120.0,141233.0,6,1
nifi,2015-06-02,97547.0,100314.0,100504.0,97359.0,355075.0,140921.0,6,2
nifi,2015-06-03,100383.0,99115.0,101041.0,99091.0,261685.0,140723.0,6,3
nifi,2015-06-04,99402.0,98556.0,99935.0,97700.0,225159.0,140359.0,6,4
nifi,2015-06-05,98660.0,98407.0,99445.0,98050.0,203616.0,143988.0,6,5
nifi,2015-06-08,98712.0,100544.0,100566.0,98330.0,281968.0,148499.0,6,8
nifi,2015-06-09,100859.0,100933.0,102144.0,100682.0,335873.0,144255.0,6,9
nifi,2015-06-10,101379.0,101330.0,101795.0,100597.0,214915.0,141664.0,6,10
nifi,2015-06-11,101836.0,101487.0,102193.0,101297.0,174040.0,136392.0,6,11
nifi,2015-06-12,101563.0,98146.0,101620.0,97869.0,260980.0,134860.0,6,12
nifi,2015-06-15,98337.0,97573.0,98900.0,97395.0,169908.0,137245.0,6,15
nifi,2015-06-16,97384.0,95705.0,98042.0,95364.0,209348.0,140328.0,6,16
nifi,2015-06-17,96016.0,95274.0,96330.0,94700.0,216234.0,136872.0,6,17
nifi,2015-06-18,96276.0,96265.0,96775.0,95810.0,176819.0,129367.0,6,18
nifi,2015-06-19,95999.0,94629.0,96151.0,94415.0,169977.0,132688.0,6,19
nifi,2015-06-23,94282.0,94993.0,95279.0,94078.0,85025.0,134182.0,6,23
nifi,2015-06-24,95472.0,96329.0,96639.0,95303.0,176213.0,131513.0,6,24
nifi,2015-06-25,95970.0,94847.0,96165.0,94771.0,174148.0,134452.0,6,25
nifi,2015-06-26,94743.0,93847.0,95175.0,92921.0,263820.0,134040.0,6,26
nifi,2015-06-29,93682.0,90388.0,93709.0,89541.0,323948.0,139158.0,6,29
nifi,2015-06-30,88955.0,87325.0,89435.0,87323.0,255673.0,141928.0,6,30
nifi,2015-07-01,87253.0,88417.0,89964.0,86555.0,369907.0,131737.0,7,1
nifi,2015-07-02,88125.0,89508.0,89925.0,87656.0,338593.0,126152.0,7,2
nifi,2015-07-03,89924.0,89298.0,90753.0,88198.0,278339.0,118811.0,7,3
nifi,2015-07-06,89130.0,85673.0,89343.0,85329.0,263510.0,118775.0,7,6
nifi,2015-07-07,85874.0,84316.0,87443.0,84175.0,296047.0,119290.0,7,7
nifi,2015-07-08,82339.0,81697.0,82416.0,81697.0,14185.0,116924.0,7,8
nifi,2015-07-09,75425.0,83677.0,86086.0,75278.0,550766.0,104243.0,7,9
nifi,2015-07-10,84121.0,84610.0,85112.0,83046.0,285387.0,110008.0,7,10
nifi,2015-07-13,84037.0,82274.0,84226.0,80713.0,411532.0,116435.0,7,13
nifi,2015-07-14,84644.0,84599.0,85867.0,83782.0,434936.0,114803.0,7,14
nifi,2015-07-15,84994.0,87040.0,87208.0,84400.0,448727.0,116264.0,7,15
nifi,2015-07-16,86948.0,85501.0,87271.0,83737.0,496548.0,110902.0,7,16
nifi,2015-07-17,84779.0,85669.0,85838.0,84722.0,313228.0,111613.0,7,17
nifi,2015-07-20,84864.0,85404.0,85771.0,84496.0,300779.0,115204.0,7,20
nifi,2015-07-21,85539.0,87914.0,87981.0,85361.0,322007.0,121318.0,7,21
nifi,2015-07-22,87703.0,85305.0,87923.0,84643.0,387082.0,116507.0,7,22
nifi,2015-07-23,85351.0,84505.0,85691.0,83788.0,368902.0,118201.0,7,23
