symbol,date,open,close,high,low,volume,oi,month,day
nmfi,2008-01-09,103.43,100.22,103.44,99.61,60734.0,10905.0,1,9
nmfi,2008-01-10,99.86,96.52,100.0,95.94,47532.0,14675.0,1,10
nmfi,2008-01-11,97.75,97.75,98.34,96.7,45441.0,16207.0,1,11
nmfi,2008-01-14,98.01,98.66,98.73,97.49,31721.0,17284.0,1,14
nmfi,2008-01-15,98.91,100.3,100.64,98.76,45597.0,18593.0,1,15
nmfi,2008-01-16,98.88,96.78,98.92,96.52,49069.0,18592.0,1,16
nmfi,2008-01-17,95.78,97.02,97.17,95.51,31986.0,19356.0,1,17
nmfi,2008-01-18,95.64,96.19,96.3,94.89,29799.0,18618.0,1,18
nmfi,2008-01-21,96.16,95.96,96.9,95.78,22401.0,18981.0,1,21
nmfi,2008-01-22,93.23,92.5,93.95,91.75,40239.0,18489.0,1,22
nmfi,2008-01-23,95.24,95.22,96.05,94.49,31241.0,17110.0,1,23
nmfi,2008-01-24,95.41,97.06,97.2,95.2,29681.0,18912.0,1,24
nmfi,2008-01-25,98.56,98.44,99.13,97.78,37302.0,20038.0,1,25
nmfi,2008-01-28,98.37,98.69,99.42,98.18,31904.0,20378.0,1,28
nmfi,2008-01-29,100.07,99.69,100.45,99.64,24294.0,20867.0,1,29
nmfi,2008-01-30,98.99,98.59,99.43,98.55,18518.0,21617.0,1,30
nmfi,2008-01-31,98.54,98.28,98.99,97.71,21899.0,20309.0,1,31
nmfi,2008-02-01,98.84,98.0,98.99,97.93,14631.0,20242.0,2,1
nmfi,2008-02-04,96.79,96.62,97.18,96.31,16112.0,19939.0,2,4
nmfi,2008-02-05,96.59,96.5,96.65,96.23,8973.0,20222.0,2,5
nmfi,2008-02-13,96.79,95.81,96.87,95.71,11221.0,20905.0,2,13
nmfi,2008-02-14,96.24,96.86,96.92,96.13,15173.0,21379.0,2,14
nmfi,2008-02-15,96.79,96.94,97.06,96.53,11255.0,21499.0,2,15
nmfi,2008-02-18,96.43,96.57,96.67,96.01,11714.0,21965.0,2,18
nmfi,2008-02-19,96.58,97.82,97.81,96.55,21731.0,26194.0,2,19
nmfi,2008-02-20,99.4,98.47,99.57,98.19,25908.0,25873.0,2,20
nmfi,2008-02-21,99.4,100.15,100.39,99.36,25818.0,26139.0,2,21
nmfi,2008-02-22,99.29,99.66,100.5,99.24,21196.0,25452.0,2,22
nmfi,2008-02-25,100.16,101.11,101.13,99.91,20515.0,27675.0,2,25
nmfi,2008-02-26,99.93,98.32,99.93,97.96,24169.0,22925.0,2,26
nmfi,2008-02-27,100.64,100.62,101.26,100.3,19308.0,23119.0,2,27
nmfi,2008-02-28,100.81,100.15,101.01,100.08,11873.0,23310.0,2,28
nmfi,2008-02-29,101.28,100.99,101.46,100.89,16352.0,22814.0,2,29
nmfi,2008-03-03,101.47,102.34,102.57,101.32,21850.0,25677.0,3,3
nmfi,2008-03-04,102.57,101.75,102.94,101.55,16717.0,24247.0,3,4
nmfi,2008-03-05,100.34,100.65,100.76,100.09,12736.0,24008.0,3,5
