symbol,date,open,close,high,low,volume,oi,month,day
pbfi,2011-03-24,19230.0,18937.0,19574.0,18832.0,37137.0,4940.0,3,24
pbfi,2011-03-25,18938.0,18952.0,19137.0,18863.0,12555.0,4310.0,3,25
pbfi,2011-03-28,18903.0,18607.0,19037.0,18503.0,8532.0,4184.0,3,28
pbfi,2011-03-29,18533.0,18677.0,18737.0,18488.0,5329.0,4035.0,3,29
pbfi,2011-03-30,18801.0,18763.0,18851.0,18697.0,4061.0,3712.0,3,30
pbfi,2011-03-31,18703.0,18667.0,18722.0,18583.0,1541.0,3438.0,3,31
pbfi,2011-04-01,18764.0,18646.0,18765.0,18560.0,1335.0,3461.0,4,1
pbfi,2011-04-06,18669.0,19223.0,19349.0,18669.0,7732.0,4773.0,4,6
pbfi,2011-04-07,19177.0,19079.0,19275.0,19013.0,5274.0,4421.0,4,7
pbfi,2011-04-08,19058.0,19179.0,19217.0,18973.0,4241.0,4803.0,4,8
pbfi,2011-04-11,19243.0,19214.0,19431.0,19139.0,7075.0,5253.0,4,11
pbfi,2011-04-12,18993.0,18806.0,19115.0,18784.0,4674.0,4699.0,4,12
pbfi,2011-04-13,18581.0,18718.0,18714.0,18511.0,2798.0,4500.0,4,13
pbfi,2011-04-14,18526.0,18583.0,18657.0,18510.0,1932.0,4400.0,4,14
pbfi,2011-04-15,18575.0,18585.0,18748.0,18477.0,5009.0,4525.0,4,15
pbfi,2011-04-18,18547.0,18584.0,18620.0,18496.0,1675.0,4562.0,4,18
pbfi,2011-04-19,18291.0,17984.0,18341.0,17944.0,4249.0,5222.0,4,19
pbfi,2011-04-20,18058.0,18168.0,18171.0,18057.0,1478.0,4866.0,4,20
pbfi,2011-04-21,18251.0,18183.0,18251.0,18091.0,1269.0,4746.0,4,21
pbfi,2011-04-22,18168.0,17979.0,18168.0,17817.0,1732.0,4877.0,4,22
pbfi,2011-04-25,17916.0,17759.0,17985.0,17692.0,1073.0,4882.0,4,25
pbfi,2011-04-26,17665.0,17649.0,17666.0,17395.0,1768.0,4608.0,4,26
pbfi,2011-04-27,17604.0,17556.0,17773.0,17408.0,1497.0,4509.0,4,27
pbfi,2011-04-28,17528.0,17760.0,17817.0,17528.0,1650.0,4420.0,4,28
pbfi,2011-04-29,17631.0,17556.0,17691.0,17500.0,783.0,4383.0,4,29
pbfi,2011-05-03,17500.0,17537.0,17597.0,17412.0,951.0,4479.0,5,3
pbfi,2011-05-04,17549.0,17485.0,17554.0,17402.0,577.0,4402.0,5,4
pbfi,2011-05-05,17292.0,16724.0,17292.0,16447.0,2045.0,4455.0,5,5
pbfi,2011-05-06,16210.0,16264.0,16429.0,16181.0,3306.0,4617.0,5,6
pbfi,2011-05-09,16312.0,16624.0,16613.0,16311.0,1635.0,4473.0,5,9
pbfi,2011-05-10,16461.0,16648.0,16661.0,16422.0,1389.0,4442.0,5,10
pbfi,2011-05-11,16649.0,16683.0,17147.0,16551.0,1841.0,4444.0,5,11
