symbol,date,open,close,high,low,volume,oi,month,day
pfi,2007-10-29,8379.0,8424.0,8424.0,8379.0,2021.0,1496.0,10,29
pfi,2007-10-30,8667.0,8592.0,8697.0,8553.0,11930.0,3096.0,10,30
pfi,2007-10-31,8540.0,8537.0,8576.0,8513.0,3167.0,2804.0,10,31
pfi,2007-11-01,8581.0,8623.0,8582.0,8463.0,2001.0,2853.0,11,1
pfi,2007-11-02,8420.0,8573.0,8443.0,8400.0,1788.0,2739.0,11,2
pfi,2007-11-05,8577.0,8615.0,8644.0,8577.0,2335.0,2864.0,11,5
pfi,2007-11-06,8590.0,8673.0,8653.0,8589.0,1990.0,2729.0,11,6
pfi,2007-11-07,8727.0,8809.0,8860.0,8726.0,2292.0,2391.0,11,7
pfi,2007-11-08,8842.0,8851.0,8924.0,8776.0,2569.0,2309.0,11,8
pfi,2007-11-09,8876.0,8891.0,8943.0,8846.0,2487.0,2203.0,11,9
pfi,2007-11-12,8796.0,8838.0,8808.0,8739.0,1388.0,1903.0,11,12
pfi,2007-11-13,8658.0,8946.0,8859.0,8642.0,1932.0,1672.0,11,13
pfi,2007-11-14,8914.0,8895.0,8921.0,8842.0,2788.0,1951.0,11,14
pfi,2007-11-15,8915.0,8893.0,8947.0,8861.0,3550.0,1944.0,11,15
pfi,2007-11-16,8712.0,8666.0,8733.0,8490.0,4280.0,1792.0,11,16
pfi,2007-11-19,8654.0,8710.0,8687.0,8540.0,6654.0,1690.0,11,19
pfi,2007-11-20,8648.0,8480.0,8662.0,8401.0,6572.0,1550.0,11,20
pfi,2007-11-21,8555.0,8708.0,8691.0,8506.0,6898.0,1471.0,11,21
pfi,2007-11-22,8376.0,8741.0,8509.0,8376.0,7100.0,1507.0,11,22
pfi,2007-11-23,8628.0,8728.0,8645.0,8544.0,8118.0,1496.0,11,23
pfi,2007-11-26,8746.0,8823.0,8851.0,8728.0,9516.0,1592.0,11,26
pfi,2007-11-27,8755.0,8702.0,8756.0,8659.0,9523.0,1540.0,11,27
pfi,2007-11-28,8549.0,8602.0,8576.0,8489.0,12141.0,1786.0,11,28
pfi,2007-11-29,8497.0,8568.0,8534.0,8354.0,11163.0,1823.0,11,29
pfi,2007-11-30,8539.0,8514.0,8574.0,8461.0,6333.0,1747.0,11,30
pfi,2007-12-03,8422.0,8523.0,8496.0,8372.0,11476.0,1720.0,12,3
pfi,2007-12-04,8400.0,8572.0,8483.0,8393.0,11445.0,1756.0,12,4
pfi,2007-12-05,8551.0,8595.0,8604.0,8508.0,9460.0,1790.0,12,5
pfi,2007-12-06,8434.0,8509.0,8440.0,8356.0,9935.0,1756.0,12,6
pfi,2007-12-07,8502.0,8566.0,8540.0,8426.0,10825.0,2011.0,12,7
pfi,2007-12-10,8430.0,8543.0,8473.0,8394.0,11007.0,2019.0,12,10
pfi,2007-12-11,8409.0,8579.0,8512.0,8394.0,11678.0,2135.0,12,11
pfi,2007-12-12,8557.0,8530.0,8564.0,8472.0,11188.0,2156.0,12,12
pfi,2007-12-13,8504.0,8701.0,8743.0,8473.0,11289.0,1929.0,12,13
pfi,2007-12-14,8609.0,8679.0,8677.0,8593.0,10367.0,1964.0,12,14
pfi,2007-12-17,8696.0,8761.0,8742.0,8668.0,5835.0,2065.0,12,17
