symbol,date,open,close,high,low,vol,oi,month,day
pofi,2006-01-09,104.67,100.49,105.55,99.95,69319.0,23537.0,1,9
pofi,2006-01-10,99.96,100.3,100.71,99.41,41396.0,23640.0,1,10
pofi,2006-01-11,99.94,100.1,100.35,99.66,35393.0,23677.0,1,11
pofi,2006-01-12,99.84,100.04,100.37,99.68,39811.0,23996.0,1,12
pofi,2006-01-13,99.72,99.08,99.91,98.92,33430.0,23722.0,1,13
pofi,2006-01-16,99.53,99.56,99.89,99.09,39227.0,22213.0,1,16
pofi,2006-01-17,99.54,99.05,99.7,98.87,33401.0,21550.0,1,17
pofi,2006-01-18,98.67,98.95,99.55,98.57,40041.0,20979.0,1,18
pofi,2006-01-19,99.2,100.25,100.45,99.16,46943.0,25071.0,1,19
pofi,2006-01-20,100.15,100.44,101.43,99.71,47657.0,28460.0,1,20
pofi,2006-01-23,101.1,100.41,101.29,100.13,42945.0,28148.0,1,23
pofi,2006-01-24,100.37,99.54,100.46,98.71,38308.0,26813.0,1,24
pofi,2006-01-25,99.43,99.71,100.03,99.12,36190.0,27163.0,1,25
pofi,2006-01-26,99.34,99.11,99.75,98.95,35600.0,24201.0,1,26
pofi,2006-01-27,99.51,99.51,99.89,99.06,29850.0,24114.0,1,27
pofi,2006-02-06,102.26,102.46,103.12,101.37,42057.0,24597.0,2,6
pofi,2006-02-07,101.46,101.72,101.94,100.72,39946.0,22417.0,2,7
pofi,2006-02-08,100.42,99.75,100.58,98.04,43457.0,20465.0,2,8
pofi,2006-02-09,100.19,99.69,100.66,99.42,38800.0,21067.0,2,9
pofi,2006-02-10,100.87,100.06,100.91,99.69,31465.0,21516.0,2,10
pofi,2006-02-13,100.06,99.86,100.22,99.47,31727.0,21432.0,2,13
pofi,2006-02-14,99.84,100.03,100.22,99.72,38662.0,21126.0,2,14
pofi,2006-02-15,99.77,99.85,100.08,99.55,42227.0,20806.0,2,15
pofi,2006-02-16,99.84,100.24,100.51,99.71,43850.0,21147.0,2,16
pofi,2006-02-17,100.47,101.38,101.74,100.39,49053.0,23130.0,2,17
pofi,2006-02-20,102.43,101.47,102.43,101.29,49369.0,22835.0,2,20
pofi,2006-02-21,101.41,100.89,101.83,100.87,45526.0,22513.0,2,21
pofi,2006-02-22,100.63,101.12,101.3,100.38,44466.0,22544.0,2,22
pofi,2006-02-23,100.32,100.51,101.02,100.19,48741.0,21444.0,2,23
pofi,2006-02-24,100.74,102.48,103.13,100.65,61164.0,24156.0,2,24
pofi,2006-02-27,101.99,101.44,102.24,101.13,51842.0,23798.0,2,27
pofi,2006-02-28,102.06,101.96,102.84,101.77,53150.0,24045.0,2,28
pofi,2006-03-01,103.08,103.84,104.25,102.45,75053.0,29236.0,3,1
pofi,2006-03-02,104.22,103.93,104.7,103.6,60853.0,30493.0,3,2
pofi,2006-03-03,104.9,104.56,105.47,104.32,59597.0,30629.0,3,3
pofi,2006-03-06,104.28,103.6,104.6,103.59,43909.0,30865.0,3,6
pofi,2006-03-07,103.74,103.6,104.35,103.15,54035.0,32150.0,3,7
pofi,2006-03-08,103.01,103.26,103.4,102.81,50976.0,30880.0,3,8
pofi,2006-03-09,102.84,103.59,103.6,102.72,39679.0,31637.0,3,9
pofi,2006-03-10,103.63,103.13,103.97,103.11,45862.0,30633.0,3,10
pofi,2006-03-13,103.27,103.72,103.92,103.13,69836.0,37794.0,3,13
pofi,2006-03-14,103.26,103.4,103.7,103.17,73630.0,38720.0,3,14
pofi,2006-03-15,103.55,103.52,103.81,103.41,85376.0,38294.0,3,15
pofi,2006-03-16,103.34,103.29,103.42,103.01,78483.0,38402.0,3,16
pofi,2006-03-17,103.04,102.47,103.13,102.24,65196.0,36963.0,3,17
pofi,2006-03-20,101.35,102.85,101.63,100.69,63300.0,36444.0,3,20
pofi,2006-03-21,102.48,102.17,102.62,101.86,58610.0,34607.0,3,21
pofi,2006-03-22,102.32,102.34,102.63,102.12,60900.0,34025.0,3,22
pofi,2006-03-23,99.02,102.26,99.15,98.87,70229.0,32980.0,3,23
pofi,2006-03-24,102.37,102.52,102.74,102.35,62420.0,33501.0,3,24
pofi,2006-03-27,102.14,102.45,102.54,102.04,62563.0,35237.0,3,27
pofi,2006-03-28,101.14,101.8,101.17,100.43,65060.0,36243.0,3,28
pofi,2006-03-29,100.85,101.97,100.9,100.46,65111.0,37103.0,3,29
pofi,2006-03-30,100.26,101.85,100.27,99.77,72642.0,35984.0,3,30
pofi,2006-03-31,99.21,101.92,99.4,98.79,82450.0,36359.0,3,31
pofi,2006-04-03,100.72,101.03,101.11,100.23,82587.0,37553.0,4,3
pofi,2006-04-04,100.43,100.65,100.9,100.43,65160.0,37153.0,4,4
pofi,2006-04-05,97.77,100.63,98.06,97.67,77757.0,37237.0,4,5
pofi,2006-04-06,98.06,100.24,98.24,97.66,77758.0,37263.0,4,6
pofi,2006-04-07,100.29,99.36,100.32,99.04,72696.0,36239.0,4,7
pofi,2006-04-10,99.06,98.65,99.1,98.52,77741.0,35493.0,4,10
pofi,2006-04-11,98.78,99.29,99.61,98.71,77952.0,36230.0,4,11
pofi,2006-04-12,98.3,99.42,98.37,98.03,77304.0,36702.0,4,12
pofi,2006-04-13,97.47,99.13,97.9,97.35,83982.0,35886.0,4,13
pofi,2006-04-14,98.02,99.36,98.15,97.87,70218.0,36166.0,4,14
pofi,2006-04-17,98.04,99.37,98.39,97.91,78428.0,36134.0,4,17
pofi,2006-04-18,96.85,99.33,96.91,96.26,72945.0,34722.0,4,18
pofi,2006-04-19,98.31,100.26,99.14,98.21,83818.0,35401.0,4,19
pofi,2006-04-20,99.34,100.31,99.37,98.72,80612.0,35217.0,4,20
pofi,2006-04-21,99.02,99.84,99.02,98.49,75556.0,35131.0,4,21
pofi,2006-04-24,100.7,101.26,101.57,100.39,78436.0,35872.0,4,24
pofi,2006-04-25,100.71,101.26,101.34,100.56,85629.0,35134.0,4,25
pofi,2006-04-26,99.49,101.39,99.88,98.98,77504.0,33009.0,4,26
pofi,2006-04-27,101.11,101.17,101.63,100.93,73479.0,32478.0,4,27
pofi,2006-04-28,101.12,102.43,101.92,100.9,64523.0,30793.0,4,28
pofi,2006-05-08,99.96,101.99,100.33,99.51,72672.0,29654.0,5,8
pofi,2006-05-09,101.03,102.3,102.09,100.9,69912.0,31051.0,5,9
pofi,2006-05-10,101.67,102.68,102.81,101.67,68564.0,31444.0,5,10
pofi,2006-05-11,100.84,103.63,102.53,100.82,69265.0,32030.0,5,11
pofi,2006-05-12,103.42,104.13,104.22,102.33,74015.0,32324.0,5,12
pofi,2006-05-15,102.93,104.27,103.18,101.71,81108.0,31897.0,5,15
pofi,2006-05-16,101.21,102.7,102.14,100.72,89297.0,30433.0,5,16
pofi,2006-05-17,100.58,103.93,101.67,100.34,82057.0,31450.0,5,17
pofi,2006-05-18,103.77,103.56,103.84,102.82,101653.0,30971.0,5,18
pofi,2006-05-19,101.51,103.49,102.01,101.39,82023.0,30852.0,5,19
pofi,2006-05-22,100.98,102.67,101.33,100.75,78709.0,30555.0,5,22
pofi,2006-05-23,102.86,102.99,103.53,102.72,86161.0,27865.0,5,23
pofi,2006-05-24,101.67,103.74,102.31,101.47,87310.0,26972.0,5,24
pofi,2006-05-25,100.01,103.42,100.33,99.87,83245.0,27063.0,5,25
pofi,2006-05-26,102.43,103.8,102.6,101.94,84961.0,27042.0,5,26
pofi,2006-05-29,102.45,104.6,103.57,102.17,82538.0,27367.0,5,29
pofi,2006-05-30,103.08,104.42,103.43,102.49,86977.0,27020.0,5,30
pofi,2006-05-31,103.05,104.24,103.32,102.59,87050.0,25854.0,5,31
pofi,2006-06-01,103.83,103.2,103.97,102.51,74174.0,25434.0,6,1
pofi,2006-06-02,103.39,103.49,103.93,103.0,81878.0,25351.0,6,2
pofi,2006-06-05,102.54,104.38,102.9,102.0,89790.0,25459.0,6,5
pofi,2006-06-06,104.14,104.0,104.15,101.44,81238.0,25512.0,6,6
pofi,2006-06-07,103.48,103.69,103.8,103.12,79645.0,25123.0,6,7
pofi,2006-06-08,103.47,103.07,103.55,102.96,73660.0,24582.0,6,8
pofi,2006-06-09,102.73,103.08,103.31,102.59,64439.0,24552.0,6,9
pofi,2006-06-12,103.75,103.37,103.76,102.94,59296.0,24585.0,6,12
pofi,2006-06-13,102.07,102.94,102.12,101.44,49995.0,24546.0,6,13
pofi,2006-06-14,102.73,102.25,102.8,101.78,48887.0,24426.0,6,14
pofi,2006-06-15,100.4,102.11,101.1,100.3,56121.0,24568.0,6,15
pofi,2006-06-16,100.93,102.36,101.18,100.82,51822.0,24214.0,6,16
pofi,2006-06-19,101.96,102.17,102.32,101.74,55478.0,23830.0,6,19
pofi,2006-06-20,101.49,101.77,102.04,101.34,51837.0,23258.0,6,20
pofi,2006-06-21,101.24,101.95,102.06,101.12,47804.0,23043.0,6,21
pofi,2006-06-22,100.65,102.18,101.08,100.49,40227.0,23062.0,6,22
pofi,2006-06-23,99.49,101.97,99.55,99.12,43567.0,23008.0,6,23
pofi,2006-06-26,100.46,101.84,100.7,100.36,42885.0,23132.0,6,26
pofi,2006-06-27,99.12,101.92,99.35,98.69,47391.0,23145.0,6,27
pofi,2006-06-28,99.81,102.05,99.81,99.32,48416.0,23000.0,6,28
pofi,2006-06-29,99.47,102.68,100.01,99.4,42549.0,23048.0,6,29
pofi,2006-06-30,101.9,103.38,102.08,101.46,47977.0,21361.0,6,30
pofi,2006-07-03,104.11,103.9,104.42,103.67,46744.0,21226.0,7,3
pofi,2006-07-04,103.43,103.32,103.9,103.06,42888.0,21154.0,7,4
pofi,2006-07-05,100.34,103.06,100.77,100.08,48604.0,21110.0,7,5
pofi,2006-07-06,101.8,103.29,102.19,101.67,44756.0,21059.0,7,6
pofi,2006-07-07,104.21,104.08,104.34,103.76,44029.0,20875.0,7,7
pofi,2006-07-10,103.83,103.78,103.94,103.48,46365.0,20871.0,7,10
pofi,2006-07-11,103.78,104.59,104.53,103.51,57197.0,21054.0,7,11
pofi,2006-07-12,103.92,104.31,104.35,103.59,45938.0,21226.0,7,12
pofi,2006-07-13,103.35,104.31,103.89,102.72,43914.0,21126.0,7,13
pofi,2006-07-14,103.9,104.55,104.28,103.8,40173.0,20275.0,7,14
pofi,2006-07-17,104.29,104.68,104.78,104.21,39217.0,19401.0,7,17
pofi,2006-07-18,104.19,104.79,105.16,104.01,39129.0,18601.0,7,18
pofi,2006-07-19,104.54,104.25,104.69,103.98,37204.0,17784.0,7,19
pofi,2006-07-20,101.89,104.68,102.18,101.53,39890.0,14862.0,7,20
pofi,2006-07-21,104.35,106.37,106.47,104.25,22886.0,16336.0,7,21
pofi,2006-07-24,104.55,106.57,105.34,104.26,19805.0,17119.0,7,24
pofi,2006-07-25,104.93,106.72,105.06,104.08,20905.0,16732.0,7,25
pofi,2006-07-26,106.45,106.45,106.69,106.11,15984.0,16541.0,7,26
pofi,2006-07-27,106.48,106.77,107.01,106.33,17785.0,16377.0,7,27
pofi,2006-07-28,104.91,107.47,105.55,104.51,19418.0,16386.0,7,28
pofi,2006-07-31,106.13,110.61,109.06,106.1,16073.0,17712.0,7,31
pofi,2006-08-01,109.73,111.02,110.38,108.9,17968.0,18527.0,8,1
pofi,2006-08-02,110.96,110.74,111.99,110.07,20777.0,19490.0,8,2
pofi,2006-08-03,110.61,111.09,111.36,110.15,17298.0,20313.0,8,3
pofi,2006-08-04,110.33,110.32,110.86,109.56,20209.0,19731.0,8,4
pofi,2006-08-07,110.09,110.28,111.64,109.58,12909.0,19641.0,8,7
pofi,2006-08-08,110.07,110.14,110.73,109.69,15468.0,19620.0,8,8
pofi,2006-08-09,108.93,111.05,109.88,108.9,18441.0,21474.0,8,9
pofi,2006-08-10,111.3,111.97,112.07,111.17,20670.0,23112.0,8,10
pofi,2006-08-11,111.47,111.53,112.06,110.98,21203.0,23353.0,8,11
pofi,2006-08-14,110.43,109.09,110.72,108.44,23405.0,20329.0,8,14
pofi,2006-08-15,109.17,109.28,109.4,108.27,20537.0,20029.0,8,15
pofi,2006-08-16,109.36,109.16,109.77,108.8,12917.0,20315.0,8,16
pofi,2006-08-17,108.98,109.05,109.2,108.58,12277.0,19517.0,8,17
pofi,2006-08-18,108.93,108.13,109.08,107.99,16602.0,19581.0,8,18
pofi,2006-08-21,108.04,108.68,108.85,107.84,14013.0,19412.0,8,21
pofi,2006-08-22,109.11,108.91,109.19,108.65,12245.0,19410.0,8,22
pofi,2006-08-23,108.17,108.64,108.19,107.23,12627.0,19251.0,8,23
pofi,2006-08-24,108.19,108.99,108.53,108.0,14114.0,19178.0,8,24
pofi,2006-08-25,105.24,108.8,105.7,105.09,12947.0,19123.0,8,25
pofi,2006-08-28,108.79,109.49,109.7,108.7,14542.0,19725.0,8,28
pofi,2006-08-29,105.89,108.52,105.89,105.28,14968.0,19296.0,8,29
pofi,2006-08-30,105.13,108.2,105.65,104.68,16515.0,19624.0,8,30
pofi,2006-08-31,108.26,109.43,109.01,108.0,23268.0,18646.0,8,31
pofi,2006-09-01,109.72,110.34,110.4,109.52,25713.0,18485.0,9,1
pofi,2006-09-04,109.23,109.39,109.25,108.52,19238.0,18144.0,9,4
pofi,2006-09-05,108.64,109.79,109.66,108.33,20647.0,19127.0,9,5
pofi,2006-09-06,109.15,110.19,109.85,109.02,16460.0,19576.0,9,6
pofi,2006-09-07,106.96,109.86,107.16,106.42,18343.0,19477.0,9,7
pofi,2006-09-08,108.08,110.69,108.89,107.75,17579.0,20468.0,9,8
pofi,2006-09-11,108.23,111.04,109.36,107.94,14124.0,20361.0,9,11
pofi,2006-09-12,110.21,111.54,111.07,109.99,16405.0,20570.0,9,12
pofi,2006-09-13,110.4,111.0,110.71,109.93,16938.0,21689.0,9,13
pofi,2006-09-14,111.52,111.29,111.61,110.99,17831.0,21696.0,9,14
pofi,2006-09-15,111.3,110.52,111.47,110.27,16472.0,22133.0,9,15
pofi,2006-09-18,110.83,110.62,110.83,110.39,13406.0,22154.0,9,18
pofi,2006-09-19,110.57,110.63,111.04,110.24,15147.0,21395.0,9,19
pofi,2006-09-20,109.33,109.4,109.63,108.87,18510.0,21281.0,9,20
pofi,2006-09-21,109.49,108.92,109.6,108.83,14434.0,21376.0,9,21
pofi,2006-09-22,106.95,109.53,107.39,106.95,13637.0,20935.0,9,22
pofi,2006-09-25,108.04,107.57,108.34,106.99,18076.0,22169.0,9,25
pofi,2006-09-26,107.78,108.05,108.45,107.69,18409.0,21183.0,9,26
pofi,2006-09-27,108.04,107.49,108.05,107.14,17196.0,20220.0,9,27
pofi,2006-09-28,106.63,107.82,106.98,106.42,14306.0,19211.0,9,28
pofi,2006-09-29,108.42,108.97,109.04,108.08,14951.0,18016.0,9,29
pofi,2006-10-09,108.71,108.75,109.47,108.59,10444.0,17321.0,10,9
pofi,2006-10-10,109.65,110.14,110.29,109.46,16038.0,16641.0,10,10
pofi,2006-10-11,109.23,109.6,109.73,109.06,16411.0,15883.0,10,11
pofi,2006-10-12,109.89,109.75,109.98,109.49,19074.0,15508.0,10,12
pofi,2006-10-13,109.47,110.73,110.13,109.47,20712.0,14952.0,10,13
pofi,2006-10-16,110.06,110.72,110.45,109.93,16478.0,14658.0,10,16
pofi,2006-10-17,108.05,111.29,108.64,107.75,17083.0,14827.0,10,17
pofi,2006-10-18,111.62,111.87,112.24,111.27,19462.0,13191.0,10,18
pofi,2006-10-19,112.18,113.07,113.18,112.07,18528.0,13227.0,10,19
pofi,2006-10-20,112.79,114.34,114.17,112.73,18577.0,13715.0,10,20
pofi,2006-10-23,113.55,114.21,114.18,113.14,14658.0,13752.0,10,23
pofi,2006-10-24,115.17,115.69,115.93,114.87,11663.0,13957.0,10,24
pofi,2006-10-25,115.16,116.29,115.94,114.46,14301.0,15154.0,10,25
pofi,2006-10-26,115.29,116.17,115.71,115.25,11577.0,15667.0,10,26
pofi,2006-10-27,117.16,119.19,119.63,116.89,19451.0,17467.0,10,27
pofi,2006-10-30,120.15,122.74,122.92,120.14,29024.0,20467.0,10,30
pofi,2006-10-31,121.56,120.23,121.75,119.55,31704.0,19177.0,10,31
pofi,2006-11-01,114.48,122.14,118.09,114.19,40244.0,20921.0,11,1
pofi,2006-11-02,124.57,123.52,125.59,123.37,55656.0,21009.0,11,2
pofi,2006-11-03,118.09,123.47,120.89,117.86,66334.0,20675.0,11,3
pofi,2006-11-06,119.23,124.05,120.29,118.9,43573.0,21456.0,11,6
pofi,2006-11-07,120.67,123.72,121.19,120.2,30714.0,20420.0,11,7
pofi,2006-11-08,120.79,124.16,121.24,120.6,26568.0,19528.0,11,8
pofi,2006-11-09,120.81,123.85,121.04,120.11,19896.0,18877.0,11,9
pofi,2006-11-10,120.09,124.18,120.98,119.67,18934.0,18883.0,11,10
pofi,2006-11-13,122.85,123.97,123.64,122.71,19459.0,19119.0,11,13
pofi,2006-11-14,123.26,124.57,124.96,123.21,36760.0,18979.0,11,14
pofi,2006-11-15,126.45,128.0,128.0,126.32,33617.0,21437.0,11,15
pofi,2006-11-16,127.55,128.68,128.92,127.28,32254.0,21428.0,11,16
pofi,2006-11-17,127.57,128.4,129.0,127.56,27616.0,22582.0,11,17
pofi,2006-11-20,131.8,133.44,133.43,131.63,17122.0,25693.0,11,20
pofi,2006-11-21,137.3,134.63,137.47,134.14,52243.0,29021.0,11,21
pofi,2006-11-22,135.97,134.65,136.48,133.56,50989.0,27446.0,11,22
pofi,2006-11-23,134.88,131.4,134.96,130.99,45051.0,25894.0,11,23
pofi,2006-11-24,131.23,132.42,132.79,130.4,46641.0,26052.0,11,24
pofi,2006-11-27,134.56,135.67,136.26,133.45,38911.0,25135.0,11,27
pofi,2006-11-28,130.2,133.21,134.74,129.93,31651.0,25169.0,11,28
pofi,2006-11-29,133.42,131.17,134.05,130.61,31837.0,22779.0,11,29
pofi,2006-11-30,132.88,134.07,134.38,132.34,40528.0,23497.0,11,30
pofi,2006-12-01,134.24,132.48,135.06,131.89,46309.0,23728.0,12,1
pofi,2006-12-04,131.74,132.72,133.75,131.37,35481.0,23456.0,12,4
pofi,2006-12-05,131.21,132.19,132.31,130.64,29387.0,23020.0,12,5
pofi,2006-12-06,132.4,132.25,132.95,132.07,24086.0,23131.0,12,6
pofi,2006-12-07,130.62,130.4,131.61,129.4,43872.0,23726.0,12,7
pofi,2006-12-08,131.05,130.62,131.06,129.94,32862.0,23348.0,12,8
pofi,2006-12-11,130.25,131.89,131.99,129.99,35404.0,22004.0,12,11
pofi,2006-12-12,132.77,134.37,134.87,132.48,45124.0,21822.0,12,12
pofi,2006-12-13,133.25,132.82,133.9,132.31,41309.0,20367.0,12,13
pofi,2006-12-14,133.3,133.03,133.73,132.65,27237.0,20565.0,12,14
pofi,2006-12-15,132.65,131.22,132.65,131.02,31489.0,20877.0,12,15
pofi,2006-12-18,130.52,131.0,131.13,129.87,26825.0,20993.0,12,18
pofi,2006-12-19,129.66,130.71,131.03,129.63,25282.0,22235.0,12,19
pofi,2006-12-20,131.46,131.27,131.61,130.94,15069.0,22390.0,12,20
pofi,2006-12-21,131.33,131.97,132.35,130.92,19852.0,22428.0,12,21
pofi,2006-12-22,131.86,131.68,132.53,131.33,19506.0,21836.0,12,22
pofi,2006-12-25,132.44,132.2,132.53,131.65,12929.0,21712.0,12,25
pofi,2006-12-26,132.06,134.75,135.09,131.96,38077.0,22957.0,12,26
pofi,2006-12-27,134.82,133.63,135.29,133.56,31337.0,21138.0,12,27
pofi,2006-12-28,133.78,134.28,134.74,133.16,19526.0,20960.0,12,28
pofi,2006-12-29,134.33,134.47,135.02,133.73,16153.0,19375.0,12,29
pofi,2007-01-04,132.12,129.68,132.21,129.17,18890.0,17007.0,1,4
pofi,2007-01-05,129.63,131.19,131.34,129.63,17366.0,16059.0,1,5
pofi,2007-01-08,131.05,130.28,131.73,130.04,11418.0,17513.0,1,8
pofi,2007-01-09,128.67,129.85,129.58,128.45,15134.0,18842.0,1,9
pofi,2007-01-10,128.49,130.69,129.97,128.34,12942.0,19303.0,1,10
pofi,2007-01-11,129.74,130.39,130.34,129.44,12670.0,20379.0,1,11
pofi,2007-01-12,129.9,129.81,130.09,128.5,16971.0,20657.0,1,12
pofi,2007-01-15,134.05,133.85,134.16,131.77,25889.0,20472.0,1,15
pofi,2007-01-16,132.45,132.42,132.64,131.13,17970.0,19060.0,1,16
pofi,2007-01-17,131.73,131.97,132.41,131.51,8248.0,19719.0,1,17
pofi,2007-01-18,132.27,131.53,132.72,131.22,8057.0,20420.0,1,18
pofi,2007-01-19,131.11,130.35,131.15,129.95,9222.0,21328.0,1,19
pofi,2007-01-22,130.48,130.26,130.98,129.68,9505.0,22009.0,1,22
pofi,2007-01-23,130.27,130.55,130.84,130.21,5117.0,22201.0,1,23
pofi,2007-01-24,132.02,130.43,132.32,130.31,12011.0,22340.0,1,24
pofi,2007-01-25,129.95,130.49,130.62,129.71,9622.0,21988.0,1,25
pofi,2007-01-26,130.06,127.36,130.2,126.7,32765.0,25797.0,1,26
pofi,2007-01-29,127.79,127.09,127.93,126.12,30158.0,27663.0,1,29
pofi,2007-01-30,126.72,126.79,127.04,125.48,25294.0,27214.0,1,30
pofi,2007-01-31,128.22,127.65,128.38,127.09,20970.0,25345.0,1,31
pofi,2007-02-01,127.14,128.69,129.04,127.03,21097.0,24685.0,2,1
pofi,2007-02-02,128.11,128.36,129.35,127.77,21715.0,23715.0,2,2
pofi,2007-02-05,129.97,130.19,130.93,129.61,18361.0,23677.0,2,5
pofi,2007-02-06,126.43,130.73,127.6,126.29,22531.0,25129.0,2,6
pofi,2007-02-07,130.21,130.36,130.63,129.57,19558.0,25537.0,2,7
pofi,2007-02-08,130.05,128.84,130.16,128.63,14993.0,26600.0,2,8
pofi,2007-02-09,129.19,129.34,129.58,129.05,8047.0,26193.0,2,9
pofi,2007-02-12,129.08,128.2,129.43,127.99,14634.0,28433.0,2,12
pofi,2007-02-13,127.63,127.34,128.18,127.05,14727.0,27148.0,2,13
pofi,2007-02-14,127.69,127.7,128.01,127.44,6254.0,26571.0,2,14
pofi,2007-02-15,127.4,127.97,128.43,127.2,8874.0,26769.0,2,15
pofi,2007-02-16,128.01,128.08,128.36,127.76,3459.0,26200.0,2,16
pofi,2007-02-26,125.73,129.68,126.82,125.12,16508.0,23750.0,2,26
pofi,2007-02-27,129.24,129.81,130.42,129.19,9256.0,22797.0,2,27
pofi,2007-02-28,128.4,129.06,129.24,128.04,5746.0,22565.0,2,28
pofi,2007-03-01,129.43,128.91,130.02,128.76,6454.0,22866.0,3,1
pofi,2007-03-02,127.73,127.93,128.69,127.49,9281.0,23845.0,3,2
pofi,2007-03-05,127.1,127.08,127.83,126.65,9539.0,23856.0,3,5
pofi,2007-03-06,127.55,128.15,128.25,127.34,8565.0,23711.0,3,6
pofi,2007-03-07,127.75,127.75,127.93,127.32,5819.0,22723.0,3,7
pofi,2007-03-08,126.15,127.78,126.2,125.59,3891.0,22332.0,3,8
pofi,2007-03-09,128.07,127.73,128.1,127.52,4864.0,21095.0,3,9
pofi,2007-03-12,127.68,127.94,128.0,127.4,3421.0,20740.0,3,12
pofi,2007-03-13,125.87,128.68,126.66,125.79,6848.0,21231.0,3,13
pofi,2007-03-14,128.26,128.18,128.68,127.61,7824.0,21033.0,3,14
pofi,2007-03-15,128.59,128.42,128.84,128.31,5192.0,22106.0,3,15
pofi,2007-03-16,127.99,127.98,128.19,127.66,4936.0,21273.0,3,16
pofi,2007-03-19,128.31,128.22,128.46,128.08,3846.0,22004.0,3,19
pofi,2007-03-20,128.37,128.46,129.04,128.02,9891.0,23468.0,3,20
pofi,2007-03-21,128.86,129.12,129.74,128.86,15402.0,24835.0,3,21
pofi,2007-03-22,128.74,128.72,129.19,128.58,9817.0,23485.0,3,22
pofi,2007-03-23,129.1,129.35,129.41,129.01,6508.0,24115.0,3,23
pofi,2007-03-26,130.28,130.17,130.7,129.78,18088.0,24623.0,3,26
pofi,2007-03-27,129.56,130.22,130.23,129.34,8510.0,25215.0,3,27
pofi,2007-03-28,130.3,131.75,131.71,130.23,19583.0,28643.0,3,28
pofi,2007-03-29,132.16,131.89,132.84,131.68,30136.0,29912.0,3,29
pofi,2007-03-30,132.72,133.22,133.41,132.55,26342.0,29570.0,3,30
pofi,2007-04-02,131.81,132.57,132.95,131.25,20790.0,30360.0,4,2
pofi,2007-04-03,133.49,135.53,135.9,133.04,47158.0,35031.0,4,3
pofi,2007-04-04,134.66,136.11,136.4,134.47,64140.0,39741.0,4,4
pofi,2007-04-05,136.24,135.0,136.36,134.94,47861.0,39028.0,4,5
pofi,2007-04-06,134.98,134.03,135.23,133.72,36152.0,37641.0,4,6
pofi,2007-04-09,134.41,135.43,135.55,134.04,36099.0,37364.0,4,9
pofi,2007-04-10,133.8,134.08,134.49,133.23,26083.0,33919.0,4,10
pofi,2007-04-11,134.56,135.83,135.74,134.48,35043.0,36355.0,4,11
pofi,2007-04-12,135.73,137.49,138.18,135.73,56204.0,42354.0,4,12
pofi,2007-04-13,137.43,137.81,139.09,136.8,61151.0,43740.0,4,13
pofi,2007-04-16,138.55,140.8,140.88,138.54,60147.0,49153.0,4,16
pofi,2007-04-17,140.69,139.19,141.16,138.91,51126.0,46810.0,4,17
