symbol,date,open,close,high,low,volume,position,month,day
poifi,2000-05-08,121.3,120.89,121.71,120.09,98290,195277,5,8
poifi,2000-05-09,120.83,121.09,121.13,120.59,21547,198523,5,9
poifi,2000-05-10,121.2,120.97,121.42,120.84,35042,199485,5,10
poifi,2000-05-11,121.57,120.73,121.66,120.32,46357,199844,5,11
poifi,2000-05-12,120.71,120.88,120.92,120.56,17314,197056,5,12
poifi,2000-05-15,121.14,120.35,121.16,120.31,38568,192333,5,15
poifi,2000-05-16,119.91,119.77,120.11,119.42,55955,191672,5,16
poifi,2000-05-17,119.47,119.86,119.97,119.43,32532,194326,5,17
poifi,2000-05-18,119.71,119.87,120.22,119.53,45096,198971,5,18
poifi,2000-05-19,119.87,119.14,119.87,118.75,81657,199844,5,19
poifi,2000-05-22,119.49,119.45,119.84,118.96,42447,197545,5,22
poifi,2000-05-23,119.45,119.48,119.74,119.37,26150,198607,5,23
poifi,2000-05-24,119.34,119.77,119.89,118.95,63349,199181,5,24
poifi,2000-05-25,119.55,119.84,120.1,119.39,58464,199036,5,25
poifi,2000-05-26,119.16,118.98,119.48,118.71,69713,198847,5,26
poifi,2000-05-29,116.75,115.36,117.6,115.36,135516,183621,5,29
poifi,2000-05-30,113.46,112.32,113.8,112.29,201368,165117,5,30
poifi,2000-05-31,112.27,113.79,113.82,111.92,177268,136602,5,31
poifi,2000-06-01,113.57,113.42,113.66,113.27,37414,136424,6,1
poifi,2000-06-02,113.01,113.32,113.49,112.53,78658,135478,6,2
poifi,2000-06-05,113.8,113.95,114.32,113.61,45296,135555,6,5
poifi,2000-06-06,113.76,113.91,114.21,113.66,35066,139342,6,6
poifi,2000-06-07,114.01,114.03,114.35,113.37,47790,144824,6,7
poifi,2000-06-08,113.79,113.76,113.94,113.23,60831,154048,6,8
poifi,2000-06-09,113.84,113.44,114.04,113.41,38304,160755,6,9
poifi,2000-06-12,113.19,111.4,113.24,111.35,119444,160435,6,12
poifi,2000-06-13,111.2,110.91,111.72,110.23,124322,155339,6,13
poifi,2000-06-14,110.72,111.25,111.77,110.39,100580,159071,6,14
poifi,2000-06-15,110.7,110.82,111.0,110.12,67139,160077,6,15
poifi,2000-06-16,110.84,110.79,111.1,110.39,59578,165140,6,16
poifi,2000-06-19,110.96,111.09,111.4,110.85,47756,167457,6,19
poifi,2000-06-20,111.23,111.39,111.51,111.06,23213,166535,6,20
poifi,2000-06-21,111.01,111.13,111.24,110.86,33158,169877,6,21
poifi,2000-06-22,111.27,112.28,112.48,111.15,79525,177358,6,22
poifi,2000-06-23,112.18,112.24,112.7,111.81,84160,182182,6,23
poifi,2000-06-26,111.88,111.36,112.01,111.21,74329,190661,6,26
poifi,2000-06-27,111.53,111.83,111.99,111.5,39491,191657,6,27
poifi,2000-06-28,111.96,111.3,112.11,110.95,119740,204555,6,28
poifi,2000-06-29,111.11,111.49,111.65,111.09,53399,207187,6,29
poifi,2000-06-30,111.78,111.32,111.89,111.24,69842,208695,6,30
poifi,2000-07-03,110.59,109.85,111.09,109.54,139422,228546,7,3
poifi,2000-07-04,109.57,109.15,110.41,107.15,298504,230837,7,4
poifi,2000-07-05,109.28,108.77,109.64,107.74,151793,236389,7,5
poifi,2000-07-06,108.49,108.5,109.14,108.12,86061,234511,7,6
poifi,2000-07-07,107.56,107.38,108.31,106.62,213520,222218,7,7
poifi,2000-07-10,107.69,108.08,108.28,107.39,74805,218420,7,10
poifi,2000-07-11,108.26,108.76,108.86,108.05,41581,220689,7,11
poifi,2000-07-12,108.37,108.35,109.01,108.14,61677,217975,7,12
poifi,2000-07-13,108.61,110.04,110.19,108.56,124494,207828,7,13
poifi,2000-07-14,109.56,110.41,110.62,109.38,67167,201880,7,14
poifi,2000-07-17,109.82,108.39,109.83,108.18,101980,210028,7,17
poifi,2000-07-18,108.12,109.87,109.95,107.97,111934,210799,7,18
poifi,2000-07-19,109.69,109.06,109.87,108.8,97419,215115,7,19
poifi,2000-07-20,109.28,108.99,109.47,108.66,55725,221144,7,20
poifi,2000-07-21,109.32,108.52,109.53,108.26,77353,229845,7,21
poifi,2000-07-24,108.64,108.52,108.98,107.91,81033,243003,7,24
poifi,2000-07-25,108.15,108.53,108.76,108.09,42273,241334,7,25
poifi,2000-07-26,108.23,108.34,108.55,108.09,18273,242154,7,26
poifi,2000-07-27,108.21,108.09,108.36,107.11,134820,249867,7,27
poifi,2000-07-28,108.07,107.85,108.21,107.68,31669,245392,7,28
poifi,2000-07-31,107.4,107.14,107.56,106.84,80323,250571,7,31
poifi,2000-08-01,107.19,107.64,107.85,107.13,74984,246024,8,1
poifi,2000-08-02,107.77,107.57,108.16,107.34,45823,245008,8,2
poifi,2000-08-03,107.82,107.04,107.93,106.92,73095,248265,8,3
poifi,2000-08-04,106.45,105.16,106.56,104.39,257375,258061,8,4
poifi,2000-08-07,104.69,105.15,105.58,104.58,94040,262621,8,7
poifi,2000-08-08,104.47,104.19,104.98,103.67,190110,247462,8,8
poifi,2000-08-09,104.53,104.0,104.68,103.68,110710,252411,8,9
poifi,2000-08-10,103.89,103.88,104.45,103.61,82258,263384,8,10
poifi,2000-08-11,103.91,104.21,104.13,103.62,56271,257499,8,11
poifi,2000-08-14,104.15,104.64,104.84,103.99,115679,264891,8,14
poifi,2000-08-15,104.29,104.4,104.6,103.81,48036,261389,8,15
poifi,2000-08-16,104.02,103.29,104.07,102.58,73472,264426,8,16
poifi,2000-08-17,103.6,103.58,103.93,102.99,132569,271460,8,17
poifi,2000-08-18,103.26,103.54,103.76,103.1,69914,276395,8,18
poifi,2000-08-21,103.29,103.12,103.54,102.83,71587,281054,8,21
poifi,2000-08-22,103.19,103.05,103.4,102.81,65162,282768,8,22
poifi,2000-08-23,102.77,101.68,102.87,101.08,200270,283456,8,23
poifi,2000-08-24,101.66,101.86,101.98,101.44,62514,284057,8,24
poifi,2000-08-25,101.66,101.77,101.89,101.46,42310,282172,8,25
poifi,2000-08-28,101.97,104.61,104.69,101.97,141073,275324,8,28
poifi,2000-08-29,105.58,106.74,106.81,105.39,226206,262497,8,29
poifi,2000-08-30,108.61,108.83,109.67,107.42,239139,243221,8,30
poifi,2000-08-31,108.1,109.82,110.15,107.65,146274,267670,8,31
poifi,2000-09-01,111.87,112.16,112.15,111.67,24994,260541,9,1
poifi,2000-09-04,116.11,112.24,116.3,111.97,353491,202089,9,4
poifi,2000-09-05,112.75,113.31,114.55,112.02,181403,226686,9,5
poifi,2000-09-06,113.46,112.97,113.82,112.17,93330,237299,9,6
poifi,2000-09-07,111.58,110.57,111.84,109.92,148425,241907,9,7
poifi,2000-09-08,109.5,112.41,112.91,109.36,158148,245266,9,8
poifi,2000-09-11,112.71,111.82,112.92,110.46,105172,247890,9,11
poifi,2000-09-12,111.77,111.21,111.94,110.44,68728,243485,9,12
poifi,2000-09-13,110.7,111.24,111.83,109.85,107277,255675,9,13
poifi,2000-09-14,110.85,110.05,111.17,109.63,103078,248053,9,14
poifi,2000-09-15,109.16,110.29,110.53,108.83,110024,261643,9,15
poifi,2000-09-18,110.6,110.9,111.46,110.22,112824,265899,9,18
poifi,2000-09-19,110.53,110.07,110.59,109.77,61906,271328,9,19
poifi,2000-09-20,110.08,110.97,111.09,110.05,100096,273734,9,20
poifi,2000-09-21,111.52,111.91,112.09,111.13,65229,272369,9,21
poifi,2000-09-22,111.82,111.35,112.06,111.08,56708,274558,9,22
poifi,2000-09-25,111.86,111.71,112.18,111.4,59813,277994,9,25
poifi,2000-09-26,111.84,111.99,112.09,111.49,33947,278184,9,26
poifi,2000-09-27,111.39,111.37,111.82,111.15,39279,284105,9,27
poifi,2000-09-28,111.7,111.67,111.95,111.45,30800,279013,9,28
poifi,2000-09-29,112.72,112.79,113.07,112.69,37539,257170,9,29
poifi,2000-10-09,112.31,112.07,112.53,111.8,29431,255778,10,9
poifi,2000-10-10,112.02,111.24,112.14,110.81,66579,254612,10,10
poifi,2000-10-11,111.24,111.21,111.42,110.29,48029,255538,10,11
poifi,2000-10-12,110.38,110.32,110.4,109.54,73005,259494,10,12
poifi,2000-10-13,109.73,110.63,110.33,109.67,25066,260217,10,13
poifi,2000-10-16,109.75,110.46,110.39,109.42,47914,260714,10,16
poifi,2000-10-17,111.18,112.06,112.82,110.32,156019,268257,10,17
poifi,2000-10-18,111.75,111.27,111.77,110.96,39431,270917,10,18
poifi,2000-10-19,111.36,111.9,112.27,111.31,34281,272527,10,19
poifi,2000-10-20,112.0,112.43,112.38,111.79,40167,275009,10,20
poifi,2000-10-23,112.47,112.15,112.64,112.03,26415,279038,10,23
poifi,2000-10-24,111.68,111.91,111.92,111.52,25936,279040,10,24
poifi,2000-10-25,111.85,112.28,112.01,111.68,16243,279640,10,25
poifi,2000-10-26,111.89,112.58,112.32,111.46,29945,278996,10,26
poifi,2000-10-27,111.81,111.74,111.92,110.91,86679,276935,10,27
poifi,2000-10-30,111.68,112.05,112.1,111.35,66775,279900,10,30
poifi,2000-10-31,112.22,111.74,112.3,111.47,66921,277197,10,31
poifi,2000-11-01,112.02,112.33,112.41,111.89,30001,274153,11,1
poifi,2000-11-02,112.55,112.44,112.79,112.3,30031,272964,11,2
poifi,2000-11-03,112.96,112.22,113.25,112.05,51706,275685,11,3
poifi,2000-11-06,112.29,112.57,112.58,111.89,31308,276635,11,6
poifi,2000-11-07,112.25,112.34,112.39,111.94,22285,274880,11,7
poifi,2000-11-08,112.19,113.22,113.37,112.18,55980,283262,11,8
poifi,2000-11-09,113.08,113.43,113.65,112.84,38328,282209,11,9
poifi,2000-11-10,112.88,113.25,113.33,112.72,22598,283473,11,10
poifi,2000-11-13,113.04,113.5,113.57,113.04,21635,286043,11,13
poifi,2000-11-14,113.51,113.57,113.58,112.91,40676,283793,11,14
poifi,2000-11-15,113.49,113.68,113.84,113.21,19942,285666,11,15
poifi,2000-11-16,113.88,113.56,114.05,113.53,26770,283279,11,16
