symbol,date,open,close,high,low,volume,oi,month,day
rbfi,2009-03-27,3551.0,3562.0,3663.0,3514.0,180114.0,23472.0,3,27
rbfi,2009-03-30,3551.0,3546.0,3581.0,3528.0,72944.0,24864.0,3,30
rbfi,2009-03-31,3540.0,3551.0,3568.0,3533.0,35501.0,22959.0,3,31
rbfi,2009-04-01,3563.0,3549.0,3564.0,3545.0,14194.0,21618.0,4,1
rbfi,2009-04-02,3546.0,3475.0,3549.0,3458.0,118240.0,35194.0,4,2
rbfi,2009-04-03,3483.0,3450.0,3483.0,3438.0,76937.0,38534.0,4,3
rbfi,2009-04-07,3412.0,3493.0,3519.0,3412.0,121732.0,51361.0,4,7
rbfi,2009-04-08,3482.0,3465.0,3493.0,3458.0,73857.0,47073.0,4,8
rbfi,2009-04-09,3467.0,3470.0,3477.0,3451.0,44050.0,48584.0,4,9
rbfi,2009-04-10,3485.0,3486.0,3502.0,3472.0,60887.0,51343.0,4,10
rbfi,2009-04-13,3487.0,3471.0,3496.0,3466.0,55446.0,56135.0,4,13
rbfi,2009-04-14,3477.0,3562.0,3602.0,3471.0,270929.0,76763.0,4,14
rbfi,2009-04-15,3572.0,3564.0,3592.0,3552.0,128295.0,77449.0,4,15
rbfi,2009-04-16,3584.0,3598.0,3630.0,3572.0,125617.0,86495.0,4,16
rbfi,2009-04-17,3596.0,3622.0,3651.0,3583.0,170475.0,111993.0,4,17
rbfi,2009-04-20,3622.0,3625.0,3650.0,3610.0,130452.0,121331.0,4,20
rbfi,2009-04-21,3582.0,3526.0,3592.0,3488.0,166578.0,122165.0,4,21
rbfi,2009-04-22,3552.0,3528.0,3569.0,3510.0,84519.0,118935.0,4,22
rbfi,2009-04-23,3531.0,3515.0,3533.0,3490.0,65555.0,119026.0,4,23
rbfi,2009-04-24,3515.0,3503.0,3524.0,3499.0,51002.0,125683.0,4,24
rbfi,2009-04-27,3512.0,3501.0,3522.0,3494.0,51479.0,129941.0,4,27
rbfi,2009-04-28,3498.0,3509.0,3517.0,3498.0,48676.0,134053.0,4,28
rbfi,2009-04-29,3509.0,3522.0,3522.0,3505.0,51462.0,140314.0,4,29
rbfi,2009-04-30,3538.0,3554.0,3576.0,3525.0,124571.0,152187.0,4,30
rbfi,2009-05-04,3574.0,3637.0,3661.0,3572.0,287835.0,166556.0,5,4
rbfi,2009-05-05,3637.0,3579.0,3645.0,3572.0,88399.0,158568.0,5,5
rbfi,2009-05-06,3580.0,3596.0,3600.0,3575.0,52155.0,160358.0,5,6
rbfi,2009-05-07,3630.0,3595.0,3632.0,3593.0,75646.0,163302.0,5,7
rbfi,2009-05-08,3598.0,3616.0,3615.0,3588.0,52073.0,165330.0,5,8
rbfi,2009-05-11,3617.0,3640.0,3679.0,3607.0,168590.0,173362.0,5,11
rbfi,2009-05-12,3646.0,3646.0,3661.0,3631.0,97025.0,173511.0,5,12
