symbol,date,open,close,high,low,vol,oi,month,day
rufi,1999-05-04,8127.0,8278.0,8282.0,8111.0,1634.0,3082.0,5,4
rufi,1999-05-05,8280.0,8240.0,8321.0,8197.0,771.0,3251.0,5,5
rufi,1999-05-06,8243.0,8395.0,8430.0,8238.0,880.0,3305.0,5,6
rufi,1999-05-07,8374.0,8463.0,8517.0,8257.0,1584.0,3581.0,5,7
rufi,1999-05-10,8519.0,8621.0,8620.0,8505.0,858.0,3661.0,5,10
rufi,1999-05-11,8777.0,8840.0,8840.0,8777.0,547.0,3696.0,5,11
rufi,1999-05-12,9005.0,9085.0,9085.0,8996.0,1437.0,4036.0,5,12
rufi,1999-05-13,9154.0,9383.0,9393.0,9109.0,5166.0,4469.0,5,13
rufi,1999-05-14,9356.0,8953.0,9421.0,8952.0,5096.0,3922.0,5,14
rufi,1999-05-17,8851.0,8801.0,8854.0,8791.0,1108.0,4179.0,5,17
rufi,1999-05-18,8574.0,8517.0,8881.0,8504.0,5155.0,4447.0,5,18
rufi,1999-05-19,8446.0,8667.0,8673.0,8406.0,3562.0,4429.0,5,19
rufi,1999-05-20,8647.0,8653.0,8718.0,8554.0,2192.0,4371.0,5,20
rufi,1999-05-21,8672.0,8669.0,8754.0,8571.0,2281.0,4390.0,5,21
rufi,1999-05-24,8667.0,8560.0,8709.0,8525.0,1915.0,4571.0,5,24
rufi,1999-05-25,8515.0,8510.0,8563.0,8422.0,2552.0,4368.0,5,25
rufi,1999-05-26,8453.0,8597.0,8601.0,8440.0,1106.0,4301.0,5,26
rufi,1999-05-27,8604.0,8805.0,8805.0,8604.0,2058.0,4323.0,5,27
rufi,1999-05-28,8936.0,8852.0,8976.0,8742.0,3000.0,4349.0,5,28
rufi,1999-05-31,8879.0,8659.0,8891.0,8653.0,1161.0,4176.0,5,31
rufi,1999-06-01,8602.0,8897.0,8899.0,8597.0,1651.0,4281.0,6,1
rufi,1999-06-02,8921.0,8827.0,8935.0,8766.0,1170.0,4355.0,6,2
