symbol,date,open,close,high,low,volume,oi,month,day
scfi,2018-03-26,436.6,428.6,445.4,424.0,21168.0,1779.0,3,26
scfi,2018-03-27,428.4,422.7,430.2,412.1,20570.0,2222.0,3,27
scfi,2018-03-28,426.9,409.2,427.1,405.5,34433.0,3625.0,3,28
scfi,2018-03-29,409.3,408.6,410.9,400.9,33534.0,4465.0,3,29
scfi,2018-03-30,406.5,419.0,420.3,404.0,29412.0,4099.0,3,30
scfi,2018-04-02,418.9,415.3,419.8,412.7,12444.0,3832.0,4,2
scfi,2018-04-03,412.7,401.6,412.7,399.8,26515.0,4851.0,4,3
scfi,2018-04-04,402.8,400.7,405.7,398.5,22175.0,5175.0,4,4
scfi,2018-04-09,397.6,401.5,402.6,397.2,7786.0,5341.0,4,9
scfi,2018-04-10,403.9,412.6,414.1,403.5,30916.0,5062.0,4,10
scfi,2018-04-11,414.4,417.1,420.9,413.5,33302.0,6751.0,4,11
scfi,2018-04-12,420.5,428.1,429.3,416.7,55155.0,7744.0,4,12
scfi,2018-04-13,424.8,426.4,428.0,422.8,31692.0,7188.0,4,13
scfi,2018-04-16,427.1,423.9,430.3,423.0,32810.0,7170.0,4,16
scfi,2018-04-17,425.4,426.7,426.8,421.0,27582.0,6909.0,4,17
scfi,2018-04-18,422.4,429.1,430.8,420.2,40208.0,7720.0,4,18
scfi,2018-04-19,434.6,440.1,443.3,432.2,42471.0,8335.0,4,19
scfi,2018-04-20,440.2,436.3,442.4,434.9,34274.0,8170.0,4,20
scfi,2018-04-23,434.7,439.2,440.6,432.1,35196.0,8356.0,4,23
scfi,2018-04-24,434.0,446.9,448.7,432.0,45912.0,9520.0,4,24
scfi,2018-04-25,446.5,437.6,448.3,436.3,49569.0,8426.0,4,25
scfi,2018-04-26,436.8,441.0,444.5,434.1,54667.0,8478.0,4,26
scfi,2018-04-27,443.6,443.8,445.1,440.1,40383.0,8512.0,4,27
scfi,2018-05-02,439.4,443.0,443.9,435.8,16850.0,9109.0,5,2
scfi,2018-05-03,441.3,446.7,447.6,438.9,55635.0,11181.0,5,3
scfi,2018-05-04,443.4,446.5,448.4,442.5,50368.0,10718.0,5,4
scfi,2018-05-07,448.0,458.0,461.1,448.0,67623.0,11941.0,5,7
scfi,2018-05-08,460.2,458.7,462.0,456.5,55544.0,12272.0,5,8
scfi,2018-05-09,458.8,464.8,466.2,445.1,122311.0,13477.0,5,9
scfi,2018-05-10,466.0,476.0,478.0,465.7,83002.0,16011.0,5,10
scfi,2018-05-11,473.8,470.9,473.9,466.7,83081.0,14772.0,5,11
scfi,2018-05-14,471.2,465.3,472.1,462.5,84196.0,12938.0,5,14
scfi,2018-05-15,467.3,472.5,475.2,467.3,75164.0,14576.0,5,15
scfi,2018-05-16,477.5,472.8,477.5,470.3,97000.0,13579.0,5,16
scfi,2018-05-17,471.8,481.4,484.8,470.3,110227.0,16162.0,5,17
scfi,2018-05-18,484.6,486.1,488.2,481.6,89762.0,15630.0,5,18
scfi,2018-05-21,484.4,482.1,485.6,476.9,87963.0,14101.0,5,21
scfi,2018-05-22,479.7,484.8,486.2,478.1,66556.0,15179.0,5,22
scfi,2018-05-23,485.9,484.4,493.5,482.5,109145.0,16122.0,5,23
scfi,2018-05-24,484.3,484.8,487.1,478.0,108716.0,15854.0,5,24
scfi,2018-05-25,480.8,477.2,483.6,476.4,90426.0,16147.0,5,25
scfi,2018-05-28,467.2,462.6,470.2,456.4,122955.0,15828.0,5,28
scfi,2018-05-29,462.2,463.6,465.7,459.0,72662.0,15754.0,5,29
scfi,2018-05-30,466.7,463.5,467.9,458.3,112139.0,16057.0,5,30
scfi,2018-05-31,465.8,472.2,476.4,465.1,117360.0,17594.0,5,31
scfi,2018-06-01,470.3,474.4,483.6,469.7,137591.0,17648.0,6,1
scfi,2018-06-04,472.6,470.5,472.8,467.4,101146.0,16256.0,6,4
scfi,2018-06-05,468.3,465.9,470.9,461.4,106255.0,15827.0,6,5
scfi,2018-06-06,461.4,464.8,466.4,455.6,119329.0,17240.0,6,6
scfi,2018-06-07,460.8,465.4,465.6,457.8,125964.0,17334.0,6,7
scfi,2018-06-08,467.5,468.1,473.9,466.4,114359.0,17816.0,6,8
scfi,2018-06-11,468.8,467.3,475.8,466.6,96468.0,17093.0,6,11
scfi,2018-06-12,466.2,471.8,472.6,463.8,117807.0,17606.0,6,12
scfi,2018-06-13,468.9,464.3,471.3,462.9,109005.0,16768.0,6,13
scfi,2018-06-14,466.1,467.9,471.7,464.3,111534.0,16162.0,6,14
scfi,2018-06-15,470.4,467.0,471.9,464.8,91202.0,14993.0,6,15
scfi,2018-06-19,462.9,460.1,465.3,457.9,37977.0,16647.0,6,19
scfi,2018-06-20,460.9,464.0,465.5,458.7,111621.0,17158.0,6,20
scfi,2018-06-21,464.8,459.7,468.4,458.6,156275.0,17757.0,6,21
scfi,2018-06-22,457.8,458.8,461.6,453.6,135621.0,18448.0,6,22
scfi,2018-06-25,464.1,466.3,471.7,464.0,127095.0,17866.0,6,25
scfi,2018-06-26,468.2,471.3,471.6,465.2,92262.0,18620.0,6,26
scfi,2018-06-27,472.1,484.8,485.9,469.6,147897.0,20199.0,6,27
scfi,2018-06-28,486.9,490.8,494.7,486.2,130203.0,18941.0,6,28
scfi,2018-06-29,490.3,494.6,497.7,490.3,126523.0,18825.0,6,29
scfi,2018-07-02,497.9,501.4,509.7,497.5,141674.0,18797.0,7,2
scfi,2018-07-03,502.2,503.3,505.0,496.7,127710.0,18933.0,7,3
scfi,2018-07-04,503.8,496.5,504.2,491.2,159970.0,17652.0,7,4
scfi,2018-07-05,495.8,497.4,501.5,494.2,106351.0,17837.0,7,5
scfi,2018-07-06,498.5,495.4,501.7,492.6,165376.0,17824.0,7,6
scfi,2018-07-09,490.8,497.5,498.5,487.0,109500.0,20502.0,7,9
scfi,2018-07-10,497.5,504.7,504.8,496.2,120368.0,22807.0,7,10
scfi,2018-07-11,506.5,507.7,511.3,502.5,146576.0,23567.0,7,11
scfi,2018-07-12,503.0,492.3,508.2,489.6,174456.0,19022.0,7,12
scfi,2018-07-13,492.2,490.9,495.4,487.4,132607.0,18602.0,7,13
scfi,2018-07-16,493.7,491.7,499.1,491.6,112868.0,17199.0,7,16
scfi,2018-07-17,485.9,478.9,488.4,478.3,146994.0,18192.0,7,17
scfi,2018-07-18,482.6,481.2,484.9,478.4,109399.0,17833.0,7,18
scfi,2018-07-19,482.2,485.8,488.7,478.8,132054.0,16975.0,7,19
scfi,2018-07-20,483.3,493.0,494.2,483.1,159569.0,17101.0,7,20
