symbol,date,open,close,high,low,volume,oi,month,day
sifi,2022-12-22,19020.0,18271.0,19606.0,18165.0,33202.0,6629.0,12,22
sifi,2022-12-23,18253.0,17055.0,18253.0,17055.0,31876.0,9954.0,12,23
sifi,2022-12-26,17003.0,17150.0,17401.0,16913.0,25090.0,9985.0,12,26
sifi,2022-12-27,17165.0,17140.0,17373.0,17112.0,13756.0,10725.0,12,27
sifi,2022-12-28,17095.0,17390.0,17528.0,16958.0,22054.0,10173.0,12,28
sifi,2022-12-29,17354.0,17470.0,17596.0,17304.0,13151.0,9761.0,12,29
sifi,2022-12-30,17488.0,17851.0,18443.0,17488.0,38707.0,9564.0,12,30
sifi,2023-01-03,17864.0,17723.0,17990.0,17595.0,15555.0,9229.0,1,3
sifi,2023-01-04,17691.0,17605.0,17987.0,17563.0,14921.0,9335.0,1,4
sifi,2023-01-05,17622.0,17544.0,17754.0,17481.0,10884.0,9403.0,1,5
sifi,2023-01-06,17508.0,17753.0,17758.0,17508.0,8692.0,9594.0,1,6
sifi,2023-01-09,17757.0,17660.0,17810.0,17645.0,13954.0,16012.0,1,9
sifi,2023-01-10,17668.0,17456.0,17737.0,17444.0,16228.0,23828.0,1,10
sifi,2023-01-11,17454.0,17323.0,17519.0,17294.0,21827.0,33643.0,1,11
sifi,2023-01-12,17307.0,17413.0,17733.0,17262.0,40098.0,48483.0,1,12
sifi,2023-01-13,17431.0,17480.0,17651.0,17399.0,38849.0,66992.0,1,13
sifi,2023-01-16,17439.0,17487.0,17607.0,17434.0,29127.0,76649.0,1,16
sifi,2023-01-17,17495.0,17587.0,17756.0,17495.0,47371.0,98013.0,1,17
sifi,2023-01-18,17594.0,17662.0,17768.0,17582.0,57699.0,112428.0,1,18
sifi,2023-01-19,17667.0,18284.0,18329.0,17608.0,58301.0,124133.0,1,19
sifi,2023-01-20,18317.0,18554.0,18575.0,18075.0,77558.0,121039.0,1,20
sifi,2023-01-30,18579.0,18030.0,18609.0,17958.0,43060.0,128294.0,1,30
sifi,2023-01-31,18081.0,17837.0,18211.0,17792.0,45897.0,135947.0,1,31
sifi,2023-02-01,17887.0,17863.0,18012.0,17628.0,65025.0,142518.0,2,1
sifi,2023-02-02,17909.0,17596.0,17974.0,17541.0,68237.0,146883.0,2,2
sifi,2023-02-03,17677.0,17712.0,17786.0,17473.0,95713.0,113521.0,2,3
sifi,2023-02-06,17671.0,17739.0,17790.0,17606.0,36072.0,85437.0,2,6
sifi,2023-02-07,17752.0,17696.0,17812.0,17640.0,31423.0,70744.0,2,7
sifi,2023-02-08,17714.0,17854.0,17996.0,17661.0,41164.0,63964.0,2,8
sifi,2023-02-09,17843.0,17994.0,18078.0,17806.0,25862.0,66967.0,2,9
sifi,2023-02-10,17970.0,17936.0,18068.0,17760.0,23216.0,67889.0,2,10
sifi,2023-02-13,17928.0,17897.0,18045.0,17848.0,20901.0,68045.0,2,13
sifi,2023-02-14,17915.0,17920.0,18003.0,17883.0,25130.0,66952.0,2,14
sifi,2023-02-15,17967.0,17864.0,18057.0,17846.0,30842.0,66817.0,2,15
sifi,2023-02-16,17917.0,17596.0,17917.0,17563.0,43005.0,63058.0,2,16
sifi,2023-02-17,17613.0,17348.0,17718.0,17340.0,34188.0,64457.0,2,17
sifi,2023-02-20,17341.0,17440.0,17466.0,17246.0,44711.0,65574.0,2,20
sifi,2023-02-21,17510.0,17645.0,17764.0,17510.0,50577.0,64452.0,2,21
sifi,2023-02-22,17630.0,17544.0,17722.0,17479.0,56148.0,65262.0,2,22
sifi,2023-02-23,17583.0,17594.0,17665.0,17545.0,52850.0,61939.0,2,23
sifi,2023-02-24,17604.0,17598.0,17638.0,17531.0,63185.0,62694.0,2,24
sifi,2023-02-27,17583.0,17447.0,17710.0,17433.0,56886.0,63594.0,2,27
sifi,2023-02-28,17466.0,17491.0,17548.0,17390.0,101277.0,60323.0,2,28
sifi,2023-03-01,17469.0,17506.0,17558.0,17458.0,39767.0,62300.0,3,1
sifi,2023-03-02,17522.0,17498.0,17606.0,17483.0,48238.0,63925.0,3,2
sifi,2023-03-03,17495.0,17465.0,17536.0,17461.0,64153.0,61562.0,3,3
sifi,2023-03-06,17473.0,17275.0,17486.0,17270.0,47108.0,64975.0,3,6
sifi,2023-03-07,17278.0,17102.0,17377.0,17080.0,55660.0,68723.0,3,7
sifi,2023-03-08,17224.0,17149.0,17305.0,16990.0,32550.0,68416.0,3,8
sifi,2023-03-09,17170.0,17055.0,17195.0,16994.0,62586.0,69907.0,3,9
sifi,2023-03-10,17061.0,16933.0,17095.0,16847.0,75209.0,69283.0,3,10
sifi,2023-03-13,16943.0,16946.0,17018.0,16811.0,59613.0,68642.0,3,13
sifi,2023-03-14,16922.0,16879.0,17032.0,16841.0,41064.0,67484.0,3,14
sifi,2023-03-15,16873.0,16721.0,16937.0,16696.0,42459.0,66587.0,3,15
sifi,2023-03-16,16653.0,15965.0,16678.0,15941.0,58791.0,70390.0,3,16
sifi,2023-03-17,16068.0,16101.0,16288.0,16002.0,70973.0,68922.0,3,17
sifi,2023-03-20,16147.0,16062.0,16271.0,16002.0,54985.0,68434.0,3,20
sifi,2023-03-21,16181.0,15852.0,16284.0,15768.0,66153.0,75898.0,3,21
sifi,2023-03-22,15872.0,15944.0,16005.0,15729.0,75884.0,76773.0,3,22
sifi,2023-03-23,15960.0,15874.0,16039.0,15835.0,47327.0,76906.0,3,23
sifi,2023-03-24,15912.0,15880.0,15956.0,15736.0,63483.0,78513.0,3,24
sifi,2023-03-27,15886.0,15900.0,16045.0,15877.0,45540.0,77148.0,3,27
sifi,2023-03-28,15940.0,15893.0,15979.0,15853.0,61632.0,76628.0,3,28
sifi,2023-03-29,15485.0,15739.0,15873.0,15485.0,82840.0,77378.0,3,29
sifi,2023-03-30,15688.0,15713.0,15774.0,15639.0,50063.0,79981.0,3,30
sifi,2023-03-31,15729.0,15502.0,15798.0,15478.0,82605.0,84413.0,3,31
sifi,2023-04-03,15567.0,15301.0,15603.0,15300.0,74503.0,83803.0,4,3
sifi,2023-04-04,15316.0,15058.0,15316.0,14984.0,83100.0,87581.0,4,4
sifi,2023-04-06,15060.0,15223.0,15322.0,14706.0,107317.0,87646.0,4,6
sifi,2023-04-07,15254.0,15221.0,15294.0,15111.0,67834.0,89140.0,4,7
sifi,2023-04-10,15249.0,14925.0,15280.0,14873.0,71689.0,89670.0,4,10
sifi,2023-04-11,14933.0,14961.0,15039.0,14831.0,58295.0,89814.0,4,11
sifi,2023-04-12,14979.0,15151.0,15301.0,14979.0,86506.0,94007.0,4,12
sifi,2023-04-13,15144.0,15064.0,15221.0,15023.0,61857.0,93970.0,4,13
sifi,2023-04-14,15099.0,15080.0,15214.0,15014.0,94812.0,97083.0,4,14
sifi,2023-04-17,15091.0,15387.0,15392.0,15079.0,104782.0,94873.0,4,17
sifi,2023-04-18,15412.0,15479.0,15539.0,15302.0,96583.0,92898.0,4,18
