symbol,date,open,close,high,low,volume,oi,month,day
snfi,2015-03-27,119980.0,119278.0,120063.0,115190.0,916.0,310.0,3,27
snfi,2015-03-30,119238.0,118073.0,119491.0,115629.0,1259.0,426.0,3,30
snfi,2015-03-31,117649.0,118149.0,119759.0,115990.0,2261.0,599.0,3,31
snfi,2015-04-01,118021.0,117916.0,118865.0,117092.0,2195.0,650.0,4,1
snfi,2015-04-02,117980.0,118611.0,119061.0,117978.0,1364.0,533.0,4,2
snfi,2015-04-03,118805.0,118834.0,119445.0,118553.0,697.0,515.0,4,3
snfi,2015-04-07,118871.0,118842.0,119065.0,118271.0,424.0,467.0,4,7
snfi,2015-04-08,118721.0,117904.0,118894.0,117214.0,430.0,391.0,4,8
snfi,2015-04-09,117559.0,116805.0,117955.0,116525.0,410.0,415.0,4,9
snfi,2015-04-10,116508.0,116010.0,116970.0,115353.0,1219.0,476.0,4,10
snfi,2015-04-13,115972.0,115953.0,116291.0,115306.0,814.0,522.0,4,13
snfi,2015-04-14,115530.0,112336.0,115628.0,112336.0,2797.0,967.0,4,14
snfi,2015-04-15,112443.0,113859.0,114143.0,112365.0,2066.0,866.0,4,15
snfi,2015-04-16,113210.0,112900.0,113703.0,111060.0,1937.0,1001.0,4,16
snfi,2015-04-17,113001.0,110019.0,113007.0,109330.0,5682.0,1825.0,4,17
snfi,2015-04-20,112004.0,111464.0,112962.0,111137.0,5284.0,1362.0,4,20
snfi,2015-04-21,111846.0,111570.0,111896.0,111121.0,1728.0,1518.0,4,21
snfi,2015-04-22,112222.0,112953.0,113435.0,112217.0,2946.0,1406.0,4,22
snfi,2015-04-23,113407.0,113316.0,113764.0,112978.0,1667.0,1269.0,4,23
snfi,2015-04-24,113366.0,113947.0,113956.0,112782.0,1050.0,1296.0,4,24
snfi,2015-04-27,114441.0,117942.0,117957.0,114423.0,8513.0,1580.0,4,27
snfi,2015-04-28,117994.0,117426.0,118582.0,116535.0,16039.0,2268.0,4,28
snfi,2015-04-29,117150.0,115400.0,117720.0,115144.0,5319.0,2359.0,4,29
snfi,2015-04-30,116037.0,117645.0,119880.0,115094.0,8900.0,2831.0,4,30
snfi,2015-05-04,117382.0,118804.0,119515.0,117379.0,4434.0,3076.0,5,4
snfi,2015-05-05,118998.0,118678.0,119779.0,118003.0,6540.0,3238.0,5,5
snfi,2015-05-06,119669.0,123398.0,123672.0,119518.0,16435.0,4372.0,5,6
snfi,2015-05-07,123298.0,121998.0,125862.0,121452.0,26019.0,3954.0,5,7
snfi,2015-05-08,122645.0,121382.0,122919.0,120033.0,11114.0,3844.0,5,8
snfi,2015-05-11,120936.0,122412.0,122707.0,120739.0,6968.0,3963.0,5,11
snfi,2015-05-12,121096.0,119988.0,121932.0,119669.0,8726.0,3899.0,5,12
snfi,2015-05-13,120782.0,120696.0,121097.0,120015.0,5234.0,3732.0,5,13
snfi,2015-05-14,120718.0,119493.0,122461.0,117836.0,15695.0,3772.0,5,14
snfi,2015-05-15,119230.0,119143.0,119700.0,118672.0,5505.0,3861.0,5,15
snfi,2015-05-18,118751.0,119283.0,119949.0,118105.0,5878.0,3809.0,5,18
snfi,2015-05-19,119533.0,118168.0,119661.0,118101.0,3805.0,3521.0,5,19
snfi,2015-05-20,117651.0,115854.0,117911.0,114234.0,13838.0,3223.0,5,20
snfi,2015-05-21,116392.0,119186.0,120384.0,115315.0,19203.0,3639.0,5,21
snfi,2015-05-22,119516.0,118043.0,119741.0,116972.0,12011.0,3502.0,5,22
snfi,2015-05-25,117254.0,117663.0,119798.0,116892.0,12919.0,3626.0,5,25
snfi,2015-05-26,117785.0,118399.0,119679.0,117753.0,9470.0,3568.0,5,26
snfi,2015-05-27,116920.0,116724.0,117675.0,116361.0,9075.0,3846.0,5,27
snfi,2015-05-28,116235.0,117075.0,117717.0,115931.0,7780.0,3639.0,5,28
snfi,2015-05-29,116989.0,116261.0,117001.0,115813.0,4641.0,3352.0,5,29
snfi,2015-06-01,116217.0,116235.0,116461.0,115755.0,2281.0,3151.0,6,1
snfi,2015-06-02,116341.0,116709.0,117147.0,116010.0,2130.0,3208.0,6,2
snfi,2015-06-03,116915.0,115869.0,116991.0,115259.0,1951.0,3100.0,6,3
snfi,2015-06-04,115571.0,115018.0,116233.0,114751.0,1892.0,3035.0,6,4
snfi,2015-06-05,114922.0,114542.0,115215.0,114504.0,791.0,3095.0,6,5
snfi,2015-06-08,114228.0,114925.0,115126.0,114126.0,1146.0,3051.0,6,8
snfi,2015-06-09,114894.0,115246.0,115727.0,114882.0,1259.0,3045.0,6,9
snfi,2015-06-10,115570.0,115615.0,115757.0,115085.0,746.0,3066.0,6,10
snfi,2015-06-11,115711.0,115640.0,115878.0,115482.0,666.0,2996.0,6,11
snfi,2015-06-12,114758.0,113913.0,115015.0,113757.0,1888.0,2685.0,6,12
snfi,2015-06-15,113445.0,113338.0,113916.0,112959.0,744.0,2572.0,6,15
snfi,2015-06-16,112111.0,112005.0,112871.0,111916.0,1049.0,2610.0,6,16
snfi,2015-06-17,112206.0,111899.0,112380.0,111399.0,740.0,2570.0,6,17
snfi,2015-06-18,112425.0,112614.0,112757.0,111996.0,488.0,2494.0,6,18
snfi,2015-06-19,113072.0,113810.0,114394.0,112620.0,895.0,2469.0,6,19
snfi,2015-06-23,113532.0,114345.0,114571.0,113491.0,500.0,2413.0,6,23
snfi,2015-06-24,113616.0,113644.0,114520.0,112817.0,663.0,2358.0,6,24
snfi,2015-06-25,113521.0,111984.0,114052.0,110559.0,1099.0,2319.0,6,25
snfi,2015-06-26,111668.0,111260.0,112389.0,110730.0,1516.0,2515.0,6,26
snfi,2015-06-29,110529.0,110485.0,111678.0,109649.0,1463.0,2799.0,6,29
snfi,2015-06-30,109556.0,106950.0,110452.0,106712.0,2398.0,3020.0,6,30
snfi,2015-07-01,106038.0,107646.0,108427.0,105452.0,1681.0,3243.0,7,1
snfi,2015-07-02,107910.0,109273.0,109616.0,107355.0,1446.0,3171.0,7,2
snfi,2015-07-03,110729.0,109438.0,111105.0,108509.0,1322.0,3222.0,7,3
snfi,2015-07-06,108892.0,107204.0,109827.0,106929.0,1169.0,3197.0,7,6
snfi,2015-07-07,108247.0,107568.0,108556.0,106274.0,1406.0,3157.0,7,7
snfi,2015-07-08,105680.0,103011.0,105976.0,103000.0,2132.0,3156.0,7,8
snfi,2015-07-09,104319.0,107763.0,108695.0,103874.0,1849.0,2903.0,7,9
snfi,2015-07-10,107720.0,107831.0,109548.0,106747.0,2026.0,3017.0,7,10
snfi,2015-07-13,106553.0,106892.0,107371.0,106162.0,1119.0,2977.0,7,13
snfi,2015-07-14,108295.0,108525.0,109459.0,108197.0,1437.0,2851.0,7,14
snfi,2015-07-15,108926.0,109071.0,109625.0,108286.0,1149.0,2812.0,7,15
snfi,2015-07-16,110219.0,109333.0,110478.0,108155.0,977.0,1461.0,7,16
snfi,2015-07-17,109665.0,110404.0,110636.0,109509.0,1149.0,1513.0,7,17
snfi,2015-07-20,111985.0,111505.0,112454.0,110912.0,3210.0,1496.0,7,20
snfi,2015-07-21,111761.0,111052.0,111800.0,110848.0,1667.0,1391.0,7,21
snfi,2015-07-22,110908.0,109239.0,111251.0,108858.0,1132.0,1373.0,7,22
snfi,2015-07-23,108411.0,109023.0,109089.0,108192.0,809.0,1395.0,7,23
snfi,2015-07-24,109305.0,108446.0,109525.0,108371.0,743.0,1370.0,7,24
snfi,2015-07-27,108430.0,108552.0,111288.0,107475.0,1804.0,1377.0,7,27
snfi,2015-07-28,108765.0,109811.0,109929.0,108375.0,959.0,1368.0,7,28
snfi,2015-07-29,111031.0,111753.0,112244.0,110755.0,1625.0,1323.0,7,29
snfi,2015-07-30,111483.0,110217.0,111913.0,110133.0,1460.0,1292.0,7,30
snfi,2015-07-31,109811.0,109979.0,111074.0,109463.0,643.0,1292.0,7,31
snfi,2015-08-03,110557.0,109253.0,111315.0,109185.0,882.0,1273.0,8,3
snfi,2015-08-04,107995.0,108744.0,108940.0,107678.0,850.0,1198.0,8,4
snfi,2015-08-05,108954.0,107848.0,109222.0,107181.0,568.0,1230.0,8,5
snfi,2015-08-06,107593.0,107465.0,108312.0,106624.0,786.0,1216.0,8,6
snfi,2015-08-07,107733.0,107570.0,108191.0,107035.0,461.0,1200.0,8,7
snfi,2015-08-10,107243.0,107915.0,108018.0,106785.0,509.0,1154.0,8,10
snfi,2015-08-11,107968.0,108564.0,110845.0,107592.0,656.0,1095.0,8,11
snfi,2015-08-12,107914.0,108331.0,108630.0,107168.0,596.0,1116.0,8,12
snfi,2015-08-13,108861.0,107953.0,109355.0,107736.0,797.0,1092.0,8,13
snfi,2015-08-14,107777.0,107496.0,108200.0,107422.0,324.0,1092.0,8,14
snfi,2015-08-17,108972.0,107599.0,109057.0,107367.0,508.0,1129.0,8,17
snfi,2015-08-18,107688.0,107550.0,108152.0,107252.0,305.0,1017.0,8,18
snfi,2015-08-19,107138.0,107555.0,107627.0,106918.0,438.0,946.0,8,19
snfi,2015-08-20,107947.0,107492.0,108826.0,107131.0,333.0,917.0,8,20
snfi,2015-08-21,107377.0,105766.0,107777.0,105546.0,434.0,922.0,8,21
snfi,2015-08-24,104481.0,102531.0,106037.0,102441.0,792.0,924.0,8,24
snfi,2015-08-25,100857.0,101272.0,102186.0,100613.0,489.0,912.0,8,25
snfi,2015-08-26,101612.0,101083.0,102490.0,101030.0,367.0,890.0,8,26
snfi,2015-08-27,100422.0,100465.0,101105.0,99165.0,339.0,875.0,8,27
snfi,2015-08-28,100876.0,101550.0,103148.0,100151.0,779.0,870.0,8,28
snfi,2015-08-31,101316.0,100511.0,102401.0,99805.0,516.0,875.0,8,31
snfi,2015-09-01,101005.0,100453.0,101257.0,100154.0,78.0,864.0,9,1
snfi,2015-09-02,101304.0,100248.0,101367.0,99062.0,216.0,902.0,9,2
snfi,2015-09-07,100300.0,100698.0,100918.0,99172.0,134.0,860.0,9,7
snfi,2015-09-08,99942.0,101132.0,101139.0,99539.0,135.0,865.0,9,8
snfi,2015-09-09,101563.0,101089.0,103064.0,100665.0,590.0,919.0,9,9
snfi,2015-09-10,101548.0,101634.0,102088.0,100510.0,718.0,948.0,9,10
snfi,2015-09-11,102851.0,102317.0,103461.0,102140.0,667.0,1063.0,9,11
snfi,2015-09-14,101735.0,101331.0,102560.0,101062.0,344.0,1056.0,9,14
snfi,2015-09-15,100583.0,100653.0,101567.0,100082.0,297.0,1090.0,9,15
snfi,2015-09-16,101635.0,101746.0,102078.0,101208.0,236.0,786.0,9,16
snfi,2015-09-17,102196.0,101578.0,102200.0,101548.0,163.0,789.0,9,17
snfi,2015-09-18,101258.0,101172.0,101690.0,101038.0,203.0,739.0,9,18
snfi,2015-09-21,100890.0,100204.0,100898.0,99304.0,402.0,749.0,9,21
snfi,2015-09-22,100018.0,99066.0,100018.0,99066.0,268.0,742.0,9,22
snfi,2015-09-23,98957.0,98606.0,98957.0,97311.0,326.0,732.0,9,23
snfi,2015-09-24,98199.0,98582.0,99029.0,97884.0,175.0,747.0,9,24
snfi,2015-09-25,98823.0,98688.0,99054.0,98237.0,226.0,741.0,9,25
snfi,2015-09-28,98339.0,97077.0,98339.0,96548.0,401.0,762.0,9,28
snfi,2015-09-29,96797.0,96801.0,97269.0,96178.0,402.0,777.0,9,29
snfi,2015-09-30,96973.0,96872.0,97778.0,96726.0,296.0,812.0,9,30
snfi,2015-10-08,97781.0,97760.0,99113.0,97414.0,192.0,804.0,10,8
snfi,2015-10-09,97747.0,98634.0,98807.0,96755.0,639.0,903.0,10,9
snfi,2015-10-12,99682.0,98687.0,99769.0,98168.0,432.0,985.0,10,12
snfi,2015-10-13,98784.0,98499.0,99326.0,98269.0,727.0,1162.0,10,13
snfi,2015-10-14,98041.0,97517.0,98408.0,97352.0,536.0,1266.0,10,14
snfi,2015-10-15,97662.0,99103.0,100254.0,97462.0,1415.0,1590.0,10,15
snfi,2015-10-16,99712.0,98525.0,100220.0,97366.0,1054.0,1278.0,10,16
