symbol,date,open,close,high,low,volume,oi,month,day
ssfi,2019-09-25,15462.0,15543.0,15735.0,15251.0,97620.0,11681.0,9,25
ssfi,2019-09-26,15536.0,15673.0,15884.0,15527.0,54868.0,10727.0,9,26
ssfi,2019-09-27,15679.0,15691.0,15755.0,15551.0,14987.0,8929.0,9,27
ssfi,2019-09-30,15694.0,15664.0,15754.0,15602.0,8000.0,8245.0,9,30
ssfi,2019-10-08,15602.0,15644.0,15763.0,15516.0,4083.0,8182.0,10,8
ssfi,2019-10-09,15598.0,15645.0,15664.0,15598.0,2547.0,8108.0,10,9
ssfi,2019-10-10,15653.0,15735.0,15751.0,15582.0,6057.0,8503.0,10,10
ssfi,2019-10-11,15762.0,15713.0,15768.0,15679.0,4115.0,8190.0,10,11
ssfi,2019-10-14,15735.0,15737.0,15801.0,15703.0,5055.0,8257.0,10,14
ssfi,2019-10-15,15708.0,15416.0,15788.0,15166.0,11951.0,8308.0,10,15
ssfi,2019-10-16,15390.0,15463.0,15551.0,15390.0,5018.0,7965.0,10,16
ssfi,2019-10-17,15472.0,15163.0,15481.0,15102.0,11319.0,8374.0,10,17
ssfi,2019-10-18,15172.0,15007.0,15226.0,14791.0,13691.0,9043.0,10,18
ssfi,2019-10-21,15152.0,14836.0,15169.0,14673.0,12643.0,9781.0,10,21
ssfi,2019-10-22,14839.0,14880.0,14961.0,14759.0,5240.0,10068.0,10,22
ssfi,2019-10-23,14919.0,14961.0,15133.0,14829.0,8927.0,9609.0,10,23
ssfi,2019-10-24,14959.0,14996.0,15112.0,14927.0,5961.0,9445.0,10,24
ssfi,2019-10-25,15044.0,14943.0,15062.0,14804.0,6873.0,9519.0,10,25
ssfi,2019-10-28,14915.0,14988.0,15045.0,14848.0,4832.0,9149.0,10,28
ssfi,2019-10-29,15035.0,15002.0,15204.0,14952.0,7121.0,8884.0,10,29
ssfi,2019-10-30,15007.0,15044.0,15044.0,14951.0,2774.0,8779.0,10,30
ssfi,2019-10-31,15086.0,14966.0,15086.0,14912.0,3309.0,8901.0,10,31
ssfi,2019-11-01,14971.0,14980.0,14980.0,14840.0,4207.0,9024.0,11,1
ssfi,2019-11-04,14936.0,14958.0,14981.0,14932.0,2325.0,8990.0,11,4
ssfi,2019-11-05,14943.0,14893.0,14976.0,14864.0,4168.0,9057.0,11,5
ssfi,2019-11-06,14894.0,14914.0,14956.0,14851.0,4210.0,8899.0,11,6
ssfi,2019-11-07,14904.0,14905.0,14945.0,14834.0,4144.0,8627.0,11,7
ssfi,2019-11-08,14920.0,14771.0,14920.0,14764.0,4019.0,8468.0,11,8
ssfi,2019-11-11,14758.0,14203.0,14764.0,14194.0,20115.0,10730.0,11,11
ssfi,2019-11-12,14210.0,14363.0,14405.0,14164.0,11393.0,10796.0,11,12
ssfi,2019-11-13,14328.0,14340.0,14440.0,14238.0,6001.0,11050.0,11,13
ssfi,2019-11-14,14340.0,14355.0,14412.0,14260.0,4701.0,10702.0,11,14
ssfi,2019-11-15,14351.0,14361.0,14420.0,14191.0,7539.0,10561.0,11,15
ssfi,2019-11-18,14359.0,14289.0,14387.0,14108.0,9155.0,10864.0,11,18
ssfi,2019-11-19,14199.0,14372.0,14482.0,14199.0,8794.0,10229.0,11,19
ssfi,2019-11-20,14370.0,14404.0,14474.0,14329.0,5735.0,9675.0,11,20
ssfi,2019-11-21,14393.0,14365.0,14397.0,14256.0,6228.0,9218.0,11,21
ssfi,2019-11-22,14404.0,14516.0,14565.0,14307.0,9201.0,9250.0,11,22
ssfi,2019-11-25,14473.0,14511.0,14580.0,14446.0,4243.0,9193.0,11,25
