symbol,date,open,close,high,low,vol,oi,month,day
vfi,2009-05-25,6587.0,6493.0,6619.0,6438.0,73142.0,11912.0,5,25
vfi,2009-05-26,6476.0,6481.0,6543.0,6450.0,33597.0,11428.0,5,26
vfi,2009-05-27,6509.0,6509.0,6542.0,6482.0,31363.0,11383.0,5,27
vfi,2009-06-01,6563.0,6598.0,6635.0,6527.0,28102.0,11697.0,6,1
vfi,2009-06-02,6605.0,6591.0,6623.0,6574.0,22017.0,12200.0,6,2
vfi,2009-06-03,6601.0,6624.0,6638.0,6578.0,21772.0,12400.0,6,3
vfi,2009-06-04,6607.0,6602.0,6703.0,6570.0,18485.0,12168.0,6,4
vfi,2009-06-05,6658.0,6699.0,6743.0,6637.0,26084.0,13727.0,6,5
vfi,2009-06-08,6690.0,6966.0,6992.0,6635.0,69208.0,26610.0,6,8
vfi,2009-06-09,7005.0,7033.0,7139.0,6900.0,191172.0,32943.0,6,9
vfi,2009-06-10,7097.0,6989.0,7113.0,6952.0,119593.0,27989.0,6,10
vfi,2009-06-11,7014.0,6957.0,7047.0,6940.0,66663.0,28226.0,6,11
vfi,2009-06-12,6971.0,6850.0,6989.0,6823.0,84937.0,28620.0,6,12
vfi,2009-06-15,6840.0,6873.0,6931.0,6782.0,71576.0,28963.0,6,15
vfi,2009-06-16,6831.0,6870.0,6906.0,6823.0,49513.0,27562.0,6,16
vfi,2009-06-17,6856.0,6952.0,6994.0,6830.0,118906.0,32485.0,6,17
vfi,2009-06-18,6980.0,6952.0,7086.0,6922.0,129203.0,34435.0,6,18
vfi,2009-06-19,6981.0,6933.0,7016.0,6914.0,75261.0,34514.0,6,19
vfi,2009-06-22,6879.0,6852.0,6952.0,6847.0,70755.0,34733.0,6,22
vfi,2009-06-23,6795.0,6813.0,6866.0,6732.0,64160.0,32510.0,6,23
vfi,2009-06-24,6840.0,6807.0,6842.0,6761.0,43612.0,30721.0,6,24
vfi,2009-06-25,6729.0,6854.0,6821.0,6713.0,52210.0,31207.0,6,25
vfi,2009-06-26,6895.0,6903.0,6936.0,6847.0,42297.0,29557.0,6,26
vfi,2009-06-29,6883.0,6806.0,6888.0,6801.0,36380.0,30020.0,6,29
vfi,2009-06-30,6857.0,6905.0,6937.0,6829.0,53232.0,31714.0,6,30
vfi,2009-07-01,6877.0,6875.0,6915.0,6846.0,40274.0,31666.0,7,1
vfi,2009-07-02,6863.0,6861.0,6918.0,6846.0,41516.0,30452.0,7,2
vfi,2009-07-03,6827.0,6889.0,6926.0,6800.0,50169.0,29508.0,7,3
vfi,2009-07-06,6893.0,6895.0,6969.0,6866.0,64620.0,29392.0,7,6
vfi,2009-07-07,6915.0,6943.0,6953.0,6902.0,38898.0,30163.0,7,7
vfi,2009-07-08,6910.0,6894.0,6924.0,6871.0,32392.0,27187.0,7,8
vfi,2009-07-09,6868.0,6892.0,6899.0,6847.0,32943.0,27608.0,7,9
vfi,2009-07-10,6908.0,6903.0,6999.0,6889.0,61560.0,28342.0,7,10
vfi,2009-07-13,6917.0,6866.0,6932.0,6851.0,38479.0,27591.0,7,13
vfi,2009-07-14,6878.0,6882.0,6893.0,6851.0,32063.0,29417.0,7,14
vfi,2009-07-15,6890.0,6944.0,6962.0,6866.0,50929.0,33432.0,7,15
vfi,2009-07-16,6966.0,6943.0,7007.0,6908.0,48654.0,33440.0,7,16
vfi,2009-07-17,6949.0,7009.0,7034.0,6934.0,72868.0,42284.0,7,17
vfi,2009-07-20,7048.0,7041.0,7094.0,6993.0,65194.0,46441.0,7,20
vfi,2009-07-21,7049.0,6945.0,7051.0,6912.0,59499.0,42895.0,7,21
vfi,2009-07-22,6947.0,6922.0,6986.0,6908.0,50145.0,39821.0,7,22
vfi,2009-07-23,6947.0,6947.0,6968.0,6898.0,49690.0,39857.0,7,23
vfi,2009-07-24,6969.0,6969.0,7005.0,6944.0,41564.0,42258.0,7,24
vfi,2009-07-27,7003.0,7160.0,7176.0,6991.0,94374.0,66061.0,7,27
vfi,2009-07-28,7169.0,7204.0,7283.0,7129.0,94222.0,72850.0,7,28
vfi,2009-07-29,7189.0,7155.0,7292.0,7098.0,95420.0,66685.0,7,29
vfi,2009-07-30,7151.0,7441.0,7455.0,7137.0,226003.0,99191.0,7,30
vfi,2009-07-31,7525.0,7620.0,7702.0,7480.0,180076.0,102409.0,7,31
vfi,2009-08-03,7741.0,7703.0,7832.0,7492.0,246652.0,111900.0,8,3
vfi,2009-08-04,7721.0,7486.0,7774.0,7364.0,257805.0,106065.0,8,4
vfi,2009-08-05,7544.0,7491.0,7633.0,7430.0,183957.0,102477.0,8,5
vfi,2009-08-06,7528.0,7710.0,7755.0,7486.0,344766.0,125165.0,8,6
vfi,2009-08-07,7696.0,7547.0,7797.0,7516.0,327950.0,115823.0,8,7
vfi,2009-08-10,7559.0,7653.0,7711.0,7537.0,283807.0,121187.0,8,10
vfi,2009-08-11,7639.0,7908.0,7997.0,7624.0,464076.0,135730.0,8,11
vfi,2009-08-12,7923.0,7765.0,8000.0,7744.0,326864.0,127556.0,8,12
vfi,2009-08-13,7874.0,7853.0,7953.0,7787.0,249007.0,128533.0,8,13
vfi,2009-08-14,7894.0,7648.0,7919.0,7619.0,326508.0,117568.0,8,14
vfi,2009-08-17,7487.0,7327.0,7512.0,7324.0,121501.0,107476.0,8,17
vfi,2009-08-18,7334.0,7304.0,7386.0,7233.0,207299.0,102407.0,8,18
vfi,2009-08-19,7383.0,7125.0,7397.0,6998.0,188090.0,93784.0,8,19
vfi,2009-08-20,7240.0,7243.0,7296.0,7119.0,173152.0,91566.0,8,20
vfi,2009-08-21,7208.0,7236.0,7349.0,7170.0,195986.0,91707.0,8,21
