symbol,date,open,close,high,low,volume,oi,timestamp
yfi,2006-01-09,5298.0,5087.0,5343.0,5060.0,69319.0,23537.0,1136764800
yfi,2006-01-10,5060.0,5077.0,5098.0,5032.0,41396.0,23640.0,1136851200
yfi,2006-01-11,5059.0,5067.0,5080.0,5045.0,35393.0,23677.0,1136937600
yfi,2006-01-12,5054.0,5064.0,5081.0,5046.0,39811.0,23996.0,1137024000
yfi,2006-01-13,5048.0,5015.0,5057.0,5007.0,33430.0,23722.0,1137110400
yfi,2006-01-16,5038.0,5040.0,5056.0,5016.0,39227.0,22213.0,1137369600
yfi,2006-01-17,5039.0,5014.0,5047.0,5005.0,33401.0,21550.0,1137456000
yfi,2006-01-18,4995.0,5009.0,5039.0,4990.0,40041.0,20979.0,1137542400
yfi,2006-01-19,5021.0,5075.0,5085.0,5020.0,46943.0,25071.0,1137628800
yfi,2006-01-20,5070.0,5084.0,5134.0,5047.0,47657.0,28460.0,1137715200
yfi,2006-01-23,5118.0,5083.0,5127.0,5069.0,42945.0,28148.0,1137974400
yfi,2006-01-24,5081.0,5039.0,5085.0,4997.0,38308.0,26813.0,1138060800
yfi,2006-01-25,5033.0,5047.0,5064.0,5017.0,36190.0,27163.0,1138147200
yfi,2006-01-26,5028.0,5017.0,5049.0,5009.0,35600.0,24201.0,1138233600
yfi,2006-01-27,5037.0,5037.0,5056.0,5014.0,29850.0,24114.0,1138320000
yfi,2006-02-06,5176.0,5187.0,5220.0,5132.0,42057.0,24597.0,1139184000
yfi,2006-02-07,5136.0,5149.0,5160.0,5098.0,39946.0,22417.0,1139270400
yfi,2006-02-08,5083.0,5049.0,5091.0,4963.0,43457.0,20465.0,1139356800
yfi,2006-02-09,5072.0,5046.0,5095.0,5033.0,38800.0,21067.0,1139443200
yfi,2006-02-10,5106.0,5065.0,5108.0,5046.0,31465.0,21516.0,1139529600
yfi,2006-02-13,5065.0,5055.0,5073.0,5035.0,31727.0,21432.0,1139788800
yfi,2006-02-14,5054.0,5063.0,5073.0,5048.0,38662.0,21126.0,1139875200
yfi,2006-02-15,5050.0,5054.0,5066.0,5039.0,42227.0,20806.0,1139961600
yfi,2006-02-16,5054.0,5074.0,5088.0,5047.0,43850.0,21147.0,1140048000
yfi,2006-02-17,5086.0,5132.0,5150.0,5082.0,49053.0,23130.0,1140134400
yfi,2006-02-20,5185.0,5136.0,5185.0,5127.0,49369.0,22835.0,1140393600
yfi,2006-02-21,5133.0,5107.0,5155.0,5106.0,45526.0,22513.0,1140480000
yfi,2006-02-22,5094.0,5119.0,5128.0,5081.0,44466.0,22544.0,1140566400
yfi,2006-02-23,5078.0,5088.0,5114.0,5072.0,48741.0,21444.0,1140652800
yfi,2006-02-24,5100.0,5188.0,5221.0,5095.0,61164.0,24156.0,1140739200
yfi,2006-02-27,5163.0,5135.0,5175.0,5119.0,51842.0,23798.0,1140998400
yfi,2006-02-28,5166.0,5161.0,5206.0,5151.0,53150.0,24045.0,1141084800
yfi,2006-03-01,5218.0,5256.0,5277.0,5186.0,75053.0,29236.0,1141171200
yfi,2006-03-02,5276.0,5261.0,5300.0,5244.0,60853.0,30493.0,1141257600
yfi,2006-03-03,5310.0,5293.0,5339.0,5281.0,59597.0,30629.0,1141344000
yfi,2006-03-06,5279.0,5244.0,5295.0,5244.0,43909.0,30865.0,1141603200
yfi,2006-03-07,5251.0,5244.0,5282.0,5221.0,54035.0,32150.0,1141689600
yfi,2006-03-08,5215.0,5227.0,5234.0,5204.0,50976.0,30880.0,1141776000
yfi,2006-03-09,5206.0,5244.0,5244.0,5199.0,39679.0,31637.0,1141862400
yfi,2006-03-10,5246.0,5221.0,5263.0,5219.0,45862.0,30633.0,1141948800
yfi,2006-03-13,5228.0,5250.0,5260.0,5221.0,69836.0,37794.0,1142208000
yfi,2006-03-14,5227.0,5234.0,5249.0,5222.0,73630.0,38720.0,1142294400
yfi,2006-03-15,5241.0,5240.0,5255.0,5234.0,85376.0,38294.0,1142380800
yfi,2006-03-16,5231.0,5229.0,5235.0,5214.0,78483.0,38402.0,1142467200
yfi,2006-03-17,5216.0,5187.0,5220.0,5175.0,65196.0,36963.0,1142553600
yfi,2006-03-20,5130.0,5206.0,5144.0,5097.0,63300.0,36444.0,1142812800
yfi,2006-03-21,5188.0,5172.0,5194.0,5156.0,58610.0,34607.0,1142899200
yfi,2006-03-22,5179.0,5181.0,5195.0,5169.0,60900.0,34025.0,1142985600
yfi,2006-03-23,5012.0,5176.0,5019.0,5005.0,70229.0,32980.0,1143072000
yfi,2006-03-24,5182.0,5190.0,5201.0,5181.0,62420.0,33501.0,1143158400
yfi,2006-03-27,5170.0,5186.0,5190.0,5165.0,62563.0,35237.0,1143417600
yfi,2006-03-28,5120.0,5153.0,5121.0,5084.0,65060.0,36243.0,1143504000
yfi,2006-03-29,5105.0,5162.0,5107.0,5085.0,65111.0,37103.0,1143590400
yfi,2006-03-30,5075.0,5156.0,5075.0,5051.0,72642.0,35984.0,1143676800
yfi,2006-03-31,5022.0,5159.0,5031.0,5001.0,82450.0,36359.0,1143763200
yfi,2006-04-03,5098.0,5114.0,5118.0,5074.0,82587.0,37553.0,1144022400
yfi,2006-04-04,5084.0,5095.0,5108.0,5084.0,65160.0,37153.0,1144108800
yfi,2006-04-05,4949.0,5094.0,4964.0,4944.0,77757.0,37237.0,1144195200
yfi,2006-04-06,4964.0,5074.0,4973.0,4943.0,77758.0,37263.0,1144281600
yfi,2006-04-07,5077.0,5030.0,5078.0,5013.0,72696.0,36239.0,1144368000
yfi,2006-04-10,5014.0,4994.0,5017.0,4987.0,77741.0,35493.0,1144627200
yfi,2006-04-11,5000.0,5026.0,5042.0,4997.0,77952.0,36230.0,1144713600
yfi,2006-04-12,4976.0,5033.0,4980.0,4962.0,77304.0,36702.0,1144800000
yfi,2006-04-13,4934.0,5018.0,4956.0,4928.0,83982.0,35886.0,1144886400
yfi,2006-04-14,4962.0,5030.0,4968.0,4954.0,70218.0,36166.0,1144972800
yfi,2006-04-17,4963.0,5030.0,4981.0,4956.0,78428.0,36134.0,1145232000
yfi,2006-04-18,4902.0,5028.0,4906.0,4873.0,72945.0,34722.0,1145318400
yfi,2006-04-19,4976.0,5075.0,5018.0,4971.0,83818.0,35401.0,1145404800
yfi,2006-04-20,5029.0,5078.0,5030.0,4997.0,80612.0,35217.0,1145491200
yfi,2006-04-21,5012.0,5054.0,5012.0,4985.0,75556.0,35131.0,1145577600
yfi,2006-04-24,5097.0,5126.0,5142.0,5082.0,78436.0,35872.0,1145836800
yfi,2006-04-25,5098.0,5126.0,5130.0,5090.0,85629.0,35134.0,1145923200
yfi,2006-04-26,5036.0,5133.0,5056.0,5010.0,77504.0,33009.0,1146009600
yfi,2006-04-27,5118.0,5121.0,5144.0,5109.0,73479.0,32478.0,1146096000
yfi,2006-04-28,5119.0,5185.0,5159.0,5107.0,64523.0,30793.0,1146182400
yfi,2006-05-08,5060.0,5163.0,5079.0,5037.0,72672.0,29654.0,1147046400
yfi,2006-05-09,5114.0,5178.0,5168.0,5108.0,69912.0,31051.0,1147132800
yfi,2006-05-10,5147.0,5198.0,5204.0,5147.0,68564.0,31444.0,1147219200
yfi,2006-05-11,5105.0,5246.0,5190.0,5104.0,69265.0,32030.0,1147305600
yfi,2006-05-12,5235.0,5271.0,5276.0,5180.0,74015.0,32324.0,1147392000
yfi,2006-05-15,5210.0,5278.0,5223.0,5148.0,81108.0,31897.0,1147651200
yfi,2006-05-16,5123.0,5198.0,5171.0,5098.0,89297.0,30433.0,1147737600
yfi,2006-05-17,5091.0,5261.0,5147.0,5079.0,82057.0,31450.0,1147824000
yfi,2006-05-18,5253.0,5242.0,5257.0,5205.0,101653.0,30971.0,1147910400
yfi,2006-05-19,5138.0,5239.0,5164.0,5132.0,82023.0,30852.0,1147996800
yfi,2006-05-22,5111.0,5197.0,5130.0,5100.0,78709.0,30555.0,1148256000
yfi,2006-05-23,5207.0,5213.0,5241.0,5200.0,86161.0,27865.0,1148342400
yfi,2006-05-24,5147.0,5251.0,5179.0,5137.0,87310.0,26972.0,1148428800
yfi,2006-05-25,5062.0,5235.0,5079.0,5055.0,83245.0,27063.0,1148515200
yfi,2006-05-26,5185.0,5254.0,5194.0,5160.0,84961.0,27042.0,1148601600
yfi,2006-05-29,5186.0,5295.0,5243.0,5172.0,82538.0,27367.0,1148860800
yfi,2006-05-30,5218.0,5286.0,5236.0,5188.0,86977.0,27020.0,1148947200
yfi,2006-05-31,5217.0,5277.0,5230.0,5193.0,87050.0,25854.0,1149033600
yfi,2006-06-01,5256.0,5224.0,5263.0,5189.0,74174.0,25434.0,1149120000
yfi,2006-06-02,5234.0,5238.0,5261.0,5214.0,81878.0,25351.0,1149206400
yfi,2006-06-05,5190.0,5284.0,5209.0,5163.0,89790.0,25459.0,1149465600
yfi,2006-06-06,5271.0,5265.0,5272.0,5135.0,81238.0,25512.0,1149552000
yfi,2006-06-07,5238.0,5249.0,5254.0,5220.0,79645.0,25123.0,1149638400
yfi,2006-06-08,5238.0,5217.0,5242.0,5212.0,73660.0,24582.0,1149724800
yfi,2006-06-09,5200.0,5218.0,5230.0,5193.0,64439.0,24552.0,1149811200
yfi,2006-06-12,5252.0,5233.0,5252.0,5211.0,59296.0,24585.0,1150070400
yfi,2006-06-13,5167.0,5211.0,5169.0,5135.0,49995.0,24546.0,1150156800
yfi,2006-06-14,5200.0,5176.0,5204.0,5152.0,48887.0,24426.0,1150243200
yfi,2006-06-15,5082.0,5169.0,5118.0,5077.0,56121.0,24568.0,1150329600
yfi,2006-06-16,5109.0,5182.0,5122.0,5103.0,51822.0,24214.0,1150416000
yfi,2006-06-19,5161.0,5172.0,5180.0,5150.0,55478.0,23830.0,1150675200
yfi,2006-06-20,5137.0,5152.0,5165.0,5130.0,51837.0,23258.0,1150761600
yfi,2006-06-21,5125.0,5160.0,5166.0,5118.0,47804.0,23043.0,1150848000
yfi,2006-06-22,5095.0,5172.0,5117.0,5087.0,40227.0,23062.0,1150934400
yfi,2006-06-23,5036.0,5162.0,5039.0,5017.0,43567.0,23008.0,1151020800
yfi,2006-06-26,5085.0,5155.0,5098.0,5080.0,42885.0,23132.0,1151280000
yfi,2006-06-27,5017.0,5159.0,5029.0,4996.0,47391.0,23145.0,1151366400
yfi,2006-06-28,5052.0,5166.0,5052.0,5027.0,48416.0,23000.0,1151452800
yfi,2006-06-29,5035.0,5198.0,5063.0,5032.0,42549.0,23048.0,1151539200
yfi,2006-06-30,5158.0,5233.0,5167.0,5136.0,47977.0,21361.0,1151625600
yfi,2006-07-03,5270.0,5259.0,5286.0,5248.0,46744.0,21226.0,1151884800
yfi,2006-07-04,5236.0,5230.0,5259.0,5217.0,42888.0,21154.0,1151971200
yfi,2006-07-05,5079.0,5217.0,5101.0,5066.0,48604.0,21110.0,1152057600
yfi,2006-07-06,5153.0,5228.0,5173.0,5146.0,44756.0,21059.0,1152144000
yfi,2006-07-07,5275.0,5268.0,5282.0,5252.0,44029.0,20875.0,1152230400
yfi,2006-07-10,5256.0,5253.0,5261.0,5238.0,46365.0,20871.0,1152489600
yfi,2006-07-11,5253.0,5294.0,5291.0,5239.0,57197.0,21054.0,1152576000
yfi,2006-07-12,5261.0,5280.0,5282.0,5244.0,45938.0,21226.0,1152662400
yfi,2006-07-13,5232.0,5280.0,5259.0,5200.0,43914.0,21126.0,1152748800
yfi,2006-07-14,5259.0,5292.0,5279.0,5255.0,40173.0,20275.0,1152835200
yfi,2006-07-17,5279.0,5299.0,5304.0,5275.0,39217.0,19401.0,1153094400
yfi,2006-07-18,5274.0,5304.0,5323.0,5265.0,39129.0,18601.0,1153180800
yfi,2006-07-19,5292.0,5277.0,5299.0,5263.0,37204.0,17784.0,1153267200
yfi,2006-07-20,5158.0,5299.0,5172.0,5139.0,39890.0,14862.0,1153353600
yfi,2006-07-21,5282.0,5385.0,5390.0,5277.0,22886.0,16336.0,1153440000
yfi,2006-07-24,5292.0,5395.0,5332.0,5278.0,19805.0,17119.0,1153699200
yfi,2006-07-25,5312.0,5402.0,5318.0,5269.0,20905.0,16732.0,1153785600
yfi,2006-07-26,5389.0,5388.0,5401.0,5371.0,15984.0,16541.0,1153872000
yfi,2006-07-27,5390.0,5404.0,5417.0,5382.0,17785.0,16377.0,1153958400
yfi,2006-07-28,5310.0,5440.0,5343.0,5290.0,19418.0,16386.0,1154044800
yfi,2006-07-31,5373.0,5599.0,5521.0,5371.0,16073.0,17712.0,1154304000
yfi,2006-08-01,5554.0,5620.0,5588.0,5512.0,17968.0,18527.0,1154390400
yfi,2006-08-02,5617.0,5606.0,5669.0,5572.0,20777.0,19490.0,1154476800
yfi,2006-08-03,5599.0,5624.0,5637.0,5576.0,17298.0,20313.0,1154563200
yfi,2006-08-04,5585.0,5585.0,5612.0,5546.0,20209.0,19731.0,1154649600
yfi,2006-08-07,5573.0,5582.0,5651.0,5547.0,12909.0,19641.0,1154908800
yfi,2006-08-08,5572.0,5575.0,5605.0,5552.0,15468.0,19620.0,1154995200
yfi,2006-08-09,5514.0,5621.0,5562.0,5513.0,18441.0,21474.0,1155081600
yfi,2006-08-10,5634.0,5668.0,5673.0,5628.0,20670.0,23112.0,1155168000
yfi,2006-08-11,5643.0,5645.0,5672.0,5618.0,21203.0,23353.0,1155254400
yfi,2006-08-14,5590.0,5522.0,5605.0,5489.0,23405.0,20329.0,1155513600
yfi,2006-08-15,5526.0,5532.0,5538.0,5480.0,20537.0,20029.0,1155600000
yfi,2006-08-16,5536.0,5526.0,5557.0,5507.0,12917.0,20315.0,1155686400
yfi,2006-08-17,5516.0,5520.0,5527.0,5496.0,12277.0,19517.0,1155772800
yfi,2006-08-18,5514.0,5474.0,5521.0,5466.0,16602.0,19581.0,1155859200
yfi,2006-08-21,5469.0,5501.0,5510.0,5459.0,14013.0,19412.0,1156118400
yfi,2006-08-22,5523.0,5513.0,5527.0,5500.0,12245.0,19410.0,1156204800
yfi,2006-08-23,5476.0,5500.0,5477.0,5428.0,12627.0,19251.0,1156291200
yfi,2006-08-24,5476.0,5517.0,5494.0,5467.0,14114.0,19178.0,1156377600
yfi,2006-08-25,5327.0,5507.0,5351.0,5320.0,12947.0,19123.0,1156464000
yfi,2006-08-28,5507.0,5543.0,5553.0,5503.0,14542.0,19725.0,1156723200
yfi,2006-08-29,5360.0,5493.0,5360.0,5330.0,14968.0,19296.0,1156809600
yfi,2006-08-30,5321.0,5477.0,5348.0,5299.0,16515.0,19624.0,1156896000
yfi,2006-08-31,5480.0,5539.0,5518.0,5467.0,23268.0,18646.0,1156982400
yfi,2006-09-01,5554.0,5586.0,5589.0,5544.0,25713.0,18485.0,1157068800
yfi,2006-09-04,5529.0,5537.0,5530.0,5493.0,19238.0,18144.0,1157328000
yfi,2006-09-05,5499.0,5557.0,5551.0,5483.0,20647.0,19127.0,1157414400
yfi,2006-09-06,5525.0,5578.0,5560.0,5519.0,16460.0,19576.0,1157500800
yfi,2006-09-07,5414.0,5561.0,5424.0,5387.0,18343.0,19477.0,1157587200
yfi,2006-09-08,5471.0,5603.0,5512.0,5454.0,17579.0,20468.0,1157673600
yfi,2006-09-11,5479.0,5621.0,5536.0,5464.0,14124.0,20361.0,1157932800
yfi,2006-09-12,5579.0,5646.0,5623.0,5568.0,16405.0,20570.0,1158019200
yfi,2006-09-13,5588.0,5619.0,5604.0,5565.0,16938.0,21689.0,1158105600
yfi,2006-09-14,5645.0,5634.0,5650.0,5618.0,17831.0,21696.0,1158192000
yfi,2006-09-15,5634.0,5595.0,5643.0,5582.0,16472.0,22133.0,1158278400
yfi,2006-09-18,5610.0,5600.0,5610.0,5588.0,13406.0,22154.0,1158537600
yfi,2006-09-19,5597.0,5600.0,5621.0,5580.0,15147.0,21395.0,1158624000
