symbol,date,open,close,high,low,vol,oi,month,day
znfi,2007-03-26,28483.0,29175.0,29562.0,28459.0,10803.0,3034.0,3,26
znfi,2007-03-27,29530.0,29670.0,29814.0,29434.0,8599.0,3981.0,3,27
znfi,2007-03-28,29437.0,29523.0,29647.0,29362.0,4513.0,4333.0,3,28
znfi,2007-03-29,29452.0,29042.0,29497.0,29008.0,4595.0,4783.0,3,29
znfi,2007-03-30,29397.0,29389.0,29483.0,29172.0,7070.0,5368.0,3,30
znfi,2007-04-02,29375.0,29288.0,29422.0,29179.0,3023.0,5521.0,4,2
znfi,2007-04-03,28932.0,28777.0,28971.0,28652.0,6371.0,5935.0,4,3
znfi,2007-04-04,29227.0,28977.0,29240.0,28963.0,4615.0,6146.0,4,4
znfi,2007-04-05,29698.0,30239.0,30239.0,29541.0,9902.0,7428.0,4,5
znfi,2007-04-06,30243.0,31372.0,31503.0,30102.0,31450.0,9310.0,4,6
znfi,2007-04-09,31584.0,32180.0,32180.0,31531.0,17041.0,10557.0,4,9
znfi,2007-04-10,32828.0,32706.0,33861.0,31984.0,66499.0,13823.0,4,10
znfi,2007-04-11,32766.0,32371.0,32970.0,31998.0,59072.0,14670.0,4,11
znfi,2007-04-12,32494.0,32938.0,33186.0,32339.0,57069.0,16444.0,4,12
znfi,2007-04-13,32008.0,31692.0,32248.0,31571.0,29904.0,14776.0,4,13
znfi,2007-04-16,32017.0,32224.0,32349.0,31835.0,29836.0,15682.0,4,16
znfi,2007-04-17,32090.0,32142.0,32617.0,31832.0,38205.0,16351.0,4,17
znfi,2007-04-18,33560.0,33561.0,33561.0,33374.0,12754.0,15533.0,4,18
znfi,2007-04-19,33748.0,32766.0,33998.0,31538.0,73111.0,16311.0,4,19
znfi,2007-04-20,32949.0,32933.0,33073.0,31963.0,64604.0,16107.0,4,20
znfi,2007-04-23,33247.0,32825.0,33630.0,32358.0,55407.0,17460.0,4,23
znfi,2007-04-24,33961.0,34024.0,34070.0,33435.0,51331.0,19280.0,4,24
znfi,2007-04-25,33309.0,33042.0,33462.0,32834.0,62925.0,18252.0,4,25
znfi,2007-04-26,33324.0,33285.0,33447.0,33073.0,33865.0,18989.0,4,26
znfi,2007-04-27,32461.0,32254.0,32660.0,32107.0,36940.0,17476.0,4,27
znfi,2007-04-30,32277.0,32676.0,32753.0,32101.0,25489.0,16112.0,4,30
znfi,2007-05-08,33692.0,33693.0,33692.0,33691.0,329.0,15961.0,5,8
znfi,2007-05-09,35512.0,34553.0,35520.0,34465.0,50093.0,19666.0,5,9
znfi,2007-05-10,34172.0,34703.0,34738.0,34096.0,55157.0,21961.0,5,10
znfi,2007-05-11,33803.0,33313.0,33985.0,33197.0,43916.0,19818.0,5,11
znfi,2007-05-14,33833.0,33396.0,33881.0,33313.0,36485.0,19572.0,5,14
znfi,2007-05-15,32560.0,32239.0,32609.0,32237.0,29794.0,17621.0,5,15
znfi,2007-05-16,32301.0,31863.0,32520.0,31449.0,46509.0,17260.0,5,16
znfi,2007-05-17,30568.0,30535.0,31037.0,30535.0,31363.0,15027.0,5,17
znfi,2007-05-18,29744.0,29367.0,30146.0,28925.0,69852.0,14645.0,5,18
znfi,2007-05-21,29572.0,30722.0,30722.0,29571.0,29128.0,13421.0,5,21
znfi,2007-05-22,31467.0,30943.0,32012.0,30636.0,70424.0,14856.0,5,22
znfi,2007-05-23,30149.0,30175.0,30399.0,29975.0,37199.0,14735.0,5,23
znfi,2007-05-24,29998.0,30616.0,30642.0,29967.0,45943.0,16462.0,5,24
znfi,2007-05-25,29330.0,29830.0,29912.0,29315.0,30974.0,15238.0,5,25
znfi,2007-05-28,30689.0,30689.0,30689.0,30687.0,1168.0,14460.0,5,28
znfi,2007-05-29,31183.0,30266.0,31220.0,30161.0,32416.0,14839.0,5,29
znfi,2007-05-30,30188.0,30153.0,30684.0,30027.0,38433.0,14154.0,5,30
znfi,2007-05-31,30440.0,30732.0,30802.0,30317.0,27865.0,15084.0,5,31
znfi,2007-06-01,31063.0,30709.0,31115.0,30538.0,28541.0,14915.0,6,1
znfi,2007-06-05,30766.0,30743.0,30916.0,30575.0,28471.0,15814.0,6,5
znfi,2007-06-06,30464.0,30526.0,30705.0,30409.0,17604.0,15101.0,6,6
znfi,2007-06-07,30201.0,30055.0,30379.0,29943.0,21799.0,14196.0,6,7
znfi,2007-06-08,30038.0,29852.0,30169.0,29733.0,17580.0,14060.0,6,8
znfi,2007-06-11,29900.0,30186.0,30197.0,29680.0,26504.0,15485.0,6,11
znfi,2007-06-12,30406.0,29886.0,30441.0,29873.0,18691.0,14392.0,6,12
znfi,2007-06-13,29821.0,29890.0,29993.0,29711.0,10969.0,13758.0,6,13
znfi,2007-06-14,29876.0,29688.0,29924.0,29626.0,9456.0,14408.0,6,14
znfi,2007-06-15,29718.0,28851.0,29795.0,28794.0,25349.0,13760.0,6,15
znfi,2007-06-18,29065.0,29276.0,29344.0,28739.0,25767.0,14135.0,6,18
znfi,2007-06-19,28883.0,28742.0,28976.0,28600.0,19384.0,13947.0,6,19
znfi,2007-06-20,28676.0,28892.0,29094.0,28573.0,20037.0,13927.0,6,20
znfi,2007-06-21,28767.0,28803.0,28857.0,28663.0,12021.0,13632.0,6,21
znfi,2007-06-22,28357.0,28135.0,28454.0,28087.0,22990.0,14779.0,6,22
znfi,2007-06-25,28170.0,27077.0,28209.0,27071.0,31701.0,17543.0,6,25
znfi,2007-06-26,27220.0,26473.0,27258.0,26423.0,56764.0,18253.0,6,26
znfi,2007-06-27,25883.0,25594.0,25963.0,25594.0,24467.0,19027.0,6,27
znfi,2007-06-28,25400.0,26550.0,26578.0,25317.0,103930.0,20902.0,6,28
